* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오전 11:28:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.841	-156.9297
20.600000	71.855	-157.0867
20.900000	71.881	-157.3653
21.200001	71.904	-157.6295
21.400000	71.918	-157.8083
21.799999	71.939	-158.1978
22.000000	71.946	-158.4127
22.400000	71.954	-158.8646
22.700001	71.955	-159.2060
23.000000	71.955	-159.5423
23.299999	71.956	-159.8775
23.600000	71.960	-160.2198
24.000000	71.969	-160.6992
24.299999	71.978	-161.0763
24.700001	71.987	-161.5858
25.000000	71.992	-161.9538
25.400000	71.999	-162.4034
25.799999	72.009	-162.7995
26.200001	72.024	-163.1580
26.500000	72.039	-163.4185
26.900000	72.059	-163.7706
27.200001	72.073	-164.0425
27.600000	72.088	-164.4119
28.000000	72.098	-164.7782
28.500000	72.105	-165.2171
29.000000	72.105	-165.6273
29.500000	72.102	-166.0069
30.000000	72.099	-166.3574
30.400000	72.098	-166.6227
30.700001	72.099	-166.8189
31.100000	72.103	-167.0883
31.500000	72.109	-167.3773
32.000000	72.116	-167.7740
32.500000	72.121	-168.1995
33.000000	72.122	-168.6257
33.500000	72.123	-169.0265
34.000000	72.126	-169.3917
34.500000	72.131	-169.7300
35.000000	72.137	-170.0567
35.500000	72.144	-170.3787
36.000000	72.150	-170.6887
36.500000	72.154	-170.9752
37.000000	72.159	-171.2370
37.500000	72.165	-171.4881
38.200001	72.174	-171.8570
38.700001	72.177	-172.1401
39.500000	72.173	-172.5932
40.000000	72.169	-172.8596
40.599998	72.164	-173.1670
41.200001	72.160	-173.4739
41.799999	72.157	-173.7807
42.500000	72.155	-174.1344
43.099998	72.155	-174.4455
43.700001	72.155	-174.7690
44.400002	72.148	-175.1293
45.000000	72.141	-175.3940
45.500000	72.138	-175.5943
46.200001	72.139	-175.8878
46.799999	72.139	-176.1626
47.500000	72.135	-176.4764
48.200001	72.134	-176.7685
48.700001	72.136	-176.9771
49.400002	72.138	-177.2788
50.000000	72.139	-177.5350
50.799999	72.139	-177.8645
51.500000	72.138	-178.1452
52.200001	72.134	-178.4064
53.000000	72.129	-178.6649
53.799999	72.127	-178.9040
54.500000	72.126	-179.1290
55.200001	72.123	-179.3718
56.000000	72.116	-179.6506
57.000000	72.105	-179.9917
58.000000	72.093	179.6694
59.000000	72.080	179.3399
60.000000	72.065	179.0119
60.799999	72.054	178.7647
61.500000	72.047	178.5595
62.200001	72.042	178.3468
63.000000	72.037	178.0927
64.000000	72.027	177.7869
65.000000	72.016	177.5055
66.000000	72.006	177.2485
67.000000	72.000	177.0039
68.000000	71.993	176.7430
69.000000	71.981	176.4837
70.000000	71.967	176.2492
71.000000	71.953	176.0187
72.000000	71.939	175.7985
73.000000	71.927	175.5895
74.000000	71.916	175.3575
75.000000	71.901	175.1302
76.199997	71.887	174.9047
77.500000	71.876	174.6417
78.800003	71.862	174.3784
80.000000	71.847	174.1448
81.199997	71.828	173.9271
82.500000	71.810	173.7321
83.800003	71.797	173.5076
85.000000	71.786	173.2800
86.199997	71.778	173.0086
87.500000	71.763	172.7036
88.500000	71.749	172.4965
90.000000	71.729	172.2198
91.199997	71.714	172.0331
92.500000	71.700	171.8405
93.800003	71.686	171.6492
95.000000	71.673	171.4653
96.199997	71.658	171.2782
97.500000	71.640	171.0781
98.800003	71.623	170.8817
100.000000	71.607	170.6959
101.500000	71.586	170.4679
103.000000	71.567	170.2556
104.400002	71.553	170.0511
106.000000	71.538	169.8135
107.500000	71.522	169.6057
109.000000	71.504	169.4214
110.599998	71.485	169.2401
112.000000	71.469	169.0815
113.800003	71.449	168.8557
115.000000	71.435	168.7036
117.199997	71.411	168.4637
118.000000	71.404	168.3829
120.599998	71.379	168.1020
122.000000	71.364	167.9645
124.099998	71.345	167.7484
125.000000	71.336	167.6515
126.500000	71.321	167.4905
128.000000	71.303	167.3379
131.500000	71.265	167.0148
132.000000	71.260	166.9666
134.000000	71.240	166.7852
136.000000	71.219	166.6340
138.000000	71.196	166.5023
140.000000	71.169	166.3903
143.000000	71.138	166.2324
145.000000	71.121	166.1008
147.500000	71.101	165.9521
150.000000	71.087	165.8313
152.500000	71.078	165.6616
155.000000	71.066	165.4594
157.500000	71.052	165.2563
160.000000	71.034	165.0567
162.500000	71.008	164.8618
165.000000	70.979	164.6904
167.500000	70.950	164.5486
170.000000	70.917	164.4547
172.500000	70.880	164.4214
175.000000	70.845	164.4339
177.500000	70.820	164.4943
180.000000	70.810	164.6080
182.500000	70.822	164.7498
185.000000	70.860	164.8164
187.500000	70.911	164.6937
190.000000	70.954	164.3793
192.500000	70.976	163.9507
195.000000	70.974	163.5085
197.500000	70.956	163.1270
200.000000	70.935	162.7988
203.000000	70.909	162.4510
206.000000	70.883	162.1586
209.000000	70.856	161.9305
212.000000	70.829	161.7177
214.000000	70.807	161.5776
218.000000	70.761	161.3210
220.000000	70.740	161.2028
224.000000	70.708	160.9947
227.000000	70.686	160.8403
230.000000	70.665	160.6770
233.000000	70.644	160.5121
236.000000	70.623	160.3628
240.000000	70.594	160.1973
243.000000	70.572	160.0888
247.000000	70.544	159.9543
250.000000	70.525	159.8384
254.000000	70.503	159.6650
258.000000	70.477	159.4851
262.000000	70.447	159.2885
265.000000	70.426	159.1288
269.000000	70.397	158.9298
272.000000	70.377	158.7865
276.000000	70.351	158.6044
280.000000	70.324	158.4438
285.000000	70.291	158.2746
290.000000	70.263	158.1572
295.000000	70.240	158.0493
300.000000	70.217	157.9467
304.000000	70.200	157.8701
307.000000	70.190	157.8051
311.000000	70.188	157.7039
315.000000	70.193	157.5670
320.000000	70.196	157.3093
325.000000	70.184	156.9818
330.000000	70.156	156.6594
335.000000	70.121	156.3756
340.000000	70.085	156.1484
345.000000	70.049	155.9532
350.000000	70.012	155.7648
355.000000	69.972	155.5984
360.000000	69.935	155.4505
365.000000	69.897	155.3077
370.000000	69.857	155.1733
375.000000	69.818	155.0634
382.000000	69.770	154.9078
387.000000	69.737	154.7695
395.000000	69.681	154.5922
400.000000	69.645	154.4855
406.000000	69.602	154.3692
