* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오전 11:23:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Spring
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.557	-157.3837
20.600000	70.569	-157.6004
20.900000	70.588	-157.9748
21.200001	70.595	-158.2938
21.400000	70.595	-158.4717
21.799999	70.593	-158.7805
22.000000	70.594	-158.9309
22.400000	70.600	-159.2588
22.700001	70.607	-159.5516
23.000000	70.613	-159.8914
23.299999	70.616	-160.2603
23.600000	70.615	-160.6360
24.000000	70.613	-161.1161
24.299999	70.614	-161.4498
24.700001	70.622	-161.8669
25.000000	70.633	-162.1709
25.400000	70.653	-162.5757
25.799999	70.677	-162.9809
26.200001	70.702	-163.3819
26.500000	70.720	-163.6783
26.900000	70.740	-164.0665
27.200001	70.751	-164.3477
27.600000	70.761	-164.6977
28.000000	70.769	-165.0075
28.500000	70.780	-165.3492
29.000000	70.796	-165.6957
29.500000	70.810	-166.0946
30.000000	70.813	-166.5285
30.400000	70.809	-166.8595
30.700001	70.803	-167.0851
31.100000	70.798	-167.3633
31.500000	70.796	-167.6393
32.000000	70.795	-168.0106
32.500000	70.791	-168.4016
33.000000	70.787	-168.7756
33.500000	70.787	-169.1215
34.000000	70.792	-169.4582
34.500000	70.797	-169.7962
35.000000	70.800	-170.1194
35.500000	70.804	-170.4141
36.000000	70.811	-170.6945
36.500000	70.818	-170.9818
37.000000	70.822	-171.2720
37.500000	70.821	-171.5424
38.200001	70.819	-171.8807
38.700001	70.819	-172.1250
39.500000	70.815	-172.5598
40.000000	70.809	-172.8417
40.599998	70.798	-173.1707
41.200001	70.786	-173.4796
41.799999	70.775	-173.7577
42.500000	70.771	-174.0600
43.099998	70.774	-174.3445
43.700001	70.775	-174.6550
44.400002	70.771	-174.9914
45.000000	70.768	-175.2411
45.500000	70.766	-175.4484
46.200001	70.760	-175.7393
46.799999	70.749	-175.9386
47.500000	70.745	-176.1045
48.200001	70.755	-176.3113
48.700001	70.761	-176.5284
49.400002	70.756	-176.8788
50.000000	70.741	-177.1497
50.799999	70.715	-177.4468
51.500000	70.689	-177.6520
52.200001	70.665	-177.7556
53.000000	70.662	-177.7726
53.799999	70.686	-177.8626
54.500000	70.710	-178.0405
55.200001	70.735	-178.2368
56.000000	70.772	-178.5196
57.000000	70.802	-179.0208
58.000000	70.805	-179.4549
59.000000	70.804	-179.8708
60.000000	70.775	179.6749
60.799999	70.739	179.3790
61.500000	70.707	179.1469
62.200001	70.675	178.9160
63.000000	70.639	178.6470
64.000000	70.589	178.3556
65.000000	70.557	178.2601
66.000000	70.575	178.1931
67.000000	70.614	177.9113
68.000000	70.636	177.5340
69.000000	70.637	177.1946
70.000000	70.620	176.9333
71.000000	70.595	176.7639
72.000000	70.573	176.6122
73.000000	70.551	176.4107
74.000000	70.528	176.1915
75.000000	70.511	175.9696
76.199997	70.497	175.6922
77.500000	70.486	175.4365
78.800003	70.477	175.2206
80.000000	70.459	175.0530
81.199997	70.438	174.9438
82.500000	70.425	174.7545
83.800003	70.405	174.4127
85.000000	70.378	174.0932
86.199997	70.357	173.8157
87.500000	70.343	173.5682
88.500000	70.337	173.3979
90.000000	70.326	173.1731
91.199997	70.313	173.0202
92.500000	70.296	172.8526
93.800003	70.276	172.6491
95.000000	70.253	172.4415
96.199997	70.227	172.2324
97.500000	70.198	172.0516
98.800003	70.177	171.9138
100.000000	70.164	171.7766
101.500000	70.144	171.5960
103.000000	70.123	171.4232
104.400002	70.102	171.2388
106.000000	70.072	171.0170
107.500000	70.044	170.8321
109.000000	70.023	170.6469
110.599998	70.002	170.4427
112.000000	69.979	170.3011
113.800003	69.949	170.1674
115.000000	69.929	170.0522
117.199997	69.884	169.7068
118.000000	69.862	169.5560
120.599998	69.794	169.3117
122.000000	69.789	169.3004
124.099998	69.785	169.1807
125.000000	69.773	169.1302
126.500000	69.743	169.0666
128.000000	69.708	168.9785
131.500000	69.626	168.7075
132.000000	69.619	168.6710
134.000000	69.589	168.5082
136.000000	69.550	168.3724
138.000000	69.503	168.2868
140.000000	69.456	168.2120
143.000000	69.390	168.0765
145.000000	69.344	168.0056
147.500000	69.275	167.9967
150.000000	69.194	168.0113
152.500000	69.101	168.0027
155.000000	68.998	168.0298
157.500000	68.882	168.2011
160.000000	68.743	168.5540
162.500000	68.581	169.0899
165.000000	68.389	169.9373
167.500000	68.170	171.4949
170.000000	67.968	174.1091
172.500000	67.906	178.0414
175.000000	68.234	-177.1324
177.500000	69.054	-173.4637
180.000000	70.030	-173.2224
182.500000	70.751	-176.2696
185.000000	71.088	179.4929
187.500000	71.135	175.8071
190.000000	71.035	173.2156
192.500000	70.900	171.5754
195.000000	70.792	170.5352
197.500000	70.719	169.7911
200.000000	70.676	169.1133
203.000000	70.635	168.2067
206.000000	70.576	167.2648
209.000000	70.496	166.4269
212.000000	70.411	165.7881
214.000000	70.359	165.4657
218.000000	70.259	164.9549
220.000000	70.212	164.7253
224.000000	70.128	164.2909
227.000000	70.069	164.0074
230.000000	70.010	163.7677
233.000000	69.952	163.5716
236.000000	69.896	163.4155
240.000000	69.828	163.2406
243.000000	69.782	163.1365
247.000000	69.732	163.0273
250.000000	69.700	162.9218
254.000000	69.653	162.7562
258.000000	69.607	162.5998
262.000000	69.567	162.4681
265.000000	69.536	162.3702
269.000000	69.493	162.2409
272.000000	69.463	162.1588
276.000000	69.426	162.0556
280.000000	69.392	161.9449
285.000000	69.351	161.7944
290.000000	69.315	161.6308
295.000000	69.281	161.4827
300.000000	69.247	161.3513
304.000000	69.221	161.2483
307.000000	69.202	161.1840
311.000000	69.177	161.1140
315.000000	69.149	161.0349
320.000000	69.119	160.9169
325.000000	69.091	160.8083
330.000000	69.058	160.6974
335.000000	69.024	160.5889
340.000000	68.989	160.5174
345.000000	68.956	160.4294
350.000000	68.923	160.3336
355.000000	68.890	160.2410
360.000000	68.855	160.1506
365.000000	68.820	160.0685
370.000000	68.781	160.0028
375.000000	68.745	159.9452
382.000000	68.699	159.8667
387.000000	68.665	159.8282
395.000000	68.608	159.7451
400.000000	68.572	159.6922
406.000000	68.529	159.6455
412.000000	68.485	159.5984
418.000000	68.442	159.5560
425.000000	68.395	159.5182
431.000000	68.359	159.4805
437.000000	68.322	159.4419
444.000000	68.278	159.3886
450.000000	68.245	159.3637
455.000000	68.217	159.3663
462.000000	68.176	159.3810
468.000000	68.140	159.4000
475.000000	68.095	159.3965
482.000000	68.050	159.3854
487.000000	68.020	159.4099
494.000000	67.980	159.4513
500.000000	67.948	159.4570
508.000000	67.900	159.4537
515.000000	67.857	159.4902
522.000000	67.818	159.5774
530.000000	67.776	159.6830
538.000000	67.735	159.7593
545.000000	67.700	159.8205
552.000000	67.661	159.9053
560.000000	67.610	160.0112
570.000000	67.552	160.1609
580.000000	67.500	160.3199
590.000000	67.451	160.4692
600.000000	67.399	160.6457
608.000000	67.357	160.7966
615.000000	67.321	160.9207
622.000000	67.285	161.0574
630.000000	67.243	161.2531
640.000000	67.192	161.5206
650.000000	67.144	161.7809
660.000000	67.098	162.0460
670.000000	67.055	162.3170
680.000000	67.011	162.5920
690.000000	66.965	162.8820
700.000000	66.922	163.2060
710.000000	66.884	163.5281
720.000000	66.846	163.8362
730.000000	66.807	164.1718
740.000000	66.771	164.5130
750.000000	66.738	164.8441
762.000000	66.700	165.2802
775.000000	66.658	165.7837
788.000000	66.624	166.2721
800.000000	66.601	166.7521
812.000000	66.580	167.2434
825.000000	66.558	167.7500
838.000000	66.540	168.2794
850.000000	66.531	168.7877
862.000000	66.526	169.2912
875.000000	66.524	169.8212
885.000000	66.525	170.2265
900.000000	66.531	170.8008
912.000000	66.537	171.2418
925.000000	66.551	171.7144
938.000000	66.572	172.1809
950.000000	66.593	172.5746
962.000000	66.617	172.9427
975.000000	66.646	173.3455
988.000000	66.674	173.7392
1000.000000	66.703	174.0677
1015.000000	66.748	174.4147
1030.000000	66.790	174.7006
1044.000000	66.828	174.9606
1060.000000	66.871	175.2421
1075.000000	66.910	175.4706
1090.000000	66.953	175.6474
1106.000000	67.004	175.7978
1120.000000	67.046	175.9120
1138.000000	67.094	176.0383
1150.000000	67.122	176.1059
1172.000000	67.172	176.1945
1180.000000	67.189	176.2328
1206.000000	67.244	176.3799
1220.000000	67.267	176.4335
1241.000000	67.294	176.4991
1250.000000	67.305	176.5331
1265.000000	67.319	176.5904
1280.000000	67.332	176.6457
1315.000000	67.348	176.7952
1320.000000	67.348	176.8253
1340.000000	67.348	176.9795
1360.000000	67.341	177.1748
1380.000000	67.333	177.3902
1400.000000	67.328	177.6254
1430.000000	67.319	178.0391
1450.000000	67.307	178.3383
1475.000000	67.286	178.7789
1500.000000	67.263	179.3091
1525.000000	67.241	179.9361
1550.000000	67.219	-179.3150
1575.000000	67.202	-178.4249
1600.000000	67.192	-177.3943
1625.000000	67.194	-176.2539
1650.000000	67.216	-174.9282
1675.000000	67.281	-173.3459
1700.000000	67.426	-171.6713
1725.000000	67.654	-170.2829
1750.000000	67.917	-169.5175
1775.000000	68.150	-169.3394
1800.000000	68.323	-169.4461
1825.000000	68.441	-169.5767
1850.000000	68.527	-169.6030
1875.000000	68.591	-169.4929
1900.000000	68.643	-169.2231
1925.000000	68.695	-168.7912
1950.000000	68.756	-168.1771
1975.000000	68.835	-167.4124
2000.000000	68.949	-166.6068
2030.000000	69.132	-165.7535
2060.000000	69.342	-165.1889
2090.000000	69.540	-164.9174
2120.000000	69.713	-164.7803
2140.000000	69.817	-164.6881
2180.000000	70.011	-164.4381
2200.000000	70.104	-164.2877
2240.000000	70.289	-163.9469
2270.000000	70.431	-163.6540
2300.000000	70.579	-163.3339
2330.000000	70.729	-162.9905
2360.000000	70.883	-162.5978
2400.000000	71.106	-161.9527
2430.000000	71.300	-161.3650
2470.000000	71.619	-160.5041
2500.000000	71.921	-159.9461
2540.000000	72.403	-159.6460
2580.000000	72.931	-160.1674
2620.000000	73.432	-161.5667
2650.000000	73.763	-163.0470
2690.000000	74.137	-165.3693
