* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오전 11:16:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.657	-157.8681
20.600000	70.669	-157.9789
20.900000	70.692	-158.1757
21.200001	70.713	-158.3644
21.400000	70.726	-158.4950
21.799999	70.749	-158.7920
22.000000	70.759	-158.9650
22.400000	70.774	-159.3554
22.700001	70.782	-159.6770
23.000000	70.787	-160.0141
23.299999	70.791	-160.3591
23.600000	70.795	-160.7088
24.000000	70.803	-161.1810
24.299999	70.812	-161.5404
24.700001	70.826	-162.0262
25.000000	70.838	-162.3923
25.400000	70.853	-162.8751
25.799999	70.868	-163.3412
26.200001	70.882	-163.7804
26.500000	70.891	-164.0864
26.900000	70.901	-164.4580
27.200001	70.907	-164.7089
27.600000	70.916	-165.0133
28.000000	70.928	-165.3029
28.500000	70.945	-165.6803
29.000000	70.957	-166.0904
29.500000	70.959	-166.5027
30.000000	70.954	-166.8696
30.400000	70.953	-167.1281
30.700001	70.955	-167.3183
31.100000	70.961	-167.5978
31.500000	70.966	-167.9231
32.000000	70.965	-168.3718
32.500000	70.953	-168.7959
33.000000	70.941	-169.1401
33.500000	70.941	-169.4253
34.000000	70.954	-169.7211
34.500000	70.971	-170.0683
35.000000	70.982	-170.4464
35.500000	70.987	-170.8094
36.000000	70.990	-171.1374
36.500000	70.993	-171.4393
37.000000	70.994	-171.7231
37.500000	70.993	-171.9819
38.200001	70.991	-172.3014
38.700001	70.992	-172.5274
39.500000	70.995	-172.9508
40.000000	70.991	-173.2501
40.599998	70.978	-173.6099
41.200001	70.960	-173.9306
41.799999	70.943	-174.1917
42.500000	70.939	-174.4609
43.099998	70.949	-174.7548
43.700001	70.955	-175.1469
44.400002	70.942	-175.6068
45.000000	70.922	-175.8581
45.500000	70.917	-175.9762
46.200001	70.937	-176.1826
46.799999	70.956	-176.5042
47.500000	70.956	-176.9248
48.200001	70.945	-177.2248
48.700001	70.943	-177.3840
49.400002	70.947	-177.6264
50.000000	70.946	-177.8502
50.799999	70.943	-178.1068
51.500000	70.946	-178.3276
52.200001	70.949	-178.5922
53.000000	70.945	-178.9140
53.799999	70.936	-179.2315
54.500000	70.923	-179.5039
55.200001	70.910	-179.7478
56.000000	70.900	179.9940
57.000000	70.893	179.6348
58.000000	70.882	179.2734
59.000000	70.871	178.9406
60.000000	70.858	178.6284
60.799999	70.849	178.3911
61.500000	70.842	178.1841
62.200001	70.835	177.9882
63.000000	70.830	177.7721
64.000000	70.822	177.4594
65.000000	70.804	177.1562
66.000000	70.786	176.9412
67.000000	70.778	176.7287
68.000000	70.768	176.4833
69.000000	70.755	176.2395
70.000000	70.738	176.0054
71.000000	70.719	175.7955
72.000000	70.704	175.6052
73.000000	70.693	175.3859
74.000000	70.678	175.1364
75.000000	70.659	174.9123
76.199997	70.642	174.6685
77.500000	70.623	174.3909
78.800003	70.601	174.1361
80.000000	70.578	173.9240
81.199997	70.554	173.7652
82.500000	70.544	173.5865
83.800003	70.532	173.2740
85.000000	70.508	172.9853
86.199997	70.487	172.7478
87.500000	70.469	172.5079
88.500000	70.457	172.3329
90.000000	70.443	172.0885
91.199997	70.430	171.8724
92.500000	70.411	171.6558
93.800003	70.389	171.4688
95.000000	70.370	171.3103
96.199997	70.352	171.1548
97.500000	70.333	170.9900
98.800003	70.316	170.8369
100.000000	70.303	170.6636
101.500000	70.279	170.4035
103.000000	70.249	170.1997
104.400002	70.228	170.0164
106.000000	70.201	169.8028
107.500000	70.175	169.6591
109.000000	70.153	169.5357
110.599998	70.128	169.3874
112.000000	70.099	169.2536
113.800003	70.053	169.1118
115.000000	70.021	169.0325
117.199997	69.964	168.8924
118.000000	69.942	168.8459
120.599998	69.878	168.9865
122.000000	69.873	169.2045
124.099998	69.895	169.5415
125.000000	69.914	169.6787
126.500000	69.961	169.8156
128.000000	70.017	169.7431
131.500000	70.107	168.9022
132.000000	70.112	168.7494
134.000000	70.110	168.1555
136.000000	70.082	167.6647
138.000000	70.041	167.2744
140.000000	69.998	166.9550
143.000000	69.942	166.5364
145.000000	69.899	166.2784
147.500000	69.844	166.0214
150.000000	69.787	165.7980
152.500000	69.731	165.6330
155.000000	69.676	165.4930
157.500000	69.614	165.3694
160.000000	69.544	165.2273
162.500000	69.464	165.1032
165.000000	69.384	165.0747
167.500000	69.298	165.1342
170.000000	69.195	165.2727
172.500000	69.073	165.5633
175.000000	68.944	166.0992
177.500000	68.801	167.0408
180.000000	68.659	168.6631
182.500000	68.596	171.1127
185.000000	68.756	174.1698
187.500000	69.249	176.7892
190.000000	69.930	177.4088
192.500000	70.495	175.6414
195.000000	70.782	172.6862
197.500000	70.844	169.9162
200.000000	70.796	167.8087
203.000000	70.689	166.0494
206.000000	70.572	164.8490
209.000000	70.467	163.9731
212.000000	70.373	163.2470
214.000000	70.309	162.8452
218.000000	70.205	162.2954
220.000000	70.173	162.0208
224.000000	70.093	161.4186
227.000000	70.022	161.1468
230.000000	69.968	160.9430
233.000000	69.922	160.7168
236.000000	69.878	160.5236
240.000000	69.825	160.3060
243.000000	69.785	160.1686
247.000000	69.731	160.0167
250.000000	69.689	159.8945
254.000000	69.637	159.6863
258.000000	69.595	159.4474
262.000000	69.554	159.2644
265.000000	69.521	159.1441
269.000000	69.477	158.9714
272.000000	69.448	158.8474
276.000000	69.414	158.6977
280.000000	69.379	158.5561
285.000000	69.334	158.3634
290.000000	69.296	158.1864
295.000000	69.255	158.0577
300.000000	69.206	157.9020
304.000000	69.170	157.8163
307.000000	69.147	157.8153
