* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 1 ¿ÀÈÄ 6:35:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.768	29.1762
20.600000	80.787	28.7548
20.900000	80.823	28.0433
21.200001	80.858	27.4636
21.400000	80.880	27.1159
21.799999	80.919	26.4171
22.000000	80.932	26.0495
22.400000	80.935	25.3447
22.700001	80.921	24.9224
23.000000	80.904	24.6303
23.299999	80.895	24.4383
23.600000	80.897	24.2857
24.000000	80.913	24.0482
24.299999	80.925	23.8155
24.700001	80.926	23.4845
25.000000	80.918	23.2930
25.400000	80.907	23.1785
25.799999	80.917	23.1827
26.200001	80.960	23.1472
26.500000	81.007	22.9900
26.900000	81.068	22.5465
27.200001	81.098	22.0702
27.600000	81.106	21.3595
28.000000	81.079	20.7209
28.500000	81.025	20.1634
29.000000	80.978	19.8397
29.500000	80.950	19.6426
30.000000	80.941	19.5387
30.400000	80.954	19.5197
30.700001	80.982	19.5100
31.100000	81.042	19.4078
31.500000	81.115	19.1170
32.000000	81.192	18.4773
32.500000	81.226	17.7157
33.000000	81.224	17.0773
33.500000	81.213	16.6411
34.000000	81.210	16.3312
34.500000	81.220	16.0426
35.000000	81.236	15.7085
35.500000	81.249	15.2919
36.000000	81.245	14.8399
36.500000	81.223	14.4996
37.000000	81.217	14.3559
37.500000	81.260	14.2153
38.200001	81.359	13.3514
38.700001	81.360	12.2503
39.500000	81.173	11.2165
40.000000	81.066	11.6014
40.599998	81.093	12.4727
41.200001	81.237	12.7180
41.799999	81.351	12.2814
42.500000	81.403	11.7621
43.099998	81.444	11.4839
43.700001	81.478	11.0354
44.400002	81.444	10.5048
45.000000	81.387	10.4889
45.500000	81.378	10.6446
46.200001	81.405	10.5424
46.799999	81.395	10.1991
47.500000	81.372	10.0255
48.200001	81.419	9.6638
48.700001	81.446	8.8793
49.400002	81.349	7.5631
50.000000	81.182	7.2118
50.799999	81.077	7.8158
51.500000	81.127	8.1400
52.200001	81.187	8.0847
53.000000	81.257	8.0662
53.799999	81.340	7.9101
54.500000	81.376	7.7667
55.200001	81.410	7.9177
56.000000	81.496	8.0739
57.000000	81.590	7.7893
58.000000	81.641	7.2279
59.000000	81.610	6.2565
60.000000	81.472	5.8163
60.799999	81.427	5.9559
61.500000	81.451	5.8283
62.200001	81.462	5.4025
63.000000	81.441	5.0512
64.000000	81.459	5.0105
65.000000	81.530	4.8087
66.000000	81.576	4.4766
67.000000	81.591	4.2133
68.000000	81.573	4.1476
69.000000	81.579	4.3096
70.000000	81.621	4.1714
71.000000	81.634	3.6948
72.000000	81.622	3.2095
73.000000	81.612	2.7556
74.000000	81.603	2.3822
75.000000	81.609	2.1259
76.199997	81.618	1.7837
77.500000	81.585	1.6787
78.800003	81.583	1.7923
80.000000	81.573	1.6679
81.199997	81.552	1.6058
82.500000	81.566	1.4219
83.800003	81.572	1.0510
85.000000	81.578	0.8549
86.199997	81.594	0.6315
87.500000	81.585	0.4552
88.500000	81.586	0.4233
90.000000	81.595	0.1029
91.199997	81.573	-0.2276
92.500000	81.548	-0.5733
93.800003	81.500	-0.8855
95.000000	81.458	-0.9099
96.199997	81.451	-0.9282
97.500000	81.448	-1.1025
98.800003	81.463	-1.2230
100.000000	81.509	-1.4795
101.500000	81.542	-1.9523
103.000000	81.534	-2.1061
104.400002	81.531	-2.0897
106.000000	81.506	-2.3973
107.500000	81.448	-2.7941
109.000000	81.440	-3.0742
110.599998	81.502	-3.2897
112.000000	81.566	-3.3279
113.800003	81.570	-3.1393
115.000000	81.518	-3.1582
117.199997	81.264	-4.8295
118.000000	81.086	-5.7320
120.599998	80.697	-4.6917
122.000000	81.028	-3.9707
124.099998	81.434	-4.9186
125.000000	81.508	-5.1406
126.500000	81.550	-5.1483
128.000000	81.540	-5.0975
131.500000	81.495	-5.6698
132.000000	81.489	-5.7337
134.000000	81.488	-5.7531
136.000000	81.502	-5.8324
138.000000	81.517	-6.1974
140.000000	81.528	-6.7338
143.000000	81.546	-6.8272
145.000000	81.550	-6.7403
147.500000	81.525	-7.0260
150.000000	81.499	-7.5013
152.500000	81.534	-7.8050
155.000000	81.540	-8.2885
157.500000	81.481	-8.6420
160.000000	81.455	-8.8328
162.500000	81.440	-9.0051
165.000000	81.405	-8.9936
167.500000	81.384	-9.1616
170.000000	81.383	-9.5100
172.500000	81.403	-9.8009
175.000000	81.398	-9.8597
177.500000	81.362	-9.7239
180.000000	81.338	-9.6885
182.500000	81.330	-10.0104
185.000000	81.303	-10.4446
187.500000	81.265	-10.7141
190.000000	81.251	-10.8155
192.500000	81.267	-10.8923
195.000000	81.278	-11.0280
197.500000	81.267	-11.3132
200.000000	81.242	-11.6672
203.000000	81.236	-11.8973
206.000000	81.245	-11.9294
209.000000	81.257	-11.9961
212.000000	81.266	-12.2970
214.000000	81.254	-12.5161
218.000000	81.182	-12.8770
220.000000	81.152	-12.9696
224.000000	81.137	-13.0830
227.000000	81.120	-13.2129
230.000000	81.108	-13.4098
233.000000	81.103	-13.5243
236.000000	81.076	-13.6088
240.000000	81.027	-13.8965
243.000000	81.018	-14.1770
247.000000	81.041	-14.4825
250.000000	81.057	-14.6163
254.000000	81.038	-14.6531
258.000000	81.019	-14.8707
262.000000	81.039	-15.2358
265.000000	81.048	-15.4834
269.000000	81.011	-15.8863
272.000000	80.988	-16.1462
276.000000	80.977	-16.3818
280.000000	80.952	-16.5121
285.000000	80.945	-16.5438
290.000000	80.910	-16.6041
295.000000	80.855	-17.1316
300.000000	80.823	-17.3277
304.000000	80.797	-17.2166
307.000000	80.780	-17.1780
311.000000	80.768	-17.2584
315.000000	80.745	-17.5068
320.000000	80.698	-17.7538
