* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 1 ¿ÀÈÄ 6:33:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.873	45.5240
20.600000	79.882	45.3371
20.900000	79.909	45.0240
21.200001	79.959	44.7543
21.400000	80.000	44.5369
21.799999	80.083	43.9341
22.000000	80.115	43.5506
22.400000	80.148	42.7429
22.700001	80.149	42.2307
23.000000	80.147	41.8699
23.299999	80.157	41.6280
23.600000	80.190	41.4199
24.000000	80.265	41.0370
24.299999	80.330	40.5858
24.700001	80.406	39.7694
25.000000	80.442	39.0751
25.400000	80.460	38.1814
25.799999	80.459	37.4474
26.200001	80.462	36.8961
26.500000	80.476	36.5532
26.900000	80.514	36.0949
27.200001	80.552	35.6913
27.600000	80.602	35.0455
28.000000	80.634	34.3310
28.500000	80.647	33.5231
29.000000	80.651	32.9805
29.500000	80.684	32.6517
30.000000	80.757	32.2674
30.400000	80.823	31.7754
30.700001	80.860	31.3078
31.100000	80.881	30.6734
31.500000	80.876	30.1673
32.000000	80.866	29.8048
32.500000	80.883	29.5744
33.000000	80.916	29.2176
33.500000	80.933	28.7291
34.000000	80.930	28.3074
34.500000	80.944	27.9686
35.000000	80.985	27.4518
35.500000	81.010	26.6139
36.000000	80.987	25.7567
36.500000	80.956	25.2285
37.000000	80.990	24.8378
37.500000	81.070	24.0697
38.200001	81.091	22.6564
38.700001	81.069	22.5131
39.500000	81.452	23.2428
40.000000	81.891	21.9065
40.599998	82.164	17.7153
41.200001	81.891	13.7596
41.799999	81.317	13.3717
42.500000	81.010	16.6533
43.099998	81.197	18.7841
43.700001	81.387	19.1579
44.400002	81.431	19.1922
45.000000	81.446	19.5755
45.500000	81.478	19.7332
46.200001	81.487	19.5550
46.799999	81.453	19.3711
47.500000	81.426	19.1187
48.200001	81.400	18.5571
48.700001	81.362	18.0940
49.400002	81.310	17.6624
50.000000	81.315	17.3922
50.799999	81.374	16.6914
51.500000	81.391	15.8368
52.200001	81.366	15.3164
53.000000	81.377	15.2457
53.799999	81.448	15.0491
54.500000	81.478	14.6165
55.200001	81.457	14.3224
56.000000	81.429	14.2686
57.000000	81.414	14.1863
58.000000	81.416	14.1214
59.000000	81.486	13.6603
60.000000	81.509	12.5612
60.799999	81.482	11.8786
61.500000	81.472	11.4726
62.200001	81.474	11.1461
63.000000	81.495	10.9243
64.000000	81.557	10.6058
65.000000	81.580	10.1326
66.000000	81.553	9.9824
67.000000	81.541	10.1840
68.000000	81.576	10.2821
69.000000	81.593	9.9328
70.000000	81.563	9.6324
71.000000	81.564	9.4068
72.000000	81.584	8.9366
73.000000	81.592	8.3236
74.000000	81.584	7.8467
75.000000	81.607	7.5604
76.199997	81.638	6.9442
77.500000	81.603	6.6349
78.800003	81.626	6.5175
80.000000	81.629	5.9928
81.199997	81.578	5.5283
82.500000	81.540	5.3632
83.800003	81.569	5.1797
85.000000	81.603	4.9201
86.199997	81.640	4.7809
87.500000	81.658	4.6045
88.500000	81.642	4.5724
90.000000	81.603	4.4743
91.199997	81.558	4.3055
92.500000	81.543	3.9584
93.800003	81.535	3.4659
95.000000	81.554	3.3047
96.199997	81.614	3.2878
97.500000	81.690	3.2407
98.800003	81.722	2.7951
100.000000	81.658	2.2511
101.500000	81.563	1.7740
103.000000	81.539	1.2184
104.400002	81.552	0.8082
106.000000	81.587	1.0575
107.500000	81.672	1.5593
109.000000	81.701	1.2515
110.599998	81.625	0.4817
112.000000	81.592	-0.2657
113.800003	81.638	-0.7186
115.000000	81.698	-0.2454
117.199997	81.701	2.4525
118.000000	81.675	4.1708
120.599998	82.014	6.6429
122.000000	81.913	3.2708
124.099998	81.505	-0.7925
125.000000	81.445	-1.7586
126.500000	81.481	-2.6395
128.000000	81.559	-2.8707
131.500000	81.601	-2.8949
132.000000	81.599	-2.9898
134.000000	81.601	-3.5053
136.000000	81.622	-3.8514
138.000000	81.618	-3.9778
140.000000	81.570	-4.0660
143.000000	81.499	-4.5256
145.000000	81.471	-4.7791
147.500000	81.458	-4.9081
150.000000	81.456	-4.9950
152.500000	81.481	-5.4268
155.000000	81.483	-6.0731
157.500000	81.481	-6.3447
160.000000	81.506	-6.4284
162.500000	81.483	-6.7188
165.000000	81.422	-7.1391
167.500000	81.394	-7.6095
170.000000	81.381	-7.8206
172.500000	81.364	-7.8505
175.000000	81.305	-8.2219
177.500000	81.265	-8.7725
180.000000	81.273	-9.1592
182.500000	81.302	-9.0978
185.000000	81.333	-9.0664
187.500000	81.339	-9.4084
190.000000	81.336	-9.8513
192.500000	81.326	-10.2119
195.000000	81.292	-10.4047
197.500000	81.262	-10.4671
200.000000	81.251	-10.5284
203.000000	81.245	-10.6893
206.000000	81.236	-10.8237
209.000000	81.260	-11.0025
212.000000	81.241	-11.3683
214.000000	81.196	-11.6093
218.000000	81.143	-12.0412
220.000000	81.150	-12.1896
224.000000	81.149	-12.4004
227.000000	81.116	-12.6630
230.000000	81.102	-12.9737
233.000000	81.112	-13.1752
236.000000	81.117	-13.2882
240.000000	81.087	-13.5732
243.000000	81.048	-13.7457
247.000000	81.029	-13.9306
250.000000	81.014	-14.2185
254.000000	80.962	-14.6561
258.000000	80.916	-14.9686
262.000000	80.898	-15.2191
265.000000	80.896	-15.3332
269.000000	80.904	-15.3607
272.000000	80.890	-15.3986
276.000000	80.843	-15.5103
280.000000	80.807	-15.5760
285.000000	80.779	-15.8950
290.000000	80.782	-16.3210
295.000000	80.746	-16.7888
300.000000	80.712	-17.2886
304.000000	80.686	-17.3730
307.000000	80.684	-17.4212
311.000000	80.683	-17.6271
315.000000	80.639	-17.7511
320.000000	80.595	-17.7876
325.000000	80.571	-17.8652
330.000000	80.542	-17.8648
335.000000	80.525	-18.1011
340.000000	80.493	-18.3859
345.000000	80.454	-18.5637
350.000000	80.435	-18.8920
355.000000	80.416	-19.0548
360.000000	80.374	-19.1198
365.000000	80.317	-19.3644
370.000000	80.274	-19.6504
375.000000	80.242	-19.7265
382.000000	80.193	-19.8051
387.000000	80.184	-20.0279
395.000000	80.137	-20.1153
