* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 1 ¿ÀÈÄ 6:23:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.321	33.8067
20.600000	80.572	33.5375
20.900000	81.009	32.6501
21.200001	81.277	30.8237
21.400000	81.354	29.3726
21.799999	81.317	26.6476
22.000000	81.241	25.6467
22.400000	81.071	24.4830
22.700001	80.990	23.9854
23.000000	80.958	23.3361
23.299999	80.927	22.2844
23.600000	80.841	20.9057
24.000000	80.586	19.0611
24.299999	80.293	18.2444
24.700001	79.850	18.4524
25.000000	79.574	19.5881
25.400000	79.390	21.9244
25.799999	79.459	24.3389
26.200001	79.729	26.1111
26.500000	80.012	26.7868
26.900000	80.430	26.7057
27.200001	80.726	25.9300
27.600000	81.040	24.1347
28.000000	81.216	21.9445
28.500000	81.252	19.5734
29.000000	81.190	18.3024
29.500000	81.151	18.0029
30.000000	81.175	18.0779
30.400000	81.216	18.1726
30.700001	81.248	18.2576
31.100000	81.294	18.3808
31.500000	81.343	18.4394
32.000000	81.386	18.3025
32.500000	81.383	17.9847
33.000000	81.335	17.6488
33.500000	81.263	17.3085
34.000000	81.176	16.9293
34.500000	81.092	16.6109
35.000000	81.064	16.3000
35.500000	81.110	15.5167
36.000000	81.140	13.9966
36.500000	81.062	12.4615
37.000000	80.960	12.0334
37.500000	81.042	12.5390
38.200001	81.412	12.1378
38.700001	81.503	11.1332
39.500000	81.554	14.2006
40.000000	82.261	18.0868
40.599998	83.569	18.4706
41.200001	84.308	12.1321
41.799999	84.046	4.6549
42.500000	82.857	2.7314
43.099998	82.057	6.6168
43.700001	81.885	9.9618
44.400002	81.798	10.7908
45.000000	81.546	11.1175
45.500000	81.383	11.7446
46.200001	81.339	11.8947
46.799999	81.337	10.9575
47.500000	81.307	10.0049
48.200001	81.484	10.0066
48.700001	81.834	9.7207
49.400002	82.376	7.2034
50.000000	82.534	3.7065
50.799999	82.236	1.3921
51.500000	82.012	2.8885
52.200001	82.084	4.5981
53.000000	82.116	5.1200
53.799999	81.997	5.7780
54.500000	81.902	6.0118
55.200001	81.690	5.7574
56.000000	81.386	6.5029
57.000000	81.389	7.0305
58.000000	81.299	5.1985
59.000000	81.111	5.7491
60.000000	81.377	6.3336
60.799999	81.487	5.1691
61.500000	81.391	4.6837
62.200001	81.283	5.2342
63.000000	81.253	6.2015
64.000000	81.313	7.0240
65.000000	81.492	6.8037
66.000000	81.625	4.5917
67.000000	81.456	2.1554
68.000000	81.236	2.1959
69.000000	81.350	3.2532
70.000000	81.564	3.3552
71.000000	81.653	3.4037
72.000000	81.666	4.0108
73.000000	81.666	4.9370
74.000000	81.655	5.3617
75.000000	81.503	5.2804
76.199997	81.238	5.7334
77.500000	81.061	5.9143
78.800003	80.993	5.6843
80.000000	81.035	4.5340
81.199997	80.998	3.1472
82.500000	80.972	2.4319
83.800003	81.023	1.9866
85.000000	81.080	1.2409
86.199997	81.042	0.5109
87.500000	81.004	0.5354
88.500000	81.048	0.7078
90.000000	81.138	1.0050
91.199997	81.245	1.6938
92.500000	81.438	1.9937
93.800003	81.435	1.2544
95.000000	81.239	1.4290
96.199997	81.138	2.4420
97.500000	81.249	3.3082
98.800003	81.453	3.0998
100.000000	81.535	2.9417
101.500000	81.658	4.4211
103.000000	81.967	5.7172
104.400002	82.140	4.8410
106.000000	82.055	2.7626
107.500000	81.991	0.9570
109.000000	82.120	-0.7711
110.599998	82.291	-2.6215
112.000000	82.213	-3.2887
113.800003	81.928	-2.3026
115.000000	81.760	-2.3048
117.199997	81.606	-6.8696
118.000000	81.563	-10.1308
120.599998	80.858	-13.5328
122.000000	81.034	-9.0143
124.099998	81.617	-5.5308
125.000000	81.715	-4.8166
126.500000	81.701	-4.0171
128.000000	81.607	-3.7359
131.500000	81.585	-4.9542
132.000000	81.599	-5.1268
134.000000	81.627	-5.4279
136.000000	81.598	-5.3167
138.000000	81.569	-5.3153
140.000000	81.544	-5.8219
143.000000	81.449	-6.3079
145.000000	81.422	-6.4098
147.500000	81.438	-6.6207
150.000000	81.453	-6.7174
152.500000	81.434	-6.6921
155.000000	81.409	-6.7974
157.500000	81.420	-7.0741
160.000000	81.434	-7.1898
162.500000	81.441	-7.1816
165.000000	81.428	-7.5754
167.500000	81.394	-7.9042
170.000000	81.381	-8.0452
172.500000	81.368	-7.9507
175.000000	81.391	-8.1580
