* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 4 sweeps at -17.0 dBFS with no timing reference
* Dated: 2022. 5. 17 ¿ÀÈÄ 10:31:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Orza_EtyGreen_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.913	11.9705
20.600000	82.928	11.9168
20.900000	82.957	11.8211
21.200001	82.978	11.7289
21.400000	82.987	11.6667
21.799999	82.998	11.5330
22.000000	83.001	11.4596
22.400000	83.005	11.3014
22.700001	83.006	11.1715
23.000000	83.009	11.0273
23.299999	83.013	10.8664
23.600000	83.018	10.6903
24.000000	83.027	10.4394
24.299999	83.036	10.2463
24.700001	83.051	9.9880
25.000000	83.066	9.7926
25.400000	83.088	9.5260
25.799999	83.112	9.2532
26.200001	83.134	8.9873
26.500000	83.148	8.8049
26.900000	83.165	8.5971
27.200001	83.176	8.4696
27.600000	83.192	8.3293
28.000000	83.209	8.2061
28.500000	83.229	8.0552
29.000000	83.245	7.9019
29.500000	83.255	7.7534
30.000000	83.261	7.6133
30.400000	83.266	7.5023
30.700001	83.270	7.4158
31.100000	83.275	7.2914
31.500000	83.280	7.1528
32.000000	83.285	6.9579
32.500000	83.290	6.7443
33.000000	83.293	6.5267
33.500000	83.295	6.3202
34.000000	83.300	6.1300
34.500000	83.311	5.9474
35.000000	83.326	5.7625
35.500000	83.340	5.5765
36.000000	83.352	5.4027
36.500000	83.363	5.2529
37.000000	83.374	5.1249
37.500000	83.386	5.0055
38.200001	83.398	4.8288
38.700001	83.403	4.6915
39.500000	83.404	4.4683
40.000000	83.400	4.3402
40.599998	83.397	4.2044
41.200001	83.397	4.0726
41.799999	83.401	3.9181
42.500000	83.407	3.7007
43.099998	83.411	3.5066
43.700001	83.414	3.3244
44.400002	83.419	3.1288
45.000000	83.424	2.9778
45.500000	83.429	2.8632
46.200001	83.439	2.6998
46.799999	83.447	2.5380
47.500000	83.449	2.3409
48.200001	83.444	2.1757
48.700001	83.441	2.0835
49.400002	83.438	1.9714
50.000000	83.439	1.8727
50.799999	83.441	1.7235
51.500000	83.443	1.5777
52.200001	83.443	1.4298
53.000000	83.443	1.2740
53.799999	83.444	1.1235
54.500000	83.444	0.9786
55.200001	83.441	0.8278
56.000000	83.435	0.6616
57.000000	83.423	0.4439
58.000000	83.401	0.2946
59.000000	83.397	0.2510
60.000000	83.415	0.0681
60.799999	83.418	-0.1698
61.500000	83.413	-0.3404
62.200001	83.410	-0.4657
63.000000	83.410	-0.5904
64.000000	83.411	-0.7366
65.000000	83.411	-0.8744
66.000000	83.411	-1.0052
67.000000	83.412	-1.1472
68.000000	83.410	-1.3125
69.000000	83.407	-1.4952
70.000000	83.402	-1.6883
71.000000	83.396	-1.8730
72.000000	83.391	-2.0525
73.000000	83.385	-2.2244
74.000000	83.380	-2.3812
75.000000	83.373	-2.5331
76.199997	83.363	-2.7026
77.500000	83.350	-2.8653
78.800003	83.336	-3.0267
80.000000	83.324	-3.1737
81.199997	83.316	-3.3205
82.500000	83.308	-3.5170
83.800003	83.297	-3.7202
85.000000	83.285	-3.8891
86.199997	83.273	-4.0469
87.500000	83.261	-4.2058
88.500000	83.252	-4.3270
90.000000	83.238	-4.5137
91.199997	83.225	-4.6637
92.500000	83.211	-4.8240
93.800003	83.197	-4.9795
95.000000	83.184	-5.1192
96.199997	83.172	-5.2601
97.500000	83.157	-5.4110
98.800003	83.141	-5.5541
100.000000	83.127	-5.6811
101.500000	83.108	-5.8361
103.000000	83.090	-5.9890
104.400002	83.071	-6.1310
106.000000	83.049	-6.2864
107.500000	83.027	-6.4204
109.000000	83.005	-6.5469
110.599998	82.982	-6.6807
112.000000	82.959	-6.7939
113.800003	82.930	-6.9297
115.000000	82.911	-7.0209
117.199997	82.870	-7.1828
118.000000	82.854	-7.2327
120.599998	82.802	-7.3511
122.000000	82.774	-7.3985
124.099998	82.727	-7.4396
125.000000	82.704	-7.4354
126.500000	82.666	-7.3919
128.000000	82.629	-7.3060
131.500000	82.550	-6.8824
132.000000	82.541	-6.7840
134.000000	82.520	-6.2868
136.000000	82.533	-5.6848
138.000000	82.594	-5.1219
140.000000	82.701	-4.7793
143.000000	82.891	-4.9878
145.000000	82.985	-5.5736
147.500000	83.052	-6.4941
150.000000	83.082	-7.4022
152.500000	83.061	-8.1666
155.000000	83.004	-8.6545
157.500000	82.943	-9.0735
160.000000	82.889	-9.4833
162.500000	82.838	-9.8136
165.000000	82.786	-10.0613
167.500000	82.739	-10.2861
170.000000	82.698	-10.5036
172.500000	82.657	-10.6918
175.000000	82.613	-10.8419
177.500000	82.568	-10.9943
180.000000	82.527	-11.1450
182.500000	82.489	-11.2756
185.000000	82.452	-11.3829
187.500000	82.417	-11.4718
190.000000	82.380	-11.5535
192.500000	82.342	-11.6190
195.000000	82.307	-11.6924
197.500000	82.271	-11.7779
200.000000	82.236	-11.8579
203.000000	82.197	-11.9450
206.000000	82.155	-12.0205
209.000000	82.108	-12.0439
212.000000	82.067	-12.0403
214.000000	82.042	-12.0427
218.000000	81.997	-12.0539
220.000000	81.977	-12.0753
224.000000	81.937	-12.0778
227.000000	81.899	-11.9927
230.000000	81.862	-11.9411
233.000000	81.830	-12.0008
236.000000	81.797	-12.0342
240.000000	81.741	-11.9772
243.000000	81.702	-11.9075
247.000000	81.695	-11.8553
250.000000	81.697	-11.8173
254.000000	81.686	-11.7276
258.000000	81.670	-11.6322
262.000000	81.643	-11.5399
265.000000	81.611	-11.4295
269.000000	81.593	-11.2977
272.000000	81.607	-11.3184
276.000000	81.626	-11.4183
280.000000	81.633	-11.5690
285.000000	81.627	-11.8094
290.000000	81.599	-12.0421
295.000000	81.557	-12.2740
300.000000	81.510	-12.4854
304.000000	81.470	-12.6529
307.000000	81.439	-12.7113
311.000000	81.395	-12.6878
315.000000	81.351	-12.6663
320.000000	81.296	-12.6684
325.000000	81.244	-12.6561
330.000000	81.197	-12.6281
335.000000	81.151	-12.5942
340.000000	81.105	-12.5452
345.000000	81.062	-12.4849
350.000000	81.022	-12.4219
355.000000	80.983	-12.3540
360.000000	80.946	-12.2854
365.000000	80.909	-12.2210
370.000000	80.871	-12.1558
375.000000	80.832	-12.0868
382.000000	80.779	-11.9847
387.000000	80.743	-11.9069
