* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 9 오후 1:15:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Treble
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	66.897	-91.7758
20.600000	66.988	-91.8562
20.900000	67.156	-92.0296
21.200001	67.281	-92.2438
21.400000	67.343	-92.3371
21.799999	67.449	-92.3192
22.000000	67.510	-92.2128
22.400000	67.677	-91.9615
22.700001	67.846	-91.9625
23.000000	68.032	-92.3040
23.299999	68.198	-92.9938
23.600000	68.319	-93.9116
24.000000	68.400	-95.1787
24.299999	68.419	-95.9085
24.700001	68.433	-96.4300
25.000000	68.469	-96.5560
25.400000	68.575	-96.6310
25.799999	68.727	-96.8782
26.200001	68.884	-97.3300
26.500000	68.991	-97.6803
26.900000	69.129	-98.0126
27.200001	69.248	-98.1632
27.600000	69.446	-98.4007
28.000000	69.666	-98.9431
28.500000	69.896	-100.1599
29.000000	70.017	-101.5290
29.500000	70.056	-102.4421
30.000000	70.098	-102.7305
30.400000	70.176	-102.7634
30.700001	70.262	-102.8380
31.100000	70.393	-103.1195
31.500000	70.518	-103.6024
32.000000	70.641	-104.3637
32.500000	70.725	-105.1239
33.000000	70.781	-105.6994
33.500000	70.833	-105.9693
34.000000	70.922	-105.9950
34.500000	71.071	-106.0579
35.000000	71.255	-106.4193
35.500000	71.429	-107.1045
36.000000	71.568	-107.9202
36.500000	71.674	-108.6801
37.000000	71.764	-109.3071
37.500000	71.848	-109.8008
38.200001	71.982	-110.3505
38.700001	72.097	-110.7829
39.500000	72.241	-111.7063
40.000000	72.279	-112.2066
40.599998	72.308	-112.4597
41.200001	72.376	-112.5094
41.799999	72.480	-112.7850
42.500000	72.580	-113.4840
43.099998	72.636	-114.0428
43.700001	72.704	-114.4537
44.400002	72.799	-115.0213
45.000000	72.844	-115.5627
45.500000	72.849	-115.7072
46.200001	72.909	-115.1628
46.799999	73.110	-114.5537
47.500000	73.452	-114.9275
48.200001	73.682	-116.5853
48.700001	73.713	-117.8183
49.400002	73.656	-118.6369
50.000000	73.654	-118.6307
50.799999	73.766	-118.8061
51.500000	73.856	-119.5522
52.200001	73.884	-120.3503
53.000000	73.907	-120.8479
53.799999	73.992	-121.0769
54.500000	74.115	-121.4211
55.200001	74.236	-122.0520
56.000000	74.322	-122.8202
57.000000	74.409	-123.3106
58.000000	74.536	-123.8097
59.000000	74.607	-124.5900
60.000000	74.639	-125.0636
60.799999	74.699	-125.3222
61.500000	74.771	-125.6674
62.200001	74.837	-126.1138
63.000000	74.906	-126.6127
64.000000	75.010	-127.2246
65.000000	75.105	-128.0048
66.000000	75.143	-128.4904
67.000000	75.225	-128.3208
68.000000	75.400	-128.4308
69.000000	75.515	-129.2127
70.000000	75.542	-129.8696
71.000000	75.585	-130.3378
72.000000	75.644	-130.9426
73.000000	75.705	-131.6703
74.000000	75.748	-132.4748
75.000000	75.771	-133.0229
76.199997	75.837	-133.3042
77.500000	75.940	-133.6310
78.800003	76.037	-134.0419
80.000000	76.117	-134.5543
81.199997	76.182	-135.2210
82.500000	76.241	-136.0081
83.800003	76.315	-136.6778
85.000000	76.407	-137.1671
86.199997	76.506	-137.6230
87.500000	76.593	-138.1350
88.500000	76.637	-138.5601
90.000000	76.663	-139.0876
91.199997	76.688	-139.4493
92.500000	76.727	-139.8525
93.800003	76.794	-140.2543
95.000000	76.867	-140.7663
96.199997	76.909	-141.3177
97.500000	76.930	-141.7102
98.800003	76.965	-142.0024
100.000000	77.014	-142.4023
101.500000	77.081	-143.1359
103.000000	77.147	-143.9261
104.400002	77.212	-144.5092
106.000000	77.295	-144.9629
107.500000	77.360	-145.3502
109.000000	77.392	-145.7173
110.599998	77.406	-146.0926
112.000000	77.416	-146.3944
113.800003	77.472	-146.7910
115.000000	77.531	-147.1769
117.199997	77.611	-148.2010
118.000000	77.613	-148.5811
120.599998	77.579	-149.2064
122.000000	77.622	-149.3687
124.099998	77.720	-150.1181
125.000000	77.748	-150.4734
126.500000	77.787	-150.8769
128.000000	77.841	-151.1026
131.500000	77.915	-151.8180
132.000000	77.917	-151.8964
134.000000	77.948	-152.3167
136.000000	77.979	-152.9683
138.000000	78.018	-153.4793
140.000000	78.086	-153.9492
143.000000	78.167	-154.6620
145.000000	78.212	-154.9215
147.500000	78.280	-155.2893
150.000000	78.302	-155.9906
152.500000	78.306	-156.7328
155.000000	78.340	-157.3722
157.500000	78.383	-157.8578
160.000000	78.410	-158.2470
