* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 1 ¿ÀÈÄ 6:17:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.605	34.3625
20.600000	96.612	34.0220
20.900000	96.628	33.4386
21.200001	96.650	32.9363
21.400000	96.669	32.6113
21.799999	96.712	31.8832
22.000000	96.733	31.4522
22.400000	96.762	30.4796
22.700001	96.768	29.7174
23.000000	96.764	28.9907
23.299999	96.756	28.3340
23.600000	96.751	27.7467
24.000000	96.760	27.0343
24.299999	96.779	26.5070
24.700001	96.816	25.7688
25.000000	96.847	25.1804
25.400000	96.887	24.3637
25.799999	96.921	23.5388
26.200001	96.946	22.7341
26.500000	96.957	22.1631
26.900000	96.964	21.4732
27.200001	96.965	21.0272
27.600000	96.967	20.5314
28.000000	96.979	20.1101
28.500000	97.008	19.5785
29.000000	97.042	18.9421
29.500000	97.065	18.2141
30.000000	97.073	17.4811
30.400000	97.077	16.9165
30.700001	97.082	16.4908
31.100000	97.091	15.8875
31.500000	97.098	15.2314
32.000000	97.094	14.3765
32.500000	97.077	13.5735
33.000000	97.060	12.8838
33.500000	97.053	12.2854
34.000000	97.061	11.7068
34.500000	97.078	11.0929
35.000000	97.092	10.4412
35.500000	97.097	9.7925
36.000000	97.095	9.1915
36.500000	97.089	8.6520
37.000000	97.082	8.1594
37.500000	97.075	7.7036
38.200001	97.068	7.1317
38.700001	97.074	6.7290
39.500000	97.093	5.8834
40.000000	97.086	5.2269
40.599998	97.049	4.4968
41.200001	97.006	3.9710
41.799999	96.985	3.5314
42.500000	96.976	2.9058
43.099998	96.954	2.3380
43.700001	96.928	1.8914
44.400002	96.922	1.4630
45.000000	96.937	1.0025
45.500000	96.951	0.5008
46.200001	96.951	-0.3232
46.799999	96.926	-1.0257
47.500000	96.883	-1.6840
48.200001	96.853	-2.1930
48.700001	96.844	-2.5829
49.400002	96.822	-3.2165
50.000000	96.783	-3.6763
50.799999	96.743	-4.0113
51.500000	96.749	-4.2916
52.200001	96.762	-4.7901
53.000000	96.746	-5.4718
53.799999	96.712	-6.0540
54.500000	96.685	-6.5433
55.200001	96.652	-7.0753
56.000000	96.598	-7.6450
57.000000	96.530	-8.1774
58.000000	96.487	-8.6076
59.000000	96.463	-9.1203
60.000000	96.425	-9.6837
60.799999	96.390	-10.0218
61.500000	96.372	-10.2789
62.200001	96.360	-10.5919
63.000000	96.344	-11.0230
64.000000	96.314	-11.6049
65.000000	96.279	-12.1934
66.000000	96.247	-12.7894
67.000000	96.215	-13.4019
68.000000	96.181	-14.0103
69.000000	96.135	-14.5783
70.000000	96.079	-15.0150
71.000000	96.027	-15.3324
72.000000	95.981	-15.6000
73.000000	95.940	-15.8654
74.000000	95.905	-16.1681
75.000000	95.875	-16.5338
76.199997	95.843	-17.0615
77.500000	95.809	-17.7617
78.800003	95.752	-18.4498
80.000000	95.693	-18.8683
81.199997	95.651	-19.1397
82.500000	95.621	-19.4738
83.800003	95.579	-19.9280
85.000000	95.520	-20.3902
86.199997	95.451	-20.8117
87.500000	95.386	-21.2570
88.500000	95.338	-21.6089
90.000000	95.276	-22.0469
91.199997	95.232	-22.3871
92.500000	95.179	-22.6621
93.800003	95.132	-22.9405
95.000000	95.076	-23.2836
96.199997	95.007	-23.6095
97.500000	94.939	-23.9185
98.800003	94.889	-24.2350
100.000000	94.851	-24.5627
101.500000	94.797	-24.9602
103.000000	94.735	-25.2735
104.400002	94.676	-25.5472
106.000000	94.604	-25.9263
107.500000	94.533	-26.2974
109.000000	94.469	-26.6222
110.599998	94.411	-26.9286
112.000000	94.362	-27.1714
113.800003	94.294	-27.4919
115.000000	94.243	-27.6898
117.199997	94.175	-27.9355
118.000000	94.164	-28.0565
120.599998	94.098	-28.7608
122.000000	94.015	-28.9602
124.099998	93.912	-29.0515
125.000000	93.876	-29.1424
126.500000	93.819	-29.3911
128.000000	93.758	-29.6712
131.500000	93.617	-30.1156
132.000000	93.598	-30.1617
134.000000	93.523	-30.3618
136.000000	93.449	-30.6337
138.000000	93.376	-30.9154
140.000000	93.307	-31.1580
143.000000	93.200	-31.4721
145.000000	93.128	-31.6654
147.500000	93.033	-31.9390
150.000000	92.937	-32.1618
152.500000	92.844	-32.3697
155.000000	92.751	-32.5420
157.500000	92.666	-32.7013
160.000000	92.577	-32.8699
162.500000	92.484	-32.9943
165.000000	92.392	-33.0729
167.500000	92.309	-33.1775
170.000000	92.223	-33.2847
172.500000	92.134	-33.3059
175.000000	92.047	-33.3137
177.500000	91.960	-33.3253
180.000000	91.885	-33.3751
182.500000	91.815	-33.4241
185.000000	91.756	-33.4082
187.500000	91.702	-33.4194
190.000000	91.636	-33.4358
192.500000	91.564	-33.4143
195.000000	91.500	-33.3983
197.500000	91.444	-33.4220
200.000000	91.390	-33.4715
203.000000	91.309	-33.5667
206.000000	91.206	-33.6233
209.000000	91.106	-33.5861
212.000000	91.026	-33.4843
214.000000	90.980	-33.4407
218.000000	90.874	-33.3995
220.000000	90.815	-33.3635
224.000000	90.696	-33.2187
227.000000	90.613	-32.9989
230.000000	90.534	-32.7174
233.000000	90.458	-32.4910
236.000000	90.385	-32.2677
240.000000	90.299	-31.8086
243.000000	90.259	-31.4074
247.000000	90.254	-30.9668
250.000000	90.266	-30.7501
254.000000	90.277	-30.7124
258.000000	90.259	-30.7863
262.000000	90.217	-30.9181
265.000000	90.181	-31.1403
269.000000	90.133	-31.3533
272.000000	90.094	-31.4243
276.000000	90.025	-31.5598
280.000000	89.931	-31.6340
285.000000	89.829	-31.5530
290.000000	89.748	-31.3953
295.000000	89.655	-31.2860
300.000000	89.574	-31.1760
304.000000	89.508	-31.1432
307.000000	89.454	-31.1150
311.000000	89.389	-30.9861
315.000000	89.330	-30.7982
320.000000	89.240	-30.6509
325.000000	89.148	-30.5465
330.000000	89.087	-30.3271
335.000000	89.027	-30.1230
340.000000	88.954	-29.8993
345.000000	88.880	-29.6222
350.000000	88.807	-29.3571
355.000000	88.740	-29.0877
360.000000	88.678	-28.7901
365.000000	88.616	-28.5724
370.000000	88.545	-28.4506
375.000000	88.479	-28.2573
382.000000	88.395	-27.8095
387.000000	88.337	-27.4059
395.000000	88.265	-26.9038
400.000000	88.217	-26.6446
406.000000	88.157	-26.3187
412.000000	88.097	-25.9956
418.000000	88.031	-25.7455
425.000000	87.952	-25.4354
431.000000	87.905	-25.0806
437.000000	87.855	-24.6445
444.000000	87.785	-24.1181
450.000000	87.732	-23.6846
455.000000	87.692	-23.3353
462.000000	87.639	-22.9418
468.000000	87.603	-22.6550
475.000000	87.559	-22.2128
482.000000	87.506	-21.7428
487.000000	87.466	-21.4502
494.000000	87.420	-21.0046
500.000000	87.386	-20.5741
508.000000	87.358	-20.0002
515.000000	87.335	-19.5035
522.000000	87.297	-19.0410
530.000000	87.245	-18.5900
538.000000	87.191	-18.0285
545.000000	87.151	-17.5370
552.000000	87.126	-17.0918
560.000000	87.111	-16.5492
570.000000	87.091	-15.8067
580.000000	87.046	-15.0284
590.000000	87.015	-14.3702
600.000000	86.982	-13.6637
608.000000	86.968	-13.1168
615.000000	86.963	-12.7100
622.000000	86.954	-12.2536
630.000000	86.935	-11.6668
640.000000	86.916	-10.9332
650.000000	86.909	-10.1126
660.000000	86.905	-9.2259
670.000000	86.902	-8.4625
680.000000	86.907	-7.7379
690.000000	86.917	-7.0367
700.000000	86.931	-6.4349
710.000000	86.941	-5.7505
720.000000	86.946	-4.8992
730.000000	86.964	-3.9763
740.000000	86.990	-3.1909
750.000000	87.016	-2.5697
762.000000	87.046	-1.6985
775.000000	87.085	-0.6798
788.000000	87.143	0.3082
800.000000	87.205	1.2028
812.000000	87.269	2.0403
825.000000	87.345	3.0376
838.000000	87.424	4.0867
850.000000	87.503	4.8962
862.000000	87.591	5.7445
875.000000	87.695	6.6794
885.000000	87.776	7.3292
900.000000	87.898	8.2844
912.000000	88.003	9.0349
925.000000	88.126	9.7915
938.000000	88.259	10.5276
950.000000	88.383	11.2228
962.000000	88.508	11.8806
975.000000	88.655	12.5156
988.000000	88.819	12.9994
1000.000000	88.972	13.4127
1015.000000	89.136	14.1274
1030.000000	89.318	14.7890
1044.000000	89.502	15.2254
1060.000000	89.715	15.6272
1075.000000	89.918	16.0048
1090.000000	90.118	16.2901
1106.000000	90.323	16.4117
1120.000000	90.503	16.4739
1138.000000	90.737	16.5251
1150.000000	90.890	16.5083
1172.000000	91.171	16.3892
1180.000000	91.269	16.3200
1206.000000	91.584	16.0103
1220.000000	91.749	15.7857
1241.000000	91.991	15.3592
1250.000000	92.093	15.1526
1265.000000	92.258	14.8129
1280.000000	92.419	14.4401
1315.000000	92.780	13.3784
1320.000000	92.830	13.2120
1340.000000	93.026	12.5003
1360.000000	93.219	11.7130
1380.000000	93.405	10.8631
1400.000000	93.575	9.9635
1430.000000	93.806	8.4908
1450.000000	93.944	7.3900
1475.000000	94.101	5.8612
1500.000000	94.220	4.2462
1525.000000	94.289	2.6300
1550.000000	94.313	0.9990
1575.000000	94.292	-0.5497
1600.000000	94.219	-1.8801
1625.000000	94.101	-2.8531
1650.000000	93.950	-3.4311
1675.000000	93.800	-3.5681
1700.000000	93.671	-3.2055
1725.000000	93.575	-2.4312
1750.000000	93.537	-1.3832
1775.000000	93.575	-0.2035
1800.000000	93.679	0.9974
1825.000000	93.842	2.0914
1850.000000	94.050	2.9959
1875.000000	94.296	3.6531
1900.000000	94.568	4.0104
1925.000000	94.852	4.0709
1950.000000	95.139	3.8859
1975.000000	95.424	3.4465
2000.000000	95.704	2.7517
2030.000000	96.026	1.6326
2060.000000	96.325	0.2584
2090.000000	96.594	-1.3736
2120.000000	96.828	-3.2150
2140.000000	96.965	-4.5131
2180.000000	97.191	-7.2226
2200.000000	97.277	-8.6312
2240.000000	97.395	-11.5036
2270.000000	97.440	-13.6760
2300.000000	97.450	-15.8161
2330.000000	97.426	-17.8779
2360.000000	97.370	-19.8356
2400.000000	97.255	-22.2311
2430.000000	97.144	-23.8621
2470.000000	96.970	-25.8272
2500.000000	96.824	-27.1246
2540.000000	96.616	-28.6292
2580.000000	96.396	-29.8815
2620.000000	96.169	-30.8673
2650.000000	96.000	-31.4667
2690.000000	95.777	-32.0900
2720.000000	95.613	-32.4320
2760.000000	95.400	-32.7254
2800.000000	95.199	-32.8423
2850.000000	94.963	-32.8390
2900.000000	94.741	-32.6836
2950.000000	94.537	-32.3341
3000.000000	94.350	-31.8506
3040.000000	94.215	-31.4078
3070.000000	94.122	-31.0291
3110.000000	94.006	-30.4398
3150.000000	93.901	-29.7654
3200.000000	93.786	-28.8553
3250.000000	93.690	-27.9364
3300.000000	93.619	-26.9654
3350.000000	93.569	-25.9669
3400.000000	93.536	-24.9445
3450.000000	93.524	-23.8754
3500.000000	93.526	-22.7807
3550.000000	93.541	-21.6596
3600.000000	93.582	-20.5406
3650.000000	93.654	-19.4598
3700.000000	93.755	-18.4271
3750.000000	93.882	-17.4700
3820.000000	94.088	-16.2919
3870.000000	94.259	-15.6121
3950.000000	94.567	-14.7860
4000.000000	94.787	-14.4536
4060.000000	95.076	-14.2985
4120.000000	95.382	-14.4479
4180.000000	95.696	-14.9523
4250.000000	96.065	-15.9672
4310.000000	96.377	-17.2154
4370.000000	96.679	-18.8691
4440.000000	97.008	-21.3296
4500.000000	97.252	-23.8666
4550.000000	97.422	-26.2678
4620.000000	97.595	-30.0626
4680.000000	97.665	-33.6921
4750.000000	97.632	-38.2418
4820.000000	97.460	-42.8922
4870.000000	97.248	-46.1098
4940.000000	96.840	-50.2324
5000.000000	96.406	-53.2862
5080.000000	95.742	-56.5456
5150.000000	95.113	-58.6078
5220.000000	94.469	-59.9746
5300.000000	93.739	-60.7923
5380.000000	93.030	-60.9253
5450.000000	92.437	-60.5713
5520.000000	91.876	-59.8369
5600.000000	91.281	-58.5926
5700.000000	90.605	-56.5959
5800.000000	89.998	-54.1757
5900.000000	89.458	-51.3825
6000.000000	88.988	-48.3175
6080.000000	88.660	-45.6463
6150.000000	88.409	-43.2167
6220.000000	88.194	-40.7379
6300.000000	87.988	-37.8039
6400.000000	87.790	-33.9833
6500.000000	87.656	-30.0637
6600.000000	87.593	-26.0385
6700.000000	87.599	-21.9198
6800.000000	87.678	-17.7971
6900.000000	87.843	-13.7514
7000.000000	88.105	-9.7693
7100.000000	88.477	-5.9816
7200.000000	88.954	-2.5507
7300.000000	89.534	0.4056
7400.000000	90.233	2.6963
7500.000000	91.055	4.0667
7620.000000	92.189	3.9346
7750.000000	93.499	0.4380
7880.000000	94.584	-7.8039
8000.000000	95.005	-19.3760
8120.000000	94.625	-32.0971
