* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 25, 2022 12:08:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kato Steel Grey L DI
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.750	15.3324
20.600000	102.704	15.3048
20.900000	102.608	15.2320
21.200001	102.531	15.0936
21.400000	102.491	14.9352
21.799999	102.418	14.4309
22.000000	102.379	14.0977
22.400000	102.292	13.3406
22.700001	102.223	12.7670
23.000000	102.157	12.2299
23.299999	102.103	11.7377
23.600000	102.065	11.2733
24.000000	102.042	10.6481
24.299999	102.039	10.1564
24.700001	102.040	9.4933
25.000000	102.039	9.0389
25.400000	102.037	8.5590
25.799999	102.042	8.2458
26.200001	102.062	8.0310
26.500000	102.084	7.8621
26.900000	102.109	7.5556
27.200001	102.111	7.2620
27.600000	102.085	6.8593
28.000000	102.028	6.5471
28.500000	101.943	6.3559
29.000000	101.880	6.2190
29.500000	101.844	5.8483
30.000000	101.804	5.1124
30.400000	101.753	4.3505
30.700001	101.704	3.7627
31.100000	101.635	3.0304
31.500000	101.579	2.3723
32.000000	101.537	1.6029
32.500000	101.525	0.8516
33.000000	101.533	0.1691
33.500000	101.561	-0.3631
34.000000	101.615	-0.7341
34.500000	101.691	-1.0135
35.000000	101.770	-1.2717
35.500000	101.831	-1.5033
36.000000	101.861	-1.6297
36.500000	101.867	-1.5792
37.000000	101.863	-1.3758
37.500000	101.861	-1.1464
38.200001	101.847	-1.0313
38.700001	101.809	-1.1203
39.500000	101.706	-1.3362
40.000000	101.645	-1.4971
40.599998	101.591	-1.8736
41.200001	101.536	-2.4962
41.799999	101.464	-3.1571
42.500000	101.390	-3.6872
43.099998	101.372	-4.0018
43.700001	101.387	-4.3708
44.400002	101.411	-4.8618
45.000000	101.426	-5.2434
45.500000	101.436	-5.5500
46.200001	101.427	-5.9891
46.799999	101.392	-6.2887
47.500000	101.336	-6.4630
48.200001	101.289	-6.5307
48.700001	101.266	-6.5967
49.400002	101.249	-6.8744
50.000000	101.217	-7.3592
50.799999	101.098	-7.9161
51.500000	100.987	-7.7304
52.200001	100.992	-7.2326
53.000000	101.104	-7.3632
53.799999	101.156	-8.2246
54.500000	101.132	-8.8707
55.200001	101.108	-9.3054
56.000000	101.084	-9.9698
57.000000	100.941	-10.7465
58.000000	100.792	-10.2594
59.000000	100.852	-9.8948
60.000000	100.880	-10.6436
60.799999	100.844	-11.1941
61.500000	100.816	-11.7195
62.200001	100.761	-12.3229
63.000000	100.680	-12.7591
64.000000	100.627	-13.1467
65.000000	100.570	-13.5306
66.000000	100.539	-13.4074
67.000000	100.581	-13.3445
68.000000	100.588	-13.5881
69.000000	100.528	-13.7340
70.000000	100.444	-13.7500
71.000000	100.359	-13.8699
72.000000	100.275	-14.1926
73.000000	100.209	-14.5827
74.000000	100.196	-14.9761
75.000000	100.223	-15.4329
76.199997	100.248	-15.8245
77.500000	100.227	-15.8519
78.800003	100.128	-15.5776
80.000000	99.984	-15.7933
81.199997	99.731	-17.0206
82.500000	99.219	-18.8779
83.800003	98.699	-17.2163
85.000000	98.987	-15.4679
86.199997	99.370	-16.8605
87.500000	99.565	-18.2693
88.500000	99.631	-18.6356
90.000000	99.640	-18.4511
91.199997	99.579	-18.2353
92.500000	99.489	-18.1555
93.800003	99.427	-18.2918
95.000000	99.418	-18.6125
96.199997	99.418	-18.9754
97.500000	99.396	-19.1794
98.800003	99.330	-19.1438
100.000000	99.248	-19.1044
101.500000	99.110	-19.4407
103.000000	98.962	-19.9038
104.400002	98.888	-20.1761
106.000000	98.901	-20.2419
107.500000	98.942	-20.1279
109.000000	98.944	-19.9441
110.599998	98.873	-19.6802
112.000000	98.807	-19.5023
113.800003	98.736	-19.7134
115.000000	98.685	-19.9196
117.199997	98.581	-20.1751
118.000000	98.527	-20.1146
120.599998	98.470	-19.5220
122.000000	98.486	-19.9505
124.099998	98.427	-20.8228
125.000000	98.394	-21.0789
126.500000	98.333	-21.3390
128.000000	98.269	-21.3581
131.500000	98.159	-21.2751
132.000000	98.143	-21.2748
134.000000	98.073	-21.2392
136.000000	97.997	-21.2014
138.000000	97.918	-21.1557
140.000000	97.865	-21.1437
143.000000	97.767	-21.1609
145.000000	97.667	-20.9558
147.500000	97.542	-20.5775
150.000000	97.485	-20.3607
152.500000	97.436	-20.2006
155.000000	97.367	-19.8236
157.500000	97.320	-19.6679
160.000000	97.336	-19.8306
162.500000	97.380	-20.0630
165.000000	97.387	-20.1489
167.500000	97.337	-20.1440
170.000000	97.315	-20.0598
172.500000	97.305	-20.1985
175.000000	97.239	-20.3387
177.500000	97.149	-20.4237
180.000000	97.083	-20.5155
182.500000	97.050	-20.5808
185.000000	97.015	-20.5806
187.500000	96.967	-20.5289
190.000000	96.907	-20.4732
192.500000	96.845	-20.4155
195.000000	96.787	-20.3755
197.500000	96.732	-20.3370
200.000000	96.686	-20.2381
203.000000	96.634	-20.1031
206.000000	96.571	-19.9616
209.000000	96.519	-19.8063
212.000000	96.469	-19.6513
214.000000	96.421	-19.5107
218.000000	96.315	-19.2535
220.000000	96.277	-19.2394
224.000000	96.221	-19.1908
227.000000	96.174	-19.0162
230.000000	96.120	-18.8401
233.000000	96.064	-18.7193
236.000000	96.001	-18.5710
240.000000	95.920	-18.3318
243.000000	95.873	-18.2027
247.000000	95.809	-17.9923
250.000000	95.759	-17.8155
254.000000	95.707	-17.6107
258.000000	95.658	-17.3775
262.000000	95.606	-17.1155
265.000000	95.574	-16.9355
269.000000	95.531	-16.6841
272.000000	95.492	-16.4838
276.000000	95.434	-16.2243
280.000000	95.381	-15.9890
285.000000	95.326	-15.6838
290.000000	95.287	-15.3333
295.000000	95.241	-15.0414
300.000000	95.182	-14.7677
304.000000	95.137	-14.5103
307.000000	95.107	-14.3121
311.000000	95.066	-14.0460
315.000000	95.026	-13.7821
320.000000	94.978	-13.4607
325.000000	94.935	-13.1653
330.000000	94.895	-12.8951
335.000000	94.846	-12.5719
340.000000	94.801	-12.2067
345.000000	94.762	-11.8844
350.000000	94.730	-11.6176
355.000000	94.694	-11.3037
360.000000	94.667	-10.9311
365.000000	94.638	-10.5489
370.000000	94.593	-10.2242
375.000000	94.552	-9.9106
382.000000	94.502	-9.5106
387.000000	94.466	-9.2324
395.000000	94.415	-8.6720
400.000000	94.385	-8.3320
406.000000	94.354	-7.9689
412.000000	94.324	-7.5760
418.000000	94.293	-7.1730
425.000000	94.256	-6.7240
431.000000	94.222	-6.3575
437.000000	94.195	-5.9900
444.000000	94.170	-5.5471
450.000000	94.146	-5.1418
455.000000	94.127	-4.8051
462.000000	94.106	-4.3647
468.000000	94.088	-4.0330
475.000000	94.061	-3.6120
482.000000	94.033	-3.1395
487.000000	94.020	-2.8221
494.000000	94.003	-2.3892
500.000000	93.984	-2.0013
508.000000	93.960	-1.4830
515.000000	93.942	-1.0575
522.000000	93.922	-0.6455
530.000000	93.897	-0.1484
538.000000	93.881	0.3483
545.000000	93.868	0.7780
552.000000	93.850	1.2206
560.000000	93.830	1.7243
570.000000	93.808	2.3832
580.000000	93.784	3.0518
590.000000	93.765	3.6897
600.000000	93.752	4.3230
608.000000	93.746	4.8557
615.000000	93.741	5.3322
622.000000	93.737	5.7936
630.000000	93.730	6.3010
640.000000	93.720	6.9412
650.000000	93.713	7.5949
660.000000	93.716	8.2489
670.000000	93.724	8.8948
680.000000	93.731	9.5455
690.000000	93.740	10.1877
700.000000	93.747	10.8297
710.000000	93.755	11.4881
720.000000	93.767	12.1481
730.000000	93.780	12.7909
740.000000	93.792	13.4150
750.000000	93.809	14.0625
762.000000	93.835	14.8524
775.000000	93.859	15.6932
788.000000	93.889	16.5242
800.000000	93.922	17.3018
812.000000	93.957	18.0565
825.000000	94.000	18.8664
838.000000	94.049	19.6894
850.000000	94.098	20.4584
862.000000	94.146	21.1948
875.000000	94.203	21.9574
885.000000	94.251	22.5415
900.000000	94.328	23.4301
912.000000	94.391	24.1371
925.000000	94.464	24.8598
938.000000	94.542	25.5477
950.000000	94.618	26.1843
962.000000	94.697	26.8073
975.000000	94.784	27.4263
988.000000	94.871	28.0081
1000.000000	94.954	28.5291
1015.000000	95.062	29.1413
1030.000000	95.175	29.6934
1044.000000	95.281	30.1690
1060.000000	95.402	30.6948
1075.000000	95.507	31.1592
1090.000000	95.610	31.5682
1106.000000	95.723	31.9334
1120.000000	95.822	32.2023
1138.000000	95.944	32.5037
1150.000000	96.026	32.6937
1172.000000	96.176	33.0108
1180.000000	96.230	33.1091
1206.000000	96.402	33.3455
1220.000000	96.500	33.4338
