* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 25, 2022 12:09:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kato Steel Grey R DI
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.860	14.2346
20.600000	102.843	14.0960
20.900000	102.809	13.8442
21.200001	102.789	13.6281
21.400000	102.784	13.4723
21.799999	102.783	13.0226
22.000000	102.779	12.7179
22.400000	102.753	12.0058
22.700001	102.715	11.4678
23.000000	102.668	10.9930
23.299999	102.621	10.6093
23.600000	102.587	10.3026
24.000000	102.571	9.9233
24.299999	102.580	9.5843
24.700001	102.605	8.9932
25.000000	102.621	8.4583
25.400000	102.627	7.7058
25.799999	102.615	7.0361
26.200001	102.597	6.5338
26.500000	102.590	6.2591
26.900000	102.596	5.9462
27.200001	102.608	5.6878
27.600000	102.622	5.2615
28.000000	102.618	4.7760
28.500000	102.580	4.2524
29.000000	102.529	3.9772
29.500000	102.498	3.8829
30.000000	102.496	3.7233
30.400000	102.500	3.4479
30.700001	102.496	3.1714
31.100000	102.476	2.7784
31.500000	102.446	2.4252
32.000000	102.411	2.0492
32.500000	102.386	1.6702
33.000000	102.365	1.2436
33.500000	102.342	0.8211
34.000000	102.324	0.4616
34.500000	102.321	0.1420
35.000000	102.328	-0.2059
35.500000	102.335	-0.6014
36.000000	102.334	-1.0007
36.500000	102.327	-1.3628
37.000000	102.316	-1.6873
37.500000	102.301	-1.9880
38.200001	102.271	-2.3611
38.700001	102.246	-2.5900
39.500000	102.210	-2.9556
40.000000	102.188	-3.2232
40.599998	102.160	-3.5874
41.200001	102.128	-3.9811
41.799999	102.093	-4.3797
42.500000	102.054	-4.8068
43.099998	102.029	-5.1283
43.700001	102.015	-5.4469
44.400002	102.005	-5.8555
45.000000	101.993	-6.2102
45.500000	101.979	-6.4786
46.200001	101.957	-6.8014
46.799999	101.937	-7.0403
47.500000	101.912	-7.3031
48.200001	101.883	-7.5878
48.700001	101.855	-7.7999
49.400002	101.809	-8.0657
50.000000	101.773	-8.2810
50.799999	101.730	-8.6452
51.500000	101.686	-8.9942
52.200001	101.652	-9.2823
53.000000	101.645	-9.6865
53.799999	101.638	-10.3068
54.500000	101.608	-10.8083
55.200001	101.579	-11.0986
56.000000	101.577	-11.3146
57.000000	101.594	-11.6603
58.000000	101.604	-12.0723
59.000000	101.578	-12.6021
60.000000	101.486	-12.9488
60.799999	101.407	-12.9241
61.500000	101.361	-12.8846
62.200001	101.319	-13.0054
63.000000	101.243	-13.2809
64.000000	101.109	-13.3972
65.000000	101.030	-13.1766
66.000000	101.033	-13.2652
67.000000	101.038	-13.8150
68.000000	101.011	-14.4667
69.000000	100.964	-14.9258
70.000000	100.932	-15.1265
71.000000	100.925	-15.2975
72.000000	100.910	-15.5998
73.000000	100.859	-15.8549
74.000000	100.812	-15.9588
75.000000	100.786	-16.1900
76.199997	100.752	-16.6799
77.500000	100.721	-17.1717
78.800003	100.718	-17.5325
80.000000	100.717	-17.5907
81.199997	100.721	-17.0993
82.500000	100.857	-16.0087
83.800003	101.062	-16.8218
85.000000	100.872	-18.4186
86.199997	100.557	-18.5025
87.500000	100.353	-18.4188
88.500000	100.232	-18.6585
90.000000	100.067	-18.7998
91.199997	100.062	-18.5424
92.500000	100.134	-18.9981
93.800003	100.107	-19.7532
95.000000	100.030	-20.1662
96.199997	99.944	-20.3596
97.500000	99.874	-20.5102
98.800003	99.826	-20.8074
100.000000	99.779	-21.1623
101.500000	99.714	-21.5167
103.000000	99.643	-21.6785
104.400002	99.596	-21.6527
106.000000	99.564	-21.7297
107.500000	99.518	-21.9175
109.000000	99.460	-22.0668
110.599998	99.385	-22.3019
112.000000	99.285	-22.4744
113.800003	99.155	-22.4503
115.000000	99.086	-22.3967
117.199997	98.981	-22.2939
118.000000	98.945	-22.2471
120.599998	98.805	-22.0825
122.000000	98.701	-21.6971
124.099998	98.625	-20.7943
125.000000	98.623	-20.4877
126.500000	98.644	-20.2355
128.000000	98.645	-20.2808
131.500000	98.657	-20.1381
132.000000	98.673	-20.1785
134.000000	98.711	-20.6755
136.000000	98.660	-20.9854
138.000000	98.653	-20.8418
140.000000	98.692	-21.1096
143.000000	98.620	-21.7556
145.000000	98.530	-21.6689
147.500000	98.491	-21.7026
150.000000	98.479	-22.4576
152.500000	98.420	-23.1064
155.000000	98.355	-23.0628
157.500000	98.276	-23.0221
160.000000	98.147	-23.0854
162.500000	98.034	-23.0800
165.000000	97.970	-23.1496
167.500000	97.921	-23.3766
170.000000	97.860	-23.5425
172.500000	97.790	-23.4865
175.000000	97.726	-23.3366
177.500000	97.666	-23.3058
180.000000	97.607	-23.3375
182.500000	97.552	-23.3918
185.000000	97.491	-23.4023
187.500000	97.430	-23.3543
190.000000	97.373	-23.2777
192.500000	97.322	-23.1980
195.000000	97.274	-23.1681
197.500000	97.218	-23.1805
200.000000	97.158	-23.1667
203.000000	97.089	-23.1018
206.000000	97.019	-22.9961
209.000000	96.953	-22.8388
212.000000	96.896	-22.6936
214.000000	96.856	-22.6437
218.000000	96.768	-22.5628
220.000000	96.728	-22.4793
224.000000	96.655	-22.3073
227.000000	96.600	-22.1936
230.000000	96.538	-22.0717
233.000000	96.474	-21.9518
236.000000	96.427	-21.8994
240.000000	96.366	-21.8385
243.000000	96.295	-21.6338
247.000000	96.213	-21.3330
250.000000	96.165	-21.1709
254.000000	96.100	-20.9515
258.000000	96.038	-20.7458
262.000000	95.971	-20.5555
265.000000	95.920	-20.4188
269.000000	95.856	-20.1948
272.000000	95.813	-20.0070
276.000000	95.759	-19.7476
280.000000	95.707	-19.4730
285.000000	95.641	-19.1549
290.000000	95.572	-18.8948
295.000000	95.512	-18.5894
300.000000	95.462	-18.2864
304.000000	95.414	-18.0654
307.000000	95.375	-17.8929
311.000000	95.326	-17.6584
315.000000	95.279	-17.4078
320.000000	95.228	-17.1003
325.000000	95.181	-16.8306
330.000000	95.134	-16.5353
335.000000	95.086	-16.2245
340.000000	95.033	-15.9202
345.000000	94.981	-15.6160
350.000000	94.936	-15.2633
355.000000	94.895	-14.8925
360.000000	94.856	-14.6192
365.000000	94.812	-14.3675
370.000000	94.762	-14.0213
375.000000	94.715	-13.6701
382.000000	94.663	-13.2307
387.000000	94.623	-12.9324
395.000000	94.554	-12.4386
400.000000	94.519	-12.1066
406.000000	94.482	-11.6985
412.000000	94.439	-11.3186
418.000000	94.395	-10.9627
425.000000	94.354	-10.5092
431.000000	94.319	-10.1241
437.000000	94.287	-9.7760
444.000000	94.256	-9.3562
450.000000	94.226	-8.9484
455.000000	94.199	-8.6124
462.000000	94.164	-8.1723
468.000000	94.136	-7.8010
475.000000	94.105	-7.3649
482.000000	94.079	-6.9293
487.000000	94.060	-6.5922
494.000000	94.028	-6.1191
500.000000	94.002	-5.7487
508.000000	93.975	-5.2788
515.000000	93.953	-4.8411
522.000000	93.932	-4.3908
530.000000	93.907	-3.8913
538.000000	93.879	-3.3849
545.000000	93.856	-2.9412
552.000000	93.834	-2.4991
560.000000	93.806	-1.9983
570.000000	93.775	-1.3833
580.000000	93.751	-0.7327
590.000000	93.729	-0.0521
600.000000	93.706	0.6138
608.000000	93.687	1.1339
615.000000	93.674	1.5929
622.000000	93.663	2.0542
630.000000	93.651	2.5788
640.000000	93.639	3.2329
650.000000	93.629	3.8795
660.000000	93.618	4.5371
670.000000	93.613	5.1912
680.000000	93.613	5.8410
690.000000	93.613	6.4850
700.000000	93.612	7.1255
710.000000	93.612	7.7619
720.000000	93.620	8.4098
730.000000	93.630	9.0664
740.000000	93.639	9.7260
750.000000	93.647	10.3931
762.000000	93.664	11.2036
775.000000	93.686	12.0578
788.000000	93.707	12.9042
800.000000	93.730	13.7075
812.000000	93.761	14.4963
825.000000	93.800	15.3214
838.000000	93.839	16.1405
850.000000	93.879	16.8919
862.000000	93.923	17.6551
875.000000	93.973	18.4761
885.000000	94.013	19.1101
900.000000	94.077	20.0173
912.000000	94.132	20.7026
925.000000	94.199	21.4335
938.000000	94.274	22.1568
950.000000	94.349	22.7981
962.000000	94.424	23.4207
975.000000	94.506	24.0908
988.000000	94.590	24.7275
1000.000000	94.673	25.2578
1015.000000	94.780	25.8659
1030.000000	94.887	26.4409
1044.000000	94.988	26.9591
1060.000000	95.104	27.5067
1075.000000	95.211	27.9488
1090.000000	95.316	28.3496
1106.000000	95.427	28.7402
1120.000000	95.526	29.0365
1138.000000	95.653	29.3419
1150.000000	95.735	29.5116
1172.000000	95.883	29.7858
1180.000000	95.937	29.8608
1206.000000	96.116	30.0270
1220.000000	96.215	30.0991
1241.000000	96.366	30.1616
1250.000000	96.431	30.1711
1265.000000	96.537	30.1664
1280.000000	96.640	30.1395
1315.000000	96.865	30.0086
1320.000000	96.895	29.9843
1340.000000	97.014	29.8778
1360.000000	97.131	29.7451
1380.000000	97.248	29.6142
1400.000000	97.361	29.4997
1430.000000	97.526	29.3341
1450.000000	97.631	29.2048
1475.000000	97.757	29.0425
1500.000000	97.877	28.8840
1525.000000	97.991	28.7302
1550.000000	98.092	28.5995
1575.000000	98.185	28.4714
1600.000000	98.275	28.3271
1625.000000	98.364	28.1978
1650.000000	98.452	28.0692
1675.000000	98.538	27.9216
1700.000000	98.625	27.7905
1725.000000	98.714	27.6653
1750.000000	98.804	27.5275
1775.000000	98.893	27.3750
1800.000000	98.981	27.2133
1825.000000	99.067	27.0426
1850.000000	99.152	26.8698
1875.000000	99.235	26.6896
1900.000000	99.319	26.4963
1925.000000	99.401	26.2951
1950.000000	99.481	26.0974
1975.000000	99.557	25.8964
2000.000000	99.630	25.6862
2030.000000	99.713	25.4271
2060.000000	99.795	25.1775
2090.000000	99.871	24.9474
2120.000000	99.943	24.7440
2140.000000	99.990	24.6370
2180.000000	100.083	24.5257
2200.000000	100.134	24.5284
2240.000000	100.263	24.6064
2270.000000	100.392	24.6442
2300.000000	100.545	24.5516
2330.000000	100.707	24.2543
2360.000000	100.859	23.7446
2400.000000	101.033	22.8517
2430.000000	101.142	22.1223
2470.000000	101.264	21.1616
2500.000000	101.343	20.4637
2540.000000	101.438	19.5611
2580.000000	101.526	18.6877
2620.000000	101.608	17.8297
2650.000000	101.667	17.1889
2690.000000	101.740	16.3409
2720.000000	101.792	15.7053
2760.000000	101.858	14.8585
2800.000000	101.921	14.0162
2850.000000	101.996	12.9444
2900.000000	102.066	11.8576
2950.000000	102.127	10.7683
3000.000000	102.185	9.6545
3040.000000	102.227	8.7416
3070.000000	102.258	8.0471
3110.000000	102.295	7.1070
3150.000000	102.330	6.1521
3200.000000	102.369	4.9278
3250.000000	102.400	3.6452
3300.000000	102.423	2.3052
3350.000000	102.436	0.9078
3400.000000	102.433	-0.5611
3450.000000	102.411	-2.1138
3500.000000	102.361	-3.7168
3550.000000	102.275	-5.2979
3600.000000	102.152	-6.7544
3650.000000	102.001	-7.9698
3700.000000	101.848	-8.8930
3750.000000	101.715	-9.6086
3820.000000	101.572	-10.5622
3870.000000	101.491	-11.3527
3950.000000	101.354	-12.7791
4000.000000	101.252	-13.6885
4060.000000	101.115	-14.7318
4120.000000	100.972	-15.7061
4180.000000	100.824	-16.6341
4250.000000	100.642	-17.6995
4310.000000	100.476	-18.6131
4370.000000	100.299	-19.4964
4440.000000	100.075	-20.4455
4500.000000	99.872	-21.1795
4550.000000	99.700	-21.7536
4620.000000	99.453	-22.5237
4680.000000	99.225	-23.1621
4750.000000	98.933	-23.8378
4820.000000	98.612	-24.3685
4870.000000	98.365	-24.6010
4940.000000	98.004	-24.6639
5000.000000	97.692	-24.4861
5080.000000	97.291	-23.9810
5150.000000	96.965	-23.3485
5220.000000	96.663	-22.6024
5300.000000	96.337	-21.6756
5380.000000	96.023	-20.6833
5450.000000	95.752	-19.7316
5520.000000	95.482	-18.7160
5600.000000	95.181	-17.5033
5700.000000	94.822	-15.8567
5800.000000	94.478	-14.0666
5900.000000	94.156	-12.1537
6000.000000	93.855	-10.1062
6080.000000	93.631	-8.3556
6150.000000	93.449	-6.7688
6220.000000	93.280	-5.1483
6300.000000	93.104	-3.2374
6400.000000	92.913	-0.7680
6500.000000	92.746	1.7298
6600.000000	92.606	4.2505
6700.000000	92.499	6.8144
6800.000000	92.418	9.4110
6900.000000	92.367	12.0396
7000.000000	92.356	14.6663
7100.000000	92.377	17.3055
7200.000000	92.431	19.9530
7300.000000	92.521	22.5349
7400.000000	92.638	25.0106
7500.000000	92.783	27.4114
7620.000000	92.991	30.2189
7750.000000	93.247	33.1454
7880.000000	93.538	35.8582
8000.000000	93.850	38.1279
8120.000000	94.203	40.1984
8250.000000	94.636	42.1418
8380.000000	95.125	43.7302
8500.000000	95.625	44.8156
8620.000000	96.167	45.4285
8750.000000	96.797	45.4206
8850.000000	97.305	44.8300
9000.000000	98.068	42.7571
9120.000000	98.628	39.9516
9250.000000	99.122	35.8035
9380.000000	99.440	30.7600
9500.000000	99.546	25.7265
9620.000000	99.471	20.7935
9750.000000	99.217	16.0124
9880.000000	98.831	12.1461
10000.000000	98.409	9.5170
10150.000000	97.863	7.4506
10300.000000	97.362	6.5377
10440.000000	96.982	6.4666
10600.000000	96.681	6.9613
10750.000000	96.545	7.6894
10900.000000	96.562	8.4537
11060.000000	96.766	8.9897
11200.000000	97.120	8.8840
11380.000000	97.833	7.2698
11500.000000	98.449	4.6359
11720.000000	99.616	-5.4681
11800.000000	99.927	-11.2377
12060.000000	99.805	-35.6962
12200.000000	98.848	-48.6945
12410.000000	96.523	-62.4197
12500.000000	95.362	-65.9294
12650.000000	93.403	-69.2380
12800.000000	91.546	-70.2187
13150.000000	87.849	-67.5158
13200.000000	87.389	-66.8026
13400.000000	85.697	-63.4708
13600.000000	84.218	-59.6176
13800.000000	82.953	-55.4560
14000.000000	81.862	-51.1343
14300.000000	80.413	-44.8093
14500.000000	79.540	-40.6056
14750.000000	78.518	-35.3570
15000.000000	77.527	-30.1412
15250.000000	76.552	-24.8961
15500.000000	75.576	-19.4383
15750.000000	74.585	-13.3485
16000.000000	73.607	-6.5888
16250.000000	72.714	0.4729
16500.000000	72.020	7.3482
16750.000000	71.315	12.3903
17000.000000	69.986	18.8699
17250.000000	68.452	40.0818
17500.000000	69.126	60.7911
17750.000000	70.182	68.2369
18000.000000	70.758	70.9612
18250.000000	70.972	72.6007
18500.000000	70.957	73.3643
18750.000000	70.726	73.8828
19000.000000	70.258	74.7623
19250.000000	69.617	76.7557
19500.000000	68.868	79.8819
19750.000000	68.015	83.5638
