* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 25, 2022 12:02:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kato Steel Grey R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.884	11.3744
20.600000	102.864	11.0596
20.900000	102.814	10.4994
21.200001	102.753	10.1068
21.400000	102.714	9.9590
21.799999	102.659	9.7967
22.000000	102.646	9.7172
22.400000	102.646	9.4364
22.700001	102.652	9.0498
23.000000	102.648	8.5347
23.299999	102.627	7.9717
23.600000	102.592	7.4586
24.000000	102.543	6.9582
24.299999	102.523	6.6991
24.700001	102.528	6.3736
25.000000	102.549	6.0461
25.400000	102.577	5.4575
25.799999	102.584	4.7977
26.200001	102.569	4.2304
26.500000	102.552	3.9187
26.900000	102.535	3.6209
27.200001	102.531	3.4317
27.600000	102.530	3.1600
28.000000	102.528	2.8567
28.500000	102.521	2.4672
29.000000	102.512	2.0468
29.500000	102.497	1.5246
30.000000	102.457	0.9362
30.400000	102.408	0.5228
30.700001	102.368	0.2884
31.100000	102.324	0.0615
31.500000	102.298	-0.1532
32.000000	102.281	-0.5306
32.500000	102.260	-1.0274
33.000000	102.228	-1.5092
33.500000	102.202	-1.9004
34.000000	102.193	-2.2638
34.500000	102.195	-2.6817
35.000000	102.191	-3.1390
35.500000	102.176	-3.5585
36.000000	102.158	-3.8997
36.500000	102.142	-4.1867
37.000000	102.128	-4.4594
37.500000	102.113	-4.7354
38.200001	102.084	-5.1302
38.700001	102.056	-5.4112
39.500000	102.003	-5.8148
40.000000	101.975	-6.0424
40.599998	101.950	-6.3657
41.200001	101.926	-6.7948
41.799999	101.889	-7.2676
42.500000	101.837	-7.7448
43.099998	101.798	-8.0920
43.700001	101.766	-8.4304
44.400002	101.731	-8.7893
45.000000	101.709	-9.0706
45.500000	101.695	-9.3401
46.200001	101.660	-9.7355
46.799999	101.618	-9.9093
47.500000	101.602	-9.8834
48.200001	101.642	-10.0032
48.700001	101.672	-10.3395
49.400002	101.670	-10.9670
50.000000	101.632	-11.3857
50.799999	101.575	-11.6679
51.500000	101.540	-11.8053
52.200001	101.513	-11.9707
53.000000	101.477	-12.1908
53.799999	101.444	-12.4312
54.500000	101.414	-12.7983
55.200001	101.355	-13.2758
56.000000	101.265	-13.6858
57.000000	101.172	-14.2792
58.000000	101.003	-14.8061
59.000000	100.892	-14.2756
60.000000	100.980	-14.2335
60.799999	101.017	-15.0082
61.500000	100.988	-15.6725
62.200001	100.944	-16.1806
63.000000	100.888	-16.6699
64.000000	100.822	-17.1193
65.000000	100.790	-17.5882
66.000000	100.756	-18.2302
67.000000	100.706	-18.7462
68.000000	100.678	-19.0251
69.000000	100.675	-19.3060
70.000000	100.650	-19.5713
71.000000	100.606	-19.6812
72.000000	100.543	-19.8103
73.000000	100.434	-19.9590
74.000000	100.298	-19.9545
75.000000	100.183	-19.8593
76.199997	100.119	-19.9441
77.500000	100.081	-20.5382
78.800003	100.038	-20.7077
80.000000	100.063	-20.2086
81.199997	100.143	-19.2240
82.500000	100.308	-17.6579
83.800003	100.588	-17.3978
85.000000	100.497	-18.9841
86.199997	100.115	-19.4221
87.500000	99.783	-19.6876
88.500000	99.552	-20.5400
90.000000	99.117	-22.2075
91.199997	98.793	-21.3985
92.500000	99.000	-19.8920
93.800003	99.333	-20.9761
95.000000	99.444	-22.2738
96.199997	99.472	-22.9225
97.500000	99.459	-23.2030
98.800003	99.414	-23.3171
100.000000	99.364	-23.4181
101.500000	99.295	-23.7392
103.000000	99.200	-23.9941
104.400002	99.140	-23.8555
106.000000	99.158	-23.7179
107.500000	99.172	-24.0626
109.000000	99.121	-24.4559
110.599998	99.028	-24.7550
112.000000	98.924	-24.8490
113.800003	98.811	-24.7098
115.000000	98.774	-24.7322
117.199997	98.684	-25.2866
118.000000	98.636	-25.4695
120.599998	98.522	-25.6186
122.000000	98.494	-25.7091
124.099998	98.444	-25.8762
125.000000	98.418	-25.9305
126.500000	98.375	-26.0032
128.000000	98.330	-26.0929
131.500000	98.197	-26.1980
132.000000	98.180	-26.1981
134.000000	98.118	-26.3169
136.000000	98.045	-26.5122
138.000000	97.967	-26.6178
140.000000	97.891	-26.5925
143.000000	97.797	-26.5034
145.000000	97.735	-26.5774
147.500000	97.644	-26.6823
150.000000	97.552	-26.7573
152.500000	97.472	-26.7203
155.000000	97.417	-26.6159
157.500000	97.356	-26.5881
160.000000	97.273	-26.6297
162.500000	97.186	-26.6541
165.000000	97.101	-26.5101
167.500000	97.036	-26.2999
170.000000	96.963	-26.4187
172.500000	96.877	-26.5621
175.000000	96.816	-26.5874
177.500000	96.766	-26.4725
180.000000	96.712	-26.2856
182.500000	96.651	-26.1530
185.000000	96.581	-26.1659
187.500000	96.509	-26.1657
190.000000	96.448	-26.0759
192.500000	96.390	-25.9629
195.000000	96.328	-25.8538
197.500000	96.268	-25.7489
200.000000	96.210	-25.6448
203.000000	96.143	-25.5289
206.000000	96.076	-25.4236
209.000000	95.997	-25.2718
212.000000	95.922	-25.1460
214.000000	95.882	-25.0999
218.000000	95.823	-24.7951
220.000000	95.788	-24.5993
224.000000	95.686	-24.4177
227.000000	95.616	-24.3701
230.000000	95.563	-24.2435
233.000000	95.516	-24.0693
236.000000	95.453	-23.8755
240.000000	95.364	-23.5628
243.000000	95.307	-23.3893
247.000000	95.241	-23.3178
250.000000	95.202	-23.3929
254.000000	95.130	-23.1963
258.000000	95.044	-22.5957
262.000000	94.964	-22.1339
265.000000	94.912	-21.8934
269.000000	94.846	-21.6452
272.000000	94.817	-21.5827
276.000000	94.782	-21.4719
280.000000	94.729	-21.0267
285.000000	94.645	-20.5809
290.000000	94.557	-20.5166
295.000000	94.519	-20.1950
300.000000	94.485	-19.6915
304.000000	94.435	-19.3692
307.000000	94.391	-19.1663
311.000000	94.337	-19.0028
315.000000	94.291	-18.8377
320.000000	94.243	-18.4777
325.000000	94.202	-18.0762
330.000000	94.149	-17.7864
335.000000	94.100	-17.5972
340.000000	94.043	-17.2039
345.000000	93.981	-16.6156
350.000000	93.919	-16.1839
355.000000	93.877	-15.9309
360.000000	93.850	-15.6883
365.000000	93.812	-15.4732
370.000000	93.761	-15.1141
375.000000	93.716	-14.7157
382.000000	93.658	-14.2017
387.000000	93.621	-13.7912
395.000000	93.562	-13.1928
400.000000	93.522	-12.8592
406.000000	93.476	-12.4894
412.000000	93.442	-12.1321
418.000000	93.410	-11.7219
425.000000	93.361	-11.1630
431.000000	93.326	-10.7035
437.000000	93.296	-10.2957
444.000000	93.255	-9.8658
450.000000	93.223	-9.4525
455.000000	93.196	-9.0548
462.000000	93.160	-8.6074
468.000000	93.137	-8.2673
475.000000	93.109	-7.8390
482.000000	93.081	-7.3916
487.000000	93.062	-7.0479
494.000000	93.040	-6.5760
500.000000	93.027	-6.2028
508.000000	92.996	-5.7111
515.000000	92.972	-5.2692
522.000000	92.957	-4.8180
530.000000	92.927	-4.2602
538.000000	92.895	-3.7251
545.000000	92.874	-3.2675
552.000000	92.857	-2.7913
560.000000	92.835	-2.2422
570.000000	92.796	-1.5763
580.000000	92.769	-0.9491
590.000000	92.749	-0.2809
600.000000	92.727	0.3892
608.000000	92.713	0.9498
615.000000	92.699	1.4362
622.000000	92.688	1.9031
630.000000	92.682	2.4428
640.000000	92.674	3.1368
650.000000	92.663	3.7970
660.000000	92.657	4.4708
670.000000	92.655	5.1317
680.000000	92.653	5.7465
690.000000	92.647	6.3606
700.000000	92.646	6.9985
710.000000	92.652	7.6498
720.000000	92.665	8.3388
730.000000	92.676	9.0538
740.000000	92.684	9.7217
750.000000	92.693	10.3639
762.000000	92.710	11.1205
775.000000	92.735	11.9610
788.000000	92.765	12.8200
800.000000	92.786	13.5843
812.000000	92.809	14.3319
825.000000	92.845	15.1552
838.000000	92.886	15.9988
850.000000	92.926	16.7662
862.000000	92.967	17.4880
875.000000	93.014	18.2524
885.000000	93.053	18.8286
900.000000	93.117	19.6767
912.000000	93.173	20.3760
925.000000	93.238	21.1123
938.000000	93.305	21.7985
950.000000	93.370	22.3988
962.000000	93.438	22.9887
975.000000	93.514	23.6379
988.000000	93.589	24.2619
1000.000000	93.661	24.7965
1015.000000	93.755	25.4549
1030.000000	93.849	26.0862
1044.000000	93.941	26.6268
1060.000000	94.058	27.2143
1075.000000	94.173	27.7168
1090.000000	94.283	28.1430
1106.000000	94.392	28.5033
1120.000000	94.484	28.7365
1138.000000	94.599	28.9746
1150.000000	94.674	29.1238
1172.000000	94.804	29.3788
1180.000000	94.852	29.4580
1206.000000	95.008	29.6585
1220.000000	95.095	29.7348
1241.000000	95.228	29.8079
1250.000000	95.285	29.8308
1265.000000	95.381	29.8491
1280.000000	95.473	29.8513
1315.000000	95.671	29.8302
1320.000000	95.698	29.8235
1340.000000	95.803	29.7967
1360.000000	95.905	29.7594
1380.000000	96.009	29.6948
1400.000000	96.112	29.6213
1430.000000	96.257	29.5331
1450.000000	96.349	29.4675
1475.000000	96.460	29.3911
1500.000000	96.564	29.3438
1525.000000	96.663	29.3014
1550.000000	96.753	29.2512
1575.000000	96.837	29.1855
