* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 25, 2022 12:15:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kato Steel UC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.431	11.8287
20.600000	102.438	11.6353
20.900000	102.452	11.2091
21.200001	102.458	10.6796
21.400000	102.454	10.2938
21.799999	102.428	9.5612
22.000000	102.409	9.2669
22.400000	102.373	8.8701
22.700001	102.364	8.6979
23.000000	102.377	8.5302
23.299999	102.404	8.2670
23.600000	102.434	7.8540
24.000000	102.454	7.1223
24.299999	102.446	6.5649
24.700001	102.417	5.9945
25.000000	102.398	5.7355
25.400000	102.393	5.5280
25.799999	102.398	5.3019
26.200001	102.383	4.9877
26.500000	102.346	4.7530
26.900000	102.279	4.5260
27.200001	102.242	4.3842
27.600000	102.242	3.9726
28.000000	102.291	2.9935
28.500000	102.338	0.8969
29.000000	102.267	-1.2654
29.500000	102.102	-2.2215
30.000000	101.996	-1.5869
30.400000	102.025	-0.5673
30.700001	102.094	0.0235
31.100000	102.181	0.2770
31.500000	102.200	0.0357
32.000000	102.129	-0.3937
32.500000	102.048	-0.5942
33.000000	102.046	-0.8035
33.500000	102.104	-1.3530
34.000000	102.142	-2.1118
34.500000	102.128	-2.6878
35.000000	102.087	-2.9298
35.500000	102.051	-3.0269
36.000000	102.027	-3.2063
36.500000	102.018	-3.5247
37.000000	102.032	-3.9612
37.500000	102.064	-4.5179
38.200001	102.082	-5.3636
38.700001	102.050	-5.7766
39.500000	101.961	-5.9164
40.000000	101.914	-5.9117
40.599998	101.878	-6.0745
41.200001	101.863	-6.4307
41.799999	101.875	-6.9100
42.500000	101.901	-7.5576
43.099998	101.897	-8.0899
43.700001	101.852	-8.5092
44.400002	101.761	-8.8774
45.000000	101.673	-9.1647
45.500000	101.605	-9.4009
46.200001	101.541	-9.6920
46.799999	101.528	-9.8968
47.500000	101.557	-10.2068
48.200001	101.581	-10.7219
48.700001	101.560	-11.1202
49.400002	101.482	-11.4393
50.000000	101.416	-11.4756
50.799999	101.379	-11.5116
51.500000	101.386	-11.6628
52.200001	101.406	-11.9311
53.000000	101.386	-12.4570
53.799999	101.295	-13.0008
54.500000	101.223	-13.3245
55.200001	101.197	-13.5940
56.000000	101.170	-13.7831
57.000000	101.080	-14.1606
58.000000	100.897	-15.5987
59.000000	100.749	-16.9890
60.000000	100.800	-17.1944
60.799999	100.876	-16.7503
61.500000	100.906	-16.3859
62.200001	100.893	-16.4039
63.000000	100.835	-16.6445
64.000000	100.807	-16.7551
65.000000	100.788	-17.5610
66.000000	100.575	-18.5687
67.000000	100.412	-18.3833
68.000000	100.520	-18.3407
69.000000	100.612	-18.8248
70.000000	100.533	-18.6432
71.000000	100.462	-18.6512
72.000000	100.520	-20.1306
73.000000	100.764	-20.4056
74.000000	101.224	-18.8427
75.000000	101.276	-18.9869
76.199997	100.495	-20.5597
77.500000	99.960	-22.2133
78.800003	99.951	-23.1599
80.000000	99.903	-22.4686
81.199997	99.858	-22.1147
82.500000	99.836	-22.2216
83.800003	99.775	-22.2833
85.000000	99.685	-22.3687
86.199997	99.620	-22.5851
87.500000	99.574	-23.0088
88.500000	99.530	-23.3545
90.000000	99.445	-23.6681
91.199997	99.376	-23.9015
92.500000	99.297	-24.2386
93.800003	99.224	-24.4651
95.000000	99.140	-24.5103
96.199997	99.023	-24.6014
97.500000	98.897	-24.7654
98.800003	98.837	-24.7501
100.000000	98.799	-24.9021
101.500000	98.720	-25.2711
103.000000	98.656	-25.3413
104.400002	98.555	-24.9499
106.000000	98.462	-24.1858
107.500000	98.383	-23.4255
109.000000	98.265	-22.7572
110.599998	98.192	-21.8049
112.000000	98.233	-20.8301
113.800003	98.345	-20.5364
115.000000	98.405	-20.8609
117.199997	98.444	-20.6097
118.000000	98.420	-19.8833
120.599998	98.409	-19.0899
122.000000	98.455	-21.2108
124.099998	98.405	-23.0574
125.000000	98.379	-23.4021
126.500000	98.379	-23.9051
128.000000	98.400	-24.2684
131.500000	98.300	-24.8313
132.000000	98.268	-24.9054
134.000000	98.171	-25.1487
136.000000	98.100	-25.3345
138.000000	98.028	-25.5541
140.000000	97.957	-25.6921
143.000000	97.865	-26.1172
145.000000	97.804	-26.4274
147.500000	97.773	-26.8012
150.000000	97.705	-26.9512
152.500000	97.554	-26.8262
155.000000	97.454	-26.6712
157.500000	97.375	-26.2812
160.000000	97.279	-26.4258
162.500000	97.205	-26.7293
165.000000	97.136	-26.9133
167.500000	97.072	-27.0517
170.000000	97.011	-27.1300
172.500000	96.940	-27.0923
175.000000	96.875	-27.0214
177.500000	96.808	-26.9975
180.000000	96.740	-27.0104
182.500000	96.674	-26.9475
185.000000	96.601	-26.8566
187.500000	96.532	-26.8111
190.000000	96.471	-26.7919
192.500000	96.412	-26.7444
195.000000	96.347	-26.6667
197.500000	96.287	-26.6048
200.000000	96.231	-26.5474
203.000000	96.170	-26.4496
206.000000	96.102	-26.3474
209.000000	96.027	-26.2102
212.000000	95.940	-26.1098
214.000000	95.881	-26.0619
218.000000	95.782	-25.9218
220.000000	95.747	-25.8319
224.000000	95.691	-25.6615
227.000000	95.640	-25.5064
230.000000	95.584	-25.3594
233.000000	95.525	-25.2419
236.000000	95.473	-25.1109
240.000000	95.410	-24.9665
243.000000	95.337	-24.8400
247.000000	95.244	-24.6294
250.000000	95.188	-24.4459
254.000000	95.119	-24.2093
258.000000	95.055	-24.0102
262.000000	94.986	-23.7932
265.000000	94.940	-23.5909
269.000000	94.883	-23.3582
272.000000	94.840	-23.2266
276.000000	94.780	-23.0414
280.000000	94.723	-22.7987
285.000000	94.655	-22.4571
290.000000	94.586	-22.1249
295.000000	94.521	-21.8033
300.000000	94.455	-21.5174
304.000000	94.403	-21.3039
307.000000	94.371	-21.1395
311.000000	94.331	-20.9103
315.000000	94.291	-20.6712
320.000000	94.237	-20.3733
325.000000	94.175	-20.0743
330.000000	94.119	-19.7659
335.000000	94.070	-19.4641
340.000000	94.020	-19.1370
345.000000	93.970	-18.8493
350.000000	93.917	-18.5994
355.000000	93.865	-18.3073
360.000000	93.818	-17.9773
365.000000	93.777	-17.6443
370.000000	93.736	-17.3203
375.000000	93.695	-16.9986
382.000000	93.636	-16.5363
387.000000	93.592	-16.2246
395.000000	93.529	-15.7590
400.000000	93.495	-15.4448
406.000000	93.455	-15.0381
412.000000	93.412	-14.6567
418.000000	93.372	-14.3182
425.000000	93.327	-13.8937
431.000000	93.291	-13.5274
437.000000	93.254	-13.1580
444.000000	93.208	-12.7157
450.000000	93.175	-12.3464
455.000000	93.152	-12.0465
462.000000	93.119	-11.6195
468.000000	93.090	-11.2419
475.000000	93.063	-10.8007
482.000000	93.039	-10.3730
487.000000	93.018	-10.0772
494.000000	92.989	-9.6713
500.000000	92.966	-9.3309
508.000000	92.935	-8.8579
515.000000	92.905	-8.4421
522.000000	92.877	-8.0303
530.000000	92.848	-7.5755
538.000000	92.819	-7.1000
545.000000	92.791	-6.6666
552.000000	92.765	-6.2301
560.000000	92.741	-5.7360
570.000000	92.713	-5.1259
580.000000	92.686	-4.4882
590.000000	92.661	-3.8647
600.000000	92.640	-3.2447
608.000000	92.624	-2.7378
615.000000	92.611	-2.3226
622.000000	92.600	-1.9088
630.000000	92.584	-1.4028
640.000000	92.566	-0.7639
650.000000	92.557	-0.1737
660.000000	92.549	0.4202
670.000000	92.542	1.0330
680.000000	92.538	1.6527
690.000000	92.539	2.2712
700.000000	92.535	2.8813
710.000000	92.530	3.4809
720.000000	92.530	4.0736
730.000000	92.536	4.6667
740.000000	92.545	5.2765
750.000000	92.557	5.8877
762.000000	92.570	6.6067
775.000000	92.585	7.3944
788.000000	92.601	8.2052
800.000000	92.624	8.9591
812.000000	92.652	9.6927
825.000000	92.683	10.4469
838.000000	92.718	11.2040
850.000000	92.753	11.9161
862.000000	92.790	12.6167
875.000000	92.834	13.3540
885.000000	92.872	13.9133
900.000000	92.932	14.7178
912.000000	92.987	15.3421
925.000000	93.049	16.0082
938.000000	93.112	16.6593
950.000000	93.171	17.2505
962.000000	93.233	17.8184
975.000000	93.305	18.3938
988.000000	93.381	18.9485
1000.000000	93.455	19.4379
1015.000000	93.548	20.0000
1030.000000	93.642	20.5138
1044.000000	93.732	20.9511
1060.000000	93.834	21.4146
1075.000000	93.924	21.8140
1090.000000	94.009	22.1764
1106.000000	94.103	22.5357
1120.000000	94.187	22.8035
1138.000000	94.294	23.0871
1150.000000	94.365	23.2514
1172.000000	94.494	23.4942
1180.000000	94.539	23.5644
1206.000000	94.688	23.7508
1220.000000	94.771	23.8126
1241.000000	94.902	23.8423
1250.000000	94.958	23.8470
1265.000000	95.049	23.8582
1280.000000	95.137	23.8608
1315.000000	95.329	23.7935
1320.000000	95.354	23.7771
1340.000000	95.456	23.7100
1360.000000	95.555	23.6351
1380.000000	95.653	23.5454
1400.000000	95.750	23.4585
1430.000000	95.890	23.3440
1450.000000	95.977	23.2606
1475.000000	96.084	23.1693
1500.000000	96.184	23.1085
1525.000000	96.272	23.0602
1550.000000	96.348	23.0324
1575.000000	96.418	23.0151
1600.000000	96.485	23.0356
1625.000000	96.549	23.1061
1650.000000	96.614	23.2301
1675.000000	96.685	23.4322
1700.000000	96.773	23.6948
1725.000000	96.886	23.9314
1750.000000	97.018	24.0617
1775.000000	97.154	24.0448
1800.000000	97.284	23.8755
1825.000000	97.398	23.6238
1850.000000	97.495	23.3634
1875.000000	97.580	23.1341
1900.000000	97.655	22.9476
1925.000000	97.726	22.8078
1950.000000	97.795	22.7139
1975.000000	97.866	22.6676
2000.000000	97.941	22.6728
2030.000000	98.040	22.7310
2060.000000	98.154	22.8160
2090.000000	98.286	22.9076
2120.000000	98.439	22.9394
2140.000000	98.552	22.8761
2180.000000	98.786	22.4691
2200.000000	98.895	22.1357
2240.000000	99.087	21.3145
2270.000000	99.208	20.6475
2300.000000	99.311	19.9877
2330.000000	99.402	19.3532
2360.000000	99.486	18.7509
2400.000000	99.591	17.9745
2430.000000	99.667	17.4120
2470.000000	99.764	16.6943
2500.000000	99.834	16.1778
2540.000000	99.929	15.5175
2580.000000	100.029	14.8781
2620.000000	100.136	14.2421
2650.000000	100.221	13.7322
2690.000000	100.339	12.9645
2720.000000	100.427	12.3146
2760.000000	100.536	11.3807
2800.000000	100.636	10.3843
2850.000000	100.752	9.0333
2900.000000	100.847	7.5764
2950.000000	100.915	6.0804
3000.000000	100.960	4.5976
3040.000000	100.985	3.4273
3070.000000	100.999	2.5585
3110.000000	101.010	1.4116
3150.000000	101.012	0.2746
3200.000000	101.005	-1.1466
3250.000000	100.982	-2.5384
3300.000000	100.943	-3.8901
3350.000000	100.891	-5.2106
3400.000000	100.827	-6.4933
3450.000000	100.751	-7.7200
3500.000000	100.663	-8.8787
3550.000000	100.567	-9.9702
3600.000000	100.465	-10.9939
3650.000000	100.358	-11.9604
3700.000000	100.242	-12.8637
3750.000000	100.120	-13.7066
3820.000000	99.944	-14.7838
3870.000000	99.817	-15.4748
3950.000000	99.615	-16.4388
4000.000000	99.488	-16.9609
4060.000000	99.334	-17.5130
4120.000000	99.176	-17.9858
4180.000000	99.018	-18.3849
4250.000000	98.837	-18.7717
4310.000000	98.685	-19.0316
4370.000000	98.531	-19.2176
4440.000000	98.351	-19.3384
4500.000000	98.204	-19.3619
4550.000000	98.090	-19.3559
4620.000000	97.936	-19.3427
4680.000000	97.801	-19.3316
4750.000000	97.639	-19.2797
4820.000000	97.469	-19.1382
4870.000000	97.343	-18.9757
4940.000000	97.162	-18.6780
5000.000000	97.010	-18.3670
5080.000000	96.814	-17.8410
5150.000000	96.648	-17.2795
5220.000000	96.488	-16.6463
5300.000000	96.318	-15.8624
5380.000000	96.161	-15.0160
5450.000000	96.030	-14.2119
5520.000000	95.902	-13.3674
5600.000000	95.765	-12.3654
5700.000000	95.608	-11.0486
5800.000000	95.465	-9.6312
5900.000000	95.348	-8.1271
6000.000000	95.262	-6.5703
6080.000000	95.214	-5.3016
6150.000000	95.188	-4.1842
6220.000000	95.174	-3.0746
6300.000000	95.175	-1.8213
6400.000000	95.204	-0.2573
6500.000000	95.259	1.3023
6600.000000	95.347	2.8203
6700.000000	95.472	4.2787
6800.000000	95.634	5.6596
6900.000000	95.836	6.9412
7000.000000	96.084	8.0917
7100.000000	96.383	9.0730
7200.000000	96.733	9.8110
7300.000000	97.125	10.2082
7400.000000	97.559	10.1666
7500.000000	98.028	9.6039
7620.000000	98.617	8.1168
7750.000000	99.246	5.2715
7880.000000	99.804	0.9032
8000.000000	100.187	-4.5339
8120.000000	100.367	-11.1107
8250.000000	100.260	-18.9296
8380.000000	99.820	-26.5681
8500.000000	99.154	-32.6958
8620.000000	98.305	-37.5033
8750.000000	97.271	-41.1174
8850.000000	96.446	-42.8590
9000.000000	95.225	-44.0675
9120.000000	94.295	-44.0691
9250.000000	93.351	-43.3327
9380.000000	92.480	-41.9961
9500.000000	91.740	-40.3536
9620.000000	91.060	-38.4209
9750.000000	90.384	-36.0632
9880.000000	89.769	-33.4783
10000.000000	89.255	-30.9332
10150.000000	88.679	-27.5897
10300.000000	88.170	-24.1007
10440.000000	87.753	-20.7739
10600.000000	87.339	-16.9464
10750.000000	87.000	-13.3112
10900.000000	86.712	-9.6356
11060.000000	86.462	-5.7010
11200.000000	86.297	-2.2957
11380.000000	86.154	1.9542
11500.000000	86.093	4.6975
11720.000000	86.067	9.5532
11800.000000	86.087	11.2309
12060.000000	86.248	16.2459
12200.000000	86.399	18.6296
12410.000000	86.719	21.7046
12500.000000	86.885	22.8079
12650.000000	87.187	24.3164
12800.000000	87.511	25.3745
13150.000000	88.285	25.7906
13200.000000	88.389	25.5969
13400.000000	88.758	24.1861
13600.000000	89.038	21.8269
13800.000000	89.213	18.7924
14000.000000	89.235	15.5354
14300.000000	88.944	11.4085
14500.000000	88.618	9.5831
14750.000000	88.164	8.2740
15000.000000	87.718	7.6777
15250.000000	87.293	7.3786
15500.000000	86.869	7.0754
15750.000000	86.413	6.5970
16000.000000	85.890	5.9758
16250.000000	85.276	5.2306
16500.000000	84.572	3.9458
16750.000000	83.632	1.2571
17000.000000	81.906	1.6244
17250.000000	79.750	15.7974
17500.000000	79.255	28.6562
17750.000000	78.954	33.0392
18000.000000	78.159	37.5399
18250.000000	77.222	44.3801
18500.000000	76.423	53.1444
18750.000000	75.906	63.0964
19000.000000	75.731	73.2437
19250.000000	75.892	82.7387
19500.000000	76.256	90.9751
19750.000000	76.550	97.2017
