* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 25, 2022 12:23:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kato Steel Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.987	13.9601
20.600000	101.980	13.7869
20.900000	101.967	13.4326
21.200001	101.966	13.0423
21.400000	101.973	12.7587
21.799999	101.996	12.1265
22.000000	102.008	11.7927
22.400000	102.028	11.1425
22.700001	102.035	10.7158
23.000000	102.036	10.3606
23.299999	102.030	10.0725
23.600000	102.020	9.8280
24.000000	102.001	9.5100
24.299999	101.986	9.2381
24.700001	101.963	8.7981
25.000000	101.948	8.4097
25.400000	101.936	7.8328
25.799999	101.935	7.2243
26.200001	101.944	6.6286
26.500000	101.951	6.2208
26.900000	101.952	5.7764
27.200001	101.942	5.5465
27.600000	101.918	5.3945
28.000000	101.890	5.3833
28.500000	101.866	5.4033
29.000000	101.862	5.2071
29.500000	101.862	4.6663
30.000000	101.848	3.8994
30.400000	101.823	3.2891
30.700001	101.801	2.9045
31.100000	101.776	2.5140
31.500000	101.758	2.2259
32.000000	101.742	1.9141
32.500000	101.724	1.5954
33.000000	101.701	1.2748
33.500000	101.681	0.9596
34.000000	101.670	0.6207
34.500000	101.663	0.2383
35.000000	101.650	-0.1580
35.500000	101.633	-0.5272
36.000000	101.617	-0.8710
36.500000	101.607	-1.2263
37.000000	101.599	-1.6114
37.500000	101.588	-2.0013
38.200001	101.565	-2.4848
38.700001	101.545	-2.7725
39.500000	101.514	-3.1865
40.000000	101.499	-3.4544
40.599998	101.483	-3.8030
41.200001	101.466	-4.1583
41.799999	101.447	-4.4888
42.500000	101.426	-4.8583
43.099998	101.406	-5.1980
43.700001	101.376	-5.5361
44.400002	101.332	-5.8522
45.000000	101.297	-6.0775
45.500000	101.274	-6.3059
46.200001	101.247	-6.7393
46.799999	101.224	-7.1370
47.500000	101.207	-7.4875
48.200001	101.198	-7.7190
48.700001	101.185	-7.8818
49.400002	101.146	-8.1817
50.000000	101.107	-8.5518
50.799999	101.078	-9.3051
51.500000	101.069	-10.1410
52.200001	101.055	-10.8446
53.000000	101.034	-11.2419
53.799999	101.008	-11.2841
54.500000	100.978	-11.1266
55.200001	100.948	-10.9428
56.000000	100.909	-10.9948
57.000000	100.873	-11.4660
58.000000	100.943	-12.3063
59.000000	100.980	-13.3093
60.000000	100.849	-13.3135
60.799999	100.744	-12.8893
61.500000	100.695	-12.9161
62.200001	100.652	-13.2801
63.000000	100.590	-13.6133
64.000000	100.510	-13.7964
65.000000	100.448	-14.1781
66.000000	100.445	-14.5096
67.000000	100.494	-14.5575
68.000000	100.472	-14.7332
69.000000	100.365	-15.1603
70.000000	100.303	-15.5883
71.000000	100.319	-15.8174
72.000000	100.336	-16.0772
73.000000	100.320	-16.8846
74.000000	100.256	-17.9955
75.000000	100.156	-18.2540
76.199997	100.085	-17.5344
77.500000	100.030	-17.3412
78.800003	99.975	-17.6221
80.000000	99.931	-17.9000
81.199997	99.869	-18.1482
82.500000	99.817	-18.4724
83.800003	99.765	-18.7191
85.000000	99.713	-18.8723
