* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 9 오후 2:05:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_11
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.094	178.6270
20.600000	88.084	178.3750
20.900000	88.062	177.9281
21.200001	88.034	177.5111
21.400000	88.013	177.2465
21.799999	87.961	176.7219
22.000000	87.931	176.4552
22.400000	87.870	175.9211
22.700001	87.828	175.5235
23.000000	87.792	175.1269
23.299999	87.760	174.7308
23.600000	87.729	174.3352
24.000000	87.691	173.8095
24.299999	87.667	173.4174
24.700001	87.641	172.8964
25.000000	87.622	172.5044
25.400000	87.600	171.9773
25.799999	87.579	171.4486
26.200001	87.558	170.9316
26.500000	87.540	170.5624
26.900000	87.509	170.1042
27.200001	87.483	169.7871
27.600000	87.445	169.3924
28.000000	87.404	169.0151
28.500000	87.346	168.5474
29.000000	87.282	168.0766
29.500000	87.217	167.6130
30.000000	87.146	167.1727
30.400000	87.089	166.8414
30.700001	87.051	166.6026
31.100000	87.007	166.2889
31.500000	86.969	165.9734
32.000000	86.925	165.5745
32.500000	86.885	165.1827
33.000000	86.850	164.8125
33.500000	86.815	164.4631
34.000000	86.782	164.1219
34.500000	86.749	163.7824
35.000000	86.716	163.4497
35.500000	86.684	163.1263
36.000000	86.650	162.8023
36.500000	86.612	162.4681
37.000000	86.565	162.1326
37.500000	86.509	161.8180
38.200001	86.432	161.4366
38.700001	86.385	161.1961
39.500000	86.313	160.8355
40.000000	86.266	160.6159
40.599998	86.207	160.3399
41.200001	86.140	160.0452
41.799999	86.063	159.7849
42.500000	85.979	159.6085
43.099998	85.936	159.5195
43.700001	85.917	159.3501
44.400002	85.894	158.9958
45.000000	85.853	158.6649
45.500000	85.809	158.4464
46.200001	85.748	158.2094
46.799999	85.700	158.0009
47.500000	85.643	157.7327
48.200001	85.587	157.4802
48.700001	85.547	157.3166
49.400002	85.485	157.0983
50.000000	85.425	156.9181
50.799999	85.341	156.6854
51.500000	85.266	156.4865
52.200001	85.193	156.3156
53.000000	85.122	156.1834
53.799999	85.067	156.0946
54.500000	85.028	156.0241
55.200001	84.995	155.9441
56.000000	84.961	155.8154
57.000000	84.918	155.5853
58.000000	84.857	155.2479
59.000000	84.757	154.9006
60.000000	84.648	154.8164
60.799999	84.591	154.8317
61.500000	84.553	154.7922
62.200001	84.515	154.7377
63.000000	84.472	154.6902
64.000000	84.423	154.6126
65.000000	84.379	154.5237
66.000000	84.335	154.4155
67.000000	84.280	154.3223
68.000000	84.223	154.2729
69.000000	84.158	154.2065
70.000000	84.083	154.1406
71.000000	84.014	154.0878
72.000000	83.951	154.0302
73.000000	83.888	153.9722
74.000000	83.823	153.9405
75.000000	83.763	154.0291
76.199997	83.727	154.1892
77.500000	83.707	154.0569
78.800003	83.649	153.7435
80.000000	83.572	153.5447
81.199997	83.487	153.5148
82.500000	83.417	153.6351
83.800003	83.381	153.7824
85.000000	83.361	153.8629
86.199997	83.328	153.8699
87.500000	83.268	153.8750
88.500000	83.218	153.9243
90.000000	83.152	153.9336
91.199997	83.089	153.8786
92.500000	83.017	153.8691
93.800003	82.956	153.9424
95.000000	82.921	153.9859
96.199997	82.890	153.9360
97.500000	82.844	153.9085
98.800003	82.802	153.9936
100.000000	82.767	154.0869
101.500000	82.717	154.1871
103.000000	82.659	154.2820
104.400002	82.612	154.3377
106.000000	82.573	154.2911
107.500000	82.535	154.1915
109.000000	82.486	154.2631
110.599998	82.433	154.5001
112.000000	82.368	154.6680
113.800003	82.272	154.7474
115.000000	82.232	154.6245
117.199997	82.260	153.8921
118.000000	82.293	153.4146
120.599998	82.175	152.4545
122.000000	82.084	153.4426
124.099998	82.050	154.7670
125.000000	82.029	155.0657
126.500000	81.994	155.2531
128.000000	81.973	155.1186
131.500000	81.916	154.8661
132.000000	81.906	154.9660
134.000000	81.872	155.4521
136.000000	81.823	155.7783
138.000000	81.767	155.8275
140.000000	81.710	155.8230
143.000000	81.670	156.2047
145.000000	81.665	156.2924
147.500000	81.598	156.1982
150.000000	81.512	156.2905
152.500000	81.445	156.4975
155.000000	81.405	156.6083
157.500000	81.389	156.6353
160.000000	81.389	156.8524
162.500000	81.393	157.2734
165.000000	81.365	157.6060
167.500000	81.299	157.8979
170.000000	81.182	158.4834
172.500000	81.046	159.5390
175.000000	81.028	160.2897
177.500000	81.074	159.8052
180.000000	81.080	159.3406
182.500000	81.054	159.6752
185.000000	81.006	160.4406
187.500000	80.960	161.1792
190.000000	80.951	161.6024
192.500000	80.951	161.5720
195.000000	80.971	161.2819
197.500000	81.020	160.8392
200.000000	81.051	160.6790
203.000000	81.064	160.9048
206.000000	81.091	160.7040
209.000000	81.151	160.1386
212.000000	81.178	159.7218
214.000000	81.127	159.8020
218.000000	81.044	160.4646
220.000000	81.025	160.6529
224.000000	80.996	160.5379
227.000000	80.984	159.8901
230.000000	80.952	159.6783
233.000000	80.919	160.1112
236.000000	80.886	160.4451
240.000000	80.850	160.5601
243.000000	80.829	160.6785
247.000000	80.804	160.7800
250.000000	80.781	160.8705
254.000000	80.742	160.9594
258.000000	80.715	160.9740
262.000000	80.697	161.0605
265.000000	80.675	161.1746
269.000000	80.635	161.3123
272.000000	80.606	161.3833
276.000000	80.583	161.4621
280.000000	80.568	161.6344
285.000000	80.550	161.8222
290.000000	80.518	161.9370
295.000000	80.487	162.1178
300.000000	80.458	162.2846
304.000000	80.428	162.3963
307.000000	80.413	162.4544
311.000000	80.399	162.5337
315.000000	80.374	162.6511
320.000000	80.341	162.7763
325.000000	80.313	162.9057
330.000000	80.280	163.0869
335.000000	80.242	163.2413
340.000000	80.208	163.4167
345.000000	80.191	163.6666
350.000000	80.174	163.9254
355.000000	80.151	164.1474
360.000000	80.123	164.3992
365.000000	80.080	164.6278
370.000000	80.043	164.8922
375.000000	80.017	165.2618
382.000000	79.998	165.9689
387.000000	80.012	166.5378
395.000000	80.076	167.4120
400.000000	80.144	167.7072
406.000000	80.239	167.7222
412.000000	80.311	167.5274
418.000000	80.335	167.3097
425.000000	80.318	167.0529
431.000000	80.297	166.8959
437.000000	80.275	166.8030
444.000000	80.240	166.8345
450.000000	80.213	166.9482
455.000000	80.193	167.0018
462.000000	80.170	167.0743
468.000000	80.150	167.2292
475.000000	80.130	167.4364
482.000000	80.110	167.6206
487.000000	80.096	167.7364
494.000000	80.080	167.9315
500.000000	80.060	168.1299
508.000000	80.028	168.4055
515.000000	80.008	168.6540
522.000000	79.994	168.8512
530.000000	79.990	169.0552
538.000000	79.996	169.3799
545.000000	79.995	169.6911
552.000000	79.990	169.9276
560.000000	79.982	170.1644
570.000000	79.989	170.5294
580.000000	80.001	170.8903
590.000000	79.994	171.1579
600.000000	79.973	171.4360
608.000000	79.968	171.7106
615.000000	79.976	171.9260
622.000000	79.988	172.1241
630.000000	80.000	172.3344
640.000000	80.009	172.6119
650.000000	80.015	172.9274
660.000000	80.016	173.2586
670.000000	80.020	173.6225
680.000000	80.032	173.9523
690.000000	80.036	174.2534
700.000000	80.031	174.5550
710.000000	80.035	174.8905
720.000000	80.053	175.2714
730.000000	80.071	175.6144
740.000000	80.086	176.0007
750.000000	80.105	176.3689
762.000000	80.126	176.7499
775.000000	80.143	177.2614
788.000000	80.169	177.7681
800.000000	80.205	178.2132
812.000000	80.237	178.6759
825.000000	80.272	179.1861
838.000000	80.311	179.7053
850.000000	80.352	-179.8545
862.000000	80.393	-179.4167
875.000000	80.447	-178.9105
885.000000	80.488	-178.5431
900.000000	80.551	-178.0380
912.000000	80.608	-177.6335
925.000000	80.680	-177.2101
938.000000	80.758	-176.8057
950.000000	80.830	-176.4485
962.000000	80.892	-176.1160
975.000000	80.960	-175.8012
988.000000	81.039	-175.5546
1000.000000	81.114	-175.3423
1015.000000	81.200	-174.9851
1030.000000	81.293	-174.6831
1044.000000	81.383	-174.4079
1060.000000	81.479	-174.1591
1075.000000	81.567	-173.9794
1090.000000	81.660	-173.7925
1106.000000	81.759	-173.5948
1120.000000	81.844	-173.4551
1138.000000	81.951	-173.2607
1150.000000	82.025	-173.1206
1172.000000	82.163	-172.9240
1180.000000	82.209	-172.8699
1206.000000	82.340	-172.7238
1220.000000	82.399	-172.6857
1241.000000	82.478	-172.6086
1250.000000	82.516	-172.5661
1265.000000	82.595	-172.5117
1280.000000	82.702	-172.4792
1315.000000	83.034	-172.3886
1320.000000	83.085	-172.3764
1340.000000	83.279	-172.3249
1360.000000	83.455	-172.2366
1380.000000	83.605	-172.1462
1400.000000	83.728	-172.0436
1430.000000	83.897	-171.8607
1450.000000	84.015	-171.7891
1475.000000	84.170	-171.7257
1500.000000	84.342	-171.6587
1525.000000	84.520	-171.6116
1550.000000	84.703	-171.6013
1575.000000	84.895	-171.6183
1600.000000	85.092	-171.6955
1625.000000	85.292	-171.8340
1650.000000	85.494	-172.0359
1675.000000	85.704	-172.3481
1700.000000	85.920	-172.7609
1725.000000	86.135	-173.2907
1750.000000	86.345	-173.9317
1775.000000	86.547	-174.6838
1800.000000	86.737	-175.5341
1825.000000	86.913	-176.4670
1850.000000	87.070	-177.4785
1875.000000	87.206	-178.5516
1900.000000	87.324	-179.6575
1925.000000	87.419	179.2692
1950.000000	87.493	178.2583
1975.000000	87.552	177.2877
2000.000000	87.598	176.3892
2030.000000	87.640	175.4663
2060.000000	87.674	174.7066
2090.000000	87.707	174.1040
2120.000000	87.747	173.6382
2140.000000	87.782	173.3676
2180.000000	87.870	172.8967
2200.000000	87.924	172.6823
2240.000000	88.056	172.2502
2270.000000	88.171	171.8939
2300.000000	88.293	171.4884
2330.000000	88.427	170.9787
2360.000000	88.569	170.3652
2400.000000	88.761	169.3848
2430.000000	88.907	168.4885
2470.000000	89.089	167.1009
2500.000000	89.217	165.9279
2540.000000	89.363	164.1891
2580.000000	89.469	162.2922
2620.000000	89.539	160.2722
2650.000000	89.568	158.6980
2690.000000	89.573	156.5590
2720.000000	89.549	154.9599
2760.000000	89.479	152.8683
2800.000000	89.365	150.8597
2850.000000	89.171	148.5757
2900.000000	88.931	146.5968
2950.000000	88.647	144.9446
3000.000000	88.332	143.6948
3040.000000	88.063	142.9964
3070.000000	87.859	142.6695
3110.000000	87.598	142.4962
3150.000000	87.360	142.5635
3200.000000	87.096	142.8558
3250.000000	86.862	143.2821
3300.000000	86.648	143.8171
3350.000000	86.451	144.4723
3400.000000	86.275	145.2653
3450.000000	86.121	146.1683
3500.000000	85.996	147.1457
3550.000000	85.900	148.1326
3600.000000	85.819	149.0741
3650.000000	85.744	149.9985
3700.000000	85.672	150.9915
3750.000000	85.613	152.1046
3820.000000	85.579	153.7806
3870.000000	85.590	154.9155
3950.000000	85.646	156.5232
4000.000000	85.691	157.4459
4060.000000	85.752	158.5159
4120.000000	85.813	159.5615
4180.000000	85.876	160.6226
4250.000000	85.958	161.8413
4310.000000	86.039	162.8588
4370.000000	86.145	163.9004
4440.000000	86.325	165.1094
4500.000000	86.539	166.0862
4550.000000	86.755	166.8093
4620.000000	87.103	167.5851
4680.000000	87.440	168.0101
4750.000000	87.876	168.1697
4820.000000	88.351	167.8161
4870.000000	88.708	167.1738
4940.000000	89.214	165.6465
5000.000000	89.633	163.6574
5080.000000	90.122	159.9590
5150.000000	90.438	155.8475
5220.000000	90.604	151.1262
5300.000000	90.574	145.4562
5380.000000	90.316	140.1365
5450.000000	89.943	136.1505
5520.000000	89.481	132.9548
5600.000000	88.898	130.2952
5700.000000	88.145	128.2601
5800.000000	87.419	127.4269
5900.000000	86.749	127.5158
6000.000000	86.161	128.2079
6080.000000	85.767	129.0922
6150.000000	85.472	130.0597
6220.000000	85.214	131.1449
6300.000000	84.957	132.4658
6400.000000	84.686	134.1761
6500.000000	84.464	135.9428
6600.000000	84.278	137.7918
6700.000000	84.131	139.6889
6800.000000	84.025	141.5970
6900.000000	83.952	143.5221
7000.000000	83.911	145.4715
7100.000000	83.909	147.5049
7200.000000	83.962	149.6002
7300.000000	84.090	151.6456
7400.000000	84.295	153.5460
7500.000000	84.568	155.1755
7620.000000	84.961	156.4823
7750.000000	85.412	156.7814
7880.000000	85.785	155.6406
8000.000000	85.980	153.1923
8120.000000	85.980	149.6128
8250.000000	85.725	144.9871
8380.000000	85.187	140.4150
8500.000000	84.465	137.0175
8620.000000	83.576	134.8704
8750.000000	82.498	134.1633
8850.000000	81.650	134.7523
9000.000000	80.450	137.1937
9120.000000	79.584	140.2478
9250.000000	78.752	144.3749
9380.000000	78.046	149.1222
9500.000000	77.494	153.8606
9620.000000	77.031	158.8313
9750.000000	76.658	164.3938
9880.000000	76.419	169.9632
10000.000000	76.303	175.0936
10150.000000	76.327	-178.6655
10300.000000	76.570	-172.8382
10440.000000	77.001	-167.9409
10600.000000	77.721	-163.5756
10750.000000	78.605	-161.5206
10900.000000	79.597	-162.5284
11060.000000	80.492	-168.2105
11200.000000	80.798	-176.8573
11380.000000	80.173	170.7143
11500.000000	79.120	164.6996
11720.000000	76.461	162.3715
11800.000000	75.479	164.0252
12060.000000	72.941	173.9512
12200.000000	71.960	-179.5660
12410.000000	70.806	-168.8696
12500.000000	70.427	-163.8942
12650.000000	69.966	-155.2686
12800.000000	69.736	-146.4743
13150.000000	70.064	-127.1972
13200.000000	70.179	-124.8049
13400.000000	70.702	-116.5299
13600.000000	71.216	-110.3518
13800.000000	71.623	-105.5729
14000.000000	71.912	-101.3270
14300.000000	72.329	-94.4598
14500.000000	72.804	-89.3019
14750.000000	73.787	-83.2162
15000.000000	75.319	-79.7697
15250.000000	77.167	-82.8764
15500.000000	78.453	-96.3933
15750.000000	78.264	-117.6413
16000.000000	76.338	-136.5307
16250.000000	72.997	-143.3593
16500.000000	69.106	-134.7201
16750.000000	66.472	-117.2784
17000.000000	66.084	-101.9144
17250.000000	66.497	-93.8960
17500.000000	66.659	-89.1781
17750.000000	66.813	-83.9722
18000.000000	67.332	-79.3911
18250.000000	68.158	-77.8114
18500.000000	68.903	-81.3250
18750.000000	69.066	-89.6689
19000.000000	68.344	-98.8797
19250.000000	66.849	-104.3651
19500.000000	64.973	-104.7754
19750.000000	63.108	-101.8593
20000.000000	61.901	-99.5134
