* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 9 오후 1:36:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_01
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.157	178.9572
20.600000	88.145	178.7200
20.900000	88.117	178.3071
21.200001	88.086	177.9397
21.400000	88.066	177.7098
21.799999	88.022	177.2379
22.000000	87.998	176.9803
22.400000	87.946	176.4211
22.700001	87.909	175.9776
23.000000	87.873	175.5327
23.299999	87.837	175.1054
23.600000	87.801	174.7047
24.000000	87.758	174.2098
24.299999	87.735	173.8528
24.700001	87.714	173.3704
25.000000	87.702	172.9925
25.400000	87.686	172.4692
25.799999	87.671	171.9428
26.200001	87.655	171.4325
26.500000	87.642	171.0638
26.900000	87.617	170.5885
27.200001	87.593	170.2442
27.600000	87.551	169.8097
28.000000	87.500	169.4208
28.500000	87.427	169.0090
29.000000	87.359	168.6393
29.500000	87.299	168.2433
30.000000	87.238	167.7893
30.400000	87.184	167.4030
30.700001	87.145	167.1143
31.100000	87.099	166.7398
31.500000	87.057	166.3774
32.000000	87.010	165.9466
32.500000	86.974	165.5521
33.000000	86.954	165.1716
33.500000	86.941	164.7423
34.000000	86.918	164.2527
34.500000	86.877	163.8232
35.000000	86.829	163.5818
35.500000	86.803	163.4706
36.000000	86.796	163.2667
36.500000	86.772	162.8774
37.000000	86.703	162.4980
37.500000	86.609	162.3471
38.200001	86.513	162.2707
38.700001	86.450	161.9494
39.500000	86.212	161.5827
40.000000	86.041	162.1728
40.599998	85.993	163.3748
41.200001	86.117	163.7058
41.799999	86.214	162.6771
42.500000	86.142	161.0399
43.099998	86.019	160.2910
43.700001	85.953	159.9082
44.400002	85.927	159.3317
45.000000	85.888	158.8080
45.500000	85.851	158.5256
46.200001	85.818	158.2785
46.799999	85.800	158.0477
47.500000	85.771	157.7772
48.200001	85.736	157.5689
48.700001	85.705	157.4414
49.400002	85.643	157.2869
50.000000	85.575	157.1940
50.799999	85.479	157.0987
51.500000	85.396	157.0067
52.200001	85.324	156.9012
53.000000	85.268	156.7279
53.799999	85.229	156.4498
54.500000	85.193	156.1535
55.200001	85.149	155.8928
56.000000	85.096	155.7183
57.000000	85.036	155.6626
58.000000	84.969	155.6349
59.000000	84.873	155.6945
60.000000	84.795	155.9267
60.799999	84.768	155.9298
61.500000	84.739	155.6679
62.200001	84.679	155.3110
63.000000	84.584	155.0158
64.000000	84.478	154.9348
65.000000	84.438	154.9943
66.000000	84.446	154.7958
67.000000	84.421	154.4374
68.000000	84.367	154.2818
69.000000	84.302	154.2545
70.000000	84.223	154.2677
71.000000	84.143	154.2826
72.000000	84.065	154.2299
73.000000	83.990	154.1491
74.000000	83.934	154.0478
75.000000	83.901	153.9182
76.199997	83.885	153.7146
77.500000	83.861	153.5394
78.800003	83.826	153.4638
80.000000	83.767	153.4691
81.199997	83.686	153.4761
82.500000	83.570	153.5439
83.800003	83.484	153.7314
85.000000	83.447	153.8566
86.199997	83.426	153.8325
87.500000	83.391	153.7741
88.500000	83.355	153.7351
90.000000	83.284	153.7713
91.199997	83.225	153.7698
92.500000	83.151	153.7731
93.800003	83.096	153.8583
95.000000	83.071	153.9427
96.199997	83.059	154.0095
97.500000	83.044	154.0046
98.800003	82.994	153.9619
100.000000	82.923	154.0170
101.500000	82.836	154.1025
103.000000	82.762	154.1143
104.400002	82.715	154.0911
106.000000	82.674	154.0556
107.500000	82.640	154.1134
109.000000	82.607	154.1979
110.599998	82.560	154.3116
112.000000	82.517	154.3909
113.800003	82.450	154.4240
115.000000	82.405	154.4513
117.199997	82.339	154.1519
118.000000	82.296	153.9115
120.599998	82.112	154.0212
122.000000	82.113	154.5028
124.099998	82.147	154.8869
125.000000	82.145	155.0187
126.500000	82.118	155.1985
128.000000	82.064	155.2776
131.500000	81.916	155.4847
132.000000	81.909	155.5403
134.000000	81.905	155.6382
136.000000	81.885	155.7070
138.000000	81.853	155.8004
140.000000	81.817	155.8352
143.000000	81.785	155.8539
145.000000	81.767	155.8765
147.500000	81.718	156.0168
150.000000	81.652	156.2270
152.500000	81.583	156.4392
155.000000	81.525	156.5954
157.500000	81.484	156.7349
160.000000	81.463	156.9001
162.500000	81.437	157.0643
165.000000	81.391	157.1683
167.500000	81.358	157.2393
170.000000	81.341	157.3630
172.500000	81.310	157.7865
175.000000	81.277	158.1632
177.500000	81.204	158.1418
180.000000	81.113	158.2126
182.500000	81.034	158.4757
185.000000	80.952	159.0071
187.500000	80.898	159.6746
190.000000	80.884	160.2922
192.500000	80.912	160.7431
195.000000	80.939	161.0516
197.500000	80.960	161.3253
200.000000	80.970	161.2989
203.000000	81.005	161.1194
206.000000	81.109	161.1499
209.000000	81.174	161.6917
212.000000	81.197	161.8127
214.000000	81.177	161.2438
218.000000	81.128	160.3313
220.000000	81.106	160.3137
224.000000	80.944	160.4188
227.000000	80.820	160.2803
230.000000	80.841	160.1940
233.000000	80.920	160.2289
236.000000	80.936	160.3011
240.000000	80.902	160.2638
243.000000	80.894	160.3360
247.000000	80.891	160.4666
250.000000	80.868	160.5499
254.000000	80.823	160.7198
258.000000	80.780	160.7957
262.000000	80.756	160.8939
265.000000	80.746	160.9843
269.000000	80.717	161.0568
272.000000	80.695	161.1220
