* Measurement data measured by REW V5.20.5
* Source: 마이크(THX Onyx USB Amplifie, MICROPHONE (마스), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -5.0 dBFS with no timing reference
* Dated: 2022. 4. 18 오후 5:50:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KEFm100_spinfit_Left
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	76.592	-21.2171
1.015000	76.501	-23.3663
1.030000	76.412	-25.4534
1.044000	76.332	-27.3384
1.060000	76.245	-29.4099
1.075000	76.166	-31.2636
1.090000	76.093	-33.0237
1.106000	76.019	-34.7930
1.120000	75.957	-36.2668
1.138000	75.879	-38.0708
1.150000	75.828	-39.2201
1.172000	75.738	-41.2248
1.180000	75.706	-41.9230
1.206000	75.605	-44.0901
1.220000	75.552	-45.1980
1.241000	75.476	-46.7920
1.250000	75.444	-47.4528
1.265000	75.392	-48.5279
1.280000	75.342	-49.5740
1.315000	75.231	-51.9264
1.320000	75.216	-52.2548
1.340000	75.156	-53.5553
1.360000	75.099	-54.8431
1.380000	75.045	-56.1286
1.400000	74.993	-57.4221
1.430000	74.920	-59.4000
1.450000	74.874	-60.7589
1.475000	74.821	-62.5164
1.500000	74.776	-64.3073
1.525000	74.739	-66.1138
1.550000	74.710	-67.9263
1.575000	74.686	-69.7354
1.600000	74.667	-71.5313
1.625000	74.651	-73.3045
1.650000	74.637	-75.0456
1.675000	74.624	-76.7449
1.700000	74.611	-78.3928
1.725000	74.596	-79.9798
1.750000	74.578	-81.4963
1.775000	74.556	-82.9328
1.800000	74.529	-84.2797
1.825000	74.495	-85.5274
1.850000	74.453	-86.6725
1.875000	74.407	-87.7282
1.900000	74.355	-88.7008
1.925000	74.299	-89.5964
1.950000	74.240	-90.4210
1.975000	74.179	-91.1804
2.000000	74.117	-91.8807
2.030000	74.041	-92.6515
2.060000	73.967	-93.3560
2.090000	73.894	-94.0046
2.120000	73.826	-94.6077
2.140000	73.783	-94.9895
2.180000	73.705	-95.7183
2.200000	73.672	-96.0712
