* Measurement data measured by REW V5.20.5
* Source: ¸¶ÀÌÅ©(THX Onyx USB Amplifie, MICROPHONE (¸¶½º), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -5.0 dBFS with no timing reference
* Dated: 2022. 4. 18 ¿ÀÈÄ 5:54:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KEFm100_Bundle_Right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.445	-125.3116
20.600000	81.525	-125.7315
20.900000	81.606	-126.1451
21.200001	81.687	-126.5672
21.400000	81.740	-126.8596
21.799999	81.843	-127.4736
22.000000	81.891	-127.7934
22.400000	81.980	-128.4462
22.700001	82.046	-128.9300
23.000000	82.114	-129.3926
23.299999	82.181	-129.8271
23.600000	82.248	-130.2348
24.000000	82.340	-130.7495
24.299999	82.413	-131.1313
24.700001	82.516	-131.6570
25.000000	82.592	-132.0732
25.400000	82.689	-132.6565
25.799999	82.783	-133.2562
26.200001	82.871	-133.8486
26.500000	82.933	-134.2758
26.900000	83.008	-134.8147
27.200001	83.060	-135.1966
27.600000	83.126	-135.6841
28.000000	83.188	-136.1596
28.500000	83.257	-136.7514
29.000000	83.319	-137.3433
29.500000	83.381	-137.9278
30.000000	83.438	-138.4995
30.400000	83.482	-138.9498
30.700001	83.516	-139.2850
31.100000	83.568	-139.7293
31.500000	83.621	-140.1695
32.000000	83.687	-140.7122
32.500000	83.757	-141.2482
33.000000	83.828	-141.7810
33.500000	83.896	-142.3094
34.000000	83.959	-142.8279
34.500000	84.020	-143.3324
35.000000	84.079	-143.8244
35.500000	84.138	-144.3071
36.000000	84.193	-144.7816
36.500000	84.244	-145.2473
37.000000	84.290	-145.7042
37.500000	84.330	-146.1539
38.200001	84.385	-146.7731
38.700001	84.429	-147.2084
39.500000	84.491	-147.8993
40.000000	84.522	-148.3296
40.599998	84.552	-148.8396
41.200001	84.574	-149.3352
41.799999	84.593	-149.8174
42.500000	84.623	-150.3710
43.099998	84.660	-150.8376
43.700001	84.704	-151.2927
44.400002	84.762	-151.8106
45.000000	84.811	-152.2476
45.500000	84.848	-152.6064
46.200001	84.894	-153.0991
46.799999	84.930	-153.5151
47.500000	84.970	-153.9958
48.200001	85.008	-154.4656
48.700001	85.032	-154.7917
