* Measurement data measured by REW V5.20.5
* Source: ¸¶ÀÌÅ©(THX Onyx USB Amplifie, MICROPHONE (¸¶½º), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -5.0 dBFS with no timing reference
* Dated: 2022. 4. 18 ¿ÀÈÄ 5:45:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KEFm100_spinfit_Right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.442	-125.5247
20.600000	81.529	-125.9843
20.900000	81.611	-126.4512
21.200001	81.689	-126.9206
21.400000	81.738	-127.2300
21.799999	81.831	-127.8353
22.000000	81.875	-128.1301
22.400000	81.963	-128.7077
22.700001	82.033	-129.1366
23.000000	82.109	-129.5676
23.299999	82.185	-130.0033
23.600000	82.258	-130.4433
24.000000	82.354	-131.0352
24.299999	82.425	-131.4815
24.700001	82.516	-132.0777
25.000000	82.581	-132.5217
25.400000	82.662	-133.0979
25.799999	82.742	-133.6398
26.200001	82.824	-134.1406
26.500000	82.887	-134.4985
26.900000	82.972	-134.9762
27.200001	83.034	-135.3523
27.600000	83.110	-135.8854
28.000000	83.174	-136.4327
28.500000	83.236	-137.0738
29.000000	83.295	-137.6323
29.500000	83.366	-138.1640
30.000000	83.440	-138.7643
30.400000	83.490	-139.3072
30.700001	83.523	-139.7240
31.100000	83.561	-140.2387
31.500000	83.597	-140.6723
32.000000	83.650	-141.1148
32.500000	83.719	-141.5321
33.000000	83.797	-142.0001
33.500000	83.869	-142.5150
34.000000	83.932	-143.0294
34.500000	83.990	-143.5181
35.000000	84.048	-143.9920
35.500000	84.106	-144.4674
36.000000	84.160	-144.9445
36.500000	84.210	-145.4166
37.000000	84.253	-145.8828
37.500000	84.291	-146.3444
38.200001	84.344	-146.9765
38.700001	84.386	-147.4146
39.500000	84.448	-148.1073
40.000000	84.478	-148.5388
40.599998	84.507	-149.0438
41.200001	84.529	-149.5260
41.799999	84.549	-149.9939
42.500000	84.580	-150.5381
43.099998	84.616	-151.0027
43.700001	84.658	-151.4568
44.400002	84.712	-151.9700
45.000000	84.758	-152.3987
45.500000	84.793	-152.7499
46.200001	84.837	-153.2367
46.799999	84.872	-153.6538
47.500000	84.909	-154.1381
48.200001	84.945	-154.6092
48.700001	84.967	-154.9351
49.400002	84.988	-155.3818
50.000000	84.996	-155.7596
50.799999	85.000	-156.2516
51.500000	85.002	-156.6679
52.200001	85.010	-157.0760
53.000000	85.032	-157.5350
53.799999	85.064	-157.9783
54.500000	85.094	-158.3474
55.200001	85.126	-158.6985
56.000000	85.163	-159.0813
57.000000	85.205	-159.5406
58.000000	85.238	-160.0040
59.000000	85.259	-160.5238
60.000000	85.272	-161.1003
60.799999	85.280	-161.5506
61.500000	85.289	-161.9190
62.200001	85.301	-162.2729
63.000000	85.315	-162.6694
64.000000	85.339	-163.1496
65.000000	85.371	-163.6162
66.000000	85.405	-164.0786
67.000000	85.434	-164.5311
68.000000	85.452	-164.9677
69.000000	85.454	-165.3923
70.000000	85.443	-165.8091
71.000000	85.434	-166.2179
72.000000	85.430	-166.6163
73.000000	85.432	-167.0047
74.000000	85.443	-167.3864
75.000000	85.463	-167.7617
76.199997	85.490	-168.2034
77.500000	85.509	-168.6676
78.800003	85.514	-169.1183
80.000000	85.505	-169.5234
81.199997	85.485	-169.9133
82.500000	85.469	-170.3139
83.800003	85.477	-170.6949
85.000000	85.501	-171.0445
86.199997	85.525	-171.4067
87.500000	85.540	-171.8166
88.500000	85.541	-172.1391
90.000000	85.527	-172.6181
91.199997	85.509	-172.9882
92.500000	85.495	-173.3779
93.800003	85.493	-173.7582
95.000000	85.501	-174.1012
96.199997	85.511	-174.4360
97.500000	85.516	-174.7893
98.800003	85.507	-175.1352
100.000000	85.489	-175.4506
101.500000	85.460	-175.8375
103.000000	85.440	-176.2150
104.400002	85.435	-176.5607
106.000000	85.437	-176.9459
107.500000	85.431	-177.2976
109.000000	85.411	-177.6416
110.599998	85.377	-177.9975
112.000000	85.345	-178.2985
113.800003	85.318	-178.6702
115.000000	85.310	-178.9078
117.199997	85.298	-179.3273
118.000000	85.287	-179.4767
120.599998	85.226	-179.9467
122.000000	85.188	179.8168
124.099998	85.141	179.4946
125.000000	85.124	179.3758
126.500000	85.096	179.2166
128.000000	85.062	179.1195
131.500000	84.970	179.1266
132.000000	84.962	179.1370
134.000000	84.955	179.1183
136.000000	84.964	178.9573
138.000000	84.946	178.7256
140.000000	84.880	178.5792
143.000000	84.746	178.8239
145.000000	84.686	179.4466
147.500000	84.702	-179.2586
150.000000	84.873	-177.9536
152.500000	85.169	-177.6407
155.000000	85.455	-178.6005
157.500000	85.622	179.8403
160.000000	85.666	178.3390
162.500000	85.648	177.1153
165.000000	85.619	176.1503
167.500000	85.592	175.3767
170.000000	85.550	174.7336
172.500000	85.498	174.1786
175.000000	85.456	173.6864
177.500000	85.420	173.2410
180.000000	85.369	172.8312
182.500000	85.301	172.4492
185.000000	85.228	172.0908
187.500000	85.159	171.7513
190.000000	85.095	171.4280
192.500000	85.047	171.1190
195.000000	85.020	170.8233
197.500000	85.004	170.5379
200.000000	84.981	170.2612
203.000000	84.947	169.9424
206.000000	84.917	169.6397
209.000000	84.885	169.3510
212.000000	84.845	169.0729
214.000000	84.820	168.8931
218.000000	84.774	168.5485
220.000000	84.746	168.3833
224.000000	84.685	168.0678
227.000000	84.645	167.8469
230.000000	84.603	167.6439
233.000000	84.557	167.4641
236.000000	84.515	167.3154
240.000000	84.466	167.1695
243.000000	84.438	167.0842
247.000000	84.420	166.9439
250.000000	84.407	166.7821
254.000000	84.373	166.4953
258.000000	84.330	166.1807
262.000000	84.281	165.8824
265.000000	84.246	165.6763
269.000000	84.199	165.4227
272.000000	84.161	165.2477
276.000000	84.108	165.0320
280.000000	84.056	164.8334
285.000000	83.997	164.6065
290.000000	83.943	164.3981
295.000000	83.884	164.2020
300.000000	83.821	164.0115
304.000000	83.768	163.8653
307.000000	83.730	163.7616
311.000000	83.682	163.6293
315.000000	83.635	163.5037
