* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 13 오후 9:35:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.387	-112.2113
20.600000	83.501	-113.1760
20.900000	83.683	-114.8238
21.200001	83.754	-116.1063
21.400000	83.761	-116.5823
21.799999	83.771	-116.6613
22.000000	83.818	-116.3903
22.400000	84.047	-115.7521
22.700001	84.308	-115.6860
23.000000	84.580	-116.2243
23.299999	84.807	-117.2068
23.600000	84.977	-118.3680
24.000000	85.140	-119.8495
24.299999	85.253	-120.8865
24.700001	85.406	-122.4676
25.000000	85.490	-124.0109
25.400000	85.484	-126.4508
25.799999	85.293	-128.5555
26.200001	84.981	-129.3096
26.500000	84.782	-128.7945
26.900000	84.710	-127.2677
27.200001	84.825	-126.3197
27.600000	85.091	-126.1949
28.000000	85.292	-127.3454
28.500000	85.325	-129.0504
29.000000	85.294	-129.4846
29.500000	85.471	-129.1483
30.000000	85.845	-129.8958
30.400000	86.107	-131.8093
30.700001	86.210	-133.7212
31.100000	86.203	-136.1593
31.500000	86.078	-137.8408
32.000000	85.897	-138.5239
32.500000	85.841	-138.1057
33.000000	85.957	-137.5174
33.500000	86.187	-137.4473
34.000000	86.431	-138.1885
34.500000	86.600	-139.5684
35.000000	86.654	-141.0737
35.500000	86.626	-142.1432
36.000000	86.593	-142.6360
36.500000	86.606	-142.8610
37.000000	86.653	-143.1841
37.500000	86.697	-143.6380
38.200001	86.762	-144.1756
38.700001	86.860	-144.5553
39.500000	87.054	-146.0026
40.000000	87.096	-147.4694
40.599998	87.012	-149.0788
41.200001	86.860	-149.7632
41.799999	86.788	-149.7200
42.500000	86.848	-149.9246
43.099998	86.892	-150.6735
43.700001	86.871	-151.2324
44.400002	86.886	-151.0721
45.000000	87.030	-150.8594
45.500000	87.194	-151.2505
46.200001	87.339	-152.5787
46.799999	87.343	-153.6300
47.500000	87.321	-154.0830
48.200001	87.388	-154.2038
48.700001	87.471	-154.5489
49.400002	87.544	-155.4914
50.000000	87.533	-156.3699
50.799999	87.461	-157.1736
51.500000	87.408	-157.5366
52.200001	87.398	-157.8167
53.000000	87.436	-158.2966
53.799999	87.487	-158.9856
54.500000	87.528	-159.6458
55.200001	87.570	-160.3674
56.000000	87.593	-161.2825
57.000000	87.567	-162.0873
58.000000	87.583	-162.4207
59.000000	87.641	-163.1427
60.000000	87.647	-164.0549
60.799999	87.663	-164.6384
61.500000	87.696	-165.3278
62.200001	87.693	-166.1669
63.000000	87.644	-166.7832
64.000000	87.658	-166.9729
65.000000	87.763	-167.5686
66.000000	87.819	-168.4968
67.000000	87.837	-169.2636
68.000000	87.821	-169.9779
