Freq dB Phase
20.141602 75.677 -118.4706
20.507812 75.746 -119.4783
20.874023 75.804 -120.4199
21.240234 75.858 -121.3429
21.606445 75.915 -122.2801
21.972656 75.967 -123.2432
22.338867 76.013 -124.2299
22.705078 76.054 -125.2345
23.071289 76.091 -126.2501
23.437500 76.125 -127.2653
23.803711 76.156 -128.2630
24.169922 76.194 -129.2281
24.536133 76.236 -130.1607
24.902344 76.284 -131.0809
25.268555 76.335 -132.0158
25.634766 76.384 -132.9742
26.000977 76.424 -133.9306
26.367188 76.453 -134.8327
26.733398 76.475 -135.6338
27.099609 76.495 -136.3283
27.465820 76.525 -136.9644
27.832031 76.567 -137.6195
28.198242 76.613 -138.3528
28.564453 76.649 -139.1684
28.930664 76.668 -140.0143
29.296875 76.670 -140.8163
29.663086 76.663 -141.5217
30.029297 76.657 -142.1286
30.395508 76.662 -142.6824
30.761719 76.679 -143.2454
31.127930 76.701 -143.8602
31.494141 76.721 -144.5307
31.860352 76.735 -145.2289
32.226562 76.742 -145.9171
32.592773 76.747 -146.5713
32.958984 76.752 -147.1914
33.325195 76.762 -147.7967
33.691406 76.778 -148.4091
34.057617 76.795 -149.0364
34.423828 76.808 -149.6647
34.790039 76.814 -150.2654
35.156250 76.818 -150.8128
35.522461 76.825 -151.3036
35.888672 76.838 -151.7635
36.254883 76.858 -152.2358
36.621094 76.881 -152.7547
36.987305 76.899 -153.3235
37.353516 76.907 -153.9108
37.719727 76.904 -154.4700
38.085938 76.896 -154.9698
38.452148 76.887 -155.4140
38.818359 76.885 -155.8380
39.184570 76.886 -156.2821
39.550781 76.887 -156.7625
39.916992 76.883 -157.2618
40.283203 76.872 -157.7448
40.649414 76.859 -158.1874
41.015625 76.850 -158.5955
41.381836 76.847 -158.9996
41.748047 76.847 -159.4301
42.114258 76.845 -159.8927
42.480469 76.839 -160.3642
42.846680 76.828 -160.8107
43.212891 76.816 -161.2138
43.579102 76.810 -161.5846
43.945312 76.809 -161.9562
44.311523 76.812 -162.3594
44.677734 76.814 -162.8012
45.043945 76.809 -163.2607
45.410156 76.797 -163.7045
45.776367 76.783 -164.1094
46.142578 76.769 -164.4775
46.508789 76.758 -164.8320
46.875000 76.749 -165.1975
47.241211 76.738 -165.5789
47.607422 76.720 -165.9536
47.973633 76.698 -166.2849
48.339844 76.677 -166.5470
48.706055 76.662 -166.7469
49.072266 76.659 -166.9260
49.438477 76.668 -167.1394
49.804688 76.682 -167.4256
50.170898 76.693 -167.7862
50.537109 76.695 -168.1893
50.903320 76.688 -168.5901
51.269531 76.675 -168.9552
51.635742 76.662 -169.2761
52.001953 76.652 -169.5692
52.368164 76.647 -169.8636
52.734375 76.645 -170.1854
53.100586 76.643 -170.5463
53.466797 76.638 -170.9373
53.833008 76.622 -171.3307
54.199219 76.598 -171.6924
54.565430 76.572 -171.9994
54.931641 76.548 -172.2540
55.297852 76.530 -172.4836
55.664062 76.518 -172.7209
56.030273 76.505 -172.9801
56.396484 76.490 -173.2459
56.762695 76.471 -173.4884
57.128906 76.452 -173.6910
57.495117 76.439 -173.8684
57.861328 76.431 -174.0581
58.227539 76.425 -174.2898
58.593750 76.413 -174.5606
58.959961 76.393 -174.8361
59.326172 76.365 -175.0761
59.692383 76.334 -175.2620
60.058594 76.308 -175.4030
60.424805 76.283 -175.5203
60.791016 76.262 -175.6251
61.157227 76.243 -175.7137
61.523438 76.228 -175.7816
61.889648 76.222 -175.8411
62.255859 76.226 -175.9236
62.622070 76.237 -176.0642
62.988281 76.251 -176.2831
63.354492 76.262 -176.5772
63.720703 76.266 -176.9256
64.086914 76.259 -177.2989
64.453125 76.242 -177.6631
64.819336 76.214 -177.9815
65.185547 76.180 -178.2197
65.551758 76.147 -178.3569
