* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 128k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: 25-May-2022 00:55:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NNN N5005 9k R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.694	-160.7152
20.600000	99.695	-161.0545
20.900000	99.694	-161.6582
21.200001	99.685	-162.2234
21.400000	99.675	-162.5716
21.799999	99.652	-163.2196
22.000000	99.640	-163.5275
22.400000	99.625	-164.1227
22.700001	99.621	-164.5861
23.000000	99.625	-165.1061
23.299999	99.630	-165.6993
23.600000	99.633	-166.3557
24.000000	99.629	-167.2823
24.299999	99.619	-167.9659
24.700001	99.601	-168.8147
25.000000	99.590	-169.3987
25.400000	99.581	-170.1299
25.799999	99.579	-170.8420
26.200001	99.579	-171.5480
26.500000	99.577	-172.0673
26.900000	99.572	-172.7383
27.200001	99.567	-173.2290
27.600000	99.556	-173.8795
28.000000	99.540	-174.5317
28.500000	99.506	-175.3123
29.000000	99.461	-175.9811
29.500000	99.421	-176.5246
30.000000	99.400	-177.0382
30.400000	99.393	-177.5086
30.700001	99.389	-177.9133
31.100000	99.378	-178.5024
31.500000	99.358	-179.1079
32.000000	99.327	-179.8353
32.500000	99.295	179.4783
33.000000	99.268	178.8052
33.500000	99.245	178.1309
34.000000	99.224	177.4661
34.500000	99.204	176.8249
35.000000	99.184	176.2097
35.500000	99.165	175.6195
36.000000	99.145	175.0551
36.500000	99.125	174.5132
37.000000	99.104	173.9840
37.500000	99.082	173.4605
38.200001	99.044	172.7435
38.700001	99.011	172.2484
39.500000	98.957	171.4772
40.000000	98.922	170.9979
40.599998	98.881	170.4091
41.200001	98.838	169.7903
41.799999	98.788	169.1673
42.500000	98.726	168.5037
43.099998	98.681	167.9786
43.700001	98.643	167.4263
44.400002	98.593	166.7770
45.000000	98.552	166.3107
45.500000	98.531	165.9578
46.200001	98.517	165.3464
46.799999	98.492	164.6859
47.500000	98.431	163.9915
48.200001	98.367	163.5102
48.700001	98.333	163.2134
49.400002	98.290	162.7419
50.000000	98.245	162.3103
50.799999	98.174	161.7909
51.500000	98.114	161.3955
52.200001	98.064	160.9962
53.000000	98.015	160.4436
53.799999	97.961	159.7766
54.500000	97.902	159.1719
55.200001	97.835	158.6151
56.000000	97.762	158.0725
57.000000	97.682	157.4600
58.000000	97.601	156.9520
59.000000	97.549	156.6190
60.000000	97.520	156.0183
60.799999	97.458	155.4109
61.500000	97.384	155.0061
62.200001	97.314	154.6767
63.000000	97.240	154.2720
64.000000	97.144	153.7217
65.000000	97.043	153.1620
66.000000	96.945	152.6894
67.000000	96.872	152.2448
68.000000	96.812	151.7008
69.000000	96.746	151.1210
70.000000	96.668	150.5847
71.000000	96.580	150.1799
72.000000	96.500	149.8972
73.000000	96.431	149.6140
74.000000	96.361	149.2584
75.000000	96.278	148.8794
76.199997	96.174	148.4655
77.500000	96.070	147.9840
78.800003	95.965	147.4556
80.000000	95.870	147.0450
81.199997	95.788	146.6939
82.500000	95.711	146.3451
83.800003	95.632	145.8852
85.000000	95.520	145.4564
86.199997	95.399	145.2367
87.500000	95.289	144.9830
88.500000	95.209	144.7289
90.000000	95.099	144.2641
91.199997	94.999	143.8439
92.500000	94.882	143.6281
93.800003	94.792	143.5306
95.000000	94.713	143.3935
96.199997	94.629	143.2466
97.500000	94.534	143.0393
98.800003	94.431	142.8281
100.000000	94.341	142.6402
101.500000	94.234	142.3354
103.000000	94.119	142.0550
104.400002	94.015	141.8971
106.000000	93.905	141.7835
107.500000	93.806	141.7268
109.000000	93.712	141.6231
110.599998	93.593	141.4625
112.000000	93.484	141.3612
113.800003	93.351	141.2106
115.000000	93.262	141.1062
117.199997	93.102	141.0438
118.000000	93.048	141.0676
120.599998	92.897	141.1138
122.000000	92.811	141.0357
124.099998	92.670	140.9424
125.000000	92.611	140.9152
126.500000	92.513	140.8756
128.000000	92.417	140.8506
131.500000	92.202	140.8869
132.000000	92.174	140.8984
134.000000	92.059	140.9570
136.000000	91.941	141.0771
138.000000	91.823	141.2018
140.000000	91.705	141.2856
143.000000	91.537	141.3937
145.000000	91.429	141.5295
147.500000	91.293	141.7401
150.000000	91.147	141.9034
152.500000	91.008	142.1112
155.000000	90.886	142.3964
157.500000	90.768	142.7206
160.000000	90.649	142.9428
162.500000	90.521	143.1357
165.000000	90.396	143.4555
167.500000	90.269	143.8354
