* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 128k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: 25-May-2022 00:50:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NNN N5005 9k L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.494	-153.8002
20.600000	98.500	-154.1443
20.900000	98.511	-154.7466
21.200001	98.521	-155.2888
21.400000	98.529	-155.6274
21.799999	98.547	-156.3138
22.000000	98.556	-156.6848
22.400000	98.573	-157.4923
22.700001	98.580	-158.1448
23.000000	98.580	-158.8159
23.299999	98.574	-159.4763
23.600000	98.565	-160.1065
24.000000	98.557	-160.8886
24.299999	98.557	-161.4431
24.700001	98.567	-162.1706
25.000000	98.578	-162.7252
25.400000	98.593	-163.4798
25.799999	98.605	-164.2290
26.200001	98.613	-164.9431
26.500000	98.617	-165.4480
26.900000	98.619	-166.0860
27.200001	98.620	-166.5477
27.600000	98.619	-167.1506
28.000000	98.615	-167.7398
28.500000	98.608	-168.4562
29.000000	98.599	-169.1693
29.500000	98.588	-169.9104
30.000000	98.569	-170.6777
30.400000	98.547	-171.2785
30.700001	98.528	-171.7052
31.100000	98.506	-172.2419
31.500000	98.488	-172.7648
32.000000	98.472	-173.4451
32.500000	98.456	-174.1637
33.000000	98.435	-174.8702
33.500000	98.418	-175.5252
34.000000	98.412	-176.1564
34.500000	98.413	-176.8199
35.000000	98.409	-177.5158
35.500000	98.396	-178.1804
36.000000	98.379	-178.7680
36.500000	98.369	-179.3088
37.000000	98.363	-179.8706
37.500000	98.351	179.5250
38.200001	98.316	178.6941
38.700001	98.282	178.1740
39.500000	98.236	177.4352
40.000000	98.215	176.9654
40.599998	98.191	176.3576
41.200001	98.164	175.7202
41.799999	98.133	175.0906
42.500000	98.099	174.3798
43.099998	98.075	173.7555
