* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 11 오후 6:55:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: h_r
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.832	-156.0015
20.600000	77.828	-156.1858
20.900000	77.826	-156.5426
21.200001	77.841	-156.9685
21.400000	77.854	-157.3122
21.799999	77.872	-158.1295
22.000000	77.873	-158.5785
22.400000	77.864	-159.4738
22.700001	77.862	-160.1213
23.000000	77.873	-160.7796
23.299999	77.890	-161.4971
23.600000	77.904	-162.2898
24.000000	77.905	-163.4223
24.299999	77.890	-164.2381
24.700001	77.854	-165.1505
25.000000	77.830	-165.6617
25.400000	77.823	-166.1673
25.799999	77.858	-166.6462
26.200001	77.921	-167.2722
26.500000	77.967	-167.8708
26.900000	78.008	-168.7874
27.200001	78.019	-169.4915
27.600000	78.012	-170.3742
28.000000	77.990	-171.1732
28.500000	77.952	-172.1150
29.000000	77.900	-173.0414
29.500000	77.834	-173.8862
30.000000	77.765	-174.5708
30.400000	77.723	-175.0441
30.700001	77.707	-175.4123
31.100000	77.699	-175.9771
31.500000	77.692	-176.6179
32.000000	77.675	-177.4205
32.500000	77.665	-178.1320
33.000000	77.677	-178.8146
33.500000	77.698	-179.5890
34.000000	77.706	179.5664
34.500000	77.696	178.8113
35.000000	77.690	178.2147
35.500000	77.700	177.6651
36.000000	77.711	177.0550
36.500000	77.704	176.4552
37.000000	77.689	175.9869
37.500000	77.692	175.5663
38.200001	77.714	174.6098
38.700001	77.686	173.6655
39.500000	77.530	172.6415
40.000000	77.445	172.4742
40.599998	77.407	172.2312
41.200001	77.370	171.5535
41.799999	77.274	170.8083
42.500000	77.154	170.4179
43.099998	77.128	170.2209
43.700001	77.144	169.6972
44.400002	77.137	168.7773
45.000000	77.103	168.0458
45.500000	77.074	167.4997
46.200001	77.032	166.7216
46.799999	76.989	166.0833
47.500000	76.949	165.4338
48.200001	76.932	164.7006
48.700001	76.910	164.0551
49.400002	76.829	163.1620
50.000000	76.719	162.6599
50.799999	76.580	162.4966
51.500000	76.515	162.6041
52.200001	76.510	162.5893
53.000000	76.536	162.1253
53.799999	76.522	161.2866
54.500000	76.460	160.5863
55.200001	76.386	160.0698
56.000000	76.319	159.5367
57.000000	76.238	158.7646
58.000000	76.144	158.0282
59.000000	76.058	157.4101
60.000000	76.016	156.8364
60.799999	76.013	156.0753
61.500000	75.979	155.0722
62.200001	75.868	153.9503
63.000000	75.622	153.0567
64.000000	75.248	153.5327
65.000000	75.122	155.2326
66.000000	75.253	155.7587
67.000000	75.330	154.7516
68.000000	75.270	153.5117
69.000000	75.155	152.6347
70.000000	75.051	151.9371
71.000000	74.948	151.2772
72.000000	74.851	150.8250
73.000000	74.781	150.4432
74.000000	74.710	149.9913
75.000000	74.623	149.6941
76.199997	74.555	149.4304
77.500000	74.472	148.7852
78.800003	74.382	148.2446
80.000000	74.338	147.6945
81.199997	74.319	147.0324
82.500000	74.218	146.1212
83.800003	74.010	146.1941
85.000000	73.872	146.6394
86.199997	73.742	146.5302
87.500000	73.570	145.8082
88.500000	73.455	145.1519
90.000000	73.371	144.3037
91.199997	73.329	144.1729
92.500000	73.269	144.6353
93.800003	73.101	145.1068
95.000000	72.832	145.1751
96.199997	72.536	144.4715
97.500000	72.322	142.9921
98.800003	72.308	141.3533
100.000000	72.373	140.8558
101.500000	72.421	142.5346
103.000000	72.253	145.2375
104.400002	71.781	146.4420
106.000000	71.047	144.6918
107.500000	70.522	141.8224
109.000000	70.620	143.2466
110.599998	71.183	148.9953
112.000000	71.031	156.3818
113.800003	70.285	167.0649
115.000000	71.132	165.6407
117.199997	77.337	132.9886
118.000000	79.500	113.0139
120.599998	81.198	-25.2210
122.000000	78.752	-128.5099
124.099998	74.825	157.3824
125.000000	74.044	152.3364
126.500000	72.977	152.1263
128.000000	71.776	150.0527
131.500000	71.175	141.1645
132.000000	71.286	140.7518
134.000000	71.233	142.6163
136.000000	70.841	146.6721
138.000000	70.558	145.7916
140.000000	70.362	143.8092
143.000000	70.407	145.8259
145.000000	70.260	146.9307
147.500000	69.934	146.3339
150.000000	69.811	145.4201
152.500000	69.723	146.7533
155.000000	69.643	148.4902
157.500000	69.447	148.1396
160.000000	69.064	147.8196
162.500000	68.816	147.8363
165.000000	68.768	148.0210
167.500000	68.890	148.1487
170.000000	68.941	148.1928
172.500000	68.866	148.3161
175.000000	68.832	148.9175
177.500000	68.820	149.2091
180.000000	68.645	149.5646
182.500000	68.423	150.3851
185.000000	68.304	150.9147
187.500000	68.223	150.9293
190.000000	68.139	150.7616
192.500000	68.052	150.7359
195.000000	67.999	151.0927
197.500000	67.927	151.5359
200.000000	67.788	151.9600
203.000000	67.617	152.4973
206.000000	67.523	153.0300
209.000000	67.422	153.4335
212.000000	67.338	153.6978
214.000000	67.308	153.8607
218.000000	67.259	154.7152
220.000000	67.212	155.1548
224.000000	67.072	155.6468
227.000000	66.985	156.0220
230.000000	66.923	156.5032
233.000000	66.882	157.1069
236.000000	66.853	157.8503
240.000000	66.738	158.9172
243.000000	66.577	159.5591
247.000000	66.399	160.3103
250.000000	66.406	161.0986
254.000000	66.483	161.6937
258.000000	66.471	162.2728
262.000000	66.402	162.8478
265.000000	66.304	162.9797
269.000000	66.158	163.1602
272.000000	66.094	163.5664
276.000000	66.047	164.2732
280.000000	66.012	164.9337
285.000000	65.974	165.5231
290.000000	65.913	166.2864
295.000000	65.870	166.9324
300.000000	65.791	167.3023
304.000000	65.784	167.7219
307.000000	65.763	168.2551
311.000000	65.702	169.0912
315.000000	65.686	169.8611
320.000000	65.655	170.7109
325.000000	65.600	171.6093
330.000000	65.555	172.4660
335.000000	65.541	172.9457
340.000000	65.564	173.6750
345.000000	65.522	174.2515
350.000000	65.461	174.4574
355.000000	65.398	174.9939
360.000000	65.372	175.7168
365.000000	65.326	176.3970
370.000000	65.290	176.8430
375.000000	65.314	177.1553
382.000000	65.296	178.2393
387.000000	65.237	179.1641
395.000000	65.141	-179.9495
400.000000	65.138	-179.4834
406.000000	65.159	-178.8122
412.000000	65.134	-178.3122
418.000000	65.101	-178.0234
425.000000	65.042	-177.1388
431.000000	65.052	-176.3754
437.000000	65.030	-175.8691
444.000000	65.006	-175.3868
450.000000	65.033	-175.0176
455.000000	65.017	-174.4788
462.000000	64.929	-173.4920
468.000000	64.884	-172.8602
475.000000	64.856	-172.1378
482.000000	64.882	-171.0961
487.000000	64.899	-170.5624
494.000000	64.876	-170.3127
500.000000	64.855	-170.0258
508.000000	64.838	-169.2786
515.000000	64.816	-168.4399
522.000000	64.819	-167.4565
530.000000	64.838	-166.6434
538.000000	64.872	-165.9714
545.000000	64.869	-165.5157
552.000000	64.827	-165.2883
560.000000	64.762	-164.7039
570.000000	64.717	-163.7035
580.000000	64.738	-163.0552
