* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 17 오후 11:28:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Mid
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.029	-150.0044
20.600000	76.036	-150.4457
20.900000	76.051	-151.2316
21.200001	76.064	-151.9762
21.400000	76.071	-152.4585
21.799999	76.081	-153.4364
22.000000	76.083	-153.9415
22.400000	76.082	-154.9625
22.700001	76.078	-155.7263
23.000000	76.074	-156.4893
23.299999	76.070	-157.2525
23.600000	76.067	-158.0153
24.000000	76.064	-159.0242
24.299999	76.062	-159.7630
24.700001	76.062	-160.7058
25.000000	76.065	-161.3730
25.400000	76.077	-162.2141
25.799999	76.102	-163.0338
26.200001	76.137	-163.8892
26.500000	76.165	-164.5837
26.900000	76.192	-165.5862
27.200001	76.198	-166.3675
27.600000	76.185	-167.3782
28.000000	76.154	-168.2644
28.500000	76.112	-169.1422
29.000000	76.094	-169.8772
29.500000	76.102	-170.6784
30.000000	76.110	-171.6680
30.400000	76.098	-172.5464
30.700001	76.075	-173.1952
31.100000	76.031	-173.9747
31.500000	75.984	-174.6284
32.000000	75.937	-175.3117
32.500000	75.913	-175.9633
33.000000	75.903	-176.6950
33.500000	75.895	-177.5395
34.000000	75.873	-178.4474
34.500000	75.829	-179.3112
35.000000	75.774	179.9668
35.500000	75.728	179.3973
36.000000	75.707	178.8657
36.500000	75.705	178.2191
37.000000	75.698	177.3996
37.500000	75.668	176.5001
38.200001	75.595	175.3663
38.700001	75.543	174.6840
39.500000	75.480	173.5800
40.000000	75.436	172.8414
40.599998	75.372	172.0188
41.200001	75.312	171.3386
41.799999	75.271	170.7110
42.500000	75.232	169.9197
43.099998	75.193	169.2580
43.700001	75.159	168.7032
44.400002	75.150	168.0487
45.000000	75.153	167.2438
45.500000	75.131	166.3864
46.200001	75.034	165.2084
46.799999	74.913	164.5287
47.500000	74.795	164.1326
48.200001	74.733	163.8072
48.700001	74.711	163.4467
49.400002	74.675	162.7529
50.000000	74.627	162.1066
50.799999	74.552	161.3339
51.500000	74.494	160.7136
52.200001	74.439	160.0509
53.000000	74.359	159.3057
53.799999	74.273	158.7169
54.500000	74.210	158.2582
55.200001	74.150	157.7524
56.000000	74.070	157.1884
57.000000	73.977	156.5618
58.000000	73.886	155.8268
59.000000	73.767	155.1395
60.000000	73.660	154.6194
60.799999	73.591	154.1419
61.500000	73.527	153.6677
62.200001	73.460	153.2154
63.000000	73.386	152.7245
64.000000	73.292	152.0836
65.000000	73.188	151.5050
66.000000	73.090	150.9956
67.000000	72.994	150.4661
68.000000	72.897	149.9433
69.000000	72.801	149.4090
70.000000	72.701	148.8549
71.000000	72.594	148.3602
72.000000	72.490	147.9579
73.000000	72.390	147.6013
74.000000	72.294	147.3035
75.000000	72.203	146.9861
76.199997	72.085	146.5565
77.500000	71.951	146.0716
78.800003	71.806	145.5779
80.000000	71.675	145.2452
81.199997	71.564	145.0161
82.500000	71.474	144.7942
83.800003	71.385	144.4851
85.000000	71.291	144.2863
86.199997	71.209	144.0552
87.500000	71.097	143.6451
88.500000	70.994	143.3788
90.000000	70.842	143.0639
91.199997	70.729	142.8729
92.500000	70.619	142.6720
93.800003	70.510	142.4959
95.000000	70.419	142.3378
96.199997	70.324	142.0923
97.500000	70.201	141.8669
98.800003	70.083	141.7462
100.000000	69.983	141.6187
101.500000	69.855	141.3867
103.000000	69.707	141.1272
104.400002	69.553	141.0042
106.000000	69.396	140.9865
107.500000	69.269	140.9317
109.000000	69.154	140.8235
110.599998	69.022	140.6964
112.000000	68.897	140.7285
113.800003	68.746	140.8781
115.000000	68.638	140.9445
117.199997	68.406	141.0949
118.000000	68.317	141.1790
120.599998	68.033	141.4857
122.000000	67.879	141.6514
124.099998	67.627	142.1159
125.000000	67.511	142.4652
126.500000	67.318	143.3290
128.000000	67.142	144.5382
131.500000	66.875	148.6315
132.000000	66.865	149.3512
134.000000	66.949	152.2947
136.000000	67.233	154.4356
138.000000	67.581	154.9759
140.000000	67.854	154.2249
143.000000	68.051	152.3240
145.000000	68.064	151.1813
147.500000	67.987	150.0375
150.000000	67.857	149.4081
152.500000	67.732	149.0825
155.000000	67.605	148.9615
157.500000	67.500	149.0056
160.000000	67.406	149.1116
