* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 17 오후 11:27:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Mid
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.264	-157.1487
20.600000	77.258	-157.5581
20.900000	77.250	-158.2817
21.200001	77.246	-158.9573
21.400000	77.246	-159.3989
21.799999	77.248	-160.3229
22.000000	77.248	-160.8206
22.400000	77.247	-161.8683
22.700001	77.243	-162.6836
23.000000	77.238	-163.5183
23.299999	77.230	-164.3655
23.600000	77.220	-165.2128
24.000000	77.204	-166.3130
24.299999	77.190	-167.0875
24.700001	77.173	-168.0274
25.000000	77.167	-168.6655
25.400000	77.169	-169.4587
25.799999	77.183	-170.2400
26.200001	77.200	-171.0472
26.500000	77.209	-171.6676
26.900000	77.210	-172.4890
27.200001	77.203	-173.0779
27.600000	77.186	-173.8105
28.000000	77.167	-174.4943
28.500000	77.145	-175.3314
29.000000	77.119	-176.1972
29.500000	77.083	-177.0838
30.000000	77.040	-177.9502
30.400000	77.005	-178.6200
30.700001	76.981	-179.1188
31.100000	76.952	-179.7982
31.500000	76.924	179.4996
32.000000	76.884	178.6143
32.500000	76.842	177.7706
33.000000	76.806	176.9890
33.500000	76.782	176.2348
34.000000	76.764	175.4628
34.500000	76.742	174.6777
35.000000	76.711	173.9296
35.500000	76.676	173.2582
36.000000	76.646	172.6419
36.500000	76.619	172.0222
37.000000	76.590	171.3636
37.500000	76.550	170.6889
38.200001	76.479	169.8035
38.700001	76.429	169.2203
39.500000	76.357	168.2575
40.000000	76.313	167.6069
40.599998	76.252	166.8225
41.200001	76.189	166.0974
41.799999	76.133	165.4418
42.500000	76.084	164.7131
43.099998	76.051	164.0694
43.700001	76.018	163.4008
44.400002	75.972	162.6286
45.000000	75.926	161.9965
45.500000	75.885	161.4775
46.200001	75.817	160.7505
46.799999	75.746	160.1652
47.500000	75.658	159.5794
48.200001	75.578	159.0549
48.700001	75.526	158.6726
49.400002	75.456	158.1163
50.000000	75.400	157.6331
50.799999	75.331	156.9504
51.500000	75.268	156.3044
52.200001	75.197	155.6859
53.000000	75.116	155.0807
53.799999	75.045	154.5195
54.500000	74.983	154.0141
55.200001	74.918	153.5202
56.000000	74.843	152.9829
57.000000	74.748	152.3023
58.000000	74.643	151.6472
59.000000	74.541	151.0432
60.000000	74.443	150.4070
60.799999	74.362	149.8748
61.500000	74.289	149.4298
62.200001	74.217	149.0229
63.000000	74.140	148.5797
64.000000	74.047	148.0008
65.000000	73.945	147.4437
66.000000	73.841	146.9726
67.000000	73.740	146.5438
68.000000	73.640	146.1230
69.000000	73.538	145.6577
70.000000	73.425	145.1959
71.000000	73.313	144.7937
72.000000	73.210	144.3448
73.000000	73.101	143.8656
74.000000	72.990	143.4459
75.000000	72.884	143.0933
76.199997	72.765	142.7432
77.500000	72.643	142.4335
78.800003	72.523	142.1593
80.000000	72.403	141.9478
81.199997	72.293	141.7969
82.500000	72.181	141.4686
83.800003	72.051	141.0743
85.000000	71.931	140.7521
86.199997	71.821	140.4392
87.500000	71.708	140.0765
88.500000	71.620	139.8049
90.000000	71.486	139.4766
91.199997	71.384	139.2219
92.500000	71.262	138.9376
93.800003	71.126	138.7267
95.000000	70.998	138.6566
96.199997	70.887	138.6170
97.500000	70.772	138.4424
98.800003	70.636	138.2181
100.000000	70.503	138.1248
101.500000	70.347	138.0937
103.000000	70.195	138.1135
104.400002	70.052	138.2948
106.000000	69.917	138.5825
107.500000	69.795	138.6624
109.000000	69.641	138.7029
110.599998	69.471	138.8765
112.000000	69.322	139.0443
113.800003	69.110	139.4388
115.000000	68.960	139.8248
117.199997	68.654	140.7636
118.000000	68.537	141.2236
120.599998	68.250	143.5875
122.000000	68.241	145.1704
124.099998	68.385	147.4753
125.000000	68.494	148.3915
126.500000	68.714	149.4967
128.000000	68.915	149.8180
131.500000	69.146	148.5729
132.000000	69.161	148.3040
134.000000	69.190	147.2423
136.000000	69.177	146.4601
138.000000	69.137	145.9739
140.000000	69.076	145.5342
143.000000	68.945	144.8557
145.000000	68.849	144.5010
147.500000	68.739	144.2610
150.000000	68.637	144.0119
152.500000	68.505	143.7937
155.000000	68.372	143.7490
157.500000	68.255	143.7737
160.000000	68.145	143.8212
162.500000	68.031	143.9436
165.000000	67.922	144.1396
167.500000	67.822	144.3698
170.000000	67.724	144.6250
172.500000	67.629	144.9034
175.000000	67.540	145.1248
177.500000	67.455	145.3079
180.000000	67.371	145.5181
182.500000	67.285	145.8093
185.000000	67.203	146.1533
187.500000	67.125	146.5273
190.000000	67.053	146.9330
192.500000	66.986	147.2791
195.000000	66.922	147.5495
197.500000	66.865	147.8511
200.000000	66.823	148.2427
203.000000	66.779	148.6782
206.000000	66.726	149.0255
209.000000	66.689	149.3730
212.000000	66.661	149.7069
214.000000	66.636	149.9157
218.000000	66.577	150.2854
220.000000	66.550	150.4605
224.000000	66.502	150.8193
227.000000	66.461	151.0811
230.000000	66.413	151.3425
233.000000	66.370	151.6048
236.000000	66.332	151.8898
240.000000	66.285	152.3052
243.000000	66.245	152.6051
247.000000	66.193	153.0035
250.000000	66.158	153.3200
254.000000	66.116	153.7323
258.000000	66.089	154.0133
262.000000	66.062	154.2476
265.000000	66.031	154.5705
269.000000	65.993	155.0895
272.000000	65.971	155.3760
276.000000	65.943	155.6894
280.000000	65.920	156.0065
285.000000	65.897	156.3622
290.000000	65.873	156.7489
295.000000	65.852	157.1783
300.000000	65.834	157.5830
304.000000	65.820	157.8463
307.000000	65.808	157.9995
311.000000	65.795	158.2086
315.000000	65.784	158.4477
320.000000	65.769	158.7563
325.000000	65.752	159.0983
330.000000	65.736	159.4231
335.000000	65.726	159.7388
340.000000	65.706	160.0252
345.000000	65.682	160.2996
350.000000	65.663	160.5989
355.000000	65.644	160.8743
360.000000	65.629	161.1280
365.000000	65.614	161.3665
370.000000	65.597	161.6127
375.000000	65.585	161.8711
382.000000	65.562	162.2106
387.000000	65.545	162.4551
395.000000	65.521	162.8960
400.000000	65.503	163.1241
406.000000	65.482	163.4135
412.000000	65.463	163.7370
418.000000	65.446	164.0223
425.000000	65.428	164.3349
431.000000	65.411	164.6030
437.000000	65.396	164.8436
444.000000	65.382	165.1642
450.000000	65.369	165.4612
455.000000	65.358	165.7043
462.000000	65.346	166.0350
468.000000	65.337	166.3275
475.000000	65.324	166.6421
482.000000	65.307	166.9184
487.000000	65.294	167.1162
494.000000	65.279	167.4111
500.000000	65.272	167.6777
508.000000	65.268	168.0643
515.000000	65.257	168.4218
522.000000	65.239	168.7637
530.000000	65.224	169.1360
538.000000	65.216	169.5039
545.000000	65.211	169.8284
552.000000	65.204	170.1262
560.000000	65.192	170.4772
570.000000	65.176	170.9669
580.000000	65.162	171.4940
590.000000	65.158	171.9832
600.000000	65.153	172.4322
608.000000	65.147	172.8182
615.000000	65.142	173.1727
622.000000	65.138	173.5501
630.000000	65.132	174.0051
640.000000	65.130	174.5442
650.000000	65.129	175.0744
660.000000	65.129	175.6199
670.000000	65.135	176.1637
680.000000	65.146	176.7296
690.000000	65.149	177.3129
700.000000	65.149	177.8936
710.000000	65.155	178.4577
720.000000	65.166	179.0316
730.000000	65.182	179.6064
740.000000	65.199	-179.8156
750.000000	65.221	-179.2138
762.000000	65.255	-178.4671
775.000000	65.292	-177.7089
788.000000	65.331	-176.9394
800.000000	65.375	-176.2007
812.000000	65.427	-175.5169
825.000000	65.486	-174.8195
838.000000	65.549	-174.1287
850.000000	65.612	-173.5210
862.000000	65.680	-172.8971
875.000000	65.760	-172.2251
885.000000	65.819	-171.7574
900.000000	65.907	-171.0785
912.000000	65.981	-170.5567
925.000000	66.064	-170.0386
938.000000	66.150	-169.5271
950.000000	66.234	-169.0735
962.000000	66.321	-168.6342
975.000000	66.413	-168.1690
988.000000	66.501	-167.7033
1000.000000	66.584	-167.2984
1015.000000	66.695	-166.8851
1030.000000	66.807	-166.4951
1044.000000	66.916	-166.1383
1060.000000	67.042	-165.7633
1075.000000	67.154	-165.4651
1090.000000	67.269	-165.2080
1106.000000	67.403	-164.9241
1120.000000	67.522	-164.7192
1138.000000	67.670	-164.5051
1150.000000	67.768	-164.3706
1172.000000	67.950	-164.1388
1180.000000	68.015	-164.0738
1206.000000	68.224	-163.8633
1220.000000	68.334	-163.7728
1241.000000	68.494	-163.6847
1250.000000	68.561	-163.6547
1265.000000	68.673	-163.6060
1280.000000	68.786	-163.5589
1315.000000	69.039	-163.4455
1320.000000	69.075	-163.4295
1340.000000	69.217	-163.3751
1360.000000	69.354	-163.3434
1380.000000	69.493	-163.3159
1400.000000	69.635	-163.2930
1430.000000	69.852	-163.2890
1450.000000	69.996	-163.2804
1475.000000	70.175	-163.2428
1500.000000	70.360	-163.2523
1525.000000	70.547	-163.2957
1550.000000	70.736	-163.3458
1575.000000	70.928	-163.4238
1600.000000	71.119	-163.5183
1625.000000	71.314	-163.6446
1650.000000	71.513	-163.7958
1675.000000	71.713	-163.9971
1700.000000	71.915	-164.2600
1725.000000	72.120	-164.5722
1750.000000	72.324	-164.9232
1775.000000	72.529	-165.3167
1800.000000	72.735	-165.7808
1825.000000	72.940	-166.3182
1850.000000	73.142	-166.9100
1875.000000	73.341	-167.5657
1900.000000	73.538	-168.2967
1925.000000	73.729	-169.0965
1950.000000	73.914	-169.9645
1975.000000	74.092	-170.9089
2000.000000	74.262	-171.9204
2030.000000	74.451	-173.2023
2060.000000	74.623	-174.5608
2090.000000	74.777	-175.9926
2120.000000	74.911	-177.4761
2140.000000	74.990	-178.4763
2180.000000	75.122	179.5194
2200.000000	75.173	178.5127
2240.000000	75.246	176.5269
2270.000000	75.277	175.0926
2300.000000	75.290	173.7240
2330.000000	75.286	172.4367
2360.000000	75.270	171.2325
2400.000000	75.229	169.7747
2430.000000	75.188	168.8083
2470.000000	75.127	167.6933
2500.000000	75.079	166.9807
2540.000000	75.016	166.1811
2580.000000	74.957	165.5414
2620.000000	74.907	165.0372
2650.000000	74.876	164.7356
2690.000000	74.847	164.4129
2720.000000	74.834	164.2213
2760.000000	74.828	164.0122
2800.000000	74.836	163.8343
2850.000000	74.864	163.6259
2900.000000	74.909	163.4011
2950.000000	74.972	163.1388
3000.000000	75.048	162.8144
3040.000000	75.116	162.5049
3070.000000	75.170	162.2437
3110.000000	75.247	161.8506
3150.000000	75.326	161.3912
3200.000000	75.428	160.6927
3250.000000	75.523	159.8393
3300.000000	75.596	158.8575
3350.000000	75.642	157.8442
3400.000000	75.665	156.8899
3450.000000	75.677	156.0449
3500.000000	75.689	155.3215
3550.000000	75.705	154.7097
3600.000000	75.730	154.1795
3650.000000	75.765	153.7000
3700.000000	75.812	153.2432
3750.000000	75.870	152.7767
3820.000000	75.967	152.0764
3870.000000	76.046	151.5217
3950.000000	76.182	150.4895
4000.000000	76.274	149.7298
4060.000000	76.391	148.6672
4120.000000	76.512	147.4070
4180.000000	76.627	145.9091
4250.000000	76.741	143.8066
4310.000000	76.802	141.6810
4370.000000	76.808	139.2625
4440.000000	76.724	136.1510
4500.000000	76.559	133.3693
4550.000000	76.352	131.0939
4620.000000	75.954	128.2076
4680.000000	75.523	126.2003
4750.000000	74.944	124.5842
4820.000000	74.319	123.8539
4870.000000	73.864	123.8747
4940.000000	73.242	124.6253
5000.000000	72.745	125.8736
5080.000000	72.159	128.2504
5150.000000	71.736	130.8355
5220.000000	71.408	133.7335
5300.000000	71.154	137.2238
5380.000000	71.025	140.6740
5450.000000	70.999	143.4854
5520.000000	71.031	145.9810
5600.000000	71.105	148.4510
5700.000000	71.225	151.1241
5800.000000	71.369	153.4362
5900.000000	71.530	155.4685
6000.000000	71.700	157.2674
6080.000000	71.843	158.5520
6150.000000	71.969	159.5761
6220.000000	72.094	160.5323
6300.000000	72.235	161.5780
6400.000000	72.410	162.8759
6500.000000	72.593	164.2096
6600.000000	72.796	165.6179
6700.000000	73.035	167.1018
6800.000000	73.326	168.5950
