* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 17 오후 11:32:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.305	-157.3033
20.600000	77.310	-157.7198
20.900000	77.319	-158.4694
21.200001	77.327	-159.2031
21.400000	77.330	-159.6953
21.799999	77.328	-160.7238
22.000000	77.322	-161.2616
22.400000	77.298	-162.3385
22.700001	77.274	-163.1165
23.000000	77.250	-163.8609
23.299999	77.230	-164.5831
23.600000	77.215	-165.2999
24.000000	77.204	-166.2679
24.299999	77.197	-167.0018
24.700001	77.187	-167.9630
25.000000	77.178	-168.6434
25.400000	77.170	-169.4743
25.799999	77.171	-170.2302
26.200001	77.183	-170.9574
26.500000	77.197	-171.5146
26.900000	77.214	-172.2927
27.200001	77.220	-172.8984
27.600000	77.219	-173.7131
28.000000	77.206	-174.5054
28.500000	77.178	-175.4370
29.000000	77.142	-176.3040
29.500000	77.100	-177.1211
30.000000	77.058	-177.9028
30.400000	77.026	-178.5144
30.700001	77.004	-178.9728
31.100000	76.976	-179.5927
31.500000	76.949	179.7728
32.000000	76.919	178.9568
32.500000	76.892	178.1072
33.000000	76.866	177.2094
33.500000	76.836	176.2740
34.000000	76.796	175.3663
34.500000	76.749	174.5656
35.000000	76.709	173.8790
35.500000	76.685	173.2165
36.000000	76.667	172.4831
36.500000	76.638	171.6908
37.000000	76.590	170.9525
37.500000	76.537	170.3465
38.200001	76.481	169.6053
38.700001	76.449	169.0032
39.500000	76.374	167.9481
40.000000	76.315	167.3810
40.599998	76.257	166.7960
41.200001	76.216	166.1563
41.799999	76.170	165.4317
42.500000	76.106	164.6534
43.099998	76.066	164.0690
43.700001	76.041	163.3934
44.400002	75.995	162.4492
45.000000	75.926	161.7097
45.500000	75.863	161.2453
46.200001	75.795	160.7184
46.799999	75.750	160.2260
47.500000	75.692	159.5945
48.200001	75.628	158.9866
48.700001	75.583	158.5625
49.400002	75.519	157.9546
50.000000	75.459	157.4451
50.799999	75.381	156.8104
51.500000	75.320	156.2455
52.200001	75.258	155.6462
53.000000	75.183	154.9608
53.799999	75.106	154.2801
54.500000	75.033	153.6880
55.200001	74.955	153.1519
56.000000	74.871	152.6193
57.000000	74.776	151.9445
58.000000	74.674	151.2675
59.000000	74.573	150.6644
60.000000	74.475	150.0235
60.799999	74.390	149.4861
61.500000	74.313	149.0479
62.200001	74.236	148.6436
63.000000	74.151	148.2173
64.000000	74.053	147.7576
65.000000	73.975	147.2843
66.000000	73.895	146.7020
67.000000	73.795	146.1364
68.000000	73.688	145.6530
69.000000	73.579	145.1947
70.000000	73.466	144.7499
71.000000	73.350	144.3404
72.000000	73.237	143.9777
