* Measurement data measured by REW V5.20.5
* Source: Microphone(Cirrus Logic CS4208 (AB 126)), MICROPHONE (마스), L, volume: 0.850
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 10 오후 8:48:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: classic_r
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.039	-176.4480
20.600000	75.949	-175.7104
20.900000	75.958	-174.9872
21.200001	76.047	-174.6199
21.400000	76.123	-174.6624
21.799999	76.265	-175.3289
22.000000	76.312	-175.8381
22.400000	76.351	-176.8551
22.700001	76.362	-177.3992
23.000000	76.397	-177.7229
23.299999	76.474	-178.0265
23.600000	76.578	-178.5428
24.000000	76.702	-179.8062
24.299999	76.722	178.9066
24.700001	76.597	177.3042
25.000000	76.401	176.7642
25.400000	76.106	177.4623
25.799999	75.962	179.5215
26.200001	76.080	-178.2757
26.500000	76.282	-177.3205
26.900000	76.549	-177.3329
27.200001	76.657	-177.9941
27.600000	76.645	-178.9295
28.000000	76.531	-179.1525
28.500000	76.444	-178.4659
29.000000	76.504	-178.0547
29.500000	76.554	-178.7642
30.000000	76.421	-179.6644
30.400000	76.237	-179.4828
30.700001	76.152	-178.6927
31.100000	76.217	-177.4254
31.500000	76.460	-176.9013
32.000000	76.779	-178.1660
32.500000	76.868	179.2570
33.000000	76.700	177.3921
33.500000	76.477	177.3399
34.000000	76.443	178.3811
34.500000	76.603	178.9937
35.000000	76.776	178.6699
35.500000	76.853	178.0868
36.000000	76.878	177.9012
36.500000	76.923	177.9643
37.000000	76.967	177.8206
37.500000	76.941	177.5269
38.200001	76.803	177.7543
38.700001	76.743	178.4299
39.500000	76.747	178.9578
40.000000	76.707	178.7336
40.599998	76.586	178.5026
41.200001	76.481	178.5378
41.799999	76.449	178.3599
42.500000	76.449	177.5683
43.099998	76.462	176.7517
43.700001	76.522	175.9518
44.400002	76.637	174.7838
45.000000	76.697	173.7050
45.500000	76.703	173.1902
46.200001	76.730	173.4133
46.799999	76.853	174.0544
47.500000	77.062	174.4118
48.200001	77.216	174.2984
48.700001	77.282	174.1749
49.400002	77.342	173.7806
50.000000	77.319	172.9064
50.799999	77.082	171.6044
51.500000	76.761	171.4005
52.200001	76.527	171.9676
53.000000	76.462	172.6423
53.799999	76.587	172.5624
54.500000	76.708	171.3482
55.200001	76.654	169.9496
56.000000	76.495	170.2711
57.000000	76.700	172.1236
58.000000	76.988	171.5036
59.000000	76.932	170.5474
60.000000	76.816	170.4077
60.799999	76.709	170.2540
61.500000	76.616	170.3069
62.200001	76.586	170.4034
63.000000	76.619	170.0731
64.000000	76.658	169.0610
65.000000	76.661	167.9969
66.000000	76.620	167.2935
67.000000	76.560	167.1824
68.000000	76.507	167.4445
69.000000	76.478	167.7838
70.000000	76.469	167.6326
71.000000	76.414	167.0023
72.000000	76.338	166.4516
73.000000	76.308	166.0238
74.000000	76.325	165.5414
75.000000	76.355	165.1375
76.199997	76.398	164.8008
77.500000	76.380	164.5246
78.800003	76.310	164.4377
80.000000	76.198	164.1944
81.199997	76.061	163.8897
82.500000	75.923	163.4583
83.800003	75.834	163.1774
85.000000	75.817	163.0079
86.199997	75.821	162.7088
87.500000	75.770	162.3521
88.500000	75.707	162.2390
90.000000	75.605	161.9927
91.199997	75.508	161.7067
92.500000	75.427	161.3927
93.800003	75.379	160.9750
95.000000	75.343	160.7197
96.199997	75.348	160.7316
97.500000	75.390	160.6672
98.800003	75.398	160.5230
100.000000	75.374	160.4202
101.500000	75.287	160.2247
103.000000	75.153	160.1291
104.400002	75.035	160.0415
106.000000	74.919	159.7903
107.500000	74.836	159.5648
109.000000	74.780	159.3232
110.599998	74.715	159.2254
112.000000	74.660	159.3213
113.800003	74.601	159.4762
115.000000	74.580	159.4742
117.199997	74.555	158.8893
118.000000	74.528	158.5961
120.599998	74.413	158.1719
122.000000	74.357	158.2089
124.099998	74.264	158.2877
125.000000	74.213	158.2990
126.500000	74.119	158.3448
128.000000	74.027	158.3874
131.500000	73.785	158.5652
132.000000	73.754	158.6252
134.000000	73.668	158.9105
136.000000	73.640	159.0566
138.000000	73.594	159.1723
140.000000	73.500	159.5505
143.000000	73.361	160.2053
145.000000	73.301	160.3846
147.500000	73.250	160.6680
150.000000	73.188	161.0241
152.500000	73.041	161.2746
155.000000	72.942	161.9340
157.500000	73.002	162.2824
160.000000	73.022	162.3332
162.500000	72.981	162.7016
165.000000	72.959	163.2506
167.500000	72.961	163.8899
170.000000	72.961	164.6683
172.500000	72.933	165.1376
175.000000	72.856	165.3023
177.500000	72.780	165.6906
180.000000	72.740	166.2866
182.500000	72.686	166.7264
185.000000	72.625	166.9079
187.500000	72.604	166.8919
190.000000	72.601	167.1226
192.500000	72.584	167.9128
195.000000	72.559	168.7839
197.500000	72.536	169.3234
200.000000	72.560	169.6108
203.000000	72.626	169.8207
206.000000	72.669	170.4240
209.000000	72.712	171.2621
212.000000	72.747	171.5440
214.000000	72.761	171.4259
218.000000	72.781	171.6645
220.000000	72.804	172.2671
224.000000	72.869	172.7728
227.000000	72.866	172.8926
230.000000	72.950	173.3264
233.000000	72.984	173.2103
236.000000	72.955	173.2978
240.000000	73.023	173.6895
243.000000	73.073	173.8189
247.000000	73.137	174.0626
250.000000	73.172	174.1630
254.000000	73.199	174.2871
258.000000	73.265	174.5358
262.000000	73.294	174.7834
265.000000	73.310	174.8317
269.000000	73.361	174.8212
272.000000	73.387	174.8567
276.000000	73.429	174.8943
280.000000	73.487	174.9905
285.000000	73.550	175.1865
290.000000	73.594	175.1549
295.000000	73.648	175.0049
300.000000	73.710	175.3727
304.000000	73.699	175.9462
307.000000	73.666	176.0564
311.000000	73.672	175.6320
315.000000	73.764	175.1758
320.000000	73.882	175.0250
325.000000	73.985	175.1624
330.000000	74.054	175.5309
335.000000	74.046	175.4223
340.000000	74.071	175.0779
345.000000	74.129	174.9617
350.000000	74.175	174.8699
355.000000	74.231	174.6555
360.000000	74.316	174.5165
365.000000	74.396	174.5797
370.000000	74.464	174.6254
375.000000	74.508	174.5153
382.000000	74.550	174.2944
387.000000	74.588	174.0982
395.000000	74.671	173.6576
400.000000	74.717	173.4250
406.000000	74.735	173.0907
412.000000	74.777	172.6484
418.000000	74.876	172.3451
425.000000	74.984	172.2036
431.000000	75.049	172.0237
437.000000	75.101	171.7473
444.000000	75.157	171.3928
450.000000	75.209	171.0346
455.000000	75.254	170.7553
462.000000	75.313	170.5190
468.000000	75.362	170.2742
475.000000	75.439	169.8160
482.000000	75.507	169.3266
487.000000	75.549	168.9656
494.000000	75.603	168.4373
500.000000	75.652	168.0067
508.000000	75.720	167.4556
515.000000	75.773	166.9956
522.000000	75.822	166.4990
530.000000	75.880	165.9062
538.000000	75.938	165.3011
545.000000	75.985	164.7506
552.000000	76.020	164.2088
560.000000	76.062	163.5740
570.000000	76.118	162.7156
580.000000	76.178	161.9046
590.000000	76.214	161.0764
600.000000	76.242	160.2701
608.000000	76.270	159.6164
615.000000	76.293	159.0227
622.000000	76.311	158.4146
630.000000	76.329	157.7489
640.000000	76.353	156.9731
650.000000	76.377	156.1697
660.000000	76.396	155.3163
670.000000	76.409	154.4873
680.000000	76.413	153.6768
690.000000	76.414	152.8906
700.000000	76.411	152.1309
710.000000	76.403	151.3879
720.000000	76.396	150.6492
730.000000	76.391	149.9149
740.000000	76.385	149.2372
750.000000	76.381	148.5988
762.000000	76.369	147.7908
775.000000	76.345	146.9316
788.000000	76.332	146.1436
800.000000	76.322	145.4256
812.000000	76.303	144.7119
825.000000	76.282	143.9674
838.000000	76.265	143.2899
850.000000	76.246	142.6982
862.000000	76.222	142.1125
875.000000	76.202	141.4847
885.000000	76.193	141.0052
900.000000	76.179	140.3238
912.000000	76.171	139.8051
925.000000	76.169	139.2389
938.000000	76.167	138.6786
950.000000	76.167	138.1739
962.000000	76.169	137.6657
975.000000	76.172	137.0880
988.000000	76.182	136.4799
1000.000000	76.193	135.9307
1015.000000	76.197	135.3206
1030.000000	76.204	134.7791
1044.000000	76.217	134.3292
1060.000000	76.244	133.9219
1075.000000	76.280	133.6274
1090.000000	76.321	133.4083
1106.000000	76.362	133.2474
1120.000000	76.394	133.1165
1138.000000	76.435	132.8789
1150.000000	76.462	132.6762
1172.000000	76.505	132.3179
1180.000000	76.517	132.1890
1206.000000	76.543	131.7451
1220.000000	76.546	131.5134
1241.000000	76.540	131.1489
1250.000000	76.539	130.9832
1265.000000	76.548	130.7139
1280.000000	76.585	130.4549
1315.000000	76.756	129.8815
1320.000000	76.783	129.8041
1340.000000	76.885	129.4896
1360.000000	76.962	129.1760
1380.000000	77.007	128.8963
1400.000000	77.024	128.6288
1430.000000	77.026	128.2795
1450.000000	77.023	128.0574
1475.000000	77.025	127.8107
1500.000000	77.026	127.6154
1525.000000	77.022	127.4647
1550.000000	77.018	127.3671
1575.000000	77.017	127.3056
1600.000000	77.012	127.2971
1625.000000	77.006	127.3181
1650.000000	77.000	127.4150
1675.000000	76.997	127.5567
1700.000000	77.001	127.7137
1725.000000	77.007	127.9302
1750.000000	77.016	128.1772
1775.000000	77.023	128.4720
1800.000000	77.035	128.8192
1825.000000	77.052	129.2007
1850.000000	77.068	129.6165
1875.000000	77.088	130.0677
1900.000000	77.114	130.5590
1925.000000	77.149	131.0773
1950.000000	77.189	131.6226
1975.000000	77.235	132.1982
2000.000000	77.288	132.7855
2030.000000	77.357	133.5258
2060.000000	77.435	134.3071
2090.000000	77.525	135.1161
2120.000000	77.631	135.9398
2140.000000	77.712	136.4832
2180.000000	77.902	137.5038
2200.000000	78.008	137.9555
2240.000000	78.231	138.7024
2270.000000	78.400	139.1408
2300.000000	78.571	139.4908
2330.000000	78.745	139.7523
2360.000000	78.922	139.9252
2400.000000	79.163	140.0080
2430.000000	79.344	139.9549
2470.000000	79.576	139.7323
2500.000000	79.741	139.4402
2540.000000	79.941	138.8800
2580.000000	80.110	138.1641
2620.000000	80.243	137.3391
2650.000000	80.321	136.6749
2690.000000	80.399	135.7779
2720.000000	80.437	135.1173
2760.000000	80.460	134.2534
2800.000000	80.452	133.4233
2850.000000	80.404	132.4711
2900.000000	80.313	131.7148
2950.000000	80.188	131.1967
3000.000000	80.040	130.8713
3040.000000	79.909	130.7556
3070.000000	79.802	130.7542
3110.000000	79.652	130.8696
3150.000000	79.493	131.1270
3200.000000	79.290	131.6512
3250.000000	79.087	132.3924
3300.000000	78.887	133.3183
3350.000000	78.694	134.3761
3400.000000	78.505	135.5511
3450.000000	78.313	136.8451
3500.000000	78.119	138.2729
3550.000000	77.924	139.8767
3600.000000	77.736	141.6497
3650.000000	77.557	143.5157
3700.000000	77.385	145.4146
3750.000000	77.211	147.3375
3820.000000	76.944	150.1361
3870.000000	76.736	152.2767
3950.000000	76.398	156.0671
4000.000000	76.188	158.6843
4060.000000	75.933	162.1459
4120.000000	75.677	165.9791
4180.000000	75.428	170.1944
4250.000000	75.166	175.5919
4310.000000	74.988	-179.4258
4370.000000	74.873	-174.1894
4440.000000	74.840	-167.8413
4500.000000	74.920	-162.2675
4550.000000	75.065	-157.8182
4620.000000	75.342	-152.3593
4680.000000	75.635	-148.5392
4750.000000	76.075	-145.0055
4820.000000	76.619	-142.1548
4870.000000	77.046	-140.5043
4940.000000	77.673	-138.7838
5000.000000	78.226	-137.8491
5080.000000	78.966	-137.3734
5150.000000	79.606	-137.6869
5220.000000	80.228	-138.6694
5300.000000	80.891	-140.6066
5380.000000	81.474	-143.3878
5450.000000	81.898	-146.4333
5520.000000	82.222	-149.9120
5600.000000	82.461	-154.2157
5700.000000	82.556	-159.7170
5800.000000	82.443	-164.9635
5900.000000	82.173	-169.6166
6000.000000	81.800	-173.5148
6080.000000	81.461	-176.0789
6150.000000	81.149	-177.9365
6220.000000	80.827	-179.4593
6300.000000	80.456	179.1683
6400.000000	79.988	177.9615
6500.000000	79.533	177.2367
6600.000000	79.107	176.8914
6700.000000	78.712	176.8647
6800.000000	78.355	177.1245
6900.000000	78.043	177.6176
7000.000000	77.781	178.2994
7100.000000	77.573	179.1715
7200.000000	77.437	-179.8109
7300.000000	77.393	-178.7262
7400.000000	77.462	-177.6720
7500.000000	77.650	-176.8568
7620.000000	78.043	-176.6576
7750.000000	78.622	-178.4056
7880.000000	79.135	176.6184
8000.000000	79.271	168.9783
8120.000000	78.901	159.9763
8250.000000	77.945	151.3940
8380.000000	76.648	145.5173
8500.000000	75.390	142.3385
8620.000000	74.197	140.7718
8750.000000	73.011	140.1940
8850.000000	72.178	140.2297
9000.000000	71.057	140.7924
9120.000000	70.246	141.5648
9250.000000	69.423	142.6272
9380.000000	68.655	143.9055
9500.000000	67.983	145.2442
9620.000000	67.337	146.6898
9750.000000	66.664	148.3980
9880.000000	66.020	150.3231
10000.000000	65.451	152.2959
10150.000000	64.794	154.9921
10300.000000	64.209	157.9644
10440.000000	63.726	160.9141
10600.000000	63.237	164.3847
10750.000000	62.840	167.7032
10900.000000	62.496	171.0212
11060.000000	62.179	174.5890
11200.000000	61.944	177.8370
11380.000000	61.692	-177.8365
11500.000000	61.559	-174.9081
11720.000000	61.398	-169.4328
11800.000000	61.372	-167.3727
12060.000000	61.388	-160.6150
12200.000000	61.452	-156.9928
12410.000000	61.643	-151.5523
12500.000000	61.766	-149.2403
12650.000000	62.028	-145.4423
12800.000000	62.361	-141.6943
13150.000000	63.436	-133.5033
13200.000000	63.617	-132.4240
