* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 13 오후 9:50:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.834	-149.4491
20.600000	86.862	-149.8091
20.900000	86.912	-150.4715
21.200001	86.940	-151.1411
21.400000	86.946	-151.5610
21.799999	86.940	-152.3150
22.000000	86.935	-152.6472
22.400000	86.937	-153.2531
22.700001	86.956	-153.7316
23.000000	86.986	-154.2991
23.299999	87.014	-154.9559
23.600000	87.029	-155.6543
24.000000	87.033	-156.5449
24.299999	87.037	-157.1271
24.700001	87.059	-157.8211
25.000000	87.090	-158.3706
25.400000	87.141	-159.2592
25.799999	87.176	-160.3264
26.200001	87.173	-161.3926
26.500000	87.149	-162.0500
26.900000	87.111	-162.6511
27.200001	87.097	-162.9445
27.600000	87.109	-163.2947
28.000000	87.141	-163.7878
28.500000	87.163	-164.6443
29.000000	87.144	-165.5074
29.500000	87.117	-166.1710
30.000000	87.112	-166.7531
30.400000	87.121	-167.3331
30.700001	87.127	-167.8678
31.100000	87.121	-168.6451
31.500000	87.097	-169.3815
32.000000	87.056	-170.1246
32.500000	87.034	-170.7132
33.000000	87.037	-171.2983
33.500000	87.045	-171.9500
34.000000	87.046	-172.6148
34.500000	87.046	-173.2188
35.000000	87.053	-173.7737
35.500000	87.067	-174.3590
36.000000	87.068	-174.9961
36.500000	87.043	-175.5728
37.000000	87.003	-175.9409
37.500000	86.977	-176.1310
38.200001	86.986	-176.5508
38.700001	86.982	-177.1178
39.500000	86.890	-177.8534
40.000000	86.842	-178.0426
40.599998	86.834	-178.5292
41.200001	86.779	-179.6478
41.799999	86.595	179.3634
42.500000	86.365	179.5027
43.099998	86.361	-179.8820
43.700001	86.488	179.9543
44.400002	86.589	178.8210
45.000000	86.598	177.9633
45.500000	86.614	177.5107
46.200001	86.671	176.8279
46.799999	86.698	176.0831
47.500000	86.688	175.4464
48.200001	86.697	175.1263
48.700001	86.721	174.8749
49.400002	86.737	174.3300
50.000000	86.711	173.7966
50.799999	86.638	173.2192
51.500000	86.573	172.8727
52.200001	86.535	172.5248
53.000000	86.521	171.8939
53.799999	86.492	171.0214
54.500000	86.435	170.2827
55.200001	86.361	169.7289
56.000000	86.281	169.3523
57.000000	86.218	169.1729
58.000000	86.207	168.9503
59.000000	86.193	168.3366
60.000000	86.128	167.6195
60.799999	86.062	167.2194
61.500000	86.019	166.9760
62.200001	85.992	166.7023
63.000000	85.957	166.2782
64.000000	85.896	165.8058
65.000000	85.859	165.3316
66.000000	85.792	164.6358
67.000000	85.670	164.3215
68.000000	85.594	164.4568
69.000000	85.582	164.5460
70.000000	85.601	164.3005
71.000000	85.599	163.7751
72.000000	85.574	163.2431
73.000000	85.518	162.7014
74.000000	85.425	162.4420
75.000000	85.359	162.4937
76.199997	85.330	162.5204
77.500000	85.340	162.2507
78.800003	85.338	161.4911
80.000000	85.297	160.6971
81.199997	85.229	160.0307
82.500000	85.160	159.5249
83.800003	85.111	159.1097
85.000000	85.066	158.7816
86.199997	85.014	158.5303
87.500000	84.957	158.2303
88.500000	84.904	157.9611
90.000000	84.824	157.6244
91.199997	84.773	157.3051
92.500000	84.717	156.8879
93.800003	84.658	156.5210
95.000000	84.610	156.2639
96.199997	84.570	156.0433
97.500000	84.525	155.7776
98.800003	84.461	155.5192
100.000000	84.389	155.3749
101.500000	84.308	155.2315
103.000000	84.236	154.9874
104.400002	84.174	154.7311
106.000000	84.119	154.4258
107.500000	84.072	154.1500
109.000000	84.014	153.9203
110.599998	83.931	153.7978
112.000000	83.857	153.7510
113.800003	83.784	153.4966
115.000000	83.753	153.1555
117.199997	83.760	152.2711
118.000000	83.776	151.8275
120.599998	83.649	150.7415
122.000000	83.539	151.2646
124.099998	83.464	152.1017
125.000000	83.433	152.2480
126.500000	83.368	152.2500
128.000000	83.296	152.0782
131.500000	83.157	151.6274
