* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 13 오후 9:48:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.122	-150.2222
20.600000	87.131	-150.6566
20.900000	87.144	-151.4025
21.200001	87.148	-152.0339
21.400000	87.149	-152.4028
21.799999	87.149	-153.1047
22.000000	87.150	-153.4711
22.400000	87.153	-154.2575
22.700001	87.158	-154.8929
23.000000	87.166	-155.5592
23.299999	87.170	-156.2390
23.600000	87.170	-156.9173
24.000000	87.166	-157.7966
24.299999	87.165	-158.4230
24.700001	87.167	-159.2044
25.000000	87.174	-159.7551
25.400000	87.194	-160.4653
25.799999	87.227	-161.1907
26.200001	87.268	-161.9668
26.500000	87.295	-162.5834
26.900000	87.319	-163.4263
27.200001	87.325	-164.0425
27.600000	87.318	-164.8022
28.000000	87.302	-165.4650
28.500000	87.277	-166.1716
29.000000	87.258	-166.8152
29.500000	87.249	-167.4748
30.000000	87.236	-168.1874
30.400000	87.217	-168.7806
30.700001	87.201	-169.2213
31.100000	87.182	-169.7807
31.500000	87.164	-170.2972
32.000000	87.150	-170.8953
32.500000	87.151	-171.4860
33.000000	87.163	-172.1228
33.500000	87.175	-172.8234
34.000000	87.178	-173.5541
34.500000	87.172	-174.2527
35.000000	87.164	-174.8835
35.500000	87.159	-175.4611
36.000000	87.156	-176.0183
36.500000	87.146	-176.5532
37.000000	87.131	-177.0410
37.500000	87.114	-177.4930
38.200001	87.093	-178.1583
38.700001	87.072	-178.6525
39.500000	87.025	-179.3104
40.000000	87.002	-179.6946
40.599998	86.975	179.7132
41.200001	86.922	179.0672
41.799999	86.869	178.5874
42.500000	86.877	178.0004
43.099998	86.912	176.9696
43.700001	86.872	175.6436
44.400002	86.726	174.7079
45.000000	86.630	174.7381
45.500000	86.628	174.9130
46.200001	86.684	174.7879
46.799999	86.714	174.4019
47.500000	86.724	173.9816
48.200001	86.733	173.5731
48.700001	86.729	173.2399
49.400002	86.695	172.7922
50.000000	86.655	172.4443
50.799999	86.598	171.8977
51.500000	86.528	171.3521
52.200001	86.450	170.9139
53.000000	86.397	170.5669
53.799999	86.388	170.1353
54.500000	86.379	169.6408
55.200001	86.361	169.1985
56.000000	86.349	168.7488
57.000000	86.313	168.1115
58.000000	86.243	167.7321
59.000000	86.199	167.2991
60.000000	86.120	166.6806
60.799999	86.067	166.3994
61.500000	86.057	166.0462
62.200001	86.035	165.4886
63.000000	85.975	164.9855
64.000000	85.933	164.7451
65.000000	85.950	164.3676
66.000000	85.942	163.7944
67.000000	85.904	163.3833
68.000000	85.869	162.9775
69.000000	85.793	162.4903
70.000000	85.703	162.2736
71.000000	85.670	162.0026
72.000000	85.631	161.3963
73.000000	85.554	160.9673
74.000000	85.510	160.8309
75.000000	85.506	160.5652
76.199997	85.474	159.9512
77.500000	85.352	159.4278
78.800003	85.250	159.2786
80.000000	85.151	158.8232
81.199997	85.040	158.7946
82.500000	85.026	158.4426
83.800003	84.949	157.8684
85.000000	84.916	157.8401
86.199997	84.906	157.4974
87.500000	84.827	157.2034
88.500000	84.783	157.1636
90.000000	84.725	156.8091
91.199997	84.664	156.5586
