* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 25 오전 12:06:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.364	-147.1552
20.600000	67.370	-147.5517
20.900000	67.383	-148.2430
21.200001	67.395	-148.8619
21.400000	67.404	-149.2515
21.799999	67.420	-150.0482
22.000000	67.427	-150.4754
22.400000	67.436	-151.3743
22.700001	67.435	-152.0592
23.000000	67.431	-152.7298
23.299999	67.426	-153.3736
23.600000	67.426	-153.9943
24.000000	67.435	-154.8090
24.299999	67.449	-155.4341
24.700001	67.472	-156.3031
25.000000	67.488	-156.9737
25.400000	67.502	-157.8598
25.799999	67.511	-158.6927
26.200001	67.519	-159.4512
26.500000	67.525	-159.9807
26.900000	67.535	-160.6596
27.200001	67.542	-161.1632
27.600000	67.546	-161.8291
28.000000	67.543	-162.4691
28.500000	67.535	-163.2032
29.000000	67.529	-163.8767
29.500000	67.527	-164.5429
30.000000	67.525	-165.2395
30.400000	67.521	-165.8113
30.700001	67.517	-166.2384
31.100000	67.511	-166.8000
31.500000	67.505	-167.3590
32.000000	67.501	-168.0728
32.500000	67.496	-168.8126
33.000000	67.488	-169.5651
33.500000	67.478	-170.3047
34.000000	67.464	-171.0026
34.500000	67.449	-171.6392
35.000000	67.436	-172.2184
35.500000	67.426	-172.7681
36.000000	67.419	-173.3104
36.500000	67.409	-173.8370
37.000000	67.399	-174.3328
37.500000	67.391	-174.8193
38.200001	67.376	-175.5641
38.700001	67.350	-176.1195
39.500000	67.295	-176.8437
40.000000	67.274	-177.2145
40.599998	67.266	-177.7527
41.200001	67.251	-178.4449
41.799999	67.216	-179.1245
42.500000	67.176	-179.7704
43.099998	67.160	179.6775
43.700001	67.143	179.0700
44.400002	67.114	178.4255
45.000000	67.099	177.9493
45.500000	67.094	177.5165
46.200001	67.079	176.8307
46.799999	67.051	176.2710
47.500000	67.014	175.6871
48.200001	66.972	175.1069
48.700001	66.933	174.7266
49.400002	66.875	174.3273
50.000000	66.839	174.0567
50.799999	66.810	173.6297
51.500000	66.788	173.1925
52.200001	66.776	172.7210
53.000000	66.768	172.0341
53.799999	66.736	171.2652
54.500000	66.697	170.7182
55.200001	66.667	170.2130
56.000000	66.617	169.5810
57.000000	66.516	169.1544
58.000000	66.453	169.0282
59.000000	66.396	168.8747
60.000000	66.375	168.7584
60.799999	66.359	168.1912
61.500000	66.271	167.6854
62.200001	66.168	167.7883
63.000000	66.186	168.2791
64.000000	66.355	167.5626
65.000000	66.313	165.6942
66.000000	66.110	165.0822
67.000000	66.014	165.1886
68.000000	65.925	165.1829
69.000000	65.854	165.6300
70.000000	65.870	165.9854
71.000000	65.923	165.8603
72.000000	65.956	165.2399
73.000000	65.936	164.5075
74.000000	65.902	163.8829
75.000000	65.856	163.3542
76.199997	65.812	162.9803
77.500000	65.782	162.4663
78.800003	65.721	161.9476
80.000000	65.658	161.4475
81.199997	65.584	160.9288
82.500000	65.508	160.3555
83.800003	65.429	159.8677
85.000000	65.380	159.5786
86.199997	65.353	159.2155
87.500000	65.301	158.7126
88.500000	65.238	158.4132
90.000000	65.141	158.1445
91.199997	65.076	158.0023
92.500000	65.027	157.7937
93.800003	64.982	157.4202
95.000000	64.922	156.9910
96.199997	64.839	156.6198
97.500000	64.748	156.4431
98.800003	64.692	156.3654
100.000000	64.664	156.2403
101.500000	64.645	155.9500
103.000000	64.607	155.5257
104.400002	64.550	155.1085
106.000000	64.454	154.6417
107.500000	64.363	154.3960
109.000000	64.295	154.2214
110.599998	64.232	154.0413
112.000000	64.160	153.7923
113.800003	64.028	153.3506
115.000000	63.941	152.9174
117.199997	63.845	151.6529
118.000000	63.825	151.0138
120.599998	63.582	150.1105
122.000000	63.482	151.2740
124.099998	63.405	153.0025
125.000000	63.347	153.6322
126.500000	63.232	154.6019
128.000000	63.147	155.4998
131.500000	63.302	156.8771
132.000000	63.350	156.9145
134.000000	63.525	156.7197
136.000000	63.628	156.0454
138.000000	63.649	155.1658
140.000000	63.624	154.2843
143.000000	63.540	153.2065
145.000000	63.462	152.6618
147.500000	63.358	152.2323
150.000000	63.286	151.9274
152.500000	63.218	151.6015
155.000000	63.131	151.3494
157.500000	63.037	151.2190
160.000000	62.950	151.1105
162.500000	62.868	150.9154
165.000000	62.778	150.6806
167.500000	62.691	150.5476
170.000000	62.620	150.4560
172.500000	62.553	150.3836
175.000000	62.484	150.3400
177.500000	62.409	150.2877
180.000000	62.330	150.2184
182.500000	62.254	150.1397
185.000000	62.186	150.0989
187.500000	62.117	150.1232
190.000000	62.047	150.2049
192.500000	61.980	150.2538
195.000000	61.918	150.2133
197.500000	61.863	150.1390
200.000000	61.812	150.1007
203.000000	61.754	150.1778
206.000000	61.699	150.2837
209.000000	61.630	150.3330
212.000000	61.553	150.3111
214.000000	61.503	150.2726
218.000000	61.419	150.3233
220.000000	61.382	150.3988
224.000000	61.300	150.5079
227.000000	61.240	150.6171
230.000000	61.189	150.7701
233.000000	61.137	150.8586
236.000000	61.084	150.9028
240.000000	61.027	151.0230
243.000000	60.985	151.1505
247.000000	60.918	151.2531
250.000000	60.857	151.3289
254.000000	60.776	151.5157
258.000000	60.711	151.6826
262.000000	60.645	151.8101
265.000000	60.594	151.9207
269.000000	60.530	152.0830
272.000000	60.491	152.2010
276.000000	60.450	152.3794
280.000000	60.406	152.5658
285.000000	60.352	152.7520
290.000000	60.281	153.0155
295.000000	60.200	153.2947
300.000000	60.141	153.4676
304.000000	60.105	153.6070
307.000000	60.077	153.6960
311.000000	60.035	153.8495
315.000000	59.988	154.1097
