* Measurement data measured by REW V5.20.5
* Source: 마이크(7- USB Sound Device       , MICROPHONE (마스), L, volume: 0.560
* Format: 128k Log Swept Sine, 2 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 오후 9:43:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	119.839	-153.4817
20.600000	119.847	-153.8287
20.900000	119.859	-154.4440
21.200001	119.863	-155.0194
21.400000	119.862	-155.3878
21.799999	119.853	-156.1331
22.000000	119.846	-156.5233
22.400000	119.827	-157.3340
22.700001	119.810	-157.9640
23.000000	119.793	-158.6126
23.299999	119.775	-159.2777
23.600000	119.758	-159.9569
24.000000	119.738	-160.8796
24.299999	119.725	-161.5784
24.700001	119.712	-162.5101
25.000000	119.705	-163.2023
25.400000	119.700	-164.1100
25.799999	119.700	-164.9947
26.200001	119.704	-165.8509
26.500000	119.709	-166.4707
26.900000	119.716	-167.2626
27.200001	119.721	-167.8280
27.600000	119.729	-168.5428
28.000000	119.735	-169.2148
28.500000	119.740	-170.0013
29.000000	119.740	-170.7380
29.500000	119.735	-171.4349
30.000000	119.724	-172.1038
30.400000	119.711	-172.6272
30.700001	119.699	-173.0166
31.100000	119.680	-173.5353
31.500000	119.659	-174.0561
32.000000	119.629	-174.7137
32.500000	119.598	-175.3819
33.000000	119.566	-176.0617
33.500000	119.535	-176.7499
34.000000	119.505	-177.4395
34.500000	119.477	-178.1234
35.000000	119.453	-178.7969
35.500000	119.431	-179.4561
36.000000	119.411	179.9039
36.500000	119.393	179.2896
37.000000	119.374	178.7063
37.500000	119.355	178.1551
38.200001	119.327	177.4294
38.700001	119.305	176.9359
39.500000	119.265	176.1746
40.000000	119.237	175.7099
40.599998	119.199	175.1567
41.200001	119.159	174.6025
41.799999	119.117	174.0448
42.500000	119.069	173.3899
43.099998	119.029	172.8260
43.700001	118.990	172.2624
44.400002	118.948	171.6139
45.000000	118.913	171.0757
45.500000	118.885	170.6449
46.200001	118.847	170.0708
46.799999	118.815	169.6040
47.500000	118.775	169.0855
48.200001	118.733	168.5923
48.700001	118.701	168.2533
49.400002	118.655	167.7889
50.000000	118.615	167.3899
50.799999	118.559	166.8480
51.500000	118.510	166.3702
52.200001	118.461	165.8947
53.000000	118.409	165.3546
53.799999	118.358	164.8246
54.500000	118.315	164.3789
55.200001	118.274	163.9543
56.000000	118.226	163.4955
57.000000	118.164	162.9576
58.000000	118.100	162.4514
59.000000	118.034	161.9602
60.000000	117.968	161.4482
60.799999	117.913	161.0283
61.500000	117.864	160.6718
62.200001	117.817	160.3272
63.000000	117.765	159.9419
64.000000	117.702	159.4785
65.000000	117.639	159.0446
66.000000	117.577	158.6321
67.000000	117.513	158.2325
68.000000	117.447	157.8458
69.000000	117.382	157.4679
70.000000	117.317	157.0916
71.000000	117.253	156.7228
72.000000	117.190	156.3676
73.000000	117.128	156.0247
74.000000	117.066	155.6979
75.000000	117.004	155.3859
76.199997	116.930	155.0242
77.500000	116.850	154.6409
78.800003	116.770	154.2651
80.000000	116.697	153.9363
81.199997	116.624	153.6216
82.500000	116.546	153.2949
83.800003	116.468	152.9810
85.000000	116.396	152.7012
86.199997	116.325	152.4310
87.500000	116.249	152.1515
88.500000	116.192	151.9459
90.000000	116.108	151.6483
91.199997	116.040	151.4185
92.500000	115.965	151.1779
93.800003	115.891	150.9494
95.000000	115.825	150.7496
96.199997	115.760	150.5532
97.500000	115.689	150.3492
98.800003	115.618	150.1586
100.000000	115.553	149.9914
101.500000	115.471	149.7911
103.000000	115.391	149.6000
104.400002	115.318	149.4295
106.000000	115.235	149.2461
107.500000	115.158	149.0877
109.000000	115.081	148.9361
110.599998	115.000	148.7794
112.000000	114.930	148.6524
113.800003	114.842	148.5015
115.000000	114.784	148.4081
117.199997	114.678	148.2551
118.000000	114.640	148.2049
120.599998	114.517	148.0461
122.000000	114.452	147.9627
124.099998	114.354	147.8535
125.000000	114.313	147.8127
126.500000	114.246	147.7477
128.000000	114.180	147.6854
131.500000	114.028	147.5625
132.000000	114.006	147.5479
134.000000	113.920	147.4929
136.000000	113.835	147.4441
138.000000	113.750	147.4138
140.000000	113.668	147.3993
143.000000	113.547	147.3882
145.000000	113.469	147.3776
147.500000	113.372	147.3699
150.000000	113.276	147.3820
152.500000	113.181	147.4003
155.000000	113.088	147.4226
157.500000	112.997	147.4642
160.000000	112.909	147.5167
162.500000	112.821	147.5731
165.000000	112.734	147.6347
167.500000	112.650	147.7016
170.000000	112.566	147.7786
172.500000	112.483	147.8645
175.000000	112.402	147.9547
177.500000	112.323	148.0508
180.000000	112.245	148.1545
182.500000	112.169	148.2625
185.000000	112.094	148.3728
187.500000	112.020	148.4905
190.000000	111.946	148.6202
192.500000	111.875	148.7516
195.000000	111.805	148.8775
197.500000	111.736	149.0044
200.000000	111.668	149.1368
203.000000	111.587	149.3044
206.000000	111.508	149.4782
209.000000	111.431	149.6544
212.000000	111.355	149.8342
214.000000	111.306	149.9590
218.000000	111.208	150.2195
220.000000	111.160	150.3525
224.000000	111.068	150.6128
227.000000	111.001	150.8045
230.000000	110.933	151.0051
233.000000	110.867	151.2129
236.000000	110.800	151.4260
240.000000	110.714	151.7158
243.000000	110.652	151.9283
247.000000	110.570	152.2178
250.000000	110.511	152.4434
254.000000	110.434	152.7428
258.000000	110.358	153.0434
262.000000	110.285	153.3380
265.000000	110.231	153.5621
269.000000	110.160	153.8706
272.000000	110.109	154.1022
276.000000	110.041	154.4092
280.000000	109.974	154.7179
285.000000	109.895	155.1053
290.000000	109.817	155.4899
295.000000	109.741	155.8789
300.000000	109.668	156.2763
304.000000	109.610	156.5905
307.000000	109.567	156.8295
311.000000	109.512	157.1533
315.000000	109.458	157.4709
320.000000	109.393	157.8618
325.000000	109.329	158.2538
330.000000	109.266	158.6479
335.000000	109.206	159.0409
340.000000	109.148	159.4330
345.000000	109.091	159.8401
350.000000	109.035	160.2441
355.000000	108.979	160.6435
360.000000	108.927	161.0496
365.000000	108.875	161.4557
370.000000	108.826	161.8551
375.000000	108.777	162.2572
382.000000	108.712	162.8212
387.000000	108.667	163.2195
395.000000	108.595	163.8532
400.000000	108.553	164.2565
406.000000	108.505	164.7449
412.000000	108.459	165.2252
418.000000	108.414	165.6972
425.000000	108.362	166.2488
431.000000	108.321	166.7235
437.000000	108.282	167.1971
444.000000	108.238	167.7525
450.000000	108.203	168.2181
455.000000	108.174	168.5972
462.000000	108.134	169.1326
468.000000	108.102	169.5967
475.000000	108.067	170.1321
482.000000	108.033	170.6512
487.000000	108.009	171.0157
494.000000	107.978	171.5274
500.000000	107.951	171.9659
508.000000	107.917	172.5428
515.000000	107.888	173.0432
522.000000	107.859	173.5336
530.000000	107.828	174.1021
538.000000	107.797	174.6852
545.000000	107.771	175.1906
552.000000	107.747	175.6955
560.000000	107.721	176.2726
570.000000	107.690	176.9980
580.000000	107.660	177.7134
590.000000	107.632	178.4291
600.000000	107.608	179.1503
608.000000	107.591	179.7310
615.000000	107.576	-179.7564
622.000000	107.561	-179.2438
630.000000	107.546	-178.6633
640.000000	107.531	-177.9350
650.000000	107.516	-177.2112
660.000000	107.504	-176.4933
670.000000	107.494	-175.7746
680.000000	107.487	-175.0513
690.000000	107.484	-174.3261
700.000000	107.482	-173.6077
710.000000	107.482	-172.8873
720.000000	107.485	-172.1611
730.000000	107.490	-171.4383
740.000000	107.497	-170.7184
750.000000	107.505	-169.9957
762.000000	107.520	-169.1317
775.000000	107.541	-168.2177
788.000000	107.567	-167.3126
800.000000	107.595	-166.4625
812.000000	107.628	-165.6159
825.000000	107.668	-164.7102
838.000000	107.712	-163.8166
850.000000	107.756	-163.0095
862.000000	107.804	-162.2134
875.000000	107.862	-161.3603
885.000000	107.909	-160.7223
900.000000	107.987	-159.7964
912.000000	108.057	-159.0812
925.000000	108.141	-158.3949
