* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 11 오후 1:12:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.303	-145.7666
20.600000	77.301	-146.1672
20.900000	77.293	-146.8371
21.200001	77.278	-147.3549
21.400000	77.270	-147.6325
21.799999	77.264	-148.1529
22.000000	77.267	-148.4529
22.400000	77.280	-149.2011
22.700001	77.287	-149.8892
23.000000	77.286	-150.6325
23.299999	77.272	-151.3404
23.600000	77.251	-151.9462
24.000000	77.236	-152.5567
24.299999	77.252	-152.9231
24.700001	77.318	-153.4518
25.000000	77.388	-153.9953
25.400000	77.480	-154.9760
25.799999	77.538	-156.1349
26.200001	77.551	-157.2184
26.500000	77.538	-157.8382
26.900000	77.518	-158.3474
27.200001	77.518	-158.5585
27.600000	77.550	-158.7985
28.000000	77.603	-159.2061
28.500000	77.645	-160.0524
29.000000	77.623	-161.0350
29.500000	77.550	-161.8205
30.000000	77.473	-162.3050
30.400000	77.434	-162.6127
30.700001	77.424	-162.8990
31.100000	77.425	-163.4405
31.500000	77.421	-164.1570
32.000000	77.390	-165.1467
32.500000	77.340	-166.0239
33.000000	77.303	-166.7043
33.500000	77.292	-167.2852
34.000000	77.301	-167.8617
34.500000	77.318	-168.3797
35.000000	77.354	-168.7686
35.500000	77.424	-169.1396
36.000000	77.506	-169.6955
36.500000	77.557	-170.4314
37.000000	77.559	-171.0971
37.500000	77.536	-171.5574
38.200001	77.497	-172.2087
38.700001	77.416	-172.7711
39.500000	77.162	-172.6062
40.000000	77.085	-171.6169
40.599998	77.203	-170.8026
41.200001	77.373	-171.6771
41.799999	77.372	-173.6424
42.500000	77.175	-175.3982
43.099998	77.028	-176.0473
43.700001	76.968	-176.5730
44.400002	76.939	-177.2849
45.000000	76.931	-177.7492
45.500000	76.952	-178.0714
46.200001	77.003	-178.6135
46.799999	77.035	-179.1001
47.500000	77.063	-179.5681
48.200001	77.079	-179.9927
48.700001	77.070	179.7460
49.400002	77.030	179.5093
50.000000	76.981	179.3717
50.799999	76.900	179.1961
51.500000	76.826	179.0736
