* Measurement data measured by REW V5.20.5
* Source: 마이크(7- USB Sound Device       , MICROPHONE (마스), L, volume: 0.560
* Format: 128k Log Swept Sine, 2 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 오후 10:00:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	117.788	-157.0358
20.600000	117.792	-157.3620
20.900000	117.799	-157.9410
21.200001	117.800	-158.4851
21.400000	117.798	-158.8355
21.799999	117.787	-159.5488
22.000000	117.780	-159.9230
22.400000	117.762	-160.6987
22.700001	117.747	-161.2969
23.000000	117.732	-161.9068
23.299999	117.717	-162.5261
23.600000	117.705	-163.1530
24.000000	117.691	-163.9975
24.299999	117.684	-164.6324
24.700001	117.677	-165.4718
25.000000	117.674	-166.0890
25.400000	117.674	-166.8878
25.799999	117.676	-167.6538
26.200001	117.682	-168.3849
26.500000	117.687	-168.9101
26.900000	117.693	-169.5788
27.200001	117.697	-170.0562
27.600000	117.701	-170.6605
28.000000	117.703	-171.2296
28.500000	117.701	-171.8978
29.000000	117.694	-172.5297
29.500000	117.683	-173.1373
30.000000	117.666	-173.7314
30.400000	117.650	-174.2027
30.700001	117.636	-174.5563
31.100000	117.617	-175.0306
31.500000	117.596	-175.5098
32.000000	117.568	-176.1162
32.500000	117.540	-176.7283
33.000000	117.512	-177.3413
33.500000	117.486	-177.9502
34.000000	117.461	-178.5503
34.500000	117.439	-179.1369
35.000000	117.418	-179.7060
35.500000	117.399	179.7450
36.000000	117.381	179.2171
36.500000	117.363	178.7092
37.000000	117.345	178.2198
37.500000	117.324	177.7484
38.200001	117.292	177.1201
38.700001	117.266	176.6928
39.500000	117.223	176.0294
40.000000	117.194	175.6170
40.599998	117.158	175.1222
41.200001	117.120	174.6306
41.799999	117.083	174.1400
42.500000	117.040	173.5646
43.099998	117.004	173.0773
43.700001	116.968	172.6072
44.400002	116.930	172.0791
45.000000	116.899	171.6348
45.500000	116.872	171.2715
46.200001	116.834	170.7841
46.799999	116.800	170.3892
47.500000	116.761	169.9475
48.200001	116.719	169.5192
48.700001	116.689	169.2195
49.400002	116.646	168.8058
50.000000	116.607	168.4545
50.799999	116.556	167.9906
51.500000	116.511	167.5892
52.200001	116.467	167.1945
53.000000	116.418	166.7562
53.799999	116.370	166.3315
54.500000	116.329	165.9725
55.200001	116.288	165.6285
56.000000	116.242	165.2491
57.000000	116.184	164.7887
58.000000	116.123	164.3407
59.000000	116.059	163.8951
60.000000	115.992	163.4818
60.799999	115.940	163.1808
61.500000	115.899	162.9172
62.200001	115.858	162.6465
63.000000	115.811	162.3405
64.000000	115.753	161.9758
65.000000	115.695	161.6282
66.000000	115.636	161.2982
67.000000	115.576	160.9847
68.000000	115.516	160.6800
69.000000	115.455	160.3798
70.000000	115.395	160.0848
71.000000	115.336	159.7935
72.000000	115.277	159.5089
73.000000	115.218	159.2412
74.000000	115.161	158.9909
75.000000	115.105	158.7521
76.199997	115.037	158.4823
77.500000	114.964	158.1994
78.800003	114.890	157.9173
80.000000	114.821	157.6703
81.199997	114.754	157.4321
82.500000	114.683	157.1855
83.800003	114.612	156.9647
85.000000	114.549	156.7751
86.199997	114.484	156.5951
87.500000	114.410	156.4162
88.500000	114.352	156.2974
90.000000	114.270	156.1569
91.199997	114.215	155.9908
92.500000	114.150	155.7583
93.800003	114.082	155.5628
95.000000	114.022	155.4174
96.199997	113.964	155.2937
97.500000	113.902	155.1811
98.800003	113.839	155.0806
100.000000	113.779	154.9957
101.500000	113.706	154.8892
103.000000	113.634	154.7718
104.400002	113.567	154.6642
106.000000	113.493	154.5605
107.500000	113.426	154.4804
109.000000	113.359	154.4102
110.599998	113.288	154.3394
112.000000	113.226	154.2794
113.800003	113.146	154.2152
115.000000	113.094	154.1819
117.199997	112.999	154.1248
118.000000	112.964	154.1063
120.599998	112.854	154.0821
122.000000	112.799	154.0656
124.099998	112.717	154.0426
125.000000	112.682	154.0390
126.500000	112.624	154.0376
128.000000	112.565	154.0403
131.500000	112.429	154.0635
132.000000	112.411	154.0685
134.000000	112.337	154.0945
136.000000	112.265	154.1335
138.000000	112.194	154.1785
140.000000	112.122	154.2307
143.000000	112.018	154.3163
145.000000	111.950	154.3785
147.500000	111.865	154.4742
150.000000	111.782	154.5716
152.500000	111.699	154.6709
155.000000	111.622	154.7971
157.500000	111.549	154.9166
160.000000	111.474	155.0412
162.500000	111.400	155.1759
165.000000	111.328	155.3250
167.500000	111.258	155.4831
170.000000	111.189	155.6397
172.500000	111.120	155.7998
175.000000	111.053	155.9655
177.500000	110.987	156.1345
180.000000	110.924	156.3073
182.500000	110.862	156.4872
185.000000	110.801	156.6686
187.500000	110.740	156.8583
190.000000	110.680	157.0611
192.500000	110.623	157.2697
195.000000	110.569	157.4768
197.500000	110.516	157.6840
200.000000	110.464	157.8984
203.000000	110.403	158.1662
206.000000	110.343	158.4397
209.000000	110.286	158.7050
212.000000	110.232	158.9623
214.000000	110.196	159.1371
218.000000	110.127	159.4915
220.000000	110.093	159.6592
224.000000	110.029	159.9763
227.000000	109.983	160.2179
230.000000	109.937	160.4695
233.000000	109.894	160.7164
236.000000	109.856	160.9555
240.000000	109.800	161.2666
243.000000	109.750	161.4783
247.000000	109.688	161.7610
250.000000	109.649	161.9883
254.000000	109.597	162.2905
258.000000	109.543	162.5974
262.000000	109.490	162.9249
265.000000	109.450	163.1673
269.000000	109.398	163.4875
272.000000	109.360	163.7269
276.000000	109.312	164.0519
280.000000	109.266	164.3741
285.000000	109.207	164.7523
290.000000	109.150	165.1497
295.000000	109.098	165.5835
300.000000	109.047	166.0134
304.000000	109.007	166.3378
307.000000	108.977	166.5756
311.000000	108.938	166.8987
315.000000	108.901	167.2304
320.000000	108.856	167.6476
325.000000	108.811	168.0661
330.000000	108.767	168.4771
335.000000	108.725	168.8821
340.000000	108.686	169.2881
345.000000	108.649	169.6844
350.000000	108.612	170.0782
355.000000	108.574	170.4795
360.000000	108.538	170.8940
365.000000	108.503	171.3046
370.000000	108.472	171.7025
375.000000	108.442	172.0966
382.000000	108.401	172.6506
387.000000	108.372	173.0435
395.000000	108.329	173.6718
400.000000	108.303	174.0636
406.000000	108.273	174.5327
412.000000	108.243	175.0051
418.000000	108.215	175.4760
425.000000	108.183	176.0112
431.000000	108.157	176.4623
437.000000	108.133	176.9163
444.000000	108.107	177.4417
450.000000	108.086	177.8942
455.000000	108.067	178.2770
462.000000	108.043	178.8113
468.000000	108.025	179.2606
475.000000	108.005	179.7804
482.000000	107.984	-179.6961
487.000000	107.970	-179.3194
494.000000	107.952	-178.7933
500.000000	107.939	-178.3506
508.000000	107.921	-177.7646
515.000000	107.905	-177.2489
522.000000	107.891	-176.7369
530.000000	107.876	-176.1546
538.000000	107.864	-175.5660
545.000000	107.853	-175.0470
552.000000	107.842	-174.5313
560.000000	107.831	-173.9558
570.000000	107.819	-173.2390
580.000000	107.811	-172.5184
590.000000	107.804	-171.8073
600.000000	107.799	-171.0959
608.000000	107.797	-170.5240
615.000000	107.796	-170.0236
622.000000	107.795	-169.5251
630.000000	107.793	-168.9570
640.000000	107.793	-168.2425
650.000000	107.794	-167.5228
660.000000	107.794	-166.7894
670.000000	107.794	-166.0049
680.000000	107.803	-165.1190
690.000000	107.842	-164.1913
700.000000	107.907	-163.4935
710.000000	107.950	-163.0268
720.000000	107.968	-162.5285
730.000000	107.982	-161.9330
740.000000	107.998	-161.2874
750.000000	108.020	-160.6290
762.000000	108.052	-159.8466
775.000000	108.092	-159.0224
788.000000	108.136	-158.2344
800.000000	108.178	-157.5536
812.000000	108.216	-156.9220
825.000000	108.245	-156.2427
838.000000	108.258	-155.4796
850.000000	108.270	-154.6537
