* Measurement data measured by REW V5.20.5
* Source: 마이크(7- USB Sound Device       , MICROPHONE (마스), L, volume: 0.560
* Format: 128k Log Swept Sine, 2 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 오후 9:59:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	117.309	-156.0798
20.600000	117.315	-156.4089
20.900000	117.325	-156.9948
21.200001	117.329	-157.5488
21.400000	117.328	-157.9066
21.799999	117.319	-158.6343
22.000000	117.312	-159.0144
22.400000	117.296	-159.7976
22.700001	117.281	-160.3978
23.000000	117.267	-161.0075
23.299999	117.254	-161.6250
23.600000	117.242	-162.2498
24.000000	117.231	-163.0917
24.299999	117.225	-163.7253
24.700001	117.219	-164.5636
25.000000	117.218	-165.1800
25.400000	117.218	-165.9769
25.799999	117.222	-166.7399
26.200001	117.227	-167.4668
26.500000	117.232	-167.9880
26.900000	117.239	-168.6512
27.200001	117.244	-169.1251
27.600000	117.249	-169.7267
28.000000	117.251	-170.2967
28.500000	117.250	-170.9709
29.000000	117.243	-171.6116
29.500000	117.231	-172.2276
30.000000	117.214	-172.8299
30.400000	117.198	-173.3089
30.700001	117.185	-173.6690
31.100000	117.165	-174.1518
31.500000	117.143	-174.6374
32.000000	117.115	-175.2469
32.500000	117.087	-175.8572
33.000000	117.060	-176.4663
33.500000	117.035	-177.0716
34.000000	117.012	-177.6690
34.500000	116.991	-178.2545
35.000000	116.972	-178.8246
35.500000	116.954	-179.3760
36.000000	116.936	-179.9069
36.500000	116.918	179.5837
37.000000	116.898	179.0958
37.500000	116.877	178.6285
38.200001	116.845	178.0043
38.700001	116.821	177.5743
39.500000	116.778	176.9012
40.000000	116.749	176.4853
40.599998	116.713	175.9887
41.200001	116.676	175.4937
41.799999	116.639	175.0018
42.500000	116.597	174.4358
43.099998	116.563	173.9593
43.700001	116.529	173.4907
44.400002	116.491	172.9577
45.000000	116.459	172.5189
45.500000	116.432	172.1685
46.200001	116.395	171.6987
46.799999	116.362	171.3098
47.500000	116.323	170.8683
48.200001	116.281	170.4411
48.700001	116.251	170.1442
49.400002	116.208	169.7353
50.000000	116.171	169.3871
50.799999	116.121	168.9271
51.500000	116.077	168.5309
52.200001	116.035	168.1384
53.000000	115.987	167.6964
53.799999	115.940	167.2732
54.500000	115.899	166.9206
55.200001	115.858	166.5811
56.000000	115.810	166.2118
57.000000	115.750	165.7748
58.000000	115.689	165.3483
59.000000	115.626	164.9417
60.000000	115.566	164.5417
60.799999	115.518	164.2086
61.500000	115.475	163.9173
62.200001	115.432	163.6377
63.000000	115.383	163.3339
64.000000	115.325	162.9717
65.000000	115.267	162.6269
66.000000	115.210	162.3018
67.000000	115.152	161.9936
68.000000	115.093	161.6947
69.000000	115.034	161.4020
70.000000	114.975	161.1140
71.000000	114.916	160.8351
72.000000	114.858	160.5648
73.000000	114.801	160.3018
74.000000	114.745	160.0507
75.000000	114.689	159.8124
76.199997	114.622	159.5416
77.500000	114.548	159.2640
78.800003	114.475	159.0057
80.000000	114.409	158.7777
81.199997	114.344	158.5517
82.500000	114.276	158.3084
83.800003	114.207	158.0785
85.000000	114.143	157.8852
86.199997	114.080	157.7140
87.500000	114.010	157.5522
88.500000	113.956	157.4507
90.000000	113.883	157.3087
91.199997	113.827	157.1313
92.500000	113.759	156.9236
93.800003	113.688	156.7602
95.000000	113.626	156.6382
96.199997	113.568	156.5246
97.500000	113.505	156.4104
98.800003	113.443	156.3046
100.000000	113.386	156.2100
101.500000	113.314	156.0940
103.000000	113.243	155.9863
104.400002	113.180	155.8936
106.000000	113.109	155.7970
107.500000	113.042	155.7196
109.000000	112.975	155.6557
110.599998	112.904	155.5960
112.000000	112.844	155.5464
113.800003	112.767	155.4865
115.000000	112.716	155.4508
117.199997	112.625	155.3969
118.000000	112.592	155.3816
120.599998	112.486	155.3595
122.000000	112.432	155.3535
124.099998	112.351	155.3442
125.000000	112.317	155.3430
126.500000	112.259	155.3484
128.000000	112.202	155.3634
131.500000	112.071	155.4134
132.000000	112.053	155.4223
134.000000	111.979	155.4625
136.000000	111.907	155.5062
138.000000	111.836	155.5500
140.000000	111.767	155.5923
143.000000	111.666	155.6643
145.000000	111.600	155.7393
147.500000	111.520	155.8533
150.000000	111.442	155.9456
152.500000	111.362	156.0283
155.000000	111.284	156.1710
157.500000	111.211	156.3290
160.000000	111.136	156.4725
162.500000	111.064	156.6040
165.000000	110.995	156.7509
167.500000	110.928	156.9181
170.000000	110.861	157.0837
172.500000	110.796	157.2341
175.000000	110.733	157.3997
177.500000	110.671	157.5870
180.000000	110.610	157.7726
182.500000	110.548	157.9506
185.000000	110.488	158.1394
187.500000	110.429	158.3454
190.000000	110.373	158.5457
192.500000	110.318	158.7401
195.000000	110.264	158.9488
197.500000	110.211	159.1631
