* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 1 ¿ÀÈÄ 5:37:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: l
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.594	-121.2677
20.600000	82.715	-121.5220
20.900000	82.938	-122.1491
21.200001	83.095	-123.1601
21.400000	83.154	-123.9085
21.799999	83.194	-125.2462
22.000000	83.197	-125.7205
22.400000	83.223	-126.2817
22.700001	83.290	-126.6289
23.000000	83.388	-127.2193
23.299999	83.477	-128.1596
23.600000	83.523	-129.3321
24.000000	83.495	-130.8505
24.299999	83.431	-131.6197
24.700001	83.368	-132.0416
25.000000	83.383	-132.1595
25.400000	83.484	-132.5880
25.799999	83.589	-133.6618
26.200001	83.607	-135.0602
26.500000	83.560	-135.8902
26.900000	83.478	-136.3682
27.200001	83.463	-136.3795
27.600000	83.534	-136.4843
28.000000	83.632	-137.2744
28.500000	83.606	-138.9436
29.000000	83.372	-139.6491
29.500000	83.188	-138.3893
30.000000	83.352	-136.7204
30.400000	83.651	-136.7828
30.700001	83.838	-137.9435
31.100000	83.905	-140.2801
31.500000	83.751	-142.3026
32.000000	83.435	-142.9383
32.500000	83.334	-141.8776
33.000000	83.577	-141.3696
33.500000	83.914	-142.8804
34.000000	84.073	-145.7608
34.500000	84.026	-148.2681
35.000000	83.944	-149.5180
35.500000	83.995	-150.1097
36.000000	84.133	-151.1302
36.500000	84.183	-152.5635
37.000000	84.097	-153.1396
37.500000	84.061	-152.1022
38.200001	84.401	-150.3429
38.700001	84.661	-150.8852
39.500000	84.452	-151.0706
40.000000	84.373	-147.5134
40.599998	85.112	-142.4843
41.200001	86.203	-143.2880
41.799999	86.657	-149.9985
42.500000	86.071	-157.2546
43.099998	85.153	-157.9281
43.700001	84.666	-155.6745
44.400002	84.712	-154.7312
45.000000	84.775	-156.0477
45.500000	84.756	-157.4300
46.200001	84.734	-159.3253
46.799999	84.726	-161.1190
47.500000	84.682	-163.1177
48.200001	84.614	-164.7310
48.700001	84.542	-165.5552
49.400002	84.427	-165.8965
50.000000	84.397	-165.5032
50.799999	84.476	-165.0930
51.500000	84.519	-165.2116
52.200001	84.501	-165.1290
53.000000	84.535	-164.7007
