* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 4 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 ¿ÀÈÄ 5:28:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quarks_Samsungbundle_Right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.824	-175.4158
20.600000	82.830	-175.4258
20.900000	82.840	-175.4440
21.200001	82.845	-175.4649
21.400000	82.845	-175.4873
21.799999	82.838	-175.5623
22.000000	82.832	-175.6171
22.400000	82.817	-175.7559
22.700001	82.808	-175.8765
23.000000	82.806	-176.0043
23.299999	82.807	-176.1374
23.600000	82.811	-176.2771
24.000000	82.821	-176.4782
24.299999	82.834	-176.6439
24.700001	82.856	-176.8849
25.000000	82.874	-177.0760
25.400000	82.896	-177.3320
25.799999	82.921	-177.5722
26.200001	82.947	-177.7830
26.500000	82.967	-177.9192
26.900000	82.990	-178.0746
27.200001	83.004	-178.1769
27.600000	83.019	-178.3014
28.000000	83.028	-178.4171
28.500000	83.029	-178.5510
29.000000	83.022	-178.6752
29.500000	83.016	-178.7985
30.000000	83.006	-178.9330
30.400000	82.995	-179.0523
30.700001	82.989	-179.1475
31.100000	82.987	-179.2796
31.500000	82.988	-179.4168
32.000000	82.993	-179.5982
32.500000	83.004	-179.7943
33.000000	83.020	179.9981
33.500000	83.035	179.7888
34.000000	83.050	179.5874
34.500000	83.066	179.3964
35.000000	83.083	179.2136
35.500000	83.100	179.0388
36.000000	83.115	178.8754
36.500000	83.125	178.7265
37.000000	83.130	178.5913
37.500000	83.129	178.4653
38.200001	83.128	178.2946
38.700001	83.132	178.1711
39.500000	83.132	177.9605
40.000000	83.124	177.8181
40.599998	83.110	177.6382
41.200001	83.090	177.4530
41.799999	83.069	177.2642
42.500000	83.054	177.0412
43.099998	83.053	176.8538
43.700001	83.063	176.6754
44.400002	83.083	176.4766
45.000000	83.100	176.3089
45.500000	83.112	176.1714
46.200001	83.122	175.9864
46.799999	83.127	175.8355
47.500000	83.131	175.6617
48.200001	83.135	175.4855
48.700001	83.135	175.3600
49.400002	83.123	175.1867
50.000000	83.104	175.0374
