x	Curve1













20.0211	36.415
20.3116	36.4451
20.6064	36.4746
20.9054	36.5031
21.2088	36.5301
21.5166	36.5552
21.8288	36.5779
22.1456	36.5979
22.4669	36.615
22.793	36.6301
23.1237	36.6443
23.4593	36.6587
23.8	36.6741
24.145	36.6916
24.495	36.7125
24.851	36.7376
25.212	36.7665
25.577	36.7972
25.949	36.8278
26.325	36.8563
26.707	36.8806
27.095	36.8988
27.488	36.9094
27.887	36.9131
28.292	36.9122
28.702	36.9086
29.119	36.9043
29.541	36.9011
29.97	36.9008
30.405	36.9053
30.846	36.9152
31.294	36.9295
31.748	36.947
32.208	36.9666
32.676	36.9871
33.15	37.0072
33.631	37.0257
34.119	37.0415
34.614	37.0545
35.117	37.065
35.626	37.073
36.143	37.079
36.668	37.0833
37.2	37.0861
37.74	37.0877
38.287	37.0885
38.843	37.0885
39.407	37.0881
39.978	37.0874
40.559	37.0867
41.147	37.086
41.744	37.0855
42.35	37.0853
42.965	37.0853
43.588	37.0855
44.221	37.0856
44.862	37.0857
45.513	37.0857
46.174	37.0854
46.844	37.085
47.524	37.0844
48.213	37.084
48.913	37.0837
49.623	37.0839
50.343	37.0846
51.074	37.0859
51.815	37.0878
52.567	37.0898
53.329	37.0913
54.103	37.092
54.888	37.0915
55.685	37.0892
56.493	37.0847
57.313	37.0779
58.145	37.0694
58.988	37.0597
59.844	37.0497
60.713	37.04
61.594	37.0315
62.488	37.0249
63.394	37.0211
64.314	37.0197
65.248	37.0202
66.195	37.0216
67.155	37.0232
68.13	37.0243
69.118	37.0239
70.121	37.0216
71.139	37.0171
72.171	37.0108
73.219	37.0028
74.281	36.9932
75.359	36.9822
76.453	36.9698
77.562	36.9561
78.688	36.9413
79.83	36.9254
80.988	36.9087
82.163	36.8914
83.356	36.8736
84.565	36.8556
85.793	36.8375
87.038	36.8194
88.301	36.8014
89.582	36.7836
90.882	36.7659
92.201	36.7486
93.539	36.7317
94.896	36.7156
96.273	36.7009
97.67	36.6867
99.088	36.6697
100.526	36.6496
101.985	36.6276
103.464	36.6041
104.966	36.5793
106.489	36.5529
108.034	36.5249
109.602	36.4951
111.193	36.4629
112.806	36.4282
114.443	36.3917
116.104	36.3544
117.789	36.3174
119.498	36.282
121.232	36.2493
122.992	36.2202
124.777	36.1948
126.587	36.1717
128.424	36.1495
130.288	36.1271
132.179	36.1032
134.097	36.0765
136.043	36.0454
138.017	36.0087
140.02	35.9669
142.052	35.9216
144.113	35.8746
146.204	35.8278
148.326	35.7827
150.479	35.7406
152.662	35.7018
154.878	35.6652
157.125	35.6295
159.405	35.5934
161.719	35.5562
164.065	35.5169
166.446	35.4749
168.862	35.4295
171.312	35.3799
173.798	35.3259
176.32	35.2681
178.879	35.2078
181.475	35.1458
184.108	35.0833
186.78	35.0216
189.49	34.9625
192.24	34.9091
195.03	34.8672
197.86	34.8424
200.732	34.8257
203.644	34.8024
206.6	34.7679
209.598	34.7237
212.639	34.672
215.725	34.6149
218.856	34.5537
222.032	34.4898
225.254	34.4238
228.523	34.3563
231.839	34.2874
235.203	34.2174
238.62	34.1465
242.08	34.0747
245.59	34.0021
249.16	33.9288
252.77	33.8548
