x	Curve1













20.0176	34.8453
20.3089	34.927
20.6045	35.0057
20.9044	35.0797
21.2087	35.1485
21.5174	35.2126
21.8305	35.2727
22.1483	35.3296
22.4706	35.3836
22.7977	35.4349
23.1295	35.4836
23.4661	35.5296
23.808	35.5726
24.154	35.6125
24.506	35.6498
24.862	35.6848
25.224	35.7181
25.591	35.7503
25.964	35.7819
26.342	35.8137
26.725	35.8455
27.114	35.8767
27.509	35.9061
27.909	35.9331
28.315	35.9566
28.727	35.976
29.145	35.9906
29.57	36.0006
30	36.0074
30.437	36.0127
30.88	36.0179
31.329	36.0245
31.785	36.034
32.248	36.048
32.717	36.0677
33.193	36.0922
33.676	36.1201
34.166	36.1496
34.664	36.1791
35.168	36.2069
35.68	36.2314
36.199	36.2515
36.726	36.2672
37.261	36.279
37.803	36.2871
38.353	36.2918
38.912	36.2934
39.478	36.292
40.052	36.288
40.635	36.2824
41.227	36.2766
41.827	36.2722
42.436	36.2707
43.053	36.2737
43.68	36.283
44.316	36.3002
44.961	36.3253
45.615	36.3554
46.279	36.3877
46.952	36.419
47.636	36.4464
48.329	36.467
49.032	36.4782
49.746	36.4801
50.47	36.4749
51.205	36.4645
51.95	36.4511
52.706	36.4364
53.473	36.4224
54.251	36.4111
55.041	36.4038
55.842	36.4004
56.655	36.4
57.479	36.402
58.316	36.4054
59.165	36.4094
60.026	36.4133
60.9	36.4163
61.786	36.4185
62.685	36.4197
63.597	36.4198
64.523	36.4188
65.462	36.4165
66.415	36.4128
67.382	36.4077
68.362	36.4011
69.357	36.3932
70.367	36.3841
71.391	36.3742
72.43	36.3634
73.484	36.3522
74.554	36.3406
75.639	36.3292
76.74	36.3184
77.856	36.3086
78.99	36.3003
80.139	36.294
81.306	36.2899
82.489	36.2884
83.69	36.2887
84.908	36.2901
86.143	36.2918
87.397	36.293
88.669	36.293
89.96	36.291
91.269	36.286
92.597	36.2777
93.945	36.2658
95.312	36.2501
96.7	36.2304
98.107	36.2067
99.535	36.1788
100.984	36.1466
102.453	36.1111
103.945	36.0737
105.457	36.0358
106.992	35.9988
108.549	35.964
110.129	35.9329
111.732	35.9065
113.358	35.8847
115.008	35.8665
116.682	35.8509
118.38	35.8368
120.103	35.8233
121.851	35.8096
123.625	35.7946
125.424	35.7781
127.25	35.7605
129.102	35.7422
130.981	35.7236
132.887	35.7053
134.821	35.6879
136.783	35.6724
138.774	35.6582
140.794	35.6417
142.843	35.6198
144.922	35.5919
147.031	35.5585
149.171	35.5207
151.342	35.4794
153.545	35.4356
155.78	35.3901
158.047	35.3434
160.347	35.2958
162.681	35.2475
165.049	35.1988
167.451	35.1498
169.888	35.1006
172.361	35.0514
174.87	35.0023
177.415	34.9535
179.997	34.9053
182.617	34.8581
185.274	34.8122
187.971	34.7676
190.707	34.7245
193.482	34.6827
196.298	34.6413
199.155	34.5985
202.054	34.5512
204.995	34.499
207.978	34.4448
211.005	34.3906
214.076	34.3372
217.192	34.2849
220.353	34.2337
223.56	34.1834
226.814	34.1337
230.115	34.0844
233.465	34.035
236.863	33.9855
240.31	33.9357
243.81	33.8855
247.36	33.8346
250.96	33.783
254.61	33.7305
258.31	33.6768
