* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 128k Log Swept Sine, 4 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 18 ¿ÀÈÄ 10:33:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UcotechRe2_bundle_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.737	-119.9920
20.600000	77.780	-120.3783
20.900000	77.864	-121.0575
21.200001	77.934	-121.6736
21.400000	77.975	-122.0503
21.799999	78.051	-122.7738
22.000000	78.089	-123.1410
22.400000	78.166	-123.9039
22.700001	78.223	-124.5126
23.000000	78.277	-125.1574
23.299999	78.326	-125.8241
23.600000	78.371	-126.4952
24.000000	78.426	-127.3709
24.299999	78.466	-128.0025
24.700001	78.520	-128.8132
25.000000	78.562	-129.4039
25.400000	78.619	-130.1716
25.799999	78.675	-130.9075
26.200001	78.732	-131.6004
26.500000	78.777	-132.0941
26.900000	78.839	-132.7336
27.200001	78.887	-133.2144
27.600000	78.950	-133.8698
28.000000	79.009	-134.5392
28.500000	79.071	-135.3709
29.000000	79.124	-136.1725
29.500000	79.169	-136.9370
30.000000	79.209	-137.6586
30.400000	79.239	-138.1995
30.700001	79.262	-138.5862
31.100000	79.296	-139.0922
31.500000	79.334	-139.6096
32.000000	79.380	-140.2921
32.500000	79.419	-140.9934
33.000000	79.451	-141.6609
33.500000	79.481	-142.2659
34.000000	79.514	-142.8244
34.500000	79.552	-143.3717
35.000000	79.591	-143.9259
35.500000	79.627	-144.4857
36.000000	79.660	-145.0425
36.500000	79.689	-145.5886
37.000000	79.716	-146.1195
37.500000	79.741	-146.6387
38.200001	79.774	-147.3665
38.700001	79.795	-147.8908
39.500000	79.822	-148.7032
40.000000	79.839	-149.1855
40.599998	79.861	-149.7517
41.200001	79.884	-150.3098
41.799999	79.907	-150.8524
42.500000	79.935	-151.4798
43.099998	79.955	-152.0291
43.700001	79.968	-152.5592
44.400002	79.979	-153.1055
45.000000	79.992	-153.5353
45.500000	80.006	-153.9097
46.200001	80.020	-154.4729
46.799999	80.024	-154.9582
47.500000	80.023	-155.4908
48.200001	80.019	-155.9769
48.700001	80.017	-156.2878
49.400002	80.019	-156.6781
50.000000	80.027	-157.0043
50.799999	80.040	-157.4533
51.500000	80.048	-157.8189
52.200001	80.061	-158.1448
53.000000	80.084	-158.5417
53.799999	80.103	-158.9991
54.500000	80.116	-159.4093
55.200001	80.130	-159.8362
56.000000	80.144	-160.3632
57.000000	80.164	-161.0136
58.000000	80.198	-161.8379
59.000000	80.177	-162.7727
60.000000	80.128	-163.1550
60.799999	80.142	-163.2458
61.500000	80.176	-163.4672
62.200001	80.199	-163.7889
63.000000	80.211	-164.1502
64.000000	80.216	-164.5782
65.000000	80.213	-164.9880
66.000000	80.207	-165.4096
67.000000	80.197	-165.8547
68.000000	80.186	-166.2799
69.000000	80.180	-166.6868
70.000000	80.177	-167.0793
71.000000	80.178	-167.4652
72.000000	80.177	-167.8530
73.000000	80.173	-168.2298
74.000000	80.165	-168.5861
75.000000	80.156	-168.9305
76.199997	80.143	-169.3317
77.500000	80.132	-169.7614
78.800003	80.120	-170.1950
80.000000	80.109	-170.5830
81.199997	80.097	-170.9506
82.500000	80.084	-171.3411
83.800003	80.069	-171.7220
85.000000	80.055	-172.0635
86.199997	80.041	-172.4023
87.500000	80.024	-172.7573
88.500000	80.012	-173.0189
90.000000	79.991	-173.3999
91.199997	79.974	-173.6910
92.500000	79.954	-173.9941
93.800003	79.936	-174.2911
95.000000	79.919	-174.5634
96.199997	79.902	-174.8332
97.500000	79.883	-175.1145
98.800003	79.865	-175.3767
100.000000	79.848	-175.6080
101.500000	79.826	-175.8936
103.000000	79.802	-176.1775
104.400002	79.778	-176.4381
106.000000	79.750	-176.7225
107.500000	79.726	-176.9839
109.000000	79.701	-177.2360
110.599998	79.676	-177.4897
112.000000	79.653	-177.7052
113.800003	79.623	-177.9667
115.000000	79.603	-178.1323
117.199997	79.565	-178.4285
118.000000	79.551	-178.5327
120.599998	79.507	-178.8583
122.000000	79.482	-179.0264
124.099998	79.444	-179.2617
125.000000	79.428	-179.3568
126.500000	79.402	-179.5094
128.000000	79.376	-179.6532
131.500000	79.317	-179.9586
132.000000	79.308	-179.9988
134.000000	79.275	179.8455
136.000000	79.242	179.6932
138.000000	79.210	179.5436
140.000000	79.179	179.3973
143.000000	79.131	179.1913
145.000000	79.099	179.0657
147.500000	79.058	178.9118
150.000000	79.018	178.7682
152.500000	78.977	178.6475
155.000000	78.935	178.5452
157.500000	78.893	178.4544
160.000000	78.853	178.3845
162.500000	78.815	178.3358
165.000000	78.781	178.2944
167.500000	78.748	178.2394
170.000000	78.716	178.1693
172.500000	78.681	178.0981
175.000000	78.643	178.0361
177.500000	78.603	177.9888
180.000000	78.563	177.9656
182.500000	78.525	177.9718
185.000000	78.489	177.9991
187.500000	78.454	178.0405
190.000000	78.420	178.0892
192.500000	78.388	178.1466
195.000000	78.359	178.2131
197.500000	78.332	178.2852
200.000000	78.307	178.3594
203.000000	78.281	178.4453
206.000000	78.258	178.5220
209.000000	78.238	178.5786
212.000000	78.219	178.6108
214.000000	78.205	178.6268
218.000000	78.176	178.6584
220.000000	78.161	178.6711
224.000000	78.128	178.6884
227.000000	78.103	178.7040
230.000000	78.077	178.7258
233.000000	78.050	178.7506
236.000000	78.024	178.7774
240.000000	77.987	178.8200
243.000000	77.959	178.8574
247.000000	77.921	178.9221
250.000000	77.892	178.9850
254.000000	77.853	179.0800
258.000000	77.815	179.1799
262.000000	77.778	179.2968
265.000000	77.753	179.3942
269.000000	77.720	179.5266
272.000000	77.695	179.6265
276.000000	77.662	179.7654
280.000000	77.629	179.9101
285.000000	77.590	-179.9032
290.000000	77.551	-179.7058
295.000000	77.512	-179.4982
300.000000	77.475	-179.2843
304.000000	77.447	-179.1082
307.000000	77.426	-178.9750
311.000000	77.398	-178.7921
315.000000	77.372	-178.5986
320.000000	77.339	-178.3466
325.000000	77.309	-178.0864
330.000000	77.282	-177.8190
335.000000	77.255	-177.5471
340.000000	77.230	-177.2678
345.000000	77.209	-176.9895
350.000000	77.189	-176.7243
355.000000	77.171	-176.4678
360.000000	77.155	-176.2153
365.000000	77.138	-175.9656
370.000000	77.121	-175.7193
375.000000	77.104	-175.4770
382.000000	77.083	-175.1398
387.000000	77.067	-174.8972
395.000000	77.042	-174.5131
400.000000	77.027	-174.2724
406.000000	77.008	-173.9789
412.000000	76.990	-173.6862
418.000000	76.973	-173.3925
425.000000	76.953	-173.0397
431.000000	76.936	-172.7285
437.000000	76.919	-172.4123
444.000000	76.901	-172.0408
450.000000	76.887	-171.7246
455.000000	76.877	-171.4584
462.000000	76.862	-171.0801
468.000000	76.850	-170.7538
475.000000	76.837	-170.3731
482.000000	76.825	-169.9904
487.000000	76.817	-169.7160
494.000000	76.807	-169.3331
500.000000	76.800	-169.0028
508.000000	76.790	-168.5604
515.000000	76.783	-168.1734
522.000000	76.776	-167.7817
530.000000	76.770	-167.3285
538.000000	76.765	-166.8713
545.000000	76.761	-166.4689
552.000000	76.758	-166.0659
560.000000	76.756	-165.6040
570.000000	76.755	-165.0248
580.000000	76.756	-164.4455
590.000000	76.758	-163.8670
600.000000	76.762	-163.2837
608.000000	76.767	-162.8154
615.000000	76.772	-162.4049
622.000000	76.779	-161.9913
630.000000	76.786	-161.5174
640.000000	76.796	-160.9280
650.000000	76.809	-160.3361
660.000000	76.823	-159.7412
670.000000	76.839	-159.1460
680.000000	76.857	-158.5472
690.000000	76.876	-157.9465
700.000000	76.897	-157.3452
710.000000	76.921	-156.7404
720.000000	76.948	-156.1356
730.000000	76.976	-155.5340
740.000000	77.006	-154.9329
750.000000	77.038	-154.3342
762.000000	77.080	-153.6199
775.000000	77.129	-152.8493
788.000000	77.183	-152.0819
800.000000	77.236	-151.3764
812.000000	77.292	-150.6769
825.000000	77.357	-149.9279
838.000000	77.425	-149.1890
850.000000	77.492	-148.5191
862.000000	77.562	-147.8613
875.000000	77.643	-147.1672
885.000000	77.707	-146.6501
900.000000	77.807	-145.8945
912.000000	77.892	-145.3099
925.000000	77.985	-144.7013
938.000000	78.082	-144.1174
950.000000	78.173	-143.6006
962.000000	78.267	-143.1087
975.000000	78.369	-142.6103
988.000000	78.473	-142.1506
1000.000000	78.568	-141.7592
1015.000000	78.683	-141.3107
1030.000000	78.789	-140.8917
1044.000000	78.878	-140.4615
1060.000000	78.976	-139.7858
1075.000000	79.107	-138.9871
1090.000000	79.287	-138.3865
1106.000000	79.474	-138.1311
1120.000000	79.613	-138.0416
1138.000000	79.771	-137.9250
1150.000000	79.871	-137.8345
1172.000000	80.049	-137.6772
1180.000000	80.113	-137.6287
1206.000000	80.313	-137.5112
1220.000000	80.416	-137.4709
1241.000000	80.566	-137.4287
1250.000000	80.629	-137.4151
1265.000000	80.732	-137.3979
1280.000000	80.832	-137.3905
1315.000000	81.056	-137.4202
1320.000000	81.086	-137.4276
1340.000000	81.206	-137.4611
1360.000000	81.322	-137.4943
1380.000000	81.435	-137.5246
1400.000000	81.546	-137.5548
1430.000000	81.707	-137.6041
1450.000000	81.813	-137.6394
1475.000000	81.942	-137.6943
1500.000000	82.069	-137.7586
1525.000000	82.194	-137.8272
1550.000000	82.317	-137.8976
1575.000000	82.438	-137.9787
1600.000000	82.555	-138.0749
1625.000000	82.669	-138.1795
1650.000000	82.777	-138.2892
1675.000000	82.880	-138.3980
1700.000000	82.975	-138.4915
1725.000000	83.060	-138.5478
1750.000000	83.133	-138.5237
1775.000000	83.197	-138.3393
1800.000000	83.262	-137.8819
1825.000000	83.363	-137.0646
1850.000000	83.551	-136.0081
1875.000000	83.856	-135.1827
1900.000000	84.224	-135.1183
1925.000000	84.561	-135.8738
1950.000000	84.817	-137.0602
1975.000000	85.001	-138.2981
2000.000000	85.142	-139.4275
2030.000000	85.282	-140.6187
2060.000000	85.408	-141.6785
2090.000000	85.527	-142.6617
2120.000000	85.642	-143.6034
2140.000000	85.717	-144.2192
2180.000000	85.863	-145.4500
2200.000000	85.933	-146.0726
2240.000000	86.068	-147.3431
2270.000000	86.162	-148.3276
2300.000000	86.250	-149.3437
2330.000000	86.328	-150.3905
2360.000000	86.397	-151.4660
2400.000000	86.466	-152.9326
2430.000000	86.500	-154.0170
2470.000000	86.523	-155.3509
2500.000000	86.536	-156.2514
2540.000000	86.557	-157.3950
2580.000000	86.577	-158.5512
2620.000000	86.589	-159.7299
2650.000000	86.589	-160.6110
2690.000000	86.579	-161.7578
2720.000000	86.564	-162.5844
2760.000000	86.534	-163.6298
2800.000000	86.498	-164.6115
2850.000000	86.445	-165.7538
2900.000000	86.388	-166.7938
2950.000000	86.330	-167.7507
3000.000000	86.273	-168.6566
3040.000000	86.226	-169.3484
3070.000000	86.190	-169.8456
3110.000000	86.144	-170.4813
3150.000000	86.098	-171.0918
3200.000000	86.042	-171.8335
3250.000000	85.984	-172.5545
3300.000000	85.924	-173.2414
3350.000000	85.865	-173.8889
3400.000000	85.810	-174.5116
3450.000000	85.756	-175.1189
3500.000000	85.703	-175.6868
3550.000000	85.658	-176.2125
3600.000000	85.629	-176.7660
3650.000000	85.609	-177.4344
3700.000000	85.584	-178.2292
3750.000000	85.545	-179.1003
3820.000000	85.468	179.6478
3870.000000	85.399	178.7578
3950.000000	85.271	177.3436
4000.000000	85.179	176.4635
4060.000000	85.052	175.4373
4120.000000	84.912	174.4950
4180.000000	84.767	173.6462
4250.000000	84.602	172.6861
4310.000000	84.456	171.8010
4370.000000	84.292	170.8629
4440.000000	84.067	169.8159
4500.000000	83.847	169.0683
4550.000000	83.655	168.5887
4620.000000	83.385	168.1083
4680.000000	83.160	167.8094
4750.000000	82.900	167.5410
4820.000000	82.638	167.3518
4870.000000	82.449	167.2701
4940.000000	82.178	167.2484
5000.000000	81.943	167.3345
5080.000000	81.630	167.6134
5150.000000	81.359	168.0070
5220.000000	81.094	168.5282
5300.000000	80.799	169.2631
5380.000000	80.515	170.1354
5450.000000	80.274	171.0106
5520.000000	80.044	171.9880
5600.000000	79.794	173.2265
5700.000000	79.506	174.9503
5800.000000	79.246	176.8445
5900.000000	79.018	178.8910
6000.000000	78.825	-178.9362
6080.000000	78.698	-177.1255
6150.000000	78.609	-175.5000
6220.000000	78.540	-173.8497
6300.000000	78.487	-171.9501
6400.000000	78.460	-169.5714
6500.000000	78.478	-167.2108
6600.000000	78.544	-164.8940
6700.000000	78.658	-162.6521
6800.000000	78.823	-160.5297
6900.000000	79.041	-158.5750
7000.000000	79.313	-156.8379
7100.000000	79.643	-155.3777
7200.000000	80.035	-154.2784
7300.000000	80.487	-153.6612
7400.000000	80.992	-153.6770
7500.000000	81.534	-154.4905
7620.000000	82.196	-156.7577
7750.000000	82.846	-161.0631
7880.000000	83.305	-167.3237
8000.000000	83.450	-174.4302
8120.000000	83.261	178.0175
8250.000000	82.684	170.4665
8380.000000	81.805	164.4710
8500.000000	80.829	160.6378
8620.000000	79.782	158.4116
8750.000000	78.644	157.5983
8850.000000	77.800	157.9126
9000.000000	76.622	159.5765
9120.000000	75.769	161.7000
9250.000000	74.938	164.5918
9380.000000	74.201	167.9477
9500.000000	73.601	171.3680
9620.000000	73.074	175.0404
9750.000000	72.580	179.2467
9880.000000	72.168	-176.3603
10000.000000	71.859	-172.1809
10150.000000	71.566	-166.8583
10300.000000	71.365	-161.4683
10440.000000	71.257	-156.3130
10600.000000	71.249	-150.2185
10750.000000	71.377	-144.3784
10900.000000	71.660	-138.5197
11060.000000	72.162	-132.4382
11200.000000	72.785	-127.5274
11380.000000	73.831	-122.2704
11500.000000	74.654	-119.6655
11720.000000	76.365	-117.0277
11800.000000	77.051	-116.7877
12060.000000	79.552	-119.3936
12200.000000	81.011	-124.0465
12410.000000	82.899	-137.8460
12500.000000	83.400	-146.4406
12650.000000	83.601	-162.7297
12800.000000	82.972	-178.0914
13150.000000	79.602	162.3584
13200.000000	79.077	161.3097
13400.000000	77.168	159.6946
13600.000000	75.657	160.5992
13800.000000	74.529	162.6823
14000.000000	73.727	165.2057
14300.000000	73.039	168.8526
14500.000000	72.885	170.6227
14750.000000	72.975	171.3076
15000.000000	73.273	169.4520
15250.000000	73.574	164.2664
15500.000000	73.596	155.7405
15750.000000	73.095	145.3622
16000.000000	71.999	135.6859
16250.000000	70.451	128.8282
16500.000000	68.714	125.5707
16750.000000	67.089	125.5158
17000.000000	65.836	127.4158
17250.000000	65.102	129.7283
17500.000000	64.909	130.6169
17750.000000	65.094	128.3701
18000.000000	65.398	122.0024
18250.000000	65.545	110.8591
18500.000000	65.168	95.3100
18750.000000	63.967	78.2944
19000.000000	61.913	63.8934
19250.000000	59.243	54.4038
19500.000000	56.296	49.7834
19750.000000	53.474	48.6756
20000.000000	51.651	48.9796
