* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 20, 2022 5:34:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RE-2 (Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.587	-134.5660
20.600000	78.617	-134.7870
20.900000	78.682	-135.2177
21.200001	78.742	-135.6390
21.400000	78.779	-135.9193
21.799999	78.848	-136.5397
22.000000	78.878	-136.8877
22.400000	78.926	-137.6387
22.700001	78.951	-138.2119
23.000000	78.967	-138.7567
23.299999	78.981	-139.2504
23.600000	78.998	-139.6921
24.000000	79.034	-140.2397
24.299999	79.070	-140.6582
24.700001	79.125	-141.2575
25.000000	79.166	-141.7273
25.400000	79.218	-142.3442
25.799999	79.271	-142.9242
26.200001	79.327	-143.4861
26.500000	79.368	-143.9177
26.900000	79.414	-144.5018
27.200001	79.439	-144.9131
27.600000	79.462	-145.3551
28.000000	79.487	-145.6485
28.500000	79.546	-145.9217
29.000000	79.630	-146.3586
29.500000	79.700	-147.0807
30.000000	79.724	-147.9108
30.400000	79.715	-148.4791
30.700001	79.704	-148.8098
31.100000	79.696	-149.1576
31.500000	79.701	-149.4831
32.000000	79.721	-149.9483
32.500000	79.744	-150.4763
33.000000	79.769	-151.0327
33.500000	79.798	-151.6275
34.000000	79.822	-152.2587
34.500000	79.836	-152.8533
35.000000	79.849	-153.3338
35.500000	79.875	-153.7240
36.000000	79.914	-154.1232
36.500000	79.954	-154.5798
37.000000	79.985	-155.0508
37.500000	80.009	-155.4917
38.200001	80.034	-156.0968
38.700001	80.038	-156.5353
39.500000	80.015	-157.0847
40.000000	80.002	-157.2814
40.599998	80.003	-157.4704
41.200001	80.019	-157.7146
41.799999	80.041	-158.0299
42.500000	80.072	-158.4874
43.099998	80.095	-158.9665
43.700001	80.108	-159.4688
44.400002	80.116	-159.9985
45.000000	80.121	-160.4036
45.500000	80.124	-160.6920
46.200001	80.134	-160.9828
46.799999	80.162	-161.2277
47.500000	80.196	-161.6942
48.200001	80.194	-162.2066
48.700001	80.183	-162.4585
49.400002	80.180	-162.7858
50.000000	80.164	-163.1388
50.799999	80.115	-163.2347
51.500000	80.163	-162.9247
52.200001	80.316	-163.2638
53.000000	80.395	-164.7792
53.799999	80.296	-165.8808
54.500000	80.229	-166.0317
55.200001	80.231	-166.1971
