* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 13 오후 8:48:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 5월 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.344	-146.5014
20.600000	89.364	-146.9200
20.900000	89.402	-147.6566
21.200001	89.427	-148.3269
21.400000	89.437	-148.7375
21.799999	89.449	-149.5211
22.000000	89.452	-149.9109
22.400000	89.458	-150.6922
22.700001	89.467	-151.2871
23.000000	89.482	-151.8987
23.299999	89.498	-152.5253
23.600000	89.512	-153.1613
24.000000	89.530	-154.0118
24.299999	89.546	-154.6432
24.700001	89.572	-155.4734
25.000000	89.594	-156.0924
25.400000	89.627	-156.9232
25.799999	89.664	-157.7658
26.200001	89.700	-158.6088
26.500000	89.723	-159.2247
26.900000	89.746	-160.0013
27.200001	89.759	-160.5402
27.600000	89.774	-161.2013
28.000000	89.788	-161.8153
28.500000	89.802	-162.5560
29.000000	89.813	-163.2971
29.500000	89.822	-164.0408
30.000000	89.823	-164.7779
30.400000	89.817	-165.3598
30.700001	89.814	-165.7921
31.100000	89.813	-166.3623
31.500000	89.812	-166.9234
32.000000	89.811	-167.6103
32.500000	89.813	-168.2877
33.000000	89.820	-168.9692
33.500000	89.826	-169.6597
34.000000	89.828	-170.3477
34.500000	89.831	-171.0169
35.000000	89.837	-171.6668
35.500000	89.847	-172.3139
36.000000	89.857	-172.9710
36.500000	89.862	-173.6288
37.000000	89.858	-174.2618
37.500000	89.848	-174.8559
38.200001	89.834	-175.6410
38.700001	89.827	-176.1839
39.500000	89.803	-176.9883
40.000000	89.780	-177.4337
40.599998	89.754	-177.9474
41.200001	89.728	-178.5067
41.799999	89.696	-179.1268
42.500000	89.656	-179.8633
43.099998	89.631	179.5394
43.700001	89.620	178.9535
44.400002	89.617	178.2431
45.000000	89.611	177.6239
45.500000	89.601	177.1343
46.200001	89.585	176.5095
46.799999	89.573	176.0057
47.500000	89.562	175.4155
48.200001	89.549	174.8237
48.700001	89.535	174.4113
49.400002	89.502	173.8535
50.000000	89.463	173.3873
50.799999	89.406	172.7675
51.500000	89.354	172.2208
52.200001	89.306	171.6776
53.000000	89.267	171.0660
53.799999	89.240	170.4654
54.500000	89.220	169.9631
55.200001	89.203	169.4855
56.000000	89.183	168.9551
57.000000	89.148	168.3275
58.000000	89.096	167.7312
59.000000	89.025	167.1308
60.000000	88.952	166.5737
60.799999	88.906	166.1088
61.500000	88.869	165.6439
62.200001	88.826	165.1768
63.000000	88.774	164.7220
64.000000	88.728	164.2251
65.000000	88.697	163.7014
66.000000	88.665	163.1992
67.000000	88.629	162.7460
68.000000	88.588	162.3044
69.000000	88.532	161.8420
70.000000	88.461	161.3486
71.000000	88.383	160.8741
72.000000	88.311	160.4610
73.000000	88.249	160.0734
74.000000	88.198	159.6816
75.000000	88.154	159.2992
76.199997	88.104	158.8622
77.500000	88.042	158.4056
78.800003	87.970	157.9686
80.000000	87.894	157.5639
81.199997	87.809	157.1529
82.500000	87.719	156.7332
83.800003	87.649	156.3104
85.000000	87.593	155.9315
86.199997	87.535	155.6006
87.500000	87.466	155.2525
88.500000	87.407	154.9916
90.000000	87.310	154.6215
91.199997	87.231	154.3394
92.500000	87.153	154.0365
93.800003	87.086	153.7298
95.000000	87.032	153.4600
96.199997	86.982	153.2217
97.500000	86.927	152.9638
98.800003	86.858	152.6947
100.000000	86.778	152.4701
101.500000	86.675	152.2578
103.000000	86.587	152.0800
104.400002	86.521	151.9133
106.000000	86.455	151.7317
107.500000	86.386	151.5699
109.000000	86.299	151.4228
110.599998	86.193	151.3193
112.000000	86.103	151.2675
113.800003	86.014	151.1741
115.000000	85.969	151.0782
117.199997	85.888	150.8293
118.000000	85.850	150.7171
120.599998	85.694	150.4987
122.000000	85.619	150.4505
124.099998	85.520	150.3879
125.000000	85.482	150.4041
126.500000	85.428	150.4739
128.000000	85.377	150.5059
131.500000	85.213	150.4186
132.000000	85.188	150.4098
134.000000	85.106	150.4117
136.000000	85.051	150.4387
138.000000	84.993	150.4588
140.000000	84.914	150.5008
143.000000	84.786	150.5911
145.000000	84.716	150.6806
147.500000	84.640	150.8097
150.000000	84.547	150.8967
152.500000	84.451	151.0550
155.000000	84.393	151.2272
157.500000	84.342	151.3300
160.000000	84.275	151.4610
162.500000	84.210	151.5969
165.000000	84.153	151.7497
167.500000	84.100	151.9529
170.000000	84.038	152.1478
172.500000	83.976	152.3528
175.000000	83.933	152.5351
177.500000	83.890	152.7238
180.000000	83.829	152.9486
182.500000	83.751	153.1666
185.000000	83.670	153.3467
187.500000	83.593	153.5032
190.000000	83.521	153.6968
192.500000	83.465	153.9369
195.000000	83.433	154.1711
197.500000	83.415	154.3546
200.000000	83.395	154.5015
203.000000	83.365	154.7148
206.000000	83.335	154.9440
209.000000	83.300	155.1244
212.000000	83.264	155.2833
214.000000	83.247	155.4084
218.000000	83.222	155.7144
220.000000	83.209	155.8795
224.000000	83.179	156.1920
227.000000	83.150	156.4161
230.000000	83.117	156.6005
233.000000	83.093	156.7681
236.000000	83.079	156.9358
240.000000	83.060	157.1425
243.000000	83.051	157.3249
247.000000	83.043	157.5930
250.000000	83.027	157.7617
254.000000	83.000	158.0016
258.000000	82.978	158.2548
262.000000	82.960	158.4251
265.000000	82.946	158.5215
269.000000	82.926	158.6332
272.000000	82.913	158.7184
276.000000	82.899	158.8731
280.000000	82.883	159.0399
285.000000	82.868	159.2675
290.000000	82.860	159.3951
295.000000	82.855	159.5185
300.000000	82.849	159.7500
304.000000	82.837	159.9380
307.000000	82.831	160.0419
311.000000	82.825	160.1196
315.000000	82.816	160.1923
320.000000	82.804	160.3552
325.000000	82.794	160.5027
330.000000	82.786	160.5740
335.000000	82.782	160.6458
340.000000	82.776	160.7415
345.000000	82.771	160.8315
350.000000	82.766	160.9147
355.000000	82.755	160.9998
360.000000	82.741	161.0968
365.000000	82.735	161.1915
370.000000	82.733	161.2729
375.000000	82.729	161.3427
382.000000	82.717	161.4558
387.000000	82.704	161.5657
395.000000	82.687	161.6191
400.000000	82.675	161.6746
406.000000	82.663	161.7691
412.000000	82.657	161.8136
418.000000	82.650	161.8457
425.000000	82.643	161.8718
431.000000	82.635	161.9086
437.000000	82.624	161.9807
444.000000	82.611	162.0520
450.000000	82.597	162.1146
455.000000	82.588	162.1943
462.000000	82.587	162.2762
468.000000	82.585	162.3439
475.000000	82.579	162.4243
482.000000	82.565	162.5085
487.000000	82.550	162.5583
494.000000	82.536	162.5857
500.000000	82.529	162.6017
508.000000	82.513	162.6714
515.000000	82.501	162.7676
522.000000	82.496	162.8488
530.000000	82.486	162.9406
538.000000	82.480	163.0480
545.000000	82.469	163.1275
552.000000	82.452	163.2202
560.000000	82.435	163.3420
570.000000	82.419	163.4612
580.000000	82.398	163.5764
590.000000	82.370	163.7491
600.000000	82.347	163.9456
608.000000	82.333	164.0629
615.000000	82.327	164.1552
622.000000	82.320	164.2756
630.000000	82.307	164.4517
640.000000	82.293	164.6558
650.000000	82.281	164.8345
660.000000	82.271	164.9639
670.000000	82.267	165.1257
680.000000	82.259	165.3937
690.000000	82.244	165.6619
700.000000	82.229	165.8938
710.000000	82.222	166.1181
720.000000	82.214	166.3992
730.000000	82.210	166.6708
740.000000	82.211	166.9080
750.000000	82.214	167.1606
762.000000	82.211	167.5002
775.000000	82.214	167.8382
788.000000	82.218	168.1236
800.000000	82.230	168.4309
812.000000	82.251	168.7948
