* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 13 오후 8:36:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.755	-141.6877
20.600000	87.776	-142.1150
20.900000	87.816	-142.8709
21.200001	87.849	-143.5715
21.400000	87.867	-144.0102
21.799999	87.897	-144.8647
22.000000	87.910	-145.2944
22.400000	87.937	-146.1574
22.700001	87.964	-146.8161
23.000000	87.996	-147.4993
23.299999	88.028	-148.2076
23.600000	88.054	-148.9286
24.000000	88.078	-149.8714
24.299999	88.092	-150.5270
24.700001	88.111	-151.3009
25.000000	88.130	-151.8161
25.400000	88.169	-152.4728
25.799999	88.221	-153.1869
26.200001	88.271	-154.0086
26.500000	88.292	-154.6654
26.900000	88.290	-155.4931
27.200001	88.269	-155.9892
27.600000	88.232	-156.4079
28.000000	88.213	-156.5769
28.500000	88.241	-156.6674
29.000000	88.321	-156.9478
29.500000	88.424	-157.5583
30.000000	88.515	-158.4284
30.400000	88.576	-159.2346
30.700001	88.619	-159.8870
31.100000	88.673	-160.8163
31.500000	88.717	-161.7982
32.000000	88.750	-163.0367
32.500000	88.762	-164.1992
33.000000	88.762	-165.2269
33.500000	88.756	-166.1132
34.000000	88.751	-166.8869
34.500000	88.752	-167.6130
35.000000	88.755	-168.3567
35.500000	88.749	-169.1132
36.000000	88.732	-169.8079
36.500000	88.720	-170.4339
37.000000	88.719	-171.1335
37.500000	88.708	-172.0160
38.200001	88.642	-173.2362
38.700001	88.603	-173.7731
39.500000	88.678	-174.7093
40.000000	88.742	-176.0760
40.599998	88.676	-178.2419
41.200001	88.433	-179.5620
41.799999	88.214	-179.3665
42.500000	88.227	-178.5778
43.099998	88.364	-178.7960
43.700001	88.442	-179.6027
44.400002	88.454	179.6788
45.000000	88.469	179.3529
45.500000	88.491	179.0323
46.200001	88.500	178.4306
46.799999	88.479	177.9048
47.500000	88.440	177.3394
48.200001	88.398	176.7945
48.700001	88.367	176.4105
49.400002	88.324	175.8389
50.000000	88.284	175.2781
50.799999	88.223	174.4617
51.500000	88.164	173.7617
52.200001	88.112	173.1309
53.000000	88.074	172.5005
53.799999	88.054	171.9138
54.500000	88.038	171.4355
55.200001	88.024	171.0121
56.000000	88.013	170.5203
57.000000	87.984	169.7549
58.000000	87.903	168.9837
59.000000	87.802	168.4221
60.000000	87.734	167.8732
60.799999	87.690	167.3099
61.500000	87.648	166.8201
62.200001	87.609	166.3952
63.000000	87.577	165.9163
64.000000	87.535	165.2587
65.000000	87.484	164.6877
66.000000	87.437	164.2441
67.000000	87.392	163.8253
68.000000	87.341	163.4165
69.000000	87.283	162.9690
70.000000	87.210	162.4311
71.000000	87.128	161.9049
72.000000	87.055	161.4264
73.000000	86.990	160.9422
74.000000	86.930	160.5075
75.000000	86.884	160.1611
76.199997	86.843	159.7566
77.500000	86.784	159.2939
78.800003	86.697	158.8415
80.000000	86.591	158.4908
81.199997	86.489	158.1995
82.500000	86.399	157.7027
83.800003	86.313	157.1565
85.000000	86.252	156.7379
