* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 1 ¿ÀÈÄ 6:53:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.050	-153.4677
20.600000	83.044	-153.6396
20.900000	83.041	-153.9520
21.200001	83.056	-154.2849
21.400000	83.071	-154.5592
21.799999	83.094	-155.2465
22.000000	83.094	-155.6323
22.400000	83.073	-156.3527
22.700001	83.053	-156.7658
23.000000	83.048	-157.0730
23.299999	83.069	-157.3708
23.600000	83.113	-157.7656
24.000000	83.189	-158.5660
24.299999	83.235	-159.3702
24.700001	83.257	-160.5671
25.000000	83.244	-161.4004
25.400000	83.203	-162.2605
25.799999	83.171	-162.8087
26.200001	83.176	-163.2032
26.500000	83.203	-163.5395
26.900000	83.251	-164.1625
27.200001	83.278	-164.7675
27.600000	83.286	-165.6672
28.000000	83.259	-166.5102
28.500000	83.203	-167.3220
29.000000	83.164	-167.9482
29.500000	83.148	-168.6488
30.000000	83.124	-169.5501
30.400000	83.077	-170.2874
30.700001	83.027	-170.7382
31.100000	82.963	-171.1190
31.500000	82.929	-171.2951
32.000000	82.946	-171.4688
32.500000	83.008	-171.8376
33.000000	83.075	-172.4269
33.500000	83.131	-173.1244
34.000000	83.164	-173.8559
34.500000	83.163	-174.5270
35.000000	83.127	-174.9391
35.500000	83.095	-174.9810
36.000000	83.106	-174.9100
36.500000	83.139	-175.1309
37.000000	83.123	-175.6641
37.500000	83.033	-176.0575
38.200001	82.911	-175.8895
38.700001	82.914	-175.7660
39.500000	82.970	-176.6456
40.000000	82.979	-177.5891
40.599998	83.007	-178.9906
41.200001	83.023	178.8116
41.799999	82.880	176.1867
42.500000	82.504	174.6311
43.099998	82.294	175.2003
43.700001	82.349	175.8937
44.400002	82.507	175.5189
45.000000	82.555	174.9600
45.500000	82.588	174.8564
46.200001	82.692	174.7448
46.799999	82.765	174.2137
47.500000	82.751	173.5937
48.200001	82.709	173.4800
48.700001	82.720	173.4633
49.400002	82.767	172.9181
50.000000	82.750	171.9032
50.799999	82.573	170.7375
51.500000	82.392	170.7199
52.200001	82.344	171.0742
53.000000	82.376	170.7094
53.799999	82.312	169.9327
54.500000	82.205	169.7429
55.200001	82.136	169.8859
56.000000	82.100	169.9717
