* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 17 오후 9:48:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_white
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.030	-143.7298
20.600000	75.046	-144.2539
20.900000	75.069	-145.1599
21.200001	75.073	-145.9332
21.400000	75.071	-146.3665
21.799999	75.069	-147.1294
22.000000	75.074	-147.5067
22.400000	75.094	-148.3290
22.700001	75.108	-149.0343
23.000000	75.114	-149.7993
23.299999	75.109	-150.5611
23.600000	75.097	-151.2663
24.000000	75.085	-152.0748
24.299999	75.091	-152.6082
24.700001	75.124	-153.3199
25.000000	75.162	-153.9274
25.400000	75.214	-154.8752
25.799999	75.245	-155.9142
26.200001	75.250	-156.8980
26.500000	75.242	-157.5198
26.900000	75.230	-158.1634
27.200001	75.231	-158.5456
27.600000	75.251	-159.0223
28.000000	75.285	-159.5734
28.500000	75.323	-160.4135
29.000000	75.333	-161.3029
29.500000	75.324	-162.1104
30.000000	75.313	-162.8403
30.400000	75.303	-163.4236
30.700001	75.291	-163.8646
31.100000	75.267	-164.4102
31.500000	75.241	-164.8557
32.000000	75.229	-165.2930
32.500000	75.251	-165.7922
33.000000	75.285	-166.5486
33.500000	75.291	-167.4928
34.000000	75.260	-168.3403
34.500000	75.224	-168.9228
35.000000	75.217	-169.3685
35.500000	75.235	-169.9227
36.000000	75.243	-170.6282
36.500000	75.226	-171.3078
37.000000	75.205	-171.8181
37.500000	75.203	-172.2442
38.200001	75.222	-173.0380
38.700001	75.214	-173.7556
39.500000	75.154	-174.7177
40.000000	75.123	-175.1417
40.599998	75.106	-175.6570
41.200001	75.089	-176.2703
41.799999	75.057	-176.8446
42.500000	75.030	-177.3470
43.099998	75.033	-177.7727
43.700001	75.045	-178.3252
44.400002	75.041	-179.0557
45.000000	75.022	-179.6126
45.500000	75.008	-179.9964
46.200001	75.006	179.4910
46.799999	75.012	178.9380
47.500000	74.996	178.1523
48.200001	74.946	177.4764
48.700001	74.910	177.1562
49.400002	74.888	176.7584
50.000000	74.878	176.2818
50.799999	74.835	175.6260
51.500000	74.797	175.2523
52.200001	74.787	174.8702
53.000000	74.770	174.2520
