* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 16 ¿ÀÈÄ 9:18:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.415	-143.8847
20.600000	94.411	-144.6320
20.900000	94.391	-145.8975
21.200001	94.346	-146.9063
21.400000	94.309	-147.4225
21.799999	94.236	-148.1929
22.000000	94.207	-148.4998
22.400000	94.175	-149.0339
22.700001	94.174	-149.4349
23.000000	94.188	-149.9003
23.299999	94.213	-150.4561
23.600000	94.243	-151.1105
24.000000	94.280	-152.1264
24.299999	94.299	-152.9629
24.700001	94.305	-154.1012
25.000000	94.295	-154.9003
25.400000	94.272	-155.8101
25.799999	94.258	-156.5210
26.200001	94.270	-157.1292
26.500000	94.295	-157.6211
26.900000	94.334	-158.4255
27.200001	94.352	-159.1451
27.600000	94.341	-160.1631
28.000000	94.291	-161.0545
28.500000	94.205	-161.7641
29.000000	94.152	-162.0731
29.500000	94.162	-162.3079
30.000000	94.218	-162.8027
30.400000	94.265	-163.4528
30.700001	94.290	-164.0556
31.100000	94.302	-164.9244
31.500000	94.291	-165.7683
32.000000	94.259	-166.6608
32.500000	94.237	-167.3498
33.000000	94.246	-167.9891
33.500000	94.277	-168.7695
34.000000	94.293	-169.6992
34.500000	94.275	-170.5533
35.000000	94.250	-171.1496
35.500000	94.255	-171.5948
36.000000	94.288	-172.1780
36.500000	94.305	-172.9979
37.000000	94.275	-173.8249
37.500000	94.219	-174.3981
38.200001	94.168	-174.8887
38.700001	94.157	-175.3485
39.500000	94.097	-176.2818
40.000000	94.041	-176.6979
40.599998	94.006	-177.0771
41.200001	93.998	-177.6822
41.799999	93.965	-178.5173
42.500000	93.883	-179.3319
43.099998	93.828	-179.7767
43.700001	93.805	179.7531
44.400002	93.780	179.0374
45.000000	93.740	178.4395
45.500000	93.704	178.0365
46.200001	93.670	177.5446
46.799999	93.651	177.0801
47.500000	93.622	176.4779
48.200001	93.581	175.9454
48.700001	93.557	175.6466
49.400002	93.547	175.2140
50.000000	93.545	174.6882
50.799999	93.509	173.8653
51.500000	93.451	173.2921
52.200001	93.399	172.8735
53.000000	93.352	172.4231
53.799999	93.302	172.0120
54.500000	93.267	171.7034
55.200001	93.243	171.3373
56.000000	93.208	170.7968
57.000000	93.134	170.1760
58.000000	93.068	169.7263
59.000000	93.014	169.1971
60.000000	92.942	168.6884
60.799999	92.890	168.3938
61.500000	92.859	168.1281
62.200001	92.831	167.8109
63.000000	92.796	167.4155
64.000000	92.748	166.9016
65.000000	92.693	166.3539
66.000000	92.623	165.8130
67.000000	92.540	165.4284
68.000000	92.471	165.2050
69.000000	92.419	164.9739
70.000000	92.364	164.7256
71.000000	92.305	164.4744
72.000000	92.236	164.2016
73.000000	92.159	163.9578
74.000000	92.093	163.6813
75.000000	92.029	163.2425
76.199997	91.934	162.6617
77.500000	91.833	162.1931
78.800003	91.755	161.9566
80.000000	91.720	161.9037
81.199997	91.704	161.7679
82.500000	91.655	161.5582
83.800003	91.580	161.4363
85.000000	91.508	161.3357
86.199997	91.449	161.1728
87.500000	91.398	160.8391
88.500000	91.358	160.5817
90.000000	91.323	160.3027
91.199997	91.303	160.1009
92.500000	91.271	159.9054
93.800003	91.220	159.7444
95.000000	91.164	159.5686
