* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 8:33:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Bass_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.400	-164.0426
20.600000	68.429	-164.0855
20.900000	68.482	-164.1550
21.200001	68.521	-164.1997
21.400000	68.540	-164.2115
21.799999	68.570	-164.2011
22.000000	68.586	-164.1870
22.400000	68.620	-164.1632
22.700001	68.649	-164.1682
23.000000	68.681	-164.2072
23.299999	68.714	-164.2843
23.600000	68.747	-164.3965
24.000000	68.792	-164.5879
24.299999	68.826	-164.7493
24.700001	68.872	-164.9746
25.000000	68.906	-165.1463
25.400000	68.953	-165.3782
25.799999	69.000	-165.6139
26.200001	69.046	-165.8480
26.500000	69.079	-166.0133
26.900000	69.119	-166.2065
27.200001	69.148	-166.3269
27.600000	69.187	-166.4643
28.000000	69.230	-166.6025
28.500000	69.284	-166.8153
29.000000	69.330	-167.0719
29.500000	69.363	-167.3247
30.000000	69.389	-167.5208
30.400000	69.410	-167.6325
30.700001	69.429	-167.7045
31.100000	69.461	-167.8172
31.500000	69.496	-167.9779
32.000000	69.535	-168.2565
32.500000	69.562	-168.5666
33.000000	69.581	-168.8176
33.500000	69.609	-168.9830
34.000000	69.652	-169.1367
34.500000	69.704	-169.3762
35.000000	69.750	-169.7145
35.500000	69.780	-170.0709
36.000000	69.799	-170.3624
36.500000	69.818	-170.5811
37.000000	69.843	-170.7776
37.500000	69.870	-170.9896
38.200001	69.906	-171.3153
38.700001	69.931	-171.5746
39.500000	69.964	-172.0812
40.000000	69.972	-172.4137
40.599998	69.973	-172.7390
41.200001	69.983	-172.9808
41.799999	70.006	-173.2357
42.500000	70.034	-173.6012
43.099998	70.053	-173.8884
43.700001	70.080	-174.1281
44.400002	70.122	-174.4809
45.000000	70.144	-174.8908
45.500000	70.140	-175.1924
46.200001	70.126	-175.3919
46.799999	70.137	-175.4588
47.500000	70.168	-175.7265
48.200001	70.171	-176.1678
48.700001	70.156	-176.4128
49.400002	70.143	-176.5917
50.000000	70.155	-176.7638
