* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 8:50:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EPRO_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.281	-161.6047
20.600000	69.737	-162.9010
20.900000	70.505	-165.4958
21.200001	70.987	-168.6462
21.400000	71.171	-170.8934
21.799999	71.254	-175.3202
22.000000	71.171	-177.2116
22.400000	70.780	-179.6479
22.700001	70.363	-179.7311
23.000000	69.981	-178.0710
23.299999	69.801	-175.2331
23.600000	69.891	-172.2298
24.000000	70.336	-169.6310
24.299999	70.708	-169.4185
24.700001	71.018	-170.9867
25.000000	71.046	-172.5302
25.400000	70.864	-173.6928
25.799999	70.636	-173.1451
26.200001	70.581	-171.5765
26.500000	70.677	-170.5992
26.900000	70.876	-170.2696
27.200001	70.977	-170.6582
27.600000	70.995	-171.3235
28.000000	70.947	-171.4033
28.500000	70.984	-170.8133
29.000000	71.161	-170.8965
29.500000	71.262	-172.3392
30.000000	71.104	-173.9228
30.400000	70.836	-174.0967
30.700001	70.635	-173.3518
31.100000	70.484	-171.5830
31.500000	70.504	-169.6610
32.000000	70.690	-167.9580
32.500000	70.920	-167.2289
33.000000	71.128	-167.2013
33.500000	71.296	-167.7043
34.000000	71.395	-168.5944
34.500000	71.410	-169.5950
35.000000	71.353	-170.4589
35.500000	71.239	-171.0321
36.000000	71.081	-171.0927
36.500000	70.926	-170.3405
37.000000	70.885	-168.8474
37.500000	71.034	-167.3436
38.200001	71.413	-166.8263
38.700001	71.613	-167.6780
39.500000	71.671	-169.1393
40.000000	71.645	-169.3257
40.599998	71.674	-169.0053
41.200001	71.785	-168.7522
41.799999	71.919	-168.8775
42.500000	72.041	-169.3059
43.099998	72.129	-169.6576
43.700001	72.226	-170.0824
44.400002	72.314	-170.9185
45.000000	72.312	-171.6792
45.500000	72.275	-171.9088
46.200001	72.302	-171.6077
46.799999	72.455	-171.6929
47.500000	72.602	-173.1560
48.200001	72.502	-174.9889
48.700001	72.319	-175.3764
49.400002	72.166	-174.3927
50.000000	72.256	-173.4728
50.799999	72.464	-173.7235
51.500000	72.523	-174.5246
52.200001	72.532	-174.7670
53.000000	72.624	-174.6612
53.799999	72.776	-174.9164
54.500000	72.895	-175.4858
55.200001	72.979	-176.2287
56.000000	73.034	-177.0980
57.000000	73.072	-178.1169
58.000000	73.101	-179.0233
59.000000	73.201	179.9858
60.000000	73.282	178.0806
60.799999	73.228	176.6981
61.500000	73.185	176.0883
62.200001	73.190	175.6018
63.000000	73.190	175.0028
64.000000	73.188	174.4817
65.000000	73.151	173.6018
66.000000	72.943	173.2336
67.000000	72.799	174.1562
68.000000	72.862	174.6016
69.000000	72.952	173.7002
70.000000	72.933	172.0561
71.000000	72.808	170.7168
72.000000	72.696	170.0596
73.000000	72.652	169.6463
74.000000	72.619	169.0875
75.000000	72.525	168.6914
76.199997	72.423	168.9493
77.500000	72.431	168.9435
78.800003	72.404	168.0113
80.000000	72.284	167.1091
81.199997	72.164	166.6441
82.500000	72.082	166.2368
83.800003	72.015	165.8293
85.000000	71.936	165.4321
86.199997	71.835	165.3498
87.500000	71.781	165.4705
88.500000	71.751	165.3546
90.000000	71.677	165.1679
91.199997	71.606	164.9206
92.500000	71.477	164.7213
93.800003	71.366	164.7172
95.000000	71.289	164.4377
96.199997	71.180	164.0276
97.500000	71.058	163.9996
98.800003	71.036	164.2112
100.000000	71.069	163.9460
101.500000	71.035	163.1577
103.000000	70.920	162.5672
104.400002	70.799	162.3223
106.000000	70.700	162.3940
107.500000	70.676	162.6227
109.000000	70.684	162.6795
110.599998	70.650	162.5546
112.000000	70.583	162.3842
113.800003	70.467	162.0789
115.000000	70.406	162.0974
117.199997	70.507	162.5568
118.000000	70.599	162.5365
120.599998	70.645	161.4188
122.000000	70.435	161.5760
124.099998	70.155	162.4055
125.000000	70.064	162.5336
126.500000	69.934	162.4384
128.000000	69.833	162.2248
131.500000	69.690	162.2292
132.000000	69.675	162.2542
134.000000	69.601	162.2794
136.000000	69.515	162.1474
138.000000	69.412	161.9728
140.000000	69.293	161.9954
143.000000	69.122	162.5148
145.000000	69.048	162.7331
147.500000	68.957	162.7178
150.000000	68.834	162.8294
152.500000	68.718	163.1472
155.000000	68.600	163.3919
157.500000	68.479	163.7982
160.000000	68.369	164.4545
162.500000	68.230	165.0657
165.000000	68.076	165.7356
167.500000	67.965	166.3506
170.000000	67.866	166.9908
172.500000	67.765	167.8004
175.000000	67.686	168.6658
177.500000	67.647	169.4098
180.000000	67.620	170.0999
182.500000	67.601	170.8327
185.000000	67.592	171.6086
187.500000	67.591	172.5276
190.000000	67.601	173.4287
192.500000	67.613	174.0132
195.000000	67.638	174.3671
197.500000	67.682	174.6967
200.000000	67.728	175.1376
203.000000	67.776	175.7442
206.000000	67.826	176.3041
209.000000	67.873	176.8027
212.000000	67.921	177.1558
214.000000	67.945	177.2337
218.000000	67.969	177.2960
220.000000	67.982	177.3443
224.000000	68.010	177.5139
227.000000	68.021	177.6748
230.000000	68.023	177.8280
233.000000	68.027	177.9573
236.000000	68.026	178.0641
240.000000	68.017	178.1688
243.000000	68.001	178.2344
247.000000	67.968	178.4031
250.000000	67.938	178.5475
254.000000	67.897	178.7608
258.000000	67.855	179.0042
262.000000	67.808	179.2463
265.000000	67.772	179.4641
269.000000	67.728	179.7977
272.000000	67.698	-179.9526
276.000000	67.661	-179.6211
280.000000	67.627	-179.2746
285.000000	67.584	-178.8110
290.000000	67.542	-178.3413
295.000000	67.499	-177.8735
300.000000	67.459	-177.3691
304.000000	67.435	-176.9211
307.000000	67.417	-176.5712
311.000000	67.394	-176.1178
315.000000	67.377	-175.6520
320.000000	67.359	-175.0233
325.000000	67.340	-174.3733
330.000000	67.324	-173.7048
335.000000	67.314	-173.0258
340.000000	67.306	-172.3688
345.000000	67.299	-171.7574
350.000000	67.297	-171.1484
355.000000	67.304	-170.5169
360.000000	67.313	-169.8894
365.000000	67.325	-169.2911
370.000000	67.342	-168.6957
375.000000	67.361	-168.1117
382.000000	67.392	-167.3175
387.000000	67.419	-166.8119
395.000000	67.472	-166.0654
400.000000	67.510	-165.5597
406.000000	67.552	-164.9800
412.000000	67.594	-164.4695
418.000000	67.636	-163.9509
425.000000	67.688	-163.3645
431.000000	67.740	-162.9030
437.000000	67.796	-162.4699
444.000000	67.861	-161.9984
450.000000	67.917	-161.6127
455.000000	67.963	-161.3133
462.000000	68.026	-160.9352
468.000000	68.082	-160.6268
475.000000	68.145	-160.2956
482.000000	68.203	-160.0105
487.000000	68.245	-159.8116
494.000000	68.303	-159.5229
500.000000	68.352	-159.2829
508.000000	68.416	-158.9804
515.000000	68.469	-158.7335
522.000000	68.520	-158.4981
530.000000	68.572	-158.2608
538.000000	68.620	-158.0470
545.000000	68.660	-157.8794
552.000000	68.699	-157.7240
560.000000	68.741	-157.5412
570.000000	68.790	-157.3120
580.000000	68.829	-157.1131
590.000000	68.861	-156.9164
600.000000	68.885	-156.7319
608.000000	68.898	-156.5895
615.000000	68.908	-156.4521
622.000000	68.914	-156.3192
630.000000	68.917	-156.1777
640.000000	68.918	-156.0033
650.000000	68.914	-155.8374
660.000000	68.909	-155.6728
670.000000	68.899	-155.4933
680.000000	68.881	-155.3137
690.000000	68.858	-155.1450
700.000000	68.835	-154.9725
710.000000	68.808	-154.7708
720.000000	68.775	-154.5250
730.000000	68.737	-154.2784
740.000000	68.690	-154.0149
750.000000	68.637	-153.6877
762.000000	68.564	-153.2330
775.000000	68.470	-152.6434
788.000000	68.371	-151.8883
800.000000	68.272	-151.0595
812.000000	68.165	-150.0952
825.000000	68.055	-148.8220
838.000000	67.959	-147.3225
850.000000	67.889	-145.7626
862.000000	67.845	-144.0378
875.000000	67.832	-142.0284
885.000000	67.854	-140.4131
900.000000	67.940	-137.9730
912.000000	68.055	-136.0678
925.000000	68.222	-134.1134
938.000000	68.425	-132.3240
950.000000	68.636	-130.8507
962.000000	68.864	-129.5616
975.000000	69.122	-128.3730
988.000000	69.385	-127.4298
1000.000000	69.626	-126.7514
1015.000000	69.924	-126.0712
1030.000000	70.216	-125.5972
1044.000000	70.476	-125.3281
1060.000000	70.757	-125.1507
1075.000000	71.008	-125.0968
1090.000000	71.251	-125.1491
1106.000000	71.505	-125.3023
1120.000000	71.717	-125.5127
1138.000000	71.977	-125.8335
1150.000000	72.141	-126.0603
1172.000000	72.426	-126.5227
1180.000000	72.525	-126.7024
1206.000000	72.829	-127.3376
1220.000000	72.983	-127.7020
1241.000000	73.202	-128.2622
1250.000000	73.291	-128.5025
1265.000000	73.435	-128.8978
1280.000000	73.572	-129.2905
1315.000000	73.867	-130.2010
1320.000000	73.906	-130.3304
1340.000000	74.057	-130.8491
1360.000000	74.195	-131.3633
1380.000000	74.330	-131.8682
1400.000000	74.469	-132.3703
1430.000000	74.676	-133.1259
1450.000000	74.811	-133.6403
1475.000000	74.980	-134.2963
1500.000000	75.145	-134.9575
1525.000000	75.312	-135.6350
1550.000000	75.477	-136.3346
1575.000000	75.640	-137.0518
1600.000000	75.798	-137.7775
1625.000000	75.952	-138.5334
1650.000000	76.103	-139.3276
1675.000000	76.249	-140.1409
1700.000000	76.390	-140.9969
1725.000000	76.526	-141.9101
1750.000000	76.655	-142.8530
1775.000000	76.779	-143.8350
1800.000000	76.897	-144.8694
1825.000000	77.008	-145.9536
1850.000000	77.114	-147.0829
1875.000000	77.214	-148.2663
1900.000000	77.305	-149.4957
1925.000000	77.386	-150.7629
1950.000000	77.457	-152.0711
1975.000000	77.519	-153.4160
2000.000000	77.573	-154.7847
2030.000000	77.630	-156.4731
2060.000000	77.677	-158.2282
2090.000000	77.714	-160.0548
2120.000000	77.737	-161.9497
2140.000000	77.741	-163.2461
2180.000000	77.714	-165.8983
2200.000000	77.683	-167.2314
2240.000000	77.588	-169.8504
2270.000000	77.488	-171.7543
2300.000000	77.366	-173.6031
2330.000000	77.221	-175.3944
2360.000000	77.055	-177.1213
2400.000000	76.805	-179.3120
2430.000000	76.597	179.1559
2470.000000	76.293	177.2531
2500.000000	76.048	175.9247
2540.000000	75.699	174.3005
2580.000000	75.329	172.8939
2620.000000	74.939	171.7379
2650.000000	74.633	171.0486
2690.000000	74.216	170.3445
2720.000000	73.899	169.9711
2760.000000	73.474	169.7008
2800.000000	73.047	169.7099
2850.000000	72.520	170.1269
2900.000000	72.012	170.9985
2950.000000	71.539	172.2696
3000.000000	71.114	173.8925
3040.000000	70.815	175.4038
3070.000000	70.617	176.6271
3110.000000	70.391	178.3296
3150.000000	70.206	-179.9561
3200.000000	70.029	-177.8731
3250.000000	69.902	-175.9284
3300.000000	69.808	-174.1520
3350.000000	69.737	-172.5477
3400.000000	69.680	-171.1073
3450.000000	69.632	-169.7930
3500.000000	69.591	-168.5764
3550.000000	69.548	-167.4380
3600.000000	69.503	-166.3636
3650.000000	69.458	-165.3060
3700.000000	69.409	-164.2410
3750.000000	69.354	-163.1673
3820.000000	69.267	-161.6104
3870.000000	69.205	-160.4256
3950.000000	69.123	-158.4482
4000.000000	69.084	-157.2421
4060.000000	69.043	-155.8386
4120.000000	68.999	-154.4574
4180.000000	68.956	-153.0441
4250.000000	68.905	-151.3113
4310.000000	68.861	-149.7160
4370.000000	68.826	-147.9957
4440.000000	68.805	-145.8784
4500.000000	68.819	-144.0666
4550.000000	68.850	-142.6167
4620.000000	68.910	-140.7324
4680.000000	68.960	-139.2344
4750.000000	69.003	-137.4998
4820.000000	69.028	-135.5684
4870.000000	69.049	-133.9936
4940.000000	69.114	-131.5637
5000.000000	69.218	-129.3350
5080.000000	69.437	-126.2878
5150.000000	69.709	-123.7174
5220.000000	70.050	-121.4243
5300.000000	70.497	-119.2423
5380.000000	70.986	-117.5472
5450.000000	71.434	-116.4650
5520.000000	71.886	-115.7460
5600.000000	72.388	-115.3269
5700.000000	72.982	-115.1870
5800.000000	73.561	-115.2423
5900.000000	74.157	-115.4391
6000.000000	74.795	-115.8387
6080.000000	75.346	-116.4093
6150.000000	75.859	-117.1582
6220.000000	76.405	-118.2050
6300.000000	77.061	-119.8892
6400.000000	77.900	-122.9496
6500.000000	78.721	-127.2371
6600.000000	79.475	-132.8767
6700.000000	80.082	-139.9616
6800.000000	80.453	-148.0441
6900.000000	80.572	-156.4750
7000.000000	80.448	-164.5088
7100.000000	80.148	-171.5161
7200.000000	79.741	-177.5435
7300.000000	79.248	177.5649
7400.000000	78.735	173.6460
7500.000000	78.254	170.4914
7620.000000	77.762	167.5872
7750.000000	77.330	165.4018
7880.000000	77.038	163.0527
8000.000000	76.900	160.7240
8120.000000	76.742	157.7033
8250.000000	76.577	153.3716
8380.000000	76.317	147.7709
8500.000000	75.888	141.9102
8620.000000	75.272	136.2224
8750.000000	74.474	130.9095
8850.000000	73.793	127.4023
9000.000000	72.615	123.0013
9120.000000	71.641	120.2786
9250.000000	70.610	118.2350
9380.000000	69.603	117.1033
9500.000000	68.696	116.7826
9620.000000	67.841	116.8806
9750.000000	66.975	117.1613
9880.000000	66.189	117.6518
10000.000000	65.504	118.2705
10150.000000	64.644	119.1228
10300.000000	63.853	120.1723
10440.000000	63.162	121.4093
10600.000000	62.390	122.8477
10750.000000	61.723	124.2290
10900.000000	61.100	125.5311
11060.000000	60.427	126.7175
11200.000000	59.845	127.7826
11380.000000	59.077	129.4274
11500.000000	58.550	130.6860
11720.000000	57.588	133.3638
11800.000000	57.245	134.4492
12060.000000	56.158	138.6399
12200.000000	55.581	141.3146
12410.000000	54.789	146.0586
12500.000000	54.499	148.2989
12650.000000	53.999	152.0455
12800.000000	53.518	156.1510
13150.000000	53.128	168.4988
13200.000000	53.177	170.5266
13400.000000	53.501	177.8149
13600.000000	54.148	-175.9512
13800.000000	55.468	-171.7934
