* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 8:28:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Folk
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.003	-166.7063
20.600000	67.021	-166.6723
20.900000	67.056	-166.6071
21.200001	67.081	-166.5335
21.400000	67.094	-166.4825
21.799999	67.115	-166.3858
22.000000	67.125	-166.3465
22.400000	67.143	-166.2979
22.700001	67.155	-166.2851
23.000000	67.165	-166.2807
23.299999	67.175	-166.2715
23.600000	67.188	-166.2522
24.000000	67.214	-166.2175
24.299999	67.242	-166.2045
24.700001	67.289	-166.2351
25.000000	67.327	-166.3038
25.400000	67.372	-166.4418
25.799999	67.410	-166.5838
26.200001	67.443	-166.6790
26.500000	67.467	-166.7077
26.900000	67.502	-166.7011
27.200001	67.531	-166.6852
27.600000	67.572	-166.6797
28.000000	67.611	-166.7061
28.500000	67.652	-166.7566
29.000000	67.685	-166.7679
29.500000	67.720	-166.7248
30.000000	67.762	-166.6814
30.400000	67.800	-166.6932
30.700001	67.827	-166.7376
31.100000	67.858	-166.8263
31.500000	67.882	-166.9144
32.000000	67.906	-166.9764
32.500000	67.936	-166.9844
33.000000	67.977	-166.9930
33.500000	68.025	-167.0416
34.000000	68.068	-167.0961
34.500000	68.110	-167.0798
35.000000	68.165	-166.9841
35.500000	68.244	-166.9204
36.000000	68.336	-167.0251
36.500000	68.415	-167.3187
37.000000	68.463	-167.6749
37.500000	68.486	-167.9363
38.200001	68.513	-168.0374
38.700001	68.552	-168.0143
39.500000	68.644	-168.1269
40.000000	68.701	-168.3569
40.599998	68.749	-168.7120
41.200001	68.779	-169.0077
41.799999	68.812	-169.2058
42.500000	68.868	-169.4374
43.099998	68.920	-169.7107
43.700001	68.967	-169.9845
44.400002	69.032	-170.2426
45.000000	69.106	-170.5054
45.500000	69.171	-170.8351
46.200001	69.243	-171.4097
46.799999	69.285	-171.8451
47.500000	69.338	-172.2101
48.200001	69.410	-172.5841
48.700001	69.460	-172.9228
49.400002	69.507	-173.3975
50.000000	69.538	-173.6981
50.799999	69.584	-174.0023
51.500000	69.628	-174.2564
52.200001	69.680	-174.4750
53.000000	69.768	-174.8440
53.799999	69.851	-175.6161
54.500000	69.876	-176.4832
55.200001	69.869	-177.2504
56.000000	69.865	-178.0146
57.000000	69.860	-179.0685
58.000000	69.824	-179.9991
59.000000	69.807	179.2803
60.000000	69.792	178.5888
60.799999	69.792	178.2405
61.500000	69.835	177.9287
62.200001	69.894	177.3281
63.000000	69.921	176.3698
64.000000	69.893	175.2606
65.000000	69.844	174.3916
66.000000	69.792	173.7259
67.000000	69.750	173.1967
68.000000	69.718	172.7071
69.000000	69.691	172.2024
70.000000	69.652	171.6376
71.000000	69.589	171.1171
72.000000	69.520	170.7293
73.000000	69.460	170.3870
74.000000	69.408	169.9756
75.000000	69.351	169.4594
76.199997	69.265	168.8088
77.500000	69.174	168.1653
78.800003	69.089	167.4992
80.000000	68.995	166.9631
81.199997	68.909	166.6883
82.500000	68.844	166.4269
83.800003	68.761	166.1387
85.000000	68.669	165.9745
86.199997	68.581	165.8648
87.500000	68.501	165.6845
88.500000	68.450	165.4640
90.000000	68.380	165.0302
91.199997	68.328	164.7208
92.500000	68.275	164.4390
93.800003	68.208	164.2692
95.000000	68.143	164.2140
96.199997	68.069	164.1316
97.500000	67.981	164.0519
98.800003	67.908	163.9074
100.000000	67.849	163.7064
101.500000	67.794	163.4721
103.000000	67.747	163.2475
104.400002	67.685	163.1565
106.000000	67.616	163.1534
107.500000	67.540	162.9958
109.000000	67.456	162.8326
110.599998	67.385	162.6820
112.000000	67.335	162.5970
113.800003	67.268	162.5709
115.000000	67.205	162.5742
117.199997	67.062	162.5874
118.000000	67.014	162.5197
120.599998	66.858	162.1329
122.000000	66.801	162.0625
124.099998	66.740	162.0499
125.000000	66.711	162.0634
126.500000	66.648	162.0742
128.000000	66.571	162.0707
131.500000	66.414	162.1891
132.000000	66.396	162.1934
134.000000	66.307	162.2045
136.000000	66.200	162.2585
138.000000	66.096	162.2563
140.000000	66.011	162.2282
143.000000	65.866	162.3899
145.000000	65.770	162.6793
147.500000	65.648	162.7052
150.000000	65.521	162.4973
152.500000	65.376	162.4633
155.000000	65.227	162.8140
157.500000	65.067	163.2189
160.000000	64.913	163.7009
162.500000	64.807	164.2314
165.000000	64.703	164.5883
167.500000	64.561	165.1322
170.000000	64.436	165.9145
172.500000	64.343	166.7288
175.000000	64.255	167.4946
177.500000	64.160	168.2676
180.000000	64.078	169.0561
182.500000	64.009	169.8152
185.000000	63.938	170.6077
187.500000	63.876	171.4715
190.000000	63.841	172.3189
192.500000	63.825	173.1072
195.000000	63.808	173.8639
197.500000	63.777	174.6422
200.000000	63.737	175.4683
203.000000	63.700	176.4626
206.000000	63.692	177.5640
209.000000	63.744	178.9759
212.000000	63.852	-179.4846
214.000000	63.946	-178.5744
218.000000	64.209	-177.5763
220.000000	64.350	-177.6337
224.000000	64.550	-178.4846
227.000000	64.602	-179.2937
230.000000	64.587	-179.8800
233.000000	64.542	179.7667
236.000000	64.482	179.5442
240.000000	64.396	179.4871
243.000000	64.333	179.5962
247.000000	64.247	179.8396
250.000000	64.184	-179.8901
254.000000	64.108	-179.4054
258.000000	64.051	-178.8622
262.000000	64.021	-178.2958
265.000000	64.015	-177.9232
269.000000	64.009	-177.6109
272.000000	63.987	-177.4525
276.000000	63.938	-177.1976
280.000000	63.877	-176.8852
285.000000	63.794	-176.3954
290.000000	63.719	-175.8124
295.000000	63.642	-175.1715
300.000000	63.573	-174.4448
304.000000	63.528	-173.8009
307.000000	63.497	-173.2831
311.000000	63.455	-172.5765
315.000000	63.417	-171.8683
320.000000	63.383	-170.9442
325.000000	63.364	-169.9934
330.000000	63.358	-169.0182
335.000000	63.359	-168.0606
340.000000	63.361	-167.1938
345.000000	63.363	-166.3065
350.000000	63.377	-165.4132
355.000000	63.396	-164.5671
360.000000	63.414	-163.7262
365.000000	63.436	-162.8578
370.000000	63.461	-161.9978
375.000000	63.493	-161.1468
382.000000	63.537	-159.9917
387.000000	63.574	-159.2104
395.000000	63.650	-158.0882
400.000000	63.701	-157.3896
406.000000	63.763	-156.5108
412.000000	63.830	-155.6664
418.000000	63.901	-154.8812
425.000000	63.987	-154.0127
431.000000	64.067	-153.3252
437.000000	64.149	-152.6827
444.000000	64.242	-151.9794
450.000000	64.320	-151.4142
455.000000	64.388	-150.9825
462.000000	64.481	-150.3743
468.000000	64.559	-149.8528
475.000000	64.658	-149.2902
482.000000	64.756	-148.7777
487.000000	64.823	-148.4323
494.000000	64.916	-147.9792
500.000000	64.992	-147.6346
508.000000	65.086	-147.1810
515.000000	65.168	-146.7585
522.000000	65.256	-146.3683
530.000000	65.352	-145.9729
538.000000	65.445	-145.6072
545.000000	65.522	-145.3111
552.000000	65.599	-145.0177
560.000000	65.684	-144.6984
570.000000	65.784	-144.3174
580.000000	65.883	-143.9473
590.000000	65.983	-143.6121
600.000000	66.072	-143.2917
608.000000	66.143	-143.0383
615.000000	66.202	-142.8261
622.000000	66.257	-142.6212
630.000000	66.322	-142.3832
640.000000	66.404	-142.0808
650.000000	66.478	-141.8153
660.000000	66.547	-141.5872
670.000000	66.614	-141.3434
680.000000	66.675	-141.0947
690.000000	66.731	-140.8614
700.000000	66.780	-140.6612
710.000000	66.824	-140.4532
720.000000	66.865	-140.2168
730.000000	66.900	-139.9654
740.000000	66.928	-139.7125
750.000000	66.955	-139.4557
762.000000	66.978	-139.1086
775.000000	66.988	-138.6186
788.000000	66.988	-138.0342
800.000000	66.982	-137.4526
812.000000	66.978	-136.7654
825.000000	66.976	-135.8654
838.000000	66.982	-134.7873
850.000000	67.006	-133.6402
862.000000	67.050	-132.3667
875.000000	67.124	-130.8832
885.000000	67.210	-129.7119
900.000000	67.389	-127.9736
912.000000	67.568	-126.6557
925.000000	67.796	-125.3824
938.000000	68.052	-124.3174
950.000000	68.306	-123.5437
962.000000	68.571	-122.9821
975.000000	68.860	-122.6125
988.000000	69.149	-122.4722
1000.000000	69.406	-122.5132
1015.000000	69.701	-122.7122
1030.000000	69.977	-123.0859
1044.000000	70.217	-123.5580
1060.000000	70.465	-124.2113
1075.000000	70.672	-124.9087
1090.000000	70.861	-125.6519
1106.000000	71.046	-126.4801
1120.000000	71.194	-127.2202
1138.000000	71.366	-128.1468
1150.000000	71.470	-128.7471
1172.000000	71.640	-129.8112
1180.000000	71.696	-130.1799
1206.000000	71.859	-131.3088
1220.000000	71.939	-131.8699
1241.000000	72.051	-132.6676
1250.000000	72.096	-132.9973
1265.000000	72.169	-133.5347
1280.000000	72.239	-134.0613
1315.000000	72.389	-135.2144
1320.000000	72.409	-135.3683
1340.000000	72.481	-135.9532
1360.000000	72.547	-136.4886
1380.000000	72.612	-136.9952
1400.000000	72.681	-137.4731
1430.000000	72.790	-138.1292
1450.000000	72.861	-138.5447
1475.000000	72.950	-139.0629
1500.000000	73.043	-139.5645
1525.000000	73.137	-140.0518
1550.000000	73.233	-140.5393
1575.000000	73.331	-141.0220
1600.000000	73.430	-141.5078
1625.000000	73.532	-142.0290
1650.000000	73.635	-142.5680
1675.000000	73.738	-143.1251
1700.000000	73.840	-143.7024
1725.000000	73.941	-144.2984
1750.000000	74.042	-144.9341
1775.000000	74.142	-145.6056
1800.000000	74.241	-146.3005
1825.000000	74.339	-147.0148
