* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 8:27:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rock
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.022	-168.6449
20.600000	67.041	-168.5983
20.900000	67.077	-168.5153
21.200001	67.105	-168.4393
21.400000	67.119	-168.3972
21.799999	67.139	-168.3324
22.000000	67.147	-168.3084
22.400000	67.159	-168.2734
22.700001	67.168	-168.2590
23.000000	67.178	-168.2619
23.299999	67.191	-168.2921
23.600000	67.206	-168.3535
24.000000	67.227	-168.4766
24.299999	67.243	-168.5824
24.700001	67.266	-168.7145
25.000000	67.285	-168.7951
25.400000	67.317	-168.8805
25.799999	67.358	-168.9633
26.200001	67.405	-169.0703
26.500000	67.441	-169.1705
26.900000	67.483	-169.3155
27.200001	67.508	-169.4117
27.600000	67.535	-169.4962
28.000000	67.559	-169.5165
28.500000	67.594	-169.4713
29.000000	67.637	-169.4100
29.500000	67.682	-169.3834
30.000000	67.720	-169.3909
30.400000	67.747	-169.3984
30.700001	67.766	-169.3996
31.100000	67.793	-169.4080
31.500000	67.822	-169.4461
32.000000	67.856	-169.5513
32.500000	67.886	-169.6950
33.000000	67.916	-169.8448
33.500000	67.952	-170.0163
34.000000	67.987	-170.2334
34.500000	68.013	-170.4469
35.000000	68.036	-170.5656
35.500000	68.073	-170.5733
36.000000	68.134	-170.5728
36.500000	68.209	-170.6676
37.000000	68.283	-170.8578
37.500000	68.349	-171.0792
38.200001	68.433	-171.4131
38.700001	68.481	-171.6914
39.500000	68.523	-172.0329
40.000000	68.548	-172.0709
40.599998	68.602	-172.0426
41.200001	68.679	-172.1550
41.799999	68.750	-172.4432
42.500000	68.814	-172.8479
43.099998	68.865	-173.1947
43.700001	68.916	-173.5594
44.400002	68.975	-173.9992
45.000000	69.025	-174.3993
45.500000	69.061	-174.7487
46.200001	69.100	-175.1455
46.799999	69.146	-175.3215
47.500000	69.242	-175.5738
48.200001	69.344	-176.1998
48.700001	69.380	-176.7900
49.400002	69.381	-177.4145
50.000000	69.384	-177.6493
50.799999	69.437	-177.9487
51.500000	69.488	-178.4617
52.200001	69.520	-179.0103
53.000000	69.573	-179.5986
53.799999	69.642	179.5425
54.500000	69.672	178.6241
55.200001	69.683	177.8032
56.000000	69.701	176.9649
57.000000	69.721	176.0233
58.000000	69.767	175.3494
59.000000	69.848	174.4563
60.000000	69.873	173.4124
60.799999	69.874	172.7668
61.500000	69.884	172.2266
62.200001	69.887	171.6230
63.000000	69.873	170.9553
64.000000	69.859	170.1221
65.000000	69.820	169.0615
66.000000	69.720	168.2223
67.000000	69.645	167.7229
68.000000	69.597	167.0815
69.000000	69.534	166.3743
70.000000	69.467	165.6919
71.000000	69.396	165.0338
72.000000	69.327	164.4176
73.000000	69.255	163.8355
74.000000	69.184	163.3444
75.000000	69.125	162.8744
76.199997	69.050	162.2090
77.500000	68.952	161.5121
78.800003	68.853	160.8281
80.000000	68.750	160.2868
81.199997	68.666	159.9477
82.500000	68.608	159.5810
83.800003	68.548	159.1514
85.000000	68.477	158.7767
86.199997	68.393	158.4545
87.500000	68.303	158.1728
88.500000	68.242	157.9277
90.000000	68.158	157.4982
91.199997	68.093	157.1513
92.500000	68.028	156.8526
93.800003	67.969	156.5588
95.000000	67.898	156.2845
96.199997	67.816	156.0847
97.500000	67.723	155.8443
98.800003	67.623	155.6248
100.000000	67.543	155.4296
101.500000	67.458	155.1138
103.000000	67.385	154.7866
104.400002	67.328	154.4471
106.000000	67.246	154.0016
107.500000	67.143	153.7642
109.000000	67.051	153.7011
110.599998	66.964	153.6098
112.000000	66.891	153.4437
113.800003	66.791	153.1143
115.000000	66.725	152.8852
117.199997	66.620	152.4590
118.000000	66.583	152.3091
120.599998	66.453	151.9997
122.000000	66.385	151.9622
124.099998	66.283	151.8282
125.000000	66.234	151.7462
126.500000	66.149	151.6288
128.000000	66.071	151.5682
131.500000	65.928	151.3754
132.000000	65.904	151.3266
134.000000	65.791	151.1688
136.000000	65.673	151.0397
138.000000	65.577	150.8073
140.000000	65.494	150.4468
143.000000	65.347	150.1083
145.000000	65.247	150.0922
147.500000	65.093	149.8547
150.000000	64.912	149.5514
152.500000	64.727	149.2514
155.000000	64.524	149.0527
157.500000	64.312	148.8782
160.000000	64.120	148.5953
162.500000	63.950	148.4722
165.000000	63.788	148.6913
167.500000	63.607	149.0935
170.000000	63.407	149.4604
172.500000	63.213	149.7487
175.000000	63.016	150.0823
177.500000	62.807	150.6694
180.000000	62.602	151.3928
182.500000	62.400	152.1095
185.000000	62.210	152.9443
187.500000	62.041	153.9285
190.000000	61.884	154.9935
192.500000	61.732	156.1142
195.000000	61.593	157.2740
197.500000	61.457	158.4849
200.000000	61.326	159.8315
203.000000	61.199	161.5798
206.000000	61.125	163.5693
209.000000	61.133	165.8758
212.000000	61.226	168.0648
214.000000	61.322	169.2570
218.000000	61.589	170.8326
220.000000	61.730	171.1382
224.000000	61.908	171.0505
227.000000	61.954	170.8217
230.000000	61.960	170.6290
233.000000	61.942	170.5435
236.000000	61.911	170.5961
240.000000	61.856	170.8422
243.000000	61.819	171.1547
247.000000	61.783	171.6555
250.000000	61.755	172.0593
254.000000	61.720	172.6436
258.000000	61.688	173.3289
262.000000	61.677	173.9221
265.000000	61.684	174.2614
269.000000	61.684	174.6466
272.000000	61.666	174.8613
276.000000	61.634	175.0762
280.000000	61.597	175.3260
285.000000	61.531	175.7812
290.000000	61.451	176.3556
295.000000	61.375	176.9694
300.000000	61.315	177.6788
304.000000	61.264	178.2629
307.000000	61.220	178.7464
311.000000	61.167	179.4770
315.000000	61.132	-179.7867
320.000000	61.102	-178.8917
325.000000	61.083	-178.0166
330.000000	61.071	-177.1455
335.000000	61.057	-176.2181
340.000000	61.043	-175.2788
345.000000	61.028	-174.3925
350.000000	61.011	-173.5525
355.000000	61.000	-172.7310
360.000000	61.005	-171.8658
365.000000	61.017	-170.9649
370.000000	61.025	-170.0825
375.000000	61.035	-169.2311
382.000000	61.065	-168.0823
387.000000	61.090	-167.2928
395.000000	61.135	-165.9932
400.000000	61.168	-165.1674
406.000000	61.213	-164.2202
412.000000	61.265	-163.3229
418.000000	61.318	-162.4425
425.000000	61.385	-161.4927
431.000000	61.452	-160.7121
437.000000	61.522	-159.9667
444.000000	61.600	-159.1746
450.000000	61.669	-158.4991
455.000000	61.734	-157.9475
462.000000	61.824	-157.2361
468.000000	61.897	-156.6896
475.000000	61.982	-156.0623
482.000000	62.070	-155.4490
487.000000	62.136	-155.0338
494.000000	62.221	-154.5152
500.000000	62.289	-154.0963
508.000000	62.392	-153.5478
515.000000	62.485	-153.0906
522.000000	62.571	-152.6581
530.000000	62.660	-152.2107
538.000000	62.741	-151.8018
545.000000	62.816	-151.4856
552.000000	62.894	-151.1789
560.000000	62.975	-150.8255
570.000000	63.078	-150.3979
580.000000	63.176	-150.0324
590.000000	63.263	-149.6665
600.000000	63.349	-149.3368
608.000000	63.413	-149.0916
615.000000	63.462	-148.8907
622.000000	63.509	-148.7209
630.000000	63.559	-148.5596
640.000000	63.621	-148.3661
650.000000	63.688	-148.1392
660.000000	63.747	-147.9156
670.000000	63.791	-147.6704
680.000000	63.822	-147.4764
690.000000	63.847	-147.3172
700.000000	63.865	-147.1286
710.000000	63.874	-146.9424
720.000000	63.881	-146.7424
