* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 1 ¿ÀÈÄ 9:37:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.935	-178.1179
20.600000	88.924	-178.3970
20.900000	88.903	-178.8978
21.200001	88.887	-179.3913
21.400000	88.878	-179.7410
21.799999	88.854	179.4694
22.000000	88.836	179.0309
22.400000	88.782	178.1298
22.700001	88.731	177.4902
23.000000	88.680	176.9091
23.299999	88.636	176.3700
23.600000	88.604	175.8364
24.000000	88.578	175.0697
24.299999	88.564	174.4246
24.700001	88.543	173.4855
25.000000	88.521	172.7622
25.400000	88.483	171.8313
25.799999	88.442	170.9771
26.200001	88.401	170.1990
26.500000	88.371	169.6548
26.900000	88.330	168.9774
27.200001	88.298	168.5118
27.600000	88.256	167.9572
28.000000	88.217	167.4692
28.500000	88.176	166.8936
29.000000	88.139	166.2827
29.500000	88.095	165.6317
30.000000	88.041	164.9943
30.400000	87.999	164.5018
30.700001	87.971	164.1188
31.100000	87.936	163.5460
31.500000	87.895	162.8900
32.000000	87.825	162.0273
32.500000	87.737	161.2678
33.000000	87.658	160.6744
33.500000	87.607	160.1342
34.000000	87.574	159.5033
34.500000	87.538	158.8003
35.000000	87.495	158.1547
35.500000	87.461	157.6028
36.000000	87.441	157.0258
36.500000	87.412	156.3591
37.000000	87.354	155.7581
37.500000	87.283	155.4237
38.200001	87.234	155.2461
38.700001	87.233	154.9373
39.500000	87.172	154.0871
40.000000	87.094	153.7740
40.599998	87.035	153.6638
41.200001	87.030	153.2740
41.799999	86.997	152.4012
42.500000	86.862	151.4431
43.099998	86.737	151.0987
43.700001	86.668	150.8549
44.400002	86.619	150.2644
45.000000	86.555	149.6080
45.500000	86.488	149.1066
46.200001	86.391	148.4899
46.799999	86.308	148.0144
47.500000	86.216	147.4444
48.200001	86.102	146.7388
48.700001	85.981	146.3092
49.400002	85.789	146.2685
50.000000	85.699	146.6535
50.799999	85.717	146.6408
51.500000	85.710	145.7666
52.200001	85.614	144.9209
53.000000	85.522	144.5355
53.799999	85.529	143.9856
54.500000	85.525	143.0447
55.200001	85.462	142.1700
56.000000	85.381	141.5960
57.000000	85.307	141.1134
58.000000	85.234	140.8759
59.000000	85.174	140.5325
60.000000	85.007	140.2892
60.799999	84.895	140.8362
61.500000	84.906	141.1231
62.200001	84.926	140.5959
63.000000	84.836	139.5278
64.000000	84.617	138.8160
65.000000	84.494	138.6595
66.000000	84.447	137.8484
67.000000	84.285	137.1297
68.000000	84.211	137.7090
69.000000	84.334	137.5493
70.000000	84.295	136.4633
71.000000	84.143	136.4860
72.000000	84.111	136.6010
73.000000	84.012	135.6361
74.000000	83.688	135.0817
75.000000	83.416	136.2449
76.199997	83.498	136.5928
77.500000	83.373	135.0145
78.800003	83.459	135.9498
80.000000	83.769	133.5111
81.199997	83.403	131.6115
82.500000	83.220	133.3765
83.800003	83.113	132.8897
85.000000	82.795	133.7571
86.199997	82.762	134.4691
87.500000	82.668	133.0609
88.500000	82.450	132.3221
90.000000	82.254	132.0771
91.199997	82.196	131.7714
92.500000	82.139	131.3824
93.800003	82.090	131.7380
95.000000	82.195	131.8998
96.199997	82.237	130.9493
97.500000	82.115	130.2478
98.800003	82.027	130.1685
100.000000	81.981	129.7577
101.500000	81.848	129.0357
103.000000	81.699	128.7256
104.400002	81.630	128.5024
106.000000	81.604	127.9126
107.500000	81.524	127.1623
109.000000	81.352	127.2871
110.599998	81.218	128.3366
112.000000	81.153	129.2186
