* Measurement data measured by REW V5.20.5
* Source: Microphone(Cirrus Logic CS4208 (AB 126)), MICROPHONE (마스), L, volume: 0.850
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 10 오후 7:16:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: r
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.654	160.0345
20.600000	95.616	159.4818
20.900000	95.573	158.9357
21.200001	95.525	158.4133
21.400000	95.493	158.0834
21.799999	95.427	157.4651
22.000000	95.396	157.1712
22.400000	95.339	156.5924
22.700001	95.306	156.1460
23.000000	95.279	155.6752
23.299999	95.253	155.1830
23.600000	95.221	154.6833
24.000000	95.172	154.0355
24.299999	95.133	153.5824
24.700001	95.084	153.0238
25.000000	95.049	152.6234
25.400000	95.005	152.0869
25.799999	94.963	151.5337
26.200001	94.920	150.9804
26.500000	94.884	150.5833
26.900000	94.834	150.0868
27.200001	94.796	149.7292
27.600000	94.745	149.2442
28.000000	94.692	148.7229
28.500000	94.611	148.0295
29.000000	94.514	147.3624
29.500000	94.414	146.7848
30.000000	94.320	146.2869
30.400000	94.251	145.9021
30.700001	94.205	145.6020
31.100000	94.151	145.1816
31.500000	94.098	144.7507
32.000000	94.031	144.2261
32.500000	93.968	143.7281
33.000000	93.910	143.2371
33.500000	93.851	142.7328
34.000000	93.785	142.2266
34.500000	93.713	141.7558
35.000000	93.641	141.3432
35.500000	93.575	140.9722
36.000000	93.514	140.6028
36.500000	93.454	140.2113
37.000000	93.388	139.8064
37.500000	93.315	139.4086
38.200001	93.215	138.8698
38.700001	93.150	138.4845
39.500000	93.035	137.8791
40.000000	92.954	137.5303
40.599998	92.855	137.1397
41.200001	92.753	136.7544
41.799999	92.650	136.3633
42.500000	92.537	135.9057
43.099998	92.452	135.5175
43.700001	92.376	135.1419
44.400002	92.297	134.7272
45.000000	92.232	134.3811
45.500000	92.175	134.0983
46.200001	92.091	133.7332
46.799999	92.019	133.4496
47.500000	91.932	133.1372
