* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 1 ¿ÀÈÄ 11:21:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.434	-147.4367
20.600000	85.441	-147.5744
20.900000	85.466	-147.8319
21.200001	85.516	-148.1327
21.400000	85.558	-148.4099
21.799999	85.643	-149.1995
22.000000	85.677	-149.7085
22.400000	85.715	-150.8658
22.700001	85.716	-151.7652
23.000000	85.700	-152.6236
23.299999	85.672	-153.4077
23.600000	85.641	-154.1031
24.000000	85.605	-154.8942
24.299999	85.592	-155.4147
24.700001	85.599	-156.0909
25.000000	85.622	-156.6610
25.400000	85.662	-157.5848
25.799999	85.688	-158.6873
26.200001	85.680	-159.8214
26.500000	85.651	-160.5599
26.900000	85.603	-161.2752
27.200001	85.579	-161.6099
27.600000	85.585	-161.9102
28.000000	85.633	-162.2708
28.500000	85.715	-163.0440
29.000000	85.764	-164.1042
29.500000	85.760	-165.1526
30.000000	85.731	-165.9843
30.400000	85.711	-166.5308
30.700001	85.702	-166.9305
31.100000	85.689	-167.5015
31.500000	85.670	-168.1104
32.000000	85.633	-168.8537
32.500000	85.592	-169.5204
33.000000	85.563	-170.1510
33.500000	85.545	-170.8332
34.000000	85.527	-171.5924
34.500000	85.500	-172.3434
35.000000	85.471	-172.9746
35.500000	85.460	-173.4654
36.000000	85.477	-173.9313
36.500000	85.510	-174.4966
37.000000	85.532	-175.1429
37.500000	85.535	-175.7304
38.200001	85.529	-176.3507
38.700001	85.522	-176.7735
39.500000	85.458	-177.3964
40.000000	85.397	-177.5492
40.599998	85.350	-177.7006
41.200001	85.284	-178.3319
41.799999	85.085	-179.0289
42.500000	84.751	-178.3149
43.099998	84.698	-176.5219
43.700001	84.941	-175.8218
44.400002	85.216	-177.7453
45.000000	85.202	179.6583
45.500000	85.070	178.0794
46.200001	84.907	176.9160
46.799999	84.855	176.1859
47.500000	84.833	175.2581
48.200001	84.819	174.4089
48.700001	84.809	173.8685
49.400002	84.782	173.2355
50.000000	84.751	172.8764
50.799999	84.715	172.5244
51.500000	84.672	172.2096
52.200001	84.619	171.9771
