* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 12:53:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.522	-133.9027
20.600000	70.549	-134.4155
20.900000	70.602	-135.3077
21.200001	70.648	-136.0965
21.400000	70.677	-136.5792
21.799999	70.736	-137.5374
22.000000	70.767	-138.0468
22.400000	70.825	-139.1394
22.700001	70.861	-140.0069
23.000000	70.889	-140.8887
23.299999	70.910	-141.7516
23.600000	70.929	-142.5763
24.000000	70.957	-143.6081
24.299999	70.984	-144.3468
24.700001	71.031	-145.3210
25.000000	71.071	-146.0670
25.400000	71.126	-147.0939
25.799999	71.174	-148.1409
26.200001	71.213	-149.1698
26.500000	71.236	-149.9068
26.900000	71.259	-150.8286
27.200001	71.275	-151.4770
27.600000	71.295	-152.3023
28.000000	71.315	-153.1097
28.500000	71.339	-154.1203
29.000000	71.354	-155.1263
29.500000	71.362	-156.1017
30.000000	71.367	-157.0357
30.400000	71.374	-157.7653
30.700001	71.380	-158.3123
31.100000	71.390	-159.0517
31.500000	71.400	-159.8062
32.000000	71.409	-160.7654
32.500000	71.414	-161.7227
33.000000	71.415	-162.6461
33.500000	71.418	-163.5104
34.000000	71.426	-164.3196
34.500000	71.440	-165.1130
35.000000	71.456	-165.9271
35.500000	71.465	-166.7569
36.000000	71.465	-167.5574
36.500000	71.461	-168.2950
37.000000	71.459	-168.9866
37.500000	71.461	-169.6820
38.200001	71.457	-170.7129
38.700001	71.445	-171.4643
39.500000	71.414	-172.6099
40.000000	71.395	-173.2931
40.599998	71.374	-174.1096
41.200001	71.353	-174.9335
41.799999	71.331	-175.7510
42.500000	71.304	-176.6738
43.099998	71.280	-177.4225
43.700001	71.259	-178.1200
44.400002	71.240	-178.8760
45.000000	71.231	-179.5170
45.500000	71.227	179.9146
46.200001	71.213	179.0599
46.799999	71.187	178.3320
47.500000	71.148	177.5716
48.200001	71.116	176.8891
48.700001	71.098	176.4051
49.400002	71.075	175.7076
50.000000	71.054	175.1078
50.799999	71.026	174.3184
51.500000	71.001	173.6373
52.200001	70.974	172.9776
53.000000	70.944	172.2351
53.799999	70.905	171.4932
54.500000	70.864	170.8867
55.200001	70.824	170.3160
56.000000	70.777	169.6432
57.000000	70.705	168.8515
58.000000	70.645	168.1874
59.000000	70.605	167.4180
60.000000	70.555	166.5630
60.799999	70.512	165.9049
61.500000	70.475	165.3431
62.200001	70.436	164.8124
63.000000	70.394	164.2688
64.000000	70.350	163.6278
65.000000	70.307	162.9487
66.000000	70.251	162.2863
67.000000	70.192	161.6864
68.000000	70.132	161.1027
69.000000	70.073	160.5300
70.000000	70.016	159.9499
71.000000	69.958	159.3542
72.000000	69.899	158.7770
73.000000	69.839	158.2304
74.000000	69.779	157.7162
75.000000	69.721	157.2279
76.199997	69.652	156.6504
77.500000	69.573	156.0237
78.800003	69.493	155.3961
80.000000	69.418	154.8245
81.199997	69.345	154.2647
82.500000	69.269	153.6730
83.800003	69.199	153.1052
85.000000	69.133	152.5787
86.199997	69.064	152.1176
87.500000	68.996	151.6730
88.500000	68.945	151.3143
90.000000	68.863	150.7740
91.199997	68.795	150.3494
92.500000	68.720	149.8849
93.800003	68.644	149.4598
95.000000	68.582	149.0756
96.199997	68.521	148.6624
97.500000	68.449	148.2368
98.800003	68.376	147.8524
100.000000	68.309	147.5202
101.500000	68.226	147.1150
103.000000	68.144	146.7176
104.400002	68.074	146.3392
106.000000	67.996	145.8850
107.500000	67.922	145.4818
109.000000	67.846	145.1176
110.599998	67.764	144.7827
112.000000	67.691	144.5106
113.800003	67.598	144.1463
115.000000	67.533	143.8883
117.199997	67.414	143.3887
118.000000	67.370	143.2006
120.599998	67.230	142.6987
122.000000	67.170	142.4925
124.099998	67.089	142.1450
125.000000	67.053	141.9930
126.500000	66.988	141.7487
128.000000	66.921	141.5096
131.500000	66.762	140.9266
132.000000	66.738	140.8485
134.000000	66.647	140.5783
136.000000	66.562	140.3351
138.000000	66.477	140.0875
140.000000	66.392	139.8495
143.000000	66.263	139.4853
145.000000	66.176	139.2567
147.500000	66.066	138.9691
150.000000	65.954	138.7165
152.500000	65.847	138.4935
155.000000	65.745	138.2792
157.500000	65.651	138.0769
160.000000	65.556	137.8691
162.500000	65.459	137.6902
165.000000	65.364	137.5173
167.500000	65.268	137.3458
170.000000	65.170	137.1859
172.500000	65.076	137.0531
175.000000	64.991	136.9487
177.500000	64.912	136.8759
180.000000	64.824	136.7654
182.500000	64.720	136.6292
185.000000	64.622	136.5253
187.500000	64.540	136.4189
190.000000	64.457	136.3033
192.500000	64.367	136.2018
195.000000	64.278	136.1456
197.500000	64.198	136.1405
200.000000	64.128	136.1291
203.000000	64.036	136.0325
206.000000	63.932	135.9330
209.000000	63.834	135.8605
212.000000	63.741	135.8113
214.000000	63.680	135.8074
218.000000	63.563	135.8658
220.000000	63.507	135.8962
224.000000	63.390	135.8957
227.000000	63.298	135.8488
230.000000	63.207	135.8512
233.000000	63.116	135.9414
236.000000	63.029	136.0228
240.000000	62.919	136.0214
243.000000	62.832	136.0520
247.000000	62.720	136.1219
250.000000	62.633	136.1633
254.000000	62.508	136.3019
258.000000	62.389	136.4703
262.000000	62.277	136.7121
265.000000	62.185	136.9219
269.000000	62.054	137.2546
272.000000	61.968	137.6378
276.000000	61.875	138.2370
280.000000	61.791	138.8236
285.000000	61.739	139.6438
290.000000	61.752	140.2470
295.000000	61.792	140.4592
300.000000	61.807	140.3709
304.000000	61.787	140.2059
307.000000	61.758	140.0482
311.000000	61.702	139.8160
315.000000	61.631	139.6472
320.000000	61.540	139.6518
325.000000	61.450	139.8159
330.000000	61.361	139.9136
335.000000	61.275	139.9149
340.000000	61.191	139.9695
345.000000	61.116	140.1018
350.000000	61.042	140.2337
355.000000	60.961	140.3811
360.000000	60.874	140.5298
365.000000	60.784	140.6685
370.000000	60.700	140.8459
375.000000	60.619	141.0226
382.000000	60.503	141.2478
387.000000	60.422	141.4814
395.000000	60.303	141.8492
400.000000	60.231	142.0797
406.000000	60.140	142.4100
412.000000	60.044	142.7190
418.000000	59.953	142.9648
425.000000	59.867	143.2930
431.000000	59.794	143.6933
437.000000	59.716	144.0924
444.000000	59.640	144.4957
450.000000	59.577	144.8163
455.000000	59.519	145.0794
462.000000	59.444	145.4289
468.000000	59.385	145.7473
475.000000	59.319	146.1489
