x	Curve1













20.0965	37.3137
20.3871	37.3238
20.6818	37.3342
20.9809	37.3451
21.2842	37.3567
21.5919	37.369
21.9041	37.3821
22.2208	37.3959
22.542	37.4105
22.868	37.4261
23.1986	37.4426
23.534	37.4603
23.874	37.4793
24.219	37.4998
24.57	37.522
24.925	37.5448
25.285	37.567
25.651	37.5872
26.022	37.604
26.398	37.616
26.779	37.6221
27.167	37.622
27.559	37.6168
27.958	37.6081
28.362	37.5972
28.772	37.5854
29.188	37.5739
29.61	37.5641
30.038	37.5575
30.472	37.5544
30.913	37.5542
31.36	37.5558
31.813	37.5581
32.273	37.5602
32.74	37.5612
33.213	37.5605
33.693	37.5582
34.181	37.5544
34.675	37.549
35.176	37.5423
35.685	37.534
36.201	37.5241
36.724	37.5125
37.255	37.4988
37.794	37.483
38.34	37.4655
38.894	37.4468
39.457	37.4279
40.027	37.4098
40.606	37.3936
41.193	37.3804
41.788	37.3712
42.393	37.3651
43.005	37.3603
43.627	37.3553
44.258	37.3484
44.898	37.338
45.547	37.3224
46.205	37.2999
46.874	37.271
47.551	37.2372
48.239	37.2
48.936	37.161
49.644	37.1219
50.361	37.084
51.089	37.0487
51.828	37.0157
52.577	36.9841
53.338	36.953
54.109	36.9214
54.891	36.8884
55.685	36.8529
56.49	36.8138
57.306	36.7707
58.135	36.7246
58.975	36.6768
59.828	36.6288
60.693	36.5822
61.571	36.5385
62.461	36.499
63.364	36.4634
64.28	36.4302
65.209	36.398
66.152	36.3655
67.108	36.3315
68.079	36.2948
69.063	36.2545
70.062	36.2103
71.074	36.1627
72.102	36.1118
73.144	36.0578
74.202	36.0009
75.275	35.9408
76.363	35.8773
77.467	35.8111
78.587	35.7439
79.723	35.678
80.876	35.6145
82.045	35.5538
83.231	35.4956
84.435	35.4396
85.656	35.3848
86.894	35.3305
88.15	35.2762
89.425	35.2215
90.718	35.1662
92.029	35.11
93.36	35.0528
94.71	34.9942
96.079	34.9341
97.468	34.8724
98.877	34.8087
100.307	34.7429
101.757	34.6748
103.228	34.6046
104.72	34.5328
106.235	34.4596
107.77	34.3856
109.329	34.3111
110.909	34.2366
112.513	34.1628
114.139	34.0905
115.79	34.0209
117.464	33.9562
119.162	33.9007
120.885	33.865
122.633	33.8613
124.406	33.8699
126.204	33.8406
128.029	33.7767
129.88	33.6934
131.758	33.6007
133.663	33.5032
135.595	33.4032
137.555	33.3022
139.544	33.201
141.562	33.1007
143.608	33.0022
145.685	32.9068
147.791	32.8164
149.928	32.7344
152.095	32.6687
154.294	32.636
156.525	32.6575
158.788	32.7007
161.084	32.694
163.413	32.6454
165.775	32.5742
168.172	32.492
170.603	32.4038
173.07	32.312
175.572	32.2179
178.111	32.1229
180.686	32.028
183.298	31.9343
185.948	31.8437
188.637	31.7594
191.364	31.6905
194.131	31.6696
196.937	31.7398
199.785	31.6946
202.673	31.601
205.603	31.494
208.576	31.3824
211.591	31.2694
214.65	31.1566
217.754	31.0453
220.902	30.9365
224.096	30.8312
227.336	30.7305
230.623	30.6357
233.957	30.5486
237.34	30.4717
240.77	30.4079
244.25	30.358
247.78	30.3216
251.37	30.2975
255	30.2831
258.69	30.2741
