x	Curve1













20.1622	37.1545
20.4537	37.2058
20.7494	37.2542
21.0494	37.2978
21.3537	37.3352
21.6625	37.366
21.9757	37.3905
22.2934	37.4102
22.6157	37.4268
22.9427	37.4418
23.2744	37.4561
23.6109	37.4706
23.952	37.4863
24.299	37.5042
24.65	37.5246
25.006	37.5466
25.368	37.5685
25.735	37.5886
26.107	37.6054
26.484	37.6172
26.867	37.6228
27.255	37.6218
27.649	37.616
28.049	37.6067
28.455	37.5953
28.866	37.5832
29.283	37.5717
29.707	37.5623
30.136	37.5563
30.572	37.554
31.014	37.5542
31.462	37.5561
31.917	37.5585
32.379	37.5604
32.847	37.5612
33.322	37.5602
33.804	37.5575
34.292	37.5534
34.788	37.5477
35.291	37.5406
35.801	37.5319
36.319	37.5216
36.844	37.5096
37.377	37.4954
37.917	37.4792
38.465	37.4613
39.021	37.4425
39.586	37.4237
40.158	37.4059
40.738	37.3903
41.327	37.378
41.925	37.3696
42.531	37.3639
43.146	37.3593
43.77	37.354
44.403	37.3465
45.045	37.335
45.696	37.3179
46.356	37.2939
47.027	37.2637
47.707	37.2289
48.396	37.1912
49.096	37.152
49.806	37.1131
50.526	37.0757
51.256	37.0411
51.997	37.0086
52.749	36.9772
53.512	36.9461
54.286	36.9143
55.07	36.8807
55.867	36.8444
56.674	36.8042
57.494	36.7601
58.325	36.7133
59.168	36.6652
60.024	36.6174
60.891	36.5714
61.772	36.529
62.665	36.4913
63.571	36.4574
64.49	36.4255
65.422	36.3939
66.368	36.361
67.328	36.3256
68.301	36.2865
69.289	36.2429
70.29	36.1955
71.307	36.145
72.338	36.0921
73.383	36.0373
74.444	35.9813
75.521	35.9249
76.613	35.8694
77.72	35.8125
78.844	35.7513
79.984	35.6865
81.14	35.6196
82.313	35.5516
83.503	35.4827
84.711	35.4133
85.935	35.3436
87.178	35.2737
88.438	35.2036
89.717	35.1335
91.014	35.0633
92.33	34.993
93.665	34.9228
95.019	34.8525
96.393	34.7823
97.786	34.7122
99.2	34.6422
100.634	34.5722
102.089	34.5024
103.565	34.4328
105.063	34.3635
106.582	34.2944
108.123	34.2257
109.686	34.1576
111.272	34.0901
112.88	34.0233
114.512	33.9574
116.168	33.8925
117.848	33.8287
119.551	33.7658
121.28	33.7036
123.033	33.6413
124.812	33.5783
126.617	33.5139
128.447	33.4481
130.304	33.3806
132.188	33.311
134.099	33.2392
136.038	33.1649
138.005	33.0876
140	33.0069
142.024	32.9222
144.078	32.8345
146.161	32.7456
148.274	32.6578
150.418	32.5734
152.592	32.4948
154.798	32.4245
157.036	32.3646
159.307	32.3171
161.61	32.2817
163.947	32.2556
166.317	32.2355
168.722	32.2184
171.161	32.2007
173.636	32.1774
176.146	32.1397
178.693	32.0689
181.276	31.9525
183.897	31.8135
186.556	31.6807
189.253	31.5615
191.989	31.4549
194.765	31.358
197.581	31.2676
200.437	31.1817
203.335	31.0992
206.275	31.0196
209.257	30.9422
212.283	30.867
215.352	30.7935
218.465	30.7218
221.624	30.6517
224.828	30.5832
228.079	30.5163
231.376	30.4511
234.721	30.3876
238.11	30.326
241.56	30.2665
245.05	30.2089
248.59	30.1533
252.19	30.0996
