* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 2 ¿ÀÈÄ 1:33:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Foam
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.521	28.1013
20.600000	97.534	27.3974
20.900000	97.553	26.1725
21.200001	97.553	25.1023
21.400000	97.547	24.4839
21.799999	97.539	23.3671
22.000000	97.542	22.8166
22.400000	97.564	21.6528
22.700001	97.585	20.6793
23.000000	97.601	19.6109
23.299999	97.606	18.4953
23.600000	97.598	17.3870
24.000000	97.575	15.9941
24.299999	97.556	15.0348
24.700001	97.538	13.8427
25.000000	97.529	12.9754
25.400000	97.520	11.8188
25.799999	97.504	10.6704
26.200001	97.477	9.5799
26.500000	97.451	8.8284
26.900000	97.416	7.9206
27.200001	97.391	7.2890
27.600000	97.364	6.4665
28.000000	97.338	5.6211
28.500000	97.294	4.5218
29.000000	97.233	3.4397
29.500000	97.160	2.4423
30.000000	97.091	1.5247
30.400000	97.042	0.8004
30.700001	97.008	0.2397
31.100000	96.961	-0.5369
31.500000	96.910	-1.3251
32.000000	96.838	-2.2684
32.500000	96.763	-3.1152
33.000000	96.694	-3.8680
33.500000	96.634	-4.5712
34.000000	96.578	-5.2646
34.500000	96.520	-5.9458
35.000000	96.457	-6.5844
35.500000	96.392	-7.1654
36.000000	96.328	-7.7154
36.500000	96.264	-8.2695
37.000000	96.193	-8.8233
37.500000	96.116	-9.3344
38.200001	96.009	-9.9370
38.700001	95.944	-10.3188
39.500000	95.859	-10.9284
40.000000	95.815	-11.3347
40.599998	95.760	-11.8684
41.200001	95.687	-12.3540
41.799999	95.604	-12.5708
42.500000	95.559	-12.4975
43.099998	95.586	-12.6479
43.700001	95.601	-13.3123
44.400002	95.518	-14.3108
45.000000	95.385	-14.8213
45.500000	95.283	-14.9985
46.200001	95.174	-15.2303
46.799999	95.088	-15.5487
47.500000	94.984	-15.9146
48.200001	94.897	-16.2503
48.700001	94.846	-16.5184
49.400002	94.781	-16.9038
50.000000	94.733	-17.1897
50.799999	94.680	-17.5102
