* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 2 ¿ÀÈÄ 1:11:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AAC_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.740	27.9866
20.600000	94.777	27.5653
20.900000	94.849	26.7591
21.200001	94.914	25.8512
21.400000	94.949	25.2026
21.799999	94.998	23.8358
22.000000	95.014	23.1399
22.400000	95.038	21.7658
22.700001	95.054	20.7351
23.000000	95.069	19.6712
23.299999	95.076	18.5695
23.600000	95.073	17.4599
24.000000	95.048	16.0503
24.299999	95.022	15.1085
24.700001	94.989	14.0275
25.000000	94.977	13.3023
25.400000	94.978	12.3486
25.799999	94.985	11.3247
26.200001	94.982	10.2408
26.500000	94.967	9.4416
26.900000	94.935	8.4541
27.200001	94.910	7.7777
27.600000	94.881	6.9130
28.000000	94.857	6.0054
28.500000	94.812	4.7527
29.000000	94.734	3.4729
29.500000	94.626	2.3508
30.000000	94.517	1.4736
30.400000	94.449	0.8873
30.700001	94.412	0.4557
31.100000	94.379	-0.1784
31.500000	94.353	-0.9126
32.000000	94.317	-1.9580
32.500000	94.260	-3.0670
33.000000	94.179	-4.1147
33.500000	94.077	-4.9712
34.000000	93.977	-5.5559
34.500000	93.910	-5.9540
35.000000	93.883	-6.4135
35.500000	93.865	-7.1693
36.000000	93.803	-8.1543
36.500000	93.677	-8.9942
37.000000	93.532	-9.3390
37.500000	93.443	-9.2905
38.200001	93.446	-9.5287
38.700001	93.452	-10.2998
39.500000	93.326	-11.6108
40.000000	93.221	-11.9225
40.599998	93.152	-12.0508
41.200001	93.101	-12.3524
41.799999	93.009	-12.4580
42.500000	92.957	-11.8039
43.099998	93.069	-11.4289
43.700001	93.203	-12.2642
44.400002	93.151	-14.1734
45.000000	92.927	-15.2069
45.500000	92.732	-15.3392
46.200001	92.557	-15.1972
46.799999	92.454	-15.3466
47.500000	92.323	-15.6304
48.200001	92.213	-15.7999
48.700001	92.164	-15.9582
49.400002	92.112	-16.3197
50.000000	92.069	-16.6603
50.799999	92.012	-16.9783
51.500000	91.982	-17.0628
52.200001	91.984	-17.1334
53.000000	91.989	-17.4685
53.799999	91.943	-17.9037
54.500000	91.873	-18.2401
55.200001	91.767	-18.5829
56.000000	91.596	-18.5348
57.000000	91.525	-17.7654
58.000000	91.609	-18.4304
59.000000	91.476	-19.8228
60.000000	91.310	-19.7940
60.799999	91.309	-19.7100
61.500000	91.310	-20.0232
62.200001	91.267	-20.2851
63.000000	91.216	-20.2279
64.000000	91.213	-20.0735
65.000000	91.218	-20.3472
66.000000	91.158	-20.7745
67.000000	91.059	-20.9104
68.000000	90.986	-20.8100
69.000000	90.948	-20.7566
70.000000	90.927	-20.8350
71.000000	90.913	-21.0843
72.000000	90.876	-21.4634
73.000000	90.820	-21.7064
74.000000	90.783	-21.8233
75.000000	90.759	-21.9995
76.199997	90.721	-22.1977
77.500000	90.685	-22.2899
78.800003	90.655	-22.3800
80.000000	90.618	-22.4115
81.199997	90.583	-22.3717
82.500000	90.549	-22.3393
83.800003	90.512	-22.3185
85.000000	90.480	-22.3719
86.199997	90.435	-22.5175
87.500000	90.387	-22.6197
88.500000	90.368	-22.7346
90.000000	90.343	-22.9661
91.199997	90.329	-23.0494
92.500000	90.321	-23.0695
93.800003	90.316	-23.1101
95.000000	90.300	-23.3218
96.199997	90.254	-23.6234
97.500000	90.203	-23.8470
98.800003	90.181	-23.9783
100.000000	90.185	-23.9597
101.500000	90.213	-23.8321
103.000000	90.211	-23.7460
104.400002	90.167	-23.7070
106.000000	90.108	-23.8952
107.500000	90.067	-24.2439
109.000000	90.053	-24.4279
110.599998	90.047	-24.1589
112.000000	90.035	-23.7584
113.800003	89.956	-23.8613
115.000000	89.900	-24.5713
117.199997	90.028	-27.7231
118.000000	90.137	-29.5656
120.599998	89.944	-32.8102
122.000000	89.869	-29.6970
124.099998	90.099	-25.7700
125.000000	90.132	-25.0015
126.500000	90.070	-24.4742
128.000000	89.972	-24.5480
131.500000	89.940	-25.6646
132.000000	89.942	-25.7649
134.000000	89.933	-25.8361
136.000000	89.893	-25.7963
138.000000	89.854	-25.8989
140.000000	89.855	-26.0630
143.000000	89.871	-26.2093
145.000000	89.867	-26.2879
147.500000	89.864	-26.4882
150.000000	89.862	-26.7010
152.500000	89.845	-26.8269
155.000000	89.818	-26.9909
157.500000	89.802	-27.1606
160.000000	89.799	-27.2933
162.500000	89.792	-27.4309
165.000000	89.770	-27.5908
167.500000	89.754	-27.6648
170.000000	89.766	-27.6954
172.500000	89.780	-27.8307
175.000000	89.767	-27.9816
177.500000	89.741	-28.1048
180.000000	89.718	-28.2441
182.500000	89.702	-28.3938
185.000000	89.691	-28.5285
187.500000	89.684	-28.6649
190.000000	89.673	-28.7788
192.500000	89.661	-28.8570
195.000000	89.644	-28.9517
