* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 2 ¿ÀÈÄ 1:08:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_EQ
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.797	28.7994
20.600000	96.818	28.0448
20.900000	96.850	26.7163
21.200001	96.855	25.5144
21.400000	96.848	24.7979
21.799999	96.825	23.4825
22.000000	96.815	22.8447
22.400000	96.803	21.5561
22.700001	96.797	20.5398
23.000000	96.788	19.4671
23.299999	96.772	18.3729
23.600000	96.748	17.3018
24.000000	96.712	15.9686
24.299999	96.691	15.0493
24.700001	96.678	13.8805
25.000000	96.680	12.9877
25.400000	96.686	11.7246
25.799999	96.676	10.4134
26.200001	96.642	9.1827
26.500000	96.606	8.3935
26.900000	96.561	7.5498
27.200001	96.543	7.0197
27.600000	96.543	6.3108
28.000000	96.555	5.4447
28.500000	96.545	4.1025
29.000000	96.471	2.7387
29.500000	96.350	1.6870
30.000000	96.239	1.0093
30.400000	96.183	0.5503
30.700001	96.158	0.1354
31.100000	96.129	-0.5874
31.500000	96.082	-1.4596
32.000000	95.986	-2.5510
32.500000	95.868	-3.4274
33.000000	95.765	-4.0834
33.500000	95.694	-4.7066
34.000000	95.639	-5.4614
34.500000	95.573	-6.3194
35.000000	95.489	-7.1362
35.500000	95.400	-7.8239
36.000000	95.322	-8.4369
36.500000	95.251	-9.0651
37.000000	95.171	-9.7057
37.500000	95.079	-10.2628
38.200001	94.953	-10.7717
38.700001	94.887	-10.9992
39.500000	94.824	-11.4423
40.000000	94.785	-11.8355
40.599998	94.714	-12.2654
41.200001	94.636	-12.3883
41.799999	94.612	-12.2648
42.500000	94.671	-12.4616
43.099998	94.709	-13.3248
43.700001	94.650	-14.4594
44.400002	94.476	-15.3527
45.000000	94.322	-15.6013
45.500000	94.220	-15.6791
46.200001	94.100	-15.8153
46.799999	94.005	-15.9271
47.500000	93.913	-16.0216
48.200001	93.850	-16.1892
48.700001	93.815	-16.4096
49.400002	93.764	-16.8650
50.000000	93.701	-17.2974
50.799999	93.599	-17.6780
51.500000	93.532	-17.8099
52.200001	93.495	-18.0162
53.000000	93.442	-18.4678
53.799999	93.351	-18.8572
54.500000	93.270	-18.9832
55.200001	93.213	-19.0259
56.000000	93.171	-19.1531
57.000000	93.129	-19.4653
58.000000	93.071	-19.9580
59.000000	92.956	-20.3256
60.000000	92.844	-20.1625
60.799999	92.801	-20.0227
61.500000	92.763	-20.0490
62.200001	92.714	-20.0587
63.000000	92.674	-20.0237
64.000000	92.652	-20.2337
65.000000	92.606	-20.7644
66.000000	92.518	-21.2082
67.000000	92.433	-21.3563
68.000000	92.377	-21.4175
69.000000	92.330	-21.4725
70.000000	92.292	-21.5784
71.000000	92.238	-21.8092
72.000000	92.161	-21.9741
73.000000	92.094	-22.0387
74.000000	92.048	-22.1187
75.000000	92.017	-22.2941
76.199997	91.967	-22.5392
77.500000	91.922	-22.5813
78.800003	91.903	-22.6919
80.000000	91.865	-22.8479
81.199997	91.822	-22.9269
82.500000	91.773	-23.0647
83.800003	91.706	-23.2003
85.000000	91.639	-23.2493
86.199997	91.580	-23.2277
87.500000	91.547	-23.2547
88.500000	91.532	-23.4382
90.000000	91.495	-23.7898
91.199997	91.454	-23.9976
92.500000	91.401	-24.0387
93.800003	91.355	-23.9998
95.000000	91.308	-24.0263
96.199997	91.259	-24.0871
97.500000	91.227	-24.1827
98.800003	91.215	-24.3819
100.000000	91.199	-24.5123
101.500000	91.169	-24.4440
103.000000	91.121	-24.2947
104.400002	91.063	-24.2890
106.000000	90.998	-24.6320
107.500000	90.955	-25.0250
109.000000	90.951	-25.0991
110.599998	90.972	-24.8341
112.000000	90.937	-24.6612
113.800003	90.803	-24.8425
115.000000	90.744	-25.6141
117.199997	90.926	-28.8856
118.000000	91.069	-30.7796
120.599998	90.855	-34.4098
122.000000	90.654	-31.1459
124.099998	90.728	-26.8532
125.000000	90.716	-26.0205
126.500000	90.616	-25.5402
128.000000	90.515	-25.8462
131.500000	90.483	-26.9103
132.000000	90.490	-26.9048
134.000000	90.487	-26.7156
136.000000	90.415	-26.6280
138.000000	90.340	-26.8197
140.000000	90.316	-27.0496
143.000000	90.299	-27.1921
145.000000	90.252	-27.2790
147.500000	90.178	-27.5761
150.000000	90.133	-27.7684
152.500000	90.100	-27.8085
155.000000	90.058	-27.8741
157.500000	90.028	-28.1743
160.000000	90.000	-28.4815
162.500000	89.964	-28.5989
165.000000	89.910	-28.7381
167.500000	89.841	-28.8966
170.000000	89.805	-28.8902
172.500000	89.792	-28.9102
175.000000	89.747	-29.0565
177.500000	89.683	-29.2595
180.000000	89.642	-29.4479
182.500000	89.616	-29.5790
185.000000	89.577	-29.6700
187.500000	89.530	-29.8003
190.000000	89.492	-30.0154
192.500000	89.456	-30.2252
195.000000	89.410	-30.3629
197.500000	89.357	-30.4463
200.000000	89.308	-30.5338
203.000000	89.256	-30.6147
206.000000	89.209	-30.7141
209.000000	89.144	-30.8355
212.000000	89.067	-30.8450
214.000000	89.026	-30.7700
218.000000	88.977	-30.6071
220.000000	88.959	-30.5053
