* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 2 ¿ÀÈÄ 1:37:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AAC_L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.006	23.9421
20.600000	95.013	23.2603
20.900000	95.024	22.0607
21.200001	95.024	20.9653
21.400000	95.019	20.2828
21.799999	94.999	18.9534
22.000000	94.985	18.2890
22.400000	94.950	16.9931
22.700001	94.924	16.0696
23.000000	94.904	15.1781
23.299999	94.895	14.2881
23.600000	94.895	13.3638
24.000000	94.903	12.0320
24.299999	94.908	10.9525
24.700001	94.900	9.4480
25.000000	94.879	8.3271
25.400000	94.833	6.9220
25.799999	94.773	5.6868
26.200001	94.709	4.6453
26.500000	94.666	3.9746
26.900000	94.616	3.1795
27.200001	94.585	2.6143
27.600000	94.544	1.8591
28.000000	94.493	1.1059
28.500000	94.401	0.2832
29.000000	94.298	-0.2366
29.500000	94.225	-0.4691
30.000000	94.213	-0.7339
30.400000	94.233	-1.2268
30.700001	94.244	-1.8150
31.100000	94.231	-2.8138
31.500000	94.175	-3.8880
32.000000	94.060	-5.0746
32.500000	93.934	-5.9943
33.000000	93.827	-6.7792
33.500000	93.736	-7.5662
34.000000	93.646	-8.3369
34.500000	93.560	-8.9968
35.000000	93.495	-9.5541
35.500000	93.454	-10.1311
36.000000	93.419	-10.7950
36.500000	93.373	-11.4694
37.000000	93.319	-12.0516
37.500000	93.270	-12.5708
38.200001	93.189	-13.3550
38.700001	93.095	-13.8480
39.500000	92.926	-14.0598
40.000000	92.863	-14.0829
40.599998	92.791	-14.5057
41.200001	92.614	-15.0301
41.799999	92.364	-14.6294
42.500000	92.253	-13.0017
43.099998	92.399	-12.3810
43.700001	92.531	-13.3992
44.400002	92.452	-15.2869
45.000000	92.270	-16.1062
45.500000	92.166	-16.3152
46.200001	92.112	-16.7967
46.799999	92.055	-17.5582
47.500000	91.944	-18.2346
48.200001	91.857	-18.5135
48.700001	91.825	-18.6750
49.400002	91.790	-18.9945
50.000000	91.749	-19.2558
50.799999	91.683	-19.4420
51.500000	91.629	-19.4717
52.200001	91.585	-19.4684
53.000000	91.539	-19.5062
53.799999	91.493	-19.6012
54.500000	91.455	-19.7516
55.200001	91.417	-19.9971
56.000000	91.360	-20.3628
57.000000	91.263	-20.7675
58.000000	91.159	-20.8302
59.000000	91.119	-20.6412
60.000000	91.128	-20.8260
60.799999	91.099	-21.2433
61.500000	91.039	-21.5528
62.200001	90.969	-21.7533
63.000000	90.884	-21.8939
64.000000	90.784	-21.9087
65.000000	90.720	-21.8417
66.000000	90.686	-21.9063
67.000000	90.656	-22.0800
68.000000	90.624	-22.2502
69.000000	90.594	-22.4097
70.000000	90.557	-22.5767
71.000000	90.506	-22.7111
72.000000	90.450	-22.7443
73.000000	90.408	-22.7237
74.000000	90.381	-22.7746
75.000000	90.356	-22.9287
76.199997	90.312	-23.1398
77.500000	90.257	-23.1842
78.800003	90.225	-23.0458
80.000000	90.220	-22.9650
81.199997	90.212	-23.0649
82.500000	90.170	-23.2564
83.800003	90.119	-23.3193
85.000000	90.090	-23.4035
86.199997	90.065	-23.5270
87.500000	90.038	-23.6960
88.500000	90.006	-23.7661
90.000000	89.969	-23.7163
91.199997	89.958	-23.6804
92.500000	89.973	-23.8279
93.800003	89.967	-24.2619
95.000000	89.934	-24.5184
96.199997	89.910	-24.5494
97.500000	89.903	-24.4679
98.800003	89.894	-24.4251
100.000000	89.870	-24.3931
101.500000	89.839	-24.4398
103.000000	89.805	-24.6380
104.400002	89.770	-24.8265
106.000000	89.732	-24.7780
107.500000	89.727	-24.6073
109.000000	89.723	-24.6700
110.599998	89.697	-24.9529
112.000000	89.695	-25.1611
113.800003	89.748	-25.3182
115.000000	89.777	-25.1407
117.199997	89.767	-23.7033
118.000000	89.762	-22.8551
120.599998	89.904	-22.1089
122.000000	89.816	-23.7095
124.099998	89.606	-25.4810
125.000000	89.580	-25.9576
126.500000	89.591	-26.4850
128.000000	89.612	-26.6326
131.500000	89.583	-26.3926
132.000000	89.574	-26.3991
134.000000	89.534	-26.5274
136.000000	89.514	-26.5746
138.000000	89.509	-26.6496
140.000000	89.491	-26.8035
143.000000	89.490	-27.1691
145.000000	89.498	-27.3927
147.500000	89.495	-27.3859
150.000000	89.481	-27.3200
152.500000	89.468	-27.4249
155.000000	89.458	-27.6059
157.500000	89.446	-27.6840
160.000000	89.441	-27.7695
162.500000	89.434	-27.9722
165.000000	89.427	-28.1456
167.500000	89.422	-28.2024
170.000000	89.418	-28.2672
172.500000	89.404	-28.4135
175.000000	89.384	-28.5658
177.500000	89.358	-28.6321
180.000000	89.339	-28.6270
182.500000	89.331	-28.7499
185.000000	89.322	-28.9858
187.500000	89.308	-29.1946
190.000000	89.294	-29.2684
192.500000	89.285	-29.2649
195.000000	89.272	-29.3067
197.500000	89.252	-29.4365
200.000000	89.229	-29.6040
203.000000	89.209	-29.7238
206.000000	89.186	-29.7833
209.000000	89.155	-29.8199
212.000000	89.125	-29.7970
214.000000	89.102	-29.7280
218.000000	89.057	-29.4874
220.000000	89.053	-29.3333
224.000000	89.095	-29.0600
227.000000	89.129	-29.0107
230.000000	89.144	-29.1135
233.000000	89.144	-29.3093
236.000000	89.140	-29.5260
240.000000	89.141	-29.8628
243.000000	89.136	-30.0421
247.000000	89.123	-30.0797
250.000000	89.105	-30.1100
254.000000	89.068	-30.2706
258.000000	89.036	-30.5144
262.000000	89.004	-30.7136
265.000000	88.977	-30.8081
269.000000	88.944	-30.8894
272.000000	88.919	-30.9598
276.000000	88.881	-31.0035
280.000000	88.840	-30.9829
285.000000	88.787	-31.0208
