* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 26, 2022 12:46:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.620 -126.2689
20.600000 95.660 -126.8378
20.900000 95.744 -127.9402
21.200001 95.820 -128.9877
21.400000 95.864 -129.6418
21.799999 95.945 -130.9376
22.000000 95.983 -131.5886
22.400000 96.051 -132.8864
22.700001 96.098 -133.8495
23.000000 96.143 -134.8026
23.299999 96.185 -135.7451
23.600000 96.227 -136.6788
24.000000 96.283 -137.9143
24.299999 96.324 -138.8354
24.700001 96.377 -140.0540
25.000000 96.416 -140.9562
25.400000 96.464 -142.1362
25.799999 96.511 -143.2851
26.200001 96.556 -144.4033
26.500000 96.588 -145.2248
26.900000 96.629 -146.3014
27.200001 96.658 -147.0960
27.600000 96.694 -148.1375
28.000000 96.726 -149.1560
28.500000 96.762 -150.3972
29.000000 96.795 -151.6126
29.500000 96.826 -152.8157
30.000000 96.854 -154.0140
30.400000 96.874 -154.9679
30.700001 96.888 -155.6786
31.100000 96.906 -156.6180
31.500000 96.923 -157.5471
32.000000 96.943 -158.6941
32.500000 96.963 -159.8237
33.000000 96.982 -160.9326
33.500000 97.001 -162.0180
34.000000 97.019 -163.0784
34.500000 97.036 -164.1131
35.000000 97.052 -165.1229
35.500000 97.065 -166.1097
36.000000 97.077 -167.0754
36.500000 97.085 -168.0191
37.000000 97.091 -168.9391
37.500000 97.096 -169.8382
38.200001 97.102 -171.0816
38.700001 97.105 -171.9724
39.500000 97.105 -173.3992
40.000000 97.103 -174.2800
40.599998 97.099 -175.3215
41.200001 97.095 -176.3511
41.799999 97.091 -177.3679
42.500000 97.085 -178.5260
43.099998 97.079 -179.4896
43.700001 97.073 179.5698
44.400002 97.066 178.4957
45.000000 97.058 177.5933
45.500000 97.050 176.8542
46.200001 97.037 175.8383
46.799999 97.024 174.9816
47.500000 97.008 173.9921
48.200001 96.989 173.0118
48.700001 96.975 172.3202
49.400002 96.954 171.3663
50.000000 96.936 170.5596
50.799999 96.913 169.4961
51.500000 96.893 168.5767
52.200001 96.872 167.6688
53.000000 96.846 166.6537
53.799999 96.818 165.6715
54.500000 96.795 164.8322
55.200001 96.770 164.0013
56.000000 96.741 163.0628
57.000000 96.701 161.9146
58.000000 96.661 160.7893
59.000000 96.620 159.6779
60.000000 96.577 158.5869
60.799999 96.543 157.7328
61.500000 96.513 156.9949
62.200001 96.483 156.2648
63.000000 96.448 155.4443
64.000000 96.404 154.4399
65.000000 96.359 153.4509
66.000000 96.313 152.4813
67.000000 96.266 151.5297
68.000000 96.218 150.5892
69.000000 96.169 149.6661
70.000000 96.120 148.7616
71.000000 96.070 147.8699
72.000000 96.020 146.9918
73.000000 95.969 146.1299
74.000000 95.919 145.2827
75.000000 95.868 144.4484
76.199997 95.805 143.4704
77.500000 95.736 142.4459
78.800003 95.667 141.4414
80.000000 95.603 140.5285
81.199997 95.538 139.6292
82.500000 95.467 138.6701
83.800003 95.395 137.7338
85.000000 95.328 136.8911
86.199997 95.261 136.0708
87.500000 95.186 135.2026
88.500000 95.127 134.5445
90.000000 95.035 133.5870
91.199997 94.960 132.8530
92.500000 94.878 132.0855
93.800003 94.798 131.3362
95.000000 94.720 130.6608
96.199997 94.636 130.0342
97.500000 94.547 129.4320
98.800003 94.460 128.8586
100.000000 94.373 128.3669
101.500000 94.256 127.9778
103.000000 94.166 127.9045
104.400002 94.129 128.0060
106.000000 94.155 128.0862
107.500000 94.232 127.8549
109.000000 94.324 127.1778
110.599998 94.398 125.9923
112.000000 94.421 124.7439
113.800003 94.396 123.1430
115.000000 94.357 122.1541
117.199997 94.259 120.5301
118.000000 94.219 119.9933
120.599998 94.084 118.4092
122.000000 94.014 117.6252
124.099998 93.912 116.5215
125.000000 93.869 116.0724
126.500000 93.799 115.3451
128.000000 93.728 114.6400
131.500000 93.567 113.0887
132.000000 93.545 112.8766
134.000000 93.458 112.0442
136.000000 93.373 111.2334
138.000000 93.290 110.4433
140.000000 93.207 109.6733
143.000000 93.089 108.5588
145.000000 93.012 107.8387
147.500000 92.917 106.9673
150.000000 92.825 106.1160
152.500000 92.735 105.2862
155.000000 92.647 104.4803
157.500000 92.562 103.6953
160.000000 92.477 102.9289
162.500000 92.395 102.1797
165.000000 92.314 101.4476
167.500000 92.235 100.7341
170.000000 92.157 100.0368
172.500000 92.080 99.3514
175.000000 92.006 98.6795
177.500000 91.934 98.0240
180.000000 91.863 97.3840
182.500000 91.792 96.7602
185.000000 91.723 96.1562
187.500000 91.655 95.5696
190.000000 91.588 94.9959
192.500000 91.522 94.4305
195.000000 91.457 93.8788
197.500000 91.393 93.3462
200.000000 91.330 92.8298
203.000000 91.255 92.2347
206.000000 91.182 91.6733
209.000000 91.110 91.1502
212.000000 91.039 90.6725
214.000000 90.995 90.3837
218.000000 90.917 89.8776
220.000000 90.886 89.6528
224.000000 90.842 89.2114
227.000000 90.826 88.8407
230.000000 90.819 88.3963
233.000000 90.814 87.8599
236.000000 90.805 87.2417
240.000000 90.779 86.3493
243.000000 90.749 85.6799
247.000000 90.697 84.8353
250.000000 90.655 84.2455
254.000000 90.598 83.5134
258.000000 90.543 82.8303
262.000000 90.490 82.1898
265.000000 90.452 81.7282
269.000000 90.404 81.1316
272.000000 90.369 80.7008
276.000000 90.325 80.1490
280.000000 90.284 79.6166
285.000000 90.238 78.9693
290.000000 90.197 78.3390
295.000000 90.159 77.7173
300.000000 90.124 77.1005
304.000000 90.097 76.6098
307.000000 90.077 76.2444
311.000000 90.051 75.7657
315.000000 90.026 75.2999
320.000000 89.996 74.7330
325.000000 89.968 74.1802
330.000000 89.941 73.6438
335.000000 89.916 73.1227
340.000000 89.892 72.6149
345.000000 89.870 72.1205
350.000000 89.850 71.6379
355.000000 89.831 71.1648
360.000000 89.814 70.7012
365.000000 89.799 70.2488
370.000000 89.785 69.8065
375.000000 89.772 69.3744
382.000000 89.756 68.7845
387.000000 89.745 68.3727
395.000000 89.731 67.7273
400.000000 89.723 67.3343
406.000000 89.715 66.8746
412.000000 89.707 66.4258
418.000000 89.701 65.9871
425.000000 89.696 65.4903
431.000000 89.692 65.0763
437.000000 89.690 64.6687
444.000000 89.688 64.2042
450.000000 89.687 63.8148
455.000000 89.686 63.4953
462.000000 89.687 63.0592
468.000000 89.688 62.6947
475.000000 89.689 62.2796
482.000000 89.692 61.8763
487.000000 89.694 61.5947
494.000000 89.698 61.2092
500.000000 89.701 60.8869
508.000000 89.707 60.4704
515.000000 89.712 60.1166
522.000000 89.718 59.7720
530.000000 89.724 59.3892
538.000000 89.732 59.0180
545.000000 89.740 58.7030
552.000000 89.747 58.3997
560.000000 89.757 58.0624
570.000000 89.769 57.6559
580.000000 89.781 57.2691
590.000000 89.795 56.8991
600.000000 89.809 56.5471
608.000000 89.820 56.2784
615.000000 89.831 56.0514
622.000000 89.842 55.8321
630.000000 89.854 55.5905
640.000000 89.870 55.3055
650.000000 89.888 55.0401
660.000000 89.906 54.7882
670.000000 89.925 54.5490
680.000000 89.945 54.3249
690.000000 89.966 54.1152
700.000000 89.987 53.9208
710.000000 90.010 53.7422
720.000000 90.033 53.5752
730.000000 90.058 53.4191
740.000000 90.084 53.2759
750.000000 90.111 53.1462
762.000000 90.145 53.0063
775.000000 90.184 52.8748
788.000000 90.227 52.7593
800.000000 90.268 52.6668
812.000000 90.312 52.5858
825.000000 90.363 52.5074
838.000000 90.417 52.4389
850.000000 90.469 52.3832
862.000000 90.524 52.3325
875.000000 90.587 52.2803
885.000000 90.637 52.2416
900.000000 90.717 52.1794
912.000000 90.784 52.1257
925.000000 90.859 52.0620
938.000000 90.938 51.9890
950.000000 91.012 51.9116
962.000000 91.089 51.8232
975.000000 91.174 51.7121
988.000000 91.262 51.5839
1000.000000 91.344 51.4488
1015.000000 91.448 51.2570
1030.000000 91.553 51.0397
1044.000000 91.652 50.8124
1060.000000 91.764 50.5222
1075.000000 91.869 50.2198
1090.000000 91.973 49.8895
1106.000000 92.082 49.5099
1120.000000 92.176 49.1564
1138.000000 92.293 48.6747
1150.000000 92.369 48.3385
1172.000000 92.503 47.6930
1180.000000 92.550 47.4501
1206.000000 92.697 46.6411
1220.000000 92.771 46.1962
1241.000000 92.878 45.5182
1250.000000 92.922 45.2253
1265.000000 92.992 44.7364
1280.000000 93.059 44.2492
1315.000000 93.205 43.1252
1320.000000 93.225 42.9664
1340.000000 93.300 42.3372
1360.000000 93.372 41.7194
1380.000000 93.440 41.1159
1400.000000 93.504 40.5269
1430.000000 93.597 39.6732
1450.000000 93.655 39.1257
1475.000000 93.726 38.4649
1500.000000 93.795 37.8305
1525.000000 93.863 37.2207
1550.000000 93.930 36.6345
1575.000000 93.997 36.0707
1600.000000 94.065 35.5280
1625.000000 94.133 35.0031
1650.000000 94.203 34.4937
1675.000000 94.274 33.9983
1700.000000 94.348 33.5145
1725.000000 94.424 33.0386
1750.000000 94.503 32.5679
1775.000000 94.585 32.0989
1800.000000 94.670 31.6282
1825.000000 94.759 31.1526
1850.000000 94.851 30.6664
1875.000000 94.947 30.1660
1900.000000 95.047 29.6491
1925.000000 95.149 29.1107
1950.000000 95.256 28.5449
1975.000000 95.365 27.9476
2000.000000 95.477 27.3152
2030.000000 95.614 26.5031
2060.000000 95.754 25.6262
2090.000000 95.894 24.6791
2120.000000 96.034 23.6577
2140.000000 96.127 22.9330
2180.000000 96.306 21.3752
2200.000000 96.393 20.5427
2240.000000 96.555 18.7747
2270.000000 96.667 17.3625
2300.000000 96.767 15.8851
2330.000000 96.855 14.3533
2360.000000 96.930 12.7776
2400.000000 97.007 10.6298
2430.000000 97.047 9.0010
2470.000000 97.079 6.8299
2500.000000 97.087 5.2190
2540.000000 97.077 3.1147
2580.000000 97.047 1.0787
2620.000000 97.000 -0.8746
2650.000000 96.955 -2.2794
2690.000000 96.886 -4.0681
2720.000000 96.828 -5.3456
2760.000000 96.744 -6.9639
2800.000000 96.656 -8.4858
2850.000000 96.541 -10.2551
2900.000000 96.424 -11.8766
2950.000000 96.309 -13.3434
3000.000000 96.201 -14.6495
3040.000000 96.127 -15.5887
3070.000000 96.081 -16.2510
3110.000000 96.036 -17.1180
3150.000000 96.007 -18.0212
3200.000000 95.981 -19.2566
3250.000000 95.953 -20.5925
3300.000000 95.915 -21.9633
3350.000000 95.869 -23.3146
3400.000000 95.821 -24.6246
3450.000000 95.773 -25.8928
3500.000000 95.727 -27.1293
3550.000000 95.686 -28.3468
3600.000000 95.649 -29.5585
3650.000000 95.616 -30.7770
3700.000000 95.587 -32.0128
3750.000000 95.558 -33.2761
3820.000000 95.518 -35.1061
3870.000000 95.484 -36.4625
3950.000000 95.415 -38.7111
4000.000000 95.358 -40.1467
4060.000000 95.269 -41.8638
4120.000000 95.158 -43.5300
4180.000000 95.025 -45.0995
4250.000000 94.847 -46.7552
4310.000000 94.678 -47.9751
4370.000000 94.501 -48.9645
4440.000000 94.296 -49.7842
4500.000000 94.138 -50.1819
4550.000000 94.031 -50.3010
4620.000000 93.944 -50.2091
4680.000000 93.953 -50.0535
4750.000000 94.076 -50.1501
4820.000000 94.292 -51.0428
4870.000000 94.458 -52.4003
4940.000000 94.616 -55.3372
5000.000000 94.617 -58.5188
5080.000000 94.373 -62.8688
5150.000000 93.956 -66.0178
5220.000000 93.418 -68.1361
5300.000000 92.751 -69.2288
5380.000000 92.105 -69.1151
5450.000000 91.596 -68.2836
5520.000000 91.153 -66.9859
5600.000000 90.727 -65.1331
5700.000000 90.306 -62.4873
5800.000000 89.995 -59.6310
5900.000000 89.781 -56.6515
6000.000000 89.660 -53.6129
6080.000000 89.627 -51.1913
6150.000000 89.643 -49.1184
6220.000000 89.701 -47.1245
6300.000000 89.814 -44.9937
6400.000000 90.019 -42.6416
6500.000000 90.282 -40.7300
