* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 15 오후 4:09:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.933	26.4873
20.600000	81.955	26.3102
20.900000	81.995	25.9724
21.200001	82.024	25.5980
21.400000	82.036	25.3387
21.799999	82.048	24.8086
22.000000	82.050	24.5429
22.400000	82.051	24.0146
22.700001	82.056	23.6173
23.000000	82.065	23.2230
23.299999	82.074	22.8490
23.600000	82.083	22.5087
24.000000	82.102	22.1105
24.299999	82.126	21.8326
24.700001	82.169	21.4470
25.000000	82.201	21.1314
25.400000	82.237	20.6989
25.799999	82.264	20.3259
26.200001	82.292	20.0703
26.500000	82.319	19.9426
26.900000	82.365	19.7857
27.200001	82.404	19.6159
27.600000	82.450	19.2741
28.000000	82.473	18.8330
28.500000	82.460	18.2921
29.000000	82.425	17.9044
29.500000	82.398	17.6475
30.000000	82.385	17.3833
30.400000	82.378	17.1065
30.700001	82.375	16.8665
31.100000	82.372	16.5375
31.500000	82.371	16.2266
32.000000	82.377	15.8708
32.500000	82.395	15.5234
33.000000	82.421	15.1667
33.500000	82.446	14.8207
34.000000	82.469	14.5130
34.500000	82.496	14.2375
35.000000	82.525	13.9630
35.500000	82.550	13.6793
36.000000	82.564	13.4229
36.500000	82.572	13.2293
37.000000	82.582	13.0663
37.500000	82.593	12.8506
38.200001	82.597	12.4187
38.700001	82.589	12.1292
39.500000	82.582	11.8225
40.000000	82.590	11.5854
40.599998	82.591	11.1969
41.200001	82.573	10.9312
41.799999	82.588	10.8706
42.500000	82.687	10.5463
43.099998	82.763	9.6987
43.700001	82.751	8.7694
44.400002	82.666	8.3821
45.000000	82.631	8.6407
45.500000	82.649	8.8732
46.200001	82.691	8.9213
46.799999	82.706	8.8300
47.500000	82.714	8.7272
48.200001	82.723	8.5480
48.700001	82.720	8.3673
49.400002	82.699	8.1224
50.000000	82.677	7.9255
50.799999	82.651	7.6206
51.500000	82.630	7.3510
52.200001	82.622	7.1198
53.000000	82.638	6.8459
53.799999	82.658	6.5740
54.500000	82.675	6.4248
55.200001	82.698	6.3416
56.000000	82.730	6.2206
57.000000	82.752	5.9919
58.000000	82.743	5.7120
59.000000	82.705	5.3910
60.000000	82.655	5.0915
60.799999	82.620	4.9153
61.500000	82.605	4.7970
62.200001	82.602	4.6572
63.000000	82.602	4.4667
64.000000	82.607	4.2959
65.000000	82.635	4.1495
66.000000	82.665	3.9619
