* Measurement data measured by REW V5.20.8
* Source: C:\Users\DABKING\Downloads\wf1000xm4R.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 6. 20 ¿ÀÈÄ 10:04:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Downloads\wf1000xm4R.csv Format: Comma/Tab/Space delimited data 720 values loaded, 11 Hz to 21,891 Hz log spaced
* Measurement: wf1000xm4R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	66.450
20.299999	66.465
20.600000	66.470
20.900000	66.471
21.200001	66.467
21.400000	66.462
21.799999	66.449
22.000000	66.440
22.400000	66.419
22.700001	66.410
23.000000	66.413
23.299999	66.418
23.600000	66.417
24.000000	66.415
24.299999	66.421
24.700001	66.427
25.000000	66.428
25.400000	66.429
25.799999	66.434
26.200001	66.442
26.500000	66.447
26.900000	66.448
27.200001	66.444
27.600000	66.437
28.000000	66.425
28.500000	66.401
29.000000	66.371
29.500000	66.350
30.000000	66.326
30.400000	66.300
30.700001	66.287
31.100000	66.279
31.500000	66.275
32.000000	66.265
32.500000	66.265
33.000000	66.270
33.500000	66.271
34.000000	66.269
34.500000	66.267
35.000000	66.265
35.500000	66.264
36.000000	66.260
36.500000	66.253
37.000000	66.242
37.500000	66.224
38.200001	66.200
38.700001	66.195
39.500000	66.177
40.000000	66.157
40.599998	66.133
41.200001	66.100
41.799999	66.065
42.500000	66.036
43.099998	66.025
43.700001	66.027
44.400002	66.038
45.000000	66.047
45.500000	66.052
46.200001	66.055
46.799999	66.053
47.500000	66.051
48.200001	66.052
48.700001	66.052
49.400002	66.038
50.000000	66.013
50.799999	65.980
51.500000	65.947
52.200001	65.921
53.000000	65.911
53.799999	65.913
54.500000	65.917
55.200001	65.923
56.000000	65.930
57.000000	65.932
58.000000	65.916
59.000000	65.880
60.000000	65.847
60.799999	65.827
61.500000	65.815
62.200001	65.806
63.000000	65.797
64.000000	65.792
65.000000	65.802
66.000000	65.818
67.000000	65.830
68.000000	65.835
69.000000	65.822
70.000000	65.793
71.000000	65.771
72.000000	65.756
73.000000	65.744
74.000000	65.745
75.000000	65.755
76.199997	65.771
77.500000	65.778
78.800003	65.769
80.000000	65.748
81.199997	65.714
82.500000	65.682
83.800003	65.679
85.000000	65.693
86.199997	65.704
87.500000	65.706
88.500000	65.700
90.000000	65.680
91.199997	65.659
92.500000	65.644
93.800003	65.644
95.000000	65.654
96.199997	65.663
97.500000	65.660
98.800003	65.631
100.000000	65.582
101.500000	65.510
103.000000	65.444
104.400002	65.404
106.000000	65.381
107.500000	65.378
109.000000	65.390
110.599998	65.410
112.000000	65.432
113.800003	65.482
115.000000	65.529
117.199997	65.616
118.000000	65.640
120.599998	65.693
122.000000	65.719
124.099998	65.778
125.000000	65.810
126.500000	65.865
128.000000	65.911
131.500000	65.947
132.000000	65.950
134.000000	65.974
136.000000	66.015
138.000000	66.045
140.000000	66.047
143.000000	66.039
145.000000	66.056
147.500000	66.079
150.000000	66.073
152.500000	66.054
155.000000	66.065
157.500000	66.087
160.000000	66.088
162.500000	66.086
165.000000	66.107
167.500000	66.146
170.000000	66.165
172.500000	66.158
175.000000	66.163
177.500000	66.172
180.000000	66.156
182.500000	66.116
185.000000	66.071
187.500000	66.032
190.000000	65.992
192.500000	65.961
195.000000	65.953
197.500000	65.949
200.000000	65.930
203.000000	65.895
206.000000	65.875
209.000000	65.855
212.000000	65.819
214.000000	65.800
218.000000	65.767
220.000000	65.739
224.000000	65.668
227.000000	65.619
230.000000	65.553
233.000000	65.470
236.000000	65.388
240.000000	65.270
243.000000	65.173
247.000000	65.066
250.000000	64.991
254.000000	64.895
258.000000	64.839
262.000000	64.823
265.000000	64.835
269.000000	64.848
272.000000	64.838
276.000000	64.803
280.000000	64.747
285.000000	64.656
290.000000	64.570
295.000000	64.506
300.000000	64.454
304.000000	64.405
307.000000	64.369
311.000000	64.322
315.000000	64.282
320.000000	64.239
325.000000	64.181
330.000000	64.105
335.000000	64.036
340.000000	63.987
345.000000	63.959
350.000000	63.937
355.000000	63.915
360.000000	63.900
365.000000	63.879
370.000000	63.842
375.000000	63.800
382.000000	63.765
387.000000	63.747
395.000000	63.708
400.000000	63.698
406.000000	63.713
412.000000	63.727
418.000000	63.736
425.000000	63.761
431.000000	63.775
437.000000	63.779
444.000000	63.790
450.000000	63.813
455.000000	63.834
462.000000	63.858
468.000000	63.887
475.000000	63.946
482.000000	64.016
487.000000	64.059
494.000000	64.112
500.000000	64.163
508.000000	64.227
515.000000	64.269
522.000000	64.319
530.000000	64.401
538.000000	64.484
545.000000	64.524
552.000000	64.529
560.000000	64.559
570.000000	64.685
580.000000	64.810
590.000000	64.897
600.000000	64.974
608.000000	65.044
615.000000	65.111
622.000000	65.169
630.000000	65.224
640.000000	65.296
650.000000	65.375
660.000000	65.447
670.000000	65.515
680.000000	65.582
690.000000	65.639
700.000000	65.684
710.000000	65.728
720.000000	65.779
730.000000	65.837
740.000000	65.889
750.000000	65.922
762.000000	65.954
775.000000	65.992
788.000000	66.023
800.000000	66.049
812.000000	66.077
825.000000	66.114
838.000000	66.149
850.000000	66.170
862.000000	66.187
875.000000	66.207
885.000000	66.217
900.000000	66.226
912.000000	66.245
925.000000	66.276
938.000000	66.301
950.000000	66.315
962.000000	66.327
975.000000	66.342
988.000000	66.357
1000.000000	66.370
1015.000000	66.387
1030.000000	66.401
1044.000000	66.416
1060.000000	66.439
1075.000000	66.457
1090.000000	66.467
1106.000000	66.479
1120.000000	66.492
1138.000000	66.503
1150.000000	66.507
1172.000000	66.502
1180.000000	66.498
1206.000000	66.479
1220.000000	66.456
1241.000000	66.416
1250.000000	66.401
1265.000000	66.390
1280.000000	66.406
1315.000000	66.545
1320.000000	66.569
1340.000000	66.660
1360.000000	66.734
1380.000000	66.775
1400.000000	66.777
1430.000000	66.761
1450.000000	66.769
1475.000000	66.806
1500.000000	66.846
1525.000000	66.872
1550.000000	66.902
1575.000000	66.946
1600.000000	67.005
1625.000000	67.070
1650.000000	67.136
1675.000000	67.204
1700.000000	67.277
1725.000000	67.360
1750.000000	67.460
1775.000000	67.569
1800.000000	67.680
1825.000000	67.804
1850.000000	67.934
1875.000000	68.060
1900.000000	68.185
1925.000000	68.318
1950.000000	68.463
1975.000000	68.613
2000.000000	68.760
2030.000000	68.935
2060.000000	69.113
2090.000000	69.295
2120.000000	69.480
2140.000000	69.605
2180.000000	69.852
2200.000000	69.973
2240.000000	70.203
2270.000000	70.364
2300.000000	70.515
2330.000000	70.661
2360.000000	70.800
2400.000000	70.965
2430.000000	71.079
2470.000000	71.218
2500.000000	71.306
2540.000000	71.403
2580.000000	71.475
2620.000000	71.526
2650.000000	71.557
2690.000000	71.585
2720.000000	71.596
2760.000000	71.604
2800.000000	71.618
2850.000000	71.645
2900.000000	71.668
2950.000000	71.683
3000.000000	71.708
3040.000000	71.730
3070.000000	71.742
3110.000000	71.752
3150.000000	71.752
3200.000000	71.743
3250.000000	71.724
3300.000000	71.678
3350.000000	71.611
3400.000000	71.547
3450.000000	71.494
3500.000000	71.440
3550.000000	71.381
3600.000000	71.331
3650.000000	71.290
3700.000000	71.244
3750.000000	71.205
3820.000000	71.178
3870.000000	71.174
3950.000000	71.187
4000.000000	71.208
