* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 17 오후 11:47:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.750	161.6816
20.600000	72.741	161.3239
20.900000	72.721	160.6747
21.200001	72.700	160.0255
21.400000	72.685	159.5847
21.799999	72.648	158.6575
22.000000	72.624	158.1724
22.400000	72.568	157.1986
22.700001	72.523	156.4889
23.000000	72.479	155.7994
23.299999	72.441	155.1153
23.600000	72.407	154.4200
24.000000	72.369	153.4599
24.299999	72.340	152.7234
24.700001	72.299	151.7554
25.000000	72.267	151.0684
25.400000	72.227	150.2210
25.799999	72.194	149.4305
26.200001	72.168	148.6556
26.500000	72.147	148.0722
26.900000	72.114	147.3021
27.200001	72.084	146.7488
27.600000	72.040	146.0576
28.000000	71.998	145.4019
28.500000	71.950	144.5646
29.000000	71.897	143.6613
29.500000	71.829	142.7338
30.000000	71.751	141.8546
30.400000	71.690	141.1918
30.700001	71.648	140.7014
31.100000	71.595	140.0352
31.500000	71.543	139.3534
32.000000	71.480	138.5004
32.500000	71.422	137.6574
33.000000	71.371	136.8008
33.500000	71.323	135.9237
34.000000	71.271	135.0755
34.500000	71.218	134.3095
35.000000	71.173	133.6101
35.500000	71.137	132.9052
36.000000	71.100	132.1569
36.500000	71.054	131.3977
37.000000	70.999	130.6822
37.500000	70.939	130.0238
38.200001	70.853	129.1660
38.700001	70.792	128.5896
39.500000	70.706	127.6947
40.000000	70.662	127.0787
40.599998	70.608	126.2304
41.200001	70.536	125.3339
41.799999	70.449	124.5177
42.500000	70.354	123.7285
43.099998	70.293	123.1055
43.700001	70.246	122.4233
44.400002	70.189	121.5248
45.000000	70.126	120.7400
45.500000	70.068	120.1378
46.200001	69.990	119.3864
46.799999	69.935	118.7617
47.500000	69.878	117.9636
48.200001	69.815	117.1105
48.700001	69.765	116.5259
49.400002	69.695	115.7830
50.000000	69.644	115.1759
50.799999	69.581	114.3386
51.500000	69.522	113.6064
52.200001	69.459	112.9255
53.000000	69.391	112.2126
53.799999	69.329	111.5185
54.500000	69.278	110.8568
55.200001	69.217	110.1281
56.000000	69.129	109.3214
57.000000	69.015	108.4680
58.000000	68.920	107.6384
59.000000	68.828	106.7539
60.000000	68.735	105.8679
60.799999	68.664	105.1741
61.500000	68.606	104.5686
62.200001	68.547	103.9490
63.000000	68.474	103.2523
64.000000	68.379	102.4909
65.000000	68.301	101.7863
66.000000	68.230	101.0058
67.000000	68.153	100.2087
68.000000	68.077	99.4393
69.000000	68.006	98.6682
70.000000	67.937	97.8837
71.000000	67.860	97.1183
72.000000	67.781	96.4436
73.000000	67.708	95.8385
74.000000	67.641	95.2306
